source,sumlevel,geoid,name,st,cnty,T10_est1,T10_est2,T10_est3,T10_est4,T10_est5,T10_est6,T10_est7,T10_est8,T10_est9,T10_est10,T10_est11,T10_est12,T10_est13,T10_est14,T10_est15,T10_est16,T10_est17,T10_est18,T10_est19,T10_est20,T10_est21,T10_est22,T10_est23,T10_est24,T10_est25,T10_est26,T10_est27,T10_est28,T10_est29,T10_est30,T10_est31,T10_est32,T10_est33,T10_est34,T10_est35,T10_est36,T10_est37,T10_est38,T10_est39,T10_est40,T10_est41,T10_est42,T10_est43,T10_est44,T10_est45,T10_est46,T10_est47,T10_est48,T10_est49,T10_est50,T10_est51,T10_est52,T10_est53,T10_est54,T10_est55,T10_est56,T10_est57,T10_est58,T10_est59,T10_est60,T10_est61,T10_est62,T10_est63,T10_est64,T10_est65,T10_est66,T10_est67,T10_est68,T10_est69,T10_est70,T10_est71,T10_est72,T10_est73,T10_est74,T10_est75,T10_est76,T10_est77,T10_est78,T10_est79,T10_est80,T10_est81,T10_est82,T10_est83,T10_est84,T10_est85,T10_est86,T10_est87,T10_est88,T10_est89,T10_est90,T10_est91,T10_est92,T10_est93,T10_est94,T10_est95,T10_est96,T10_est97,T10_est98,T10_est99,T10_est100,T10_est101,T10_est102,T10_est103,T10_est104,T10_est105,T10_est106,T10_est107,T10_est108,T10_est109,T10_est110,T10_est111,T10_est112,T10_est113,T10_est114,T10_est115,T10_est116,T10_est117,T10_est118,T10_est119,T10_est120,T10_est121,T10_est122,T10_est123,T10_est124,T10_est125,T10_est126,T10_est127,T10_est128,T10_est129,T10_moe1,T10_moe2,T10_moe3,T10_moe4,T10_moe5,T10_moe6,T10_moe7,T10_moe8,T10_moe9,T10_moe10,T10_moe11,T10_moe12,T10_moe13,T10_moe14,T10_moe15,T10_moe16,T10_moe17,T10_moe18,T10_moe19,T10_moe20,T10_moe21,T10_moe22,T10_moe23,T10_moe24,T10_moe25,T10_moe26,T10_moe27,T10_moe28,T10_moe29,T10_moe30,T10_moe31,T10_moe32,T10_moe33,T10_moe34,T10_moe35,T10_moe36,T10_moe37,T10_moe38,T10_moe39,T10_moe40,T10_moe41,T10_moe42,T10_moe43,T10_moe44,T10_moe45,T10_moe46,T10_moe47,T10_moe48,T10_moe49,T10_moe50,T10_moe51,T10_moe52,T10_moe53,T10_moe54,T10_moe55,T10_moe56,T10_moe57,T10_moe58,T10_moe59,T10_moe60,T10_moe61,T10_moe62,T10_moe63,T10_moe64,T10_moe65,T10_moe66,T10_moe67,T10_moe68,T10_moe69,T10_moe70,T10_moe71,T10_moe72,T10_moe73,T10_moe74,T10_moe75,T10_moe76,T10_moe77,T10_moe78,T10_moe79,T10_moe80,T10_moe81,T10_moe82,T10_moe83,T10_moe84,T10_moe85,T10_moe86,T10_moe87,T10_moe88,T10_moe89,T10_moe90,T10_moe91,T10_moe92,T10_moe93,T10_moe94,T10_moe95,T10_moe96,T10_moe97,T10_moe98,T10_moe99,T10_moe100,T10_moe101,T10_moe102,T10_moe103,T10_moe104,T10_moe105,T10_moe106,T10_moe107,T10_moe108,T10_moe109,T10_moe110,T10_moe111,T10_moe112,T10_moe113,T10_moe114,T10_moe115,T10_moe116,T10_moe117,T10_moe118,T10_moe119,T10_moe120,T10_moe121,T10_moe122,T10_moe123,T10_moe124,T10_moe125,T10_moe126,T10_moe127,T10_moe128,T10_moe129
2017thru2021,050,0500000US01001,"Autauga County, Alabama",01,001,21855,16225,15950,1560,900,20,640,1635,560,10,1065,2000,1250,65,685,1400,990,45,365,9350,7770,145,1435,155,0,0,0,0,0,0,0,0,4,4,0,0,35,35,0,0,115,110,4,0,125,10,10,0,0,0,0,0,0,55,55,0,0,0,0,0,0,60,50,0,15,5630,5585,790,415,0,375,810,335,10,465,1070,645,0,425,495,335,0,165,2420,1500,15,905,35,10,10,0,0,0,0,0,0,0,0,0,0,4,0,4,0,20,20,0,0,4,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,425,522,538,417,292,27,236,323,207,13,284,372,308,45,204,296,249,43,144,609,582,80,269,106,30,30,30,30,30,30,30,30,9,9,30,30,41,41,30,30,104,102,11,30,113,16,16,30,30,30,30,30,30,75,75,30,30,30,30,30,30,78,75,30,24,492,493,231,172,30,155,290,144,17,243,279,276,30,193,263,210,30,140,438,331,25,303,41,23,23,30,30,30,30,30,30,30,30,30,30,6,30,6,30,34,34,30,30,17,6,6,30,30,30,30,30,30,8,8,30,30,30,30,30,30,30,30,30,30
2017thru2021,050,0500000US01003,"Baldwin County, Alabama",01,003,87190,67240,66380,6165,1880,30,4260,6145,3005,50,3095,10950,6760,205,3990,6905,4620,190,2095,36210,29555,1075,5580,480,70,20,55,0,10,4,4,0,40,35,4,0,65,25,40,0,290,265,30,0,385,40,40,0,0,50,10,45,0,120,95,25,0,40,40,0,0,130,80,0,50,19950,19540,3795,1140,30,2620,3380,1530,50,1800,4855,2175,170,2510,2095,1155,30,915,5415,3130,115,2170,245,0,0,0,0,75,70,4,0,90,55,35,0,80,80,0,0,0,0,0,0,165,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,50,0,45,1308,1297,1274,820,422,36,719,598,523,63,517,1004,757,98,636,707,501,128,456,1458,1414,331,722,212,86,42,72,30,13,30,17,30,45,40,14,30,55,41,48,30,180,182,39,30,207,68,68,30,30,43,15,43,30,126,121,42,30,72,72,30,30,106,75,30,82,1375,1343,588,341,36,483,601,370,48,444,667,469,126,479,524,397,35,318,775,524,106,590,123,30,30,30,30,70,68,8,30,83,66,49,30,90,90,30,30,30,30,30,30,139,89,89,30,30,30,30,30,30,30,30,30,30,30,30,30,30,106,76,30,75
2017thru2021,050,0500000US01005,"Barbour County, Alabama",01,005,9090,5655,5460,440,185,30,225,735,265,20,455,910,475,20,415,610,360,25,225,2765,2185,95,485,165,10,10,0,0,15,15,0,0,0,0,0,0,0,0,0,0,145,140,4,0,30,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,3435,3230,1120,495,50,575,780,360,50,370,580,325,10,240,200,145,20,35,550,345,0,200,175,4,4,0,0,0,0,0,0,110,110,0,0,0,0,0,0,60,60,0,0,25,0,0,0,0,25,0,25,0,4,4,0,0,0,0,0,0,0,0,0,0,301,299,316,112,70,27,77,153,91,32,145,154,122,19,121,135,123,27,86,296,262,77,130,146,14,14,24,24,19,19,24,24,24,24,24,24,24,24,24,24,149,151,9,24,20,13,6,6,24,24,24,24,24,24,24,24,24,24,24,24,24,19,19,24,24,290,286,240,154,48,183,197,134,56,118,155,111,24,102,83,76,29,30,148,124,24,75,103,15,15,24,24,24,24,24,24,65,65,24,24,24,24,24,24,66,66,24,24,37,24,24,24,24,35,24,35,24,8,8,24,24,24,24,24,24,24,24,24,24
2017thru2021,050,0500000US01007,"Bibb County, Alabama",01,007,7085,5580,5525,715,275,0,440,760,445,50,265,855,570,35,255,770,605,65,100,2425,2045,165,215,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,4,4,0,0,0,0,0,0,15,0,15,0,20,20,0,0,1505,1495,695,210,85,400,275,145,15,110,175,45,55,75,65,30,0,35,285,110,0,175,10,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,409,407,189,114,24,153,211,173,47,132,207,156,50,150,263,247,60,59,311,268,118,114,30,24,24,24,24,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,43,24,24,24,24,18,18,24,24,24,24,24,24,27,24,27,24,28,28,24,24,306,309,266,120,97,220,109,89,34,73,116,42,73,74,44,35,24,36,134,71,24,111,14,24,24,24,24,24,24,24,24,14,14,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
2017thru2021,050,0500000US01009,"Blount County, Alabama",01,009,21300,16865,16500,1585,630,25,930,2305,1325,20,960,3005,2045,90,870,2060,1750,45,270,7545,6400,325,820,305,70,70,0,0,55,55,0,0,40,30,10,0,125,105,20,0,15,4,10,0,60,15,15,0,0,0,0,0,0,25,25,0,0,15,15,0,0,4,4,0,0,4435,4375,1575,400,0,1175,805,375,0,430,1235,660,85,485,280,260,4,20,480,350,4,130,55,35,35,0,0,4,0,4,0,4,4,0,0,10,10,0,0,4,4,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,661,647,306,207,23,217,332,259,30,217,375,294,51,199,324,296,51,111,531,510,98,194,108,65,65,30,30,54,54,30,30,37,28,15,30,74,64,34,30,19,6,15,30,52,22,22,30,30,30,30,30,30,38,38,30,30,29,29,30,30,1,1,30,30,516,510,360,170,30,301,191,129,30,153,310,196,72,195,118,114,4,18,150,131,10,69,49,44,44,30,30,6,30,6,30,9,9,30,30,18,18,30,30,7,7,30,30,4,4,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2017thru2021,050,0500000US01011,"Bullock County, Alabama",01,011,3420,2220,2220,355,180,0,175,275,85,0,185,355,235,20,100,175,45,0,125,1065,810,65,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1175,465,130,4,335,375,200,50,125,160,65,0,95,80,15,60,4,90,85,0,4,10,10,10,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,15,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,246,246,186,158,20,120,113,82,20,81,121,94,33,62,111,46,20,99,192,171,43,126,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,247,245,263,84,3,260,182,128,71,106,96,57,20,77,68,23,65,8,61,61,20,10,21,16,16,20,20,20,20,20,20,15,20,20,15,20,20,20,20,20,20,20,20,28,28,20,28,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2017thru2021,050,0500000US01013,"Butler County, Alabama",01,013,6530,4730,4695,265,110,0,155,605,220,15,370,740,410,4,325,415,310,4,100,2670,2160,110,400,15,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,4,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,1805,1800,430,215,0,210,500,210,60,230,235,60,20,160,225,105,0,125,410,245,25,140,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,243,243,77,50,20,63,155,82,23,120,146,103,20,122,107,100,5,59,254,217,82,113,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,9,9,20,20,23,20,20,20,20,20,20,20,20,20,20,20,20,23,23,20,20,20,20,20,20,231,229,113,107,20,59,142,101,59,89,87,43,23,68,81,54,20,68,108,86,29,63,5,5,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2017thru2021,050,0500000US01015,"Calhoun County, Alabama",01,015,44295,31440,31050,2860,775,110,1975,3355,1510,125,1720,4860,2915,85,1860,2875,1950,60,865,17105,12875,615,3615,320,90,60,30,0,10,10,0,0,4,4,0,0,0,0,0,0,215,135,80,0,65,0,0,0,0,20,20,0,0,10,0,10,0,25,25,0,0,15,15,0,0,12855,12550,3425,1075,15,2330,2100,960,80,1060,2555,1635,0,920,1240,630,15,595,3235,1750,165,1320,185,70,50,20,0,55,55,0,0,0,0,0,0,10,0,10,0,45,4,45,0,125,0,0,0,0,10,0,10,0,40,0,0,40,10,10,0,0,60,0,20,40,618,778,783,404,193,114,363,395,334,92,315,476,379,54,282,334,325,45,174,830,746,170,506,136,64,52,41,30,14,14,30,30,18,18,30,30,30,30,30,30,122,94,72,30,54,30,30,30,30,25,25,30,30,16,30,16,30,35,35,30,30,21,21,30,30,797,789,375,225,28,340,296,264,81,220,468,379,30,258,267,229,17,187,524,334,98,379,106,72,68,35,30,55,55,30,30,30,30,30,30,17,30,17,30,57,12,57,30,87,30,30,30,30,19,30,19,30,66,30,30,66,19,19,30,30,53,30,32,50
2017thru2021,050,0500000US01017,"Chambers County, Alabama",01,017,13125,9090,9010,490,165,0,325,1065,460,0,605,2005,1430,20,555,695,535,35,125,4755,3590,320,850,50,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,4035,3315,495,145,4,350,665,355,0,305,605,270,20,315,225,170,4,50,1330,860,75,395,125,4,4,0,0,0,0,0,0,15,10,4,0,35,20,15,0,65,20,45,0,590,35,35,0,0,25,10,0,20,235,235,0,0,0,0,0,0,295,155,0,135,444,393,394,141,105,27,105,236,142,27,176,321,280,25,180,170,156,32,53,434,421,150,221,51,37,37,27,27,27,27,27,27,27,27,27,27,27,27,27,27,40,40,27,27,33,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,33,33,27,27,395,368,160,85,14,124,190,166,27,96,204,130,32,134,124,120,10,44,254,214,65,113,76,12,12,27,27,27,27,27,27,18,15,10,27,44,36,25,27,62,30,56,27,273,48,48,27,27,28,16,27,23,203,203,27,27,27,27,27,27,165,118,27,136
2017thru2021,050,0500000US01019,"Cherokee County, Alabama",01,019,9690,7605,7555,585,265,15,305,875,330,4,540,1395,775,80,545,745,555,20,170,3950,3135,105,710,45,4,0,4,0,4,4,0,0,30,30,0,0,0,0,0,0,4,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,2085,2035,415,105,10,295,415,240,0,175,430,160,20,255,260,125,4,130,515,390,0,130,40,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,462,468,172,121,22,117,228,128,11,172,284,250,49,193,182,162,24,76,374,359,71,201,50,14,24,14,24,3,3,24,24,43,43,24,24,24,24,24,24,17,17,24,24,14,24,24,24,24,24,24,24,24,24,24,24,24,14,14,24,24,3,3,24,24,338,343,168,64,20,148,136,134,24,67,187,103,24,141,101,71,8,89,133,113,24,72,41,24,24,24,24,24,24,24,24,41,41,24,24,24,24,24,24,24,24,24,24,20,20,24,24,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
