source,sumlevel,geoid,name,st,cnty,T14A_est1,T14A_est2,T14A_est3,T14A_est4,T14A_est5,T14A_est6,T14A_est7,T14A_est8,T14A_est9,T14A_est10,T14A_est11,T14A_est12,T14A_est13,T14A_est14,T14A_est15,T14A_est16,T14A_est17,T14A_est18,T14A_est19,T14A_moe1,T14A_moe2,T14A_moe3,T14A_moe4,T14A_moe5,T14A_moe6,T14A_moe7,T14A_moe8,T14A_moe9,T14A_moe10,T14A_moe11,T14A_moe12,T14A_moe13,T14A_moe14,T14A_moe15,T14A_moe16,T14A_moe17,T14A_moe18,T14A_moe19
2017thru2021,050,0500000US01001,"Autauga County, Alabama",01,001,190,30,160,55,0,0,55,45,0,0,45,40,0,0,40,15,0,0,15,126,45,118,64,30,30,64,57,30,30,57,44,30,30,44,30,30,30,30
2017thru2021,050,0500000US01003,"Baldwin County, Alabama",01,003,1720,40,1680,205,0,35,170,700,0,135,565,130,0,25,105,640,40,75,530,440,44,446,119,30,45,114,303,30,148,327,88,30,43,83,243,63,72,233
2017thru2021,050,0500000US01005,"Barbour County, Alabama",01,005,290,35,255,95,0,4,90,50,0,15,35,25,0,0,25,85,20,0,70,104,52,96,62,24,10,62,62,24,22,58,27,24,24,27,58,32,24,52
2017thru2021,050,0500000US01007,"Bibb County, Alabama",01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24
2017thru2021,050,0500000US01009,"Blount County, Alabama",01,009,220,70,150,85,0,4,80,30,0,0,30,40,0,0,40,0,0,0,0,103,47,91,62,30,8,62,32,30,30,32,61,30,30,61,30,30,30,30
2017thru2021,050,0500000US01011,"Bullock County, Alabama",01,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2017thru2021,050,0500000US01013,"Butler County, Alabama",01,013,120,50,70,45,0,0,45,4,0,0,4,0,0,0,0,20,0,0,20,74,47,54,48,20,20,48,20,20,20,20,20,20,20,20,24,20,20,24
2017thru2021,050,0500000US01015,"Calhoun County, Alabama",01,015,510,205,305,230,0,15,215,65,0,0,65,0,0,0,0,15,0,0,15,214,122,154,141,30,24,136,52,30,30,52,30,30,30,30,22,30,30,22
2017thru2021,050,0500000US01017,"Chambers County, Alabama",01,017,140,55,85,45,0,20,25,10,0,0,10,30,0,30,0,0,0,0,0,88,59,69,46,27,37,29,13,27,27,13,51,27,51,27,27,27,27,27
2017thru2021,050,0500000US01019,"Cherokee County, Alabama",01,019,205,20,185,40,0,20,20,25,0,0,25,35,0,35,0,85,0,0,85,111,35,107,37,24,29,25,40,24,24,40,38,24,38,24,76,24,24,76
2017thru2021,050,0500000US01021,"Chilton County, Alabama",01,021,400,35,365,85,0,50,35,185,0,90,95,85,0,50,35,10,0,0,10,173,54,164,76,27,65,36,123,27,88,95,73,27,77,57,25,27,27,25
2017thru2021,050,0500000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2017thru2021,050,0500000US01025,"Clarke County, Alabama",01,025,180,130,50,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,152,129,76,24,24,24,24,76,24,24,76,24,24,24,24,24,24,24,24
2017thru2021,050,0500000US01027,"Clay County, Alabama",01,027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,0
2017thru2021,050,0500000US01029,"Cleburne County, Alabama",01,029,35,0,35,4,0,0,4,4,0,0,4,0,0,0,0,25,0,0,25,40,20,40,4,20,20,4,8,20,20,8,20,20,20,20,37,20,20,37
2017thru2021,050,0500000US01031,"Coffee County, Alabama",01,031,230,40,190,80,0,15,65,25,0,0,25,70,0,25,45,15,0,4,4,115,23,110,73,30,18,65,39,30,30,39,77,30,42,66,16,30,10,10
2017thru2021,050,0500000US01033,"Colbert County, Alabama",01,033,135,110,25,15,0,0,15,0,0,0,0,10,0,0,10,0,0,0,0,76,71,32,27,30,30,27,30,30,30,30,18,30,30,18,30,30,30,30
2017thru2021,050,0500000US01035,"Conecuh County, Alabama",01,035,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2017thru2021,050,0500000US01037,"Coosa County, Alabama",01,037,60,20,45,45,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,49,24,42,42,20,37,29,20,20,20,20,20,20,20,20,20,20,20,20
2017thru2021,050,0500000US01039,"Covington County, Alabama",01,039,270,55,215,150,0,40,115,40,0,0,40,4,0,0,4,20,0,0,20,126,40,111,89,27,42,65,45,27,27,45,27,27,27,27,31,27,27,31
2017thru2021,050,0500000US01041,"Crenshaw County, Alabama",01,041,95,85,15,15,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,58,57,16,16,20,1,13,20,20,20,20,20,20,20,20,20,20,20,20
2017thru2021,050,0500000US01043,"Cullman County, Alabama",01,043,415,120,295,105,0,40,65,80,0,70,4,30,0,0,30,80,25,0,55,206,142,144,85,30,62,54,83,30,81,10,49,30,30,49,72,40,30,61
2017thru2021,050,0500000US01045,"Dale County, Alabama",01,045,90,0,90,35,0,4,30,25,0,25,0,25,0,0,25,10,0,0,10,62,27,62,33,27,4,32,38,27,38,27,34,27,27,34,14,27,27,14
2017thru2021,050,0500000US01047,"Dallas County, Alabama",01,047,315,90,225,100,0,0,100,15,0,0,15,4,0,0,4,105,0,0,105,160,70,145,82,27,27,82,30,27,27,30,10,27,27,10,120,27,27,120
2017thru2021,050,0500000US01049,"DeKalb County, Alabama",01,049,295,65,230,135,0,30,105,70,0,0,70,0,0,0,0,30,0,25,4,140,62,121,98,30,40,90,55,30,30,55,30,30,30,30,40,30,38,4
2017thru2021,050,0500000US01051,"Elmore County, Alabama",01,051,340,55,285,70,0,0,70,50,0,0,50,85,0,0,85,80,0,0,80,176,73,165,66,30,30,66,78,30,30,78,111,30,30,111,79,30,30,79
2017thru2021,050,0500000US01053,"Escambia County, Alabama",01,053,165,0,165,50,0,0,50,40,0,0,40,0,0,0,0,80,0,0,80,127,27,127,61,27,27,61,48,27,27,48,27,27,27,27,82,27,27,82
2017thru2021,050,0500000US01055,"Etowah County, Alabama",01,055,625,120,505,290,0,115,175,10,0,0,10,70,0,0,70,135,0,25,110,245,115,214,136,30,78,120,13,30,30,13,91,30,30,91,110,30,41,104
2017thru2021,050,0500000US01057,"Fayette County, Alabama",01,057,205,25,175,125,0,0,125,20,0,0,20,30,0,0,30,0,0,0,0,140,42,139,115,20,20,115,30,20,20,30,52,20,20,52,20,20,20,20
2017thru2021,050,0500000US01059,"Franklin County, Alabama",01,059,190,110,80,25,0,0,25,0,0,0,0,20,0,0,20,35,0,0,35,140,115,74,36,27,27,36,27,27,27,27,34,27,27,34,43,27,27,43
2017thru2021,050,0500000US01061,"Geneva County, Alabama",01,061,95,35,65,55,0,55,4,4,0,0,4,0,0,0,0,0,0,0,0,70,29,69,69,24,71,24,13,24,24,13,24,24,24,24,24,24,24,24
2017thru2021,050,0500000US01063,"Greene County, Alabama",01,063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
