source,sumlevel,geoid,name,st,cnty,T14B_est1,T14B_est2,T14B_est3,T14B_est4,T14B_est5,T14B_est6,T14B_est7,T14B_est8,T14B_est9,T14B_est10,T14B_est11,T14B_est12,T14B_est13,T14B_est14,T14B_est15,T14B_est16,T14B_est17,T14B_est18,T14B_est19,T14B_moe1,T14B_moe2,T14B_moe3,T14B_moe4,T14B_moe5,T14B_moe6,T14B_moe7,T14B_moe8,T14B_moe9,T14B_moe10,T14B_moe11,T14B_moe12,T14B_moe13,T14B_moe14,T14B_moe15,T14B_moe16,T14B_moe17,T14B_moe18,T14B_moe19
2017thru2021,050,0500000US01001,"Autauga County, Alabama",01,001,250,110,140,35,0,10,30,65,0,20,50,15,15,0,0,20,0,0,20,144,120,79,32,30,14,35,55,30,30,50,28,28,30,30,40,30,30,40
2017thru2021,050,0500000US01003,"Baldwin County, Alabama",01,003,16720,535,16185,1690,75,430,1185,5570,525,2330,2715,6120,1010,2770,2340,2810,470,865,1475,1173,267,1080,398,89,205,328,691,328,499,466,783,367,603,475,427,184,267,320
2017thru2021,050,0500000US01005,"Barbour County, Alabama",01,005,120,15,105,45,0,15,35,10,0,10,0,50,4,0,40,0,0,0,0,73,28,70,53,24,16,49,13,24,13,24,49,16,24,49,24,24,24,24
2017thru2021,050,0500000US01007,"Bibb County, Alabama",01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,0,24,0,24,24,24,24,24,24,24,24,24
2017thru2021,050,0500000US01009,"Blount County, Alabama",01,009,410,15,395,310,0,190,120,85,0,0,85,0,0,0,0,0,0,0,0,159,17,160,144,30,123,91,71,30,30,71,30,30,30,30,30,30,30,30
2017thru2021,050,0500000US01011,"Bullock County, Alabama",01,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2017thru2021,050,0500000US01013,"Butler County, Alabama",01,013,580,180,400,200,15,85,105,145,35,110,0,55,0,55,0,0,0,0,0,150,77,128,94,17,71,74,81,38,76,20,42,20,42,20,20,20,20,20
2017thru2021,050,0500000US01015,"Calhoun County, Alabama",01,015,925,235,690,190,50,100,40,370,175,100,95,110,85,25,0,25,0,0,25,274,129,242,122,59,100,39,188,126,101,100,91,76,40,30,39,30,30,39
2017thru2021,050,0500000US01017,"Chambers County, Alabama",01,017,275,35,240,95,75,0,15,35,4,30,0,110,35,40,35,0,0,0,0,126,28,122,80,78,27,28,38,10,37,27,92,61,70,58,27,27,27,27
2017thru2021,050,0500000US01019,"Cherokee County, Alabama",01,019,170,0,170,100,0,10,90,70,15,15,40,0,0,0,0,0,0,0,0,93,24,93,62,24,21,59,73,26,31,64,24,24,24,24,24,24,24,24
