source,sumlevel,geoid,name,st,cnty,T3_est1,T3_est2,T3_est3,T3_est4,T3_est5,T3_est6,T3_est7,T3_est8,T3_est9,T3_est10,T3_est11,T3_est12,T3_est13,T3_est14,T3_est15,T3_est16,T3_est17,T3_est18,T3_est19,T3_est20,T3_est21,T3_est22,T3_est23,T3_est24,T3_est25,T3_est26,T3_est27,T3_est28,T3_est29,T3_est30,T3_est31,T3_est32,T3_est33,T3_est34,T3_est35,T3_est36,T3_est37,T3_est38,T3_est39,T3_est40,T3_est41,T3_est42,T3_est43,T3_est44,T3_est45,T3_est46,T3_est47,T3_est48,T3_est49,T3_est50,T3_est51,T3_est52,T3_est53,T3_est54,T3_est55,T3_est56,T3_est57,T3_est58,T3_est59,T3_est60,T3_est61,T3_est62,T3_est63,T3_est64,T3_est65,T3_est66,T3_est67,T3_est68,T3_est69,T3_est70,T3_est71,T3_est72,T3_est73,T3_est74,T3_est75,T3_est76,T3_est77,T3_est78,T3_est79,T3_est80,T3_est81,T3_est82,T3_est83,T3_est84,T3_est85,T3_est86,T3_est87,T3_moe1,T3_moe2,T3_moe3,T3_moe4,T3_moe5,T3_moe6,T3_moe7,T3_moe8,T3_moe9,T3_moe10,T3_moe11,T3_moe12,T3_moe13,T3_moe14,T3_moe15,T3_moe16,T3_moe17,T3_moe18,T3_moe19,T3_moe20,T3_moe21,T3_moe22,T3_moe23,T3_moe24,T3_moe25,T3_moe26,T3_moe27,T3_moe28,T3_moe29,T3_moe30,T3_moe31,T3_moe32,T3_moe33,T3_moe34,T3_moe35,T3_moe36,T3_moe37,T3_moe38,T3_moe39,T3_moe40,T3_moe41,T3_moe42,T3_moe43,T3_moe44,T3_moe45,T3_moe46,T3_moe47,T3_moe48,T3_moe49,T3_moe50,T3_moe51,T3_moe52,T3_moe53,T3_moe54,T3_moe55,T3_moe56,T3_moe57,T3_moe58,T3_moe59,T3_moe60,T3_moe61,T3_moe62,T3_moe63,T3_moe64,T3_moe65,T3_moe66,T3_moe67,T3_moe68,T3_moe69,T3_moe70,T3_moe71,T3_moe72,T3_moe73,T3_moe74,T3_moe75,T3_moe76,T3_moe77,T3_moe78,T3_moe79,T3_moe80,T3_moe81,T3_moe82,T3_moe83,T3_moe84,T3_moe85,T3_moe86,T3_moe87
2017thru2021,050,0500000US01001,"Autauga County, Alabama",01,001,21855,16225,130,0,10,0,30,90,75,10,0,55,0,15,155,0,0,4,35,115,1550,780,410,285,0,75,1345,290,305,455,150,145,170,170,0,0,0,0,12810,325,910,1265,1220,9090,5630,95,0,0,0,0,95,4,4,0,4,0,0,35,10,0,0,4,20,905,485,240,185,0,0,640,25,155,435,20,4,95,95,0,0,0,0,3845,190,415,450,475,2320,425,522,86,30,16,30,42,75,80,16,30,75,30,24,106,30,30,9,41,104,331,288,179,165,30,70,279,151,128,194,112,111,125,125,30,30,30,30,569,189,255,234,265,562,492,115,30,30,30,30,115,17,6,30,8,30,30,41,23,30,30,6,34,249,182,130,172,30,30,218,28,85,206,27,30,77,77,30,30,30,30,465,102,240,195,262,416
2017thru2021,050,0500000US01003,"Baldwin County, Alabama",01,003,87190,67240,395,75,115,50,60,100,385,40,50,120,40,130,480,70,10,40,65,290,5270,3350,1225,540,90,65,6920,945,1085,2665,810,1415,370,370,0,0,0,0,53425,1430,3720,7695,5950,34630,19950,220,65,35,95,20,10,165,75,0,0,0,95,245,0,75,90,80,0,3280,2355,720,195,0,15,4020,470,1225,1915,235,170,135,135,0,0,0,0,11880,765,1400,2650,1840,5225,1308,1297,188,67,115,66,63,85,207,68,43,126,72,106,212,86,13,45,55,180,842,717,340,207,73,51,935,306,285,559,288,461,150,150,30,30,30,30,1533,291,439,814,667,1393,1375,119,58,43,96,32,18,139,89,30,30,30,106,123,30,70,83,90,30,635,495,286,112,30,19,724,216,436,504,182,103,122,122,30,30,30,30,1100,294,367,552,460,785
2017thru2021,050,0500000US01005,"Barbour County, Alabama",01,005,9090,5655,35,15,10,0,0,10,25,4,0,0,0,20,165,10,15,0,0,145,350,205,65,60,15,0,560,60,180,195,40,90,95,95,0,0,0,0,4425,65,480,655,560,2670,3435,20,10,0,0,0,10,25,0,25,4,0,0,175,4,0,110,0,60,455,315,135,4,0,0,685,225,300,165,0,0,260,260,0,0,0,0,1805,310,350,410,200,540,301,299,29,23,14,24,24,15,19,6,24,24,24,19,146,14,19,24,24,149,96,73,40,48,17,24,127,37,81,84,27,57,52,52,24,24,24,24,298,40,141,128,131,286,290,24,21,24,24,24,14,37,24,35,8,24,24,103,15,24,65,24,66,137,125,63,9,24,24,173,100,119,91,24,24,120,120,24,24,24,24,267,136,135,125,83,148
2017thru2021,050,0500000US01007,"Bibb County, Alabama",01,007,7085,5580,95,0,0,55,0,45,40,0,4,0,15,20,15,0,15,0,0,0,320,235,85,0,0,0,505,300,110,45,50,4,4,4,0,0,0,0,4605,175,565,760,720,2380,1505,45,35,4,0,0,4,0,0,0,0,0,0,10,0,0,10,0,0,320,260,60,0,0,0,250,200,50,0,0,0,10,10,0,0,0,0,870,190,160,175,65,280,289,409,72,24,24,48,24,53,43,24,18,24,27,28,30,24,30,24,24,24,146,116,77,24,24,24,196,155,79,39,74,4,5,5,24,24,24,24,384,92,193,187,246,302,306,62,60,13,24,24,6,24,24,24,24,24,24,14,24,24,14,24,24,180,165,67,24,24,24,198,188,44,24,24,24,13,13,24,24,24,24,222,141,80,116,44,135
2017thru2021,050,0500000US01009,"Blount County, Alabama",01,009,21300,16865,150,75,0,30,4,40,60,15,0,25,15,4,305,70,55,40,125,15,780,540,110,90,40,0,1330,395,435,385,70,50,155,155,0,0,0,0,14080,415,1760,2500,1945,7455,4435,110,90,15,0,0,4,4,4,0,0,0,0,55,35,4,4,10,4,720,690,20,4,4,0,685,220,425,45,0,0,190,190,0,0,0,0,2670,390,345,1185,275,475,411,661,109,84,30,30,7,67,52,22,30,38,29,1,108,65,54,37,74,19,201,163,80,62,41,30,225,131,145,146,51,42,101,101,30,30,30,30,662,154,312,338,331,523,516,78,78,21,30,30,11,4,4,30,30,30,30,49,44,6,9,18,7,235,232,31,3,16,30,221,122,153,38,30,30,104,104,30,30,30,30,421,220,127,305,119,152
2017thru2021,050,0500000US01011,"Bullock County, Alabama",01,011,3420,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,100,80,10,20,0,105,0,45,40,0,20,120,120,0,0,0,0,1790,135,145,310,155,1045,1200,0,0,0,0,0,0,15,15,0,0,0,0,10,10,0,4,0,0,200,115,85,0,0,0,290,85,205,0,0,0,95,95,0,0,0,0,585,170,85,160,80,90,221,246,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,101,69,60,15,36,20,69,20,53,29,20,31,121,121,20,20,20,20,209,115,80,114,106,188,247,20,20,20,20,20,20,28,28,20,20,20,20,21,16,20,15,20,20,111,83,75,20,20,20,105,81,122,20,20,20,81,81,20,20,20,20,219,226,94,96,68,61
2017thru2021,050,0500000US01013,"Butler County, Alabama",01,013,6530,4730,20,0,10,0,0,10,15,0,0,0,15,0,15,0,0,10,0,4,175,125,45,4,4,0,450,15,255,155,15,4,30,30,0,0,0,0,4025,95,295,575,400,2655,1805,95,4,55,0,20,20,0,0,0,0,0,0,4,4,0,0,0,0,320,180,135,4,0,0,240,40,125,75,4,0,80,80,0,0,0,0,1065,125,185,155,205,395,290,243,21,20,15,20,20,12,23,20,20,20,23,20,21,20,20,20,20,9,66,56,30,8,12,20,137,17,104,84,21,4,31,31,20,20,20,20,232,56,104,119,102,254,231,66,10,59,20,23,23,20,20,20,20,20,20,4,4,20,20,20,20,122,101,83,11,20,20,92,26,75,45,3,20,51,51,20,20,20,20,178,41,86,89,81,108
2017thru2021,050,0500000US01015,"Calhoun County, Alabama",01,015,44295,31440,285,210,20,0,0,50,65,0,20,10,25,15,320,90,10,4,0,215,1970,1375,315,240,10,25,2850,475,520,1115,355,390,220,220,0,0,0,0,25730,580,2495,3505,2510,16640,12855,200,140,35,10,4,10,125,0,10,40,10,60,185,70,55,0,10,45,2335,1640,570,120,0,0,2300,490,705,870,205,30,355,355,0,0,0,0,7355,795,785,1555,1030,3190,618,778,149,154,28,30,30,55,54,30,25,16,35,21,136,64,14,18,30,122,353,314,86,110,20,35,410,123,172,252,181,155,100,100,30,30,30,30,839,180,381,419,307,806,797,131,117,48,15,11,13,87,30,19,66,19,53,106,72,55,30,17,57,330,262,186,122,30,30,382,194,198,235,111,48,163,163,30,30,30,30,789,227,218,436,245,526
2017thru2021,050,0500000US01017,"Chambers County, Alabama",01,017,13125,9090,55,25,4,0,0,25,25,0,0,0,0,25,50,20,0,0,0,30,645,260,305,75,0,0,1070,110,245,480,40,200,40,40,0,0,0,0,7205,55,515,1450,660,4535,4035,55,10,10,35,0,0,590,35,25,235,0,295,125,4,0,15,35,65,450,230,175,40,0,0,715,85,315,285,25,0,35,35,0,0,0,0,2060,130,165,245,195,1330,444,393,47,27,13,27,27,33,33,27,27,27,27,33,51,37,27,27,27,40,157,92,128,49,27,27,218,79,119,140,30,91,44,44,27,27,27,27,390,39,171,282,168,426,395,58,21,13,52,27,27,273,48,28,203,27,165,76,12,27,18,44,62,153,94,89,56,27,27,209,62,182,115,44,27,44,44,27,27,27,27,320,95,83,127,111,254
2017thru2021,050,0500000US01019,"Cherokee County, Alabama",01,019,9690,7605,15,0,4,0,4,0,4,0,0,0,0,4,45,4,4,30,0,4,555,320,135,45,40,15,795,130,215,300,65,85,50,50,0,0,0,0,6150,85,520,1050,640,3855,2085,10,0,0,0,10,0,10,10,0,0,0,0,40,0,0,40,0,0,155,110,45,0,0,0,395,35,275,85,0,0,75,75,0,0,0,0,1405,195,95,340,255,515,444,462,17,24,13,24,14,24,3,24,24,24,24,3,50,14,3,43,24,17,157,112,103,37,63,17,199,81,102,163,61,50,54,54,24,24,24,24,465,68,161,249,159,357,338,14,24,24,24,14,24,20,20,24,24,24,24,41,24,24,41,24,24,88,73,44,24,24,24,163,36,133,76,24,24,68,68,24,24,24,24,328,122,62,188,97,133
