source,sumlevel,geoid,name,st,T12_est1,T12_est2,T12_est3,T12_est4,T12_est5,T12_est6,T12_est7,T12_est8,T12_est9,T12_est10,T12_est11,T12_est12,T12_est13,T12_est14,T12_est15,T12_est16,T12_est17,T12_est18,T12_est19,T12_est20,T12_est21,T12_est22,T12_est23,T12_est24,T12_est25,T12_est26,T12_est27,T12_est28,T12_est29,T12_est30,T12_est31,T12_est32,T12_est33,T12_est34,T12_est35,T12_est36,T12_est37,T12_est38,T12_est39,T12_est40,T12_est41,T12_est42,T12_est43,T12_est44,T12_est45,T12_est46,T12_est47,T12_est48,T12_est49,T12_est50,T12_est51,T12_est52,T12_est53,T12_est54,T12_est55,T12_est56,T12_est57,T12_est58,T12_est59,T12_est60,T12_est61,T12_est62,T12_est63,T12_est64,T12_est65,T12_est66,T12_est67,T12_est68,T12_est69,T12_est70,T12_est71,T12_est72,T12_est73,T12_est74,T12_est75,T12_est76,T12_est77,T12_est78,T12_est79,T12_est80,T12_est81,T12_est82,T12_est83,T12_est84,T12_est85,T12_est86,T12_est87,T12_est88,T12_est89,T12_est90,T12_est91,T12_est92,T12_est93,T12_est94,T12_est95,T12_est96,T12_est97,T12_est98,T12_est99,T12_est100,T12_est101,T12_est102,T12_est103,T12_est104,T12_est105,T12_est106,T12_est107,T12_est108,T12_est109,T12_est110,T12_est111,T12_est112,T12_est113,T12_est114,T12_est115,T12_est116,T12_est117,T12_est118,T12_est119,T12_est120,T12_est121,T12_est122,T12_est123,T12_est124,T12_est125,T12_est126,T12_est127,T12_est128,T12_est129,T12_est130,T12_est131,T12_est132,T12_est133,T12_est134,T12_est135,T12_est136,T12_est137,T12_est138,T12_est139,T12_est140,T12_est141,T12_est142,T12_est143,T12_est144,T12_est145,T12_est146,T12_est147,T12_est148,T12_est149,T12_est150,T12_est151,T12_est152,T12_est153,T12_est154,T12_est155,T12_est156,T12_est157,T12_est158,T12_est159,T12_est160,T12_est161,T12_est162,T12_est163,T12_est164,T12_est165,T12_est166,T12_est167,T12_est168,T12_est169,T12_est170,T12_est171,T12_est172,T12_est173,T12_moe1,T12_moe2,T12_moe3,T12_moe4,T12_moe5,T12_moe6,T12_moe7,T12_moe8,T12_moe9,T12_moe10,T12_moe11,T12_moe12,T12_moe13,T12_moe14,T12_moe15,T12_moe16,T12_moe17,T12_moe18,T12_moe19,T12_moe20,T12_moe21,T12_moe22,T12_moe23,T12_moe24,T12_moe25,T12_moe26,T12_moe27,T12_moe28,T12_moe29,T12_moe30,T12_moe31,T12_moe32,T12_moe33,T12_moe34,T12_moe35,T12_moe36,T12_moe37,T12_moe38,T12_moe39,T12_moe40,T12_moe41,T12_moe42,T12_moe43,T12_moe44,T12_moe45,T12_moe46,T12_moe47,T12_moe48,T12_moe49,T12_moe50,T12_moe51,T12_moe52,T12_moe53,T12_moe54,T12_moe55,T12_moe56,T12_moe57,T12_moe58,T12_moe59,T12_moe60,T12_moe61,T12_moe62,T12_moe63,T12_moe64,T12_moe65,T12_moe66,T12_moe67,T12_moe68,T12_moe69,T12_moe70,T12_moe71,T12_moe72,T12_moe73,T12_moe74,T12_moe75,T12_moe76,T12_moe77,T12_moe78,T12_moe79,T12_moe80,T12_moe81,T12_moe82,T12_moe83,T12_moe84,T12_moe85,T12_moe86,T12_moe87,T12_moe88,T12_moe89,T12_moe90,T12_moe91,T12_moe92,T12_moe93,T12_moe94,T12_moe95,T12_moe96,T12_moe97,T12_moe98,T12_moe99,T12_moe100,T12_moe101,T12_moe102,T12_moe103,T12_moe104,T12_moe105,T12_moe106,T12_moe107,T12_moe108,T12_moe109,T12_moe110,T12_moe111,T12_moe112,T12_moe113,T12_moe114,T12_moe115,T12_moe116,T12_moe117,T12_moe118,T12_moe119,T12_moe120,T12_moe121,T12_moe122,T12_moe123,T12_moe124,T12_moe125,T12_moe126,T12_moe127,T12_moe128,T12_moe129,T12_moe130,T12_moe131,T12_moe132,T12_moe133,T12_moe134,T12_moe135,T12_moe136,T12_moe137,T12_moe138,T12_moe139,T12_moe140,T12_moe141,T12_moe142,T12_moe143,T12_moe144,T12_moe145,T12_moe146,T12_moe147,T12_moe148,T12_moe149,T12_moe150,T12_moe151,T12_moe152,T12_moe153,T12_moe154,T12_moe155,T12_moe156,T12_moe157,T12_moe158,T12_moe159,T12_moe160,T12_moe161,T12_moe162,T12_moe163,T12_moe164,T12_moe165,T12_moe166,T12_moe167,T12_moe168,T12_moe169,T12_moe170,T12_moe171,T12_moe172,T12_moe173
2016thru2020,040,0400000US01,Alabama,01,1888505,1306505,332495,37505,12420,7395,15075,37865,24605,10275,2985,61525,51765,8525,1235,195600,190190,5065,345,426355,77890,33395,15240,24195,65310,49415,12450,3445,81700,74160,6630,910,201455,197210,3770,475,344350,72545,31805,15405,21215,62240,48820,10825,2600,71285,65240,5400,645,138275,136305,1765,210,143020,37255,16740,8535,10190,27440,22060,4475,905,29115,27665,1235,220,49205,48385,735,85,60285,14715,6575,2855,4460,10270,8340,1240,695,10130,9030,855,245,25170,24520,445,205,582000,110150,42955,8295,10060,20825,21195,12440,7655,1100,18410,16020,2190,195,27595,27135,205,255,198030,91005,21175,24700,36920,41975,27760,13135,1080,32690,30545,1945,200,32360,31875,310,170,170240,84300,21650,22205,34360,33940,24555,8480,905,26610,25695,855,65,25390,25165,195,30,74460,36215,9280,9460,14425,14985,10860,3785,340,11920,10990,920,10,11340,11340,0,0,29115,13150,3515,3120,5410,6505,4355,1930,215,4355,4150,195,10,5110,5070,40,0,5746,8890,4993,1662,916,746,1102,1513,1318,922,446,1711,1580,685,307,3795,3669,722,121,4185,2102,1306,990,1258,2035,1732,1066,502,2451,2393,629,159,3298,3315,624,244,4282,1792,1372,1176,1083,2044,1873,838,382,1894,1714,560,257,2861,2870,304,101,2684,1324,981,629,857,1211,1009,506,278,1384,1381,206,118,1607,1627,264,61,1986,977,526,357,736,977,948,233,226,755,643,213,181,1408,1416,140,113,5960,2809,1702,700,808,1374,1539,1309,803,376,1136,1114,383,108,1497,1497,74,136,3834,2543,1336,1646,1803,1789,1497,1170,278,1777,1606,414,110,1350,1358,138,182,3450,2065,1194,1139,1524,1537,1309,702,293,1350,1342,215,44,1425,1425,127,52,2038,1410,670,677,926,935,864,417,142,825,798,258,17,817,817,29,29,1312,985,391,483,765,757,552,591,143,426,411,85,14,510,510,31,29
2016thru2020,040,0400000US02,Alaska,02,255175,165375,36175,5125,1940,780,2310,4855,2515,1725,620,7085,5110,1705,265,19105,17965,1045,95,67680,9455,4045,1870,3275,10440,6460,2925,1055,14710,11860,2650,200,33070,31980,1010,80,50405,9555,3700,2160,3420,8010,5425,1895,690,11860,9890,1880,90,20985,20475,475,30,8990,1695,835,360,485,1420,900,330,190,2230,1810,360,60,3640,3515,105,20,2125,385,185,40,155,385,325,35,25,485,445,40,0,875,860,10,4,89795,17750,5715,1375,1570,2590,4205,2250,1670,285,3720,2825,885,10,4110,4050,55,0,35660,11900,3000,3615,4995,8860,5345,3015,505,7895,6910,985,4,7000,6885,45,70,28280,10995,2410,3525,4880,6535,4555,1850,130,5865,5340,525,0,4885,4865,20,0,6295,2450,435,855,1115,1325,825,475,25,1135,1085,50,0,1385,1385,0,0,1805,795,235,305,220,415,330,60,25,290,260,35,0,310,310,0,0,1324,1895,1164,468,273,178,333,471,325,297,240,661,468,351,118,818,789,241,42,1573,681,405,244,477,789,610,412,358,875,768,381,88,1061,1044,285,64,1442,662,317,322,474,678,565,270,206,804,761,298,47,868,819,202,27,576,276,205,112,120,229,199,115,67,291,259,146,31,383,365,105,25,234,87,67,20,68,109,105,20,22,128,132,33,23,155,153,15,10,1818,1048,648,268,328,387,416,375,274,126,492,390,228,13,482,481,42,23,1177,804,357,470,481,664,540,465,191,828,812,247,23,556,540,41,94,1246,725,280,464,450,657,506,339,102,597,554,197,23,586,587,20,23,652,355,107,233,252,260,210,175,23,312,310,35,23,357,357,23,23,304,213,100,197,89,155,142,34,36,100,97,36,23,90,90,23,23
2016thru2020,040,0400000US04,Arizona,04,2643430,1727175,583765,66820,15940,11945,32320,75345,42135,23310,9900,114930,91965,19925,3040,326670,313930,11230,1515,622755,104815,35405,21985,40445,93050,61940,21675,9440,119580,99865,16815,2900,305310,294245,9185,1880,387155,87390,34230,20105,28295,72655,53065,15495,4095,78715,70250,7450,1015,148395,144995,3090,315,114015,25720,10085,5580,8760,21235,15340,4770,1130,23070,19985,2830,255,43990,42775,1115,105,19485,4720,2045,1050,1350,3045,2290,530,220,3775,3240,400,130,7945,7740,145,60,916255,227290,61675,8530,12295,35870,47530,17305,24830,5395,48970,38395,9890,685,69115,66670,2105,340,366170,124410,16945,33515,65710,85250,42035,37195,6020,76685,63965,11715,1005,79820,77755,1470,600,241740,103230,17485,29185,49945,55520,33515,19665,2340,44810,40470,3810,530,38180,37655,510,10,64805,29305,5930,7290,14390,14200,8900,4740,560,11170,10515,585,65,10130,10010,110,10,16245,7010,1585,1200,3450,3550,2145,1195,210,3115,2780,295,40,2575,2505,65,4,6290,9001,5325,2371,969,1035,1680,2525,1674,1540,936,2763,2671,1184,381,4339,4286,910,266,5140,3020,1722,1357,1914,2411,1846,1161,1092,2483,2187,899,463,3474,3474,726,579,4387,2080,1226,1190,1236,2085,1742,983,460,2378,2425,685,300,3020,3001,363,108,2171,1208,672,552,774,1117,973,550,275,1086,1094,400,145,1524,1496,300,55,1098,472,298,196,226,443,370,150,102,563,540,161,87,726,708,63,55,6466,4001,2153,773,966,1687,2055,1228,1466,636,2104,1891,835,188,2460,2414,432,157,5448,3035,1165,1873,2060,3152,2713,1970,830,2608,2391,1102,251,2294,2229,274,265,4297,2644,1023,1468,2056,1963,1761,1297,443,1965,1932,542,182,2086,2079,155,21,1898,1383,648,646,956,971,759,505,220,863,813,162,44,863,867,63,17,1137,748,264,213,539,461,390,261,111,526,541,155,36,419,418,46,14
2016thru2020,040,0400000US05,Arkansas,05,1170545,770475,202670,20835,6920,4535,8180,24545,14795,7440,2310,36350,30470,4950,935,120935,118105,2580,250,248595,38310,17300,8045,10880,38380,29890,6560,1930,49545,44685,4120,740,122360,120500,1715,145,214035,42760,19320,10215,11005,39200,31610,6230,1365,42175,39700,2170,305,89895,89140,710,45,74170,18440,8600,4270,4530,14760,11895,2505,360,14550,13980,515,50,26425,26075,305,45,31010,7230,3530,1635,1750,5570,4630,775,170,5825,5510,230,90,12380,12030,275,75,400065,88445,31640,6065,8075,14985,18170,10870,6310,990,18100,16925,1030,150,20535,20285,95,155,139535,58785,14125,18065,22265,31370,22385,8185,800,25345,23935,1065,345,24030,23740,180,110,112885,50295,13670,14770,18410,25030,18140,6450,440,19370,18265,1040,65,18190,18080,100,10,40255,17420,4285,4890,7110,8260,5495,2520,245,7045,6710,320,15,7530,7515,15,0,18950,8500,2215,2170,3545,3700,2430,1210,65,3285,2990,295,0,3465,3445,20,0,4409,6164,3252,1099,602,488,688,1269,974,795,415,1461,1313,607,340,2462,2507,329,101,3479,1818,1166,593,751,1268,1086,721,309,1652,1586,478,236,2369,2393,370,100,3275,1570,1139,793,699,1653,1547,646,302,1454,1431,351,92,2078,2067,179,43,2050,1111,678,465,522,928,752,455,208,953,927,170,47,1217,1203,125,45,1493,590,394,234,301,602,530,216,77,582,557,88,71,807,736,184,74,4589,2179,1457,668,763,972,1300,1106,705,424,1224,1208,251,104,1160,1167,58,150,3278,2136,1042,1202,1456,1480,1415,747,200,1211,1210,287,168,1625,1618,69,65,2727,2076,1055,1044,1360,1299,1062,767,164,1214,1192,282,53,1289,1283,91,15,1613,1149,515,538,694,729,647,361,117,677,668,131,19,807,813,27,29,1221,703,366,348,503,470,406,319,45,463,422,171,29,576,583,30,29
2016thru2020,040,0400000US06,California,06,13103115,7241320,1197395,141200,25340,23860,82125,135880,53185,47590,35105,212105,123995,70230,17885,708210,630395,69225,8595,1879750,309835,77205,62260,155315,272640,138145,87550,46950,370500,253810,98240,18455,926775,854715,64580,7475,2082360,445385,145820,87780,195205,343885,199125,97735,47020,429935,315495,98000,16440,863155,801135,56035,5985,1508190,337580,117110,62600,146400,268510,155145,77760,35600,322890,243960,66915,12020,579210,535490,39155,4565,573625,123230,40235,21750,56130,89160,49865,23970,15325,106405,74855,24250,7300,254830,228320,22840,3670,5861795,764875,290100,44975,70055,157620,124450,42755,55945,25745,128315,75450,48420,4445,222005,209555,12000,455,1535925,624590,86745,155590,351495,314530,133340,149415,31780,284370,213865,66385,4125,312430,301825,9980,625,1948645,849340,118435,227440,467175,415055,205535,178805,30710,340135,278255,57935,3945,344120,334635,9085,400,1022195,469945,70315,125915,254965,216355,119710,79815,16825,170010,141405,26470,2130,165885,160290,5395,200,590160,268125,50655,73225,132280,111765,66415,37650,7705,91590,75370,14890,1330,118680,115290,3255,135,18539,35704,8892,3127,1194,1122,2541,3279,1873,1782,1540,3426,2596,2376,1068,6856,6800,2046,895,12783,4537,2133,1729,3147,3719,2988,2196,1873,5231,4352,2566,1046,8168,7879,1776,729,12805,5600,2929,2336,3731,4180,3556,2193,1495,5204,4207,2222,1048,7642,7251,1875,589,9949,4485,2785,1955,2872,3165,2560,2054,1268,4590,3981,1821,852,6302,5938,1188,511,5767,2599,1596,909,1812,2388,1674,980,1105,2573,2193,1105,745,3493,3212,1554,459,20326,7348,4324,1902,2354,3516,3106,1799,2029,1695,3190,2237,1988,808,4216,4032,1109,175,11285,7604,2275,3938,5342,3840,2379,3469,1403,4170,3417,2105,659,4991,4937,833,223,11400,7701,2762,4155,6043,5457,3894,3574,1394,4182,4139,1980,552,5396,5286,841,190,8539,6072,2091,2846,4622,3980,2957,2203,1208,3377,2947,1360,474,2972,2950,632,148,6423,3834,1635,1985,3132,2696,1793,1627,897,2614,2205,980,394,2823,2752,469,75
2016thru2020,040,0400000US08,Colorado,08,2137400,1415325,381120,42590,10260,8730,21545,48200,24290,17960,5950,78895,60075,16560,2260,211435,201700,8680,1055,445630,66820,20980,14730,28385,70335,43785,20610,5935,97160,81975,13590,1595,211315,205410,5350,560,349365,70045,25135,16880,25555,63530,42675,17300,3555,81545,71810,8850,885,134245,131195,2880,175,140365,32445,12290,7835,11340,27350,19440,6700,1210,31555,27830,3400,325,49015,48000,920,100,98840,20150,7595,4220,7430,15430,10775,3635,1020,18990,16055,2595,340,44270,42565,1415,290,722080,162580,51095,6385,11225,30960,32835,10420,18865,3550,37620,29220,7690,710,41030,39935,955,145,214470,84410,12360,23240,45740,51395,24485,23785,3125,43370,37280,5655,435,35295,34695,580,25,211375,98575,16545,30980,47725,52180,32150,18220,1810,35260,31950,3130,180,25360,24930,420,10,76925,35335,7045,10520,16335,17850,11400,5925,525,13365,12165,1000,195,10375,10300,75,0,56725,23990,5940,6910,10230,12320,8335,3490,490,10630,9465,1135,35,9785,9670,115,0,4708,7386,3343,1737,852,845,1218,1612,1127,975,578,2171,1957,957,387,2687,2692,851,253,3959,2063,1166,956,1263,1715,1417,1137,577,2186,1959,815,294,3255,3263,624,146,4152,1990,1027,921,1081,1697,1543,931,448,2300,2242,621,261,2512,2507,349,108,2465,1388,799,670,859,1137,846,658,235,1203,1156,416,143,1321,1293,357,62,2572,1030,561,359,697,767,628,435,204,915,844,375,116,1629,1585,330,113,6562,3417,1786,746,752,1437,1367,936,1050,509,1733,1590,803,283,1559,1563,241,129,3288,2175,743,1315,1773,1755,1279,1234,489,1544,1474,604,152,1570,1542,176,29,3665,2819,954,1504,1666,1997,1577,1179,281,1530,1503,441,110,1217,1209,189,14,2285,1577,669,810,1148,1080,819,649,138,889,856,230,196,816,811,64,29,1661,1026,658,652,786,927,746,512,144,826,760,269,35,700,686,92,29
2016thru2020,040,0400000US09,Connecticut,09,1385435,915410,90530,9530,955,2565,5580,7905,3260,2985,1665,13945,8970,4195,780,59150,55260,3370,520,196020,24360,3400,5765,14165,23675,11300,9085,3295,37745,29035,7670,1040,110235,105545,4305,385,252850,41740,8045,12825,19830,38965,21950,12090,4930,52930,43245,8540,1140,119210,114995,3710,505,220935,41065,9295,11340,19070,38820,22570,12685,3565,50035,41245,7905,880,91020,87770,2960,290,155075,30130,4505,7415,17215,25030,14080,8305,2640,31870,25520,5320,1030,68045,64445,3055,540,470030,46660,19065,3520,4610,10125,6280,2600,2940,740,7535,5645,1755,135,13780,13265,490,30,89365,43940,10190,11970,20440,15900,9515,5750,635,15065,13420,1565,80,14460,14055,400,10,128290,67040,15315,19740,29365,25320,16620,7965,735,20930,19480,1370,80,15005,14885,110,10,79415,43790,8925,13160,19685,13950,9460,4165,325,12220,11530,630,65,9455,9330,125,0,126300,66295,13015,19910,29940,27570,20280,6700,590,17905,16920,955,30,14530,14385,145,0,3273,5010,2284,878,280,426,668,644,480,374,279,888,759,547,190,1878,1820,425,173,2975,1299,412,613,886,1115,716,785,410,1323,1106,639,223,2060,2054,455,110,3608,1600,672,912,1084,1687,1174,996,598,1828,1550,689,247,2270,2205,446,116,3378,1894,812,1139,1170,1435,1112,901,577,1914,1852,641,202,2057,1961,367,116,2736,1512,479,719,1051,1207,953,647,377,1462,1327,552,228,1972,1866,443,129,4548,1640,1194,620,640,946,729,445,565,202,865,806,409,84,850,829,147,30,2361,1826,953,1105,1274,1167,846,671,173,1134,1123,348,75,1158,1129,170,15,2711,2128,1171,1213,1512,1505,1067,851,230,1447,1423,293,64,1030,1031,48,14,2281,1901,878,1060,1159,1032,902,579,142,908,928,209,50,812,803,74,30,2992,2111,936,1218,1491,1482,1333,746,203,1163,1156,231,27,959,949,83,30
2016thru2020,040,0400000US10,Delaware,10,370955,264915,80120,10480,2970,1625,5350,10790,5745,3640,1405,15325,11750,3230,340,43525,41965,1390,170,74435,12620,3685,3080,5210,11570,7510,3430,635,15430,13050,2030,345,34815,33935,755,125,51870,9230,3660,2270,2940,9580,6895,2235,445,10800,9540,1190,70,22260,21805,380,70,39630,8330,2935,1685,3365,7725,5585,1715,425,9415,8600,730,90,14160,13865,295,0,18860,3955,1415,935,1430,3270,2155,970,145,3480,2920,470,95,8150,7965,140,40,106040,20360,6565,1090,1575,3525,4080,1455,2090,540,4195,3370,820,4,5520,5510,10,0,27660,10455,2385,2580,4960,6385,3570,2465,350,5410,4780,615,10,5410,5340,70,0,29375,13010,2345,4315,5735,6915,4365,2155,395,4990,4710,255,25,4460,4255,200,0,17575,8790,1315,2820,4030,4120,2405,1490,230,2570,2265,305,0,2090,2090,0,0,11070,5665,890,1065,3195,1795,1250,520,25,2075,1970,105,0,1540,1540,0,0,1820,2572,2165,1128,465,325,851,920,716,629,288,965,841,429,132,1786,1770,281,85,2130,978,441,512,657,849,597,560,173,998,888,285,164,1476,1439,168,77,1353,695,479,350,397,708,579,358,143,744,680,252,49,1077,1073,116,53,1358,714,412,290,450,647,581,270,160,744,668,188,56,744,752,148,29,1277,516,323,263,256,511,417,297,77,553,528,165,93,667,674,62,40,2163,1357,683,254,353,527,647,428,440,188,712,636,297,1,738,738,15,29,1456,1017,442,416,763,589,496,433,125,715,713,182,15,543,537,71,29,1394,919,428,615,636,799,644,455,222,564,574,125,24,541,479,237,29,1246,899,292,639,542,743,432,495,129,334,295,164,29,400,400,29,29,970,692,243,222,601,371,316,187,28,447,439,67,29,285,285,29,29
2016thru2020,040,0400000US11,District of Columbia,11,288305,122650,14230,935,120,120,595,815,310,445,55,1625,1085,405,135,10855,10230,570,50,6100,925,285,80,495,260,95,135,30,565,375,115,75,4350,4180,145,25,13600,2550,530,395,1435,905,560,295,50,2675,1910,720,45,7470,6950,475,45,27570,6285,2115,1045,2745,2295,1530,535,230,5175,4130,825,220,13810,12995,785,30,61150,7215,1920,1075,3750,2725,1485,785,455,7665,4710,1885,1070,43540,40255,2855,430,165660,34810,11095,2000,2020,5530,2125,535,1175,420,5290,2355,2670,265,16300,14650,1650,0,16560,7385,1855,1260,3735,1845,780,955,110,2170,1355,800,15,5160,4885,275,0,37760,19460,4875,4405,8715,3585,2200,1125,255,6120,4660,1455,4,8595,8295,300,0,39455,20790,4865,6055,8355,4995,3165,1720,110,5615,4780,815,20,8050,7905,145,0,37075,11425,2395,2795,5695,3210,1695,1130,385,7040,4795,2040,205,15395,14570,830,0,1321,2319,1031,196,67,70,153,385,147,353,41,377,321,131,74,912,909,143,42,625,256,193,69,164,74,60,78,30,164,127,70,56,616,612,88,28,1014,396,140,158,303,247,168,154,31,497,388,294,51,688,675,146,39,1198,634,383,227,475,296,256,159,105,559,478,192,126,945,981,203,34,1592,546,275,222,536,393,323,193,138,766,526,455,375,1341,1274,395,209,2395,1677,1077,390,446,783,411,132,400,126,616,480,381,94,1067,1055,311,31,1199,778,408,287,588,502,254,430,66,352,270,249,26,675,645,137,31,1466,1198,629,613,685,642,562,280,145,736,673,314,1,936,901,229,31,1543,1116,616,660,829,811,643,375,71,696,604,267,24,717,706,68,31,1850,823,421,450,557,505,382,274,197,748,683,315,103,1281,1264,243,31
2016thru2020,040,0400000US12,Florida,12,7931315,5250880,1435630,181170,40115,34555,93705,193175,103980,58680,30520,274010,204475,57795,11740,787275,742395,38790,6095,1965205,372775,115330,79240,153445,334250,217430,82650,34170,395335,324170,60975,10190,862850,825200,33035,4615,1271975,329600,116755,72030,123920,239410,164285,55130,19995,252700,214120,32820,5765,450265,431650,15820,2795,484245,121185,46395,25095,43175,89225,58840,21400,8985,99035,83595,12640,2800,174805,166465,7165,1170,93820,21555,7870,5085,7445,14625,9125,3585,1915,16370,13610,1965,795,41275,38840,2110,325,2680435,615430,188570,16675,34145,121780,123050,34905,65275,22870,123035,78680,40605,3750,180775,170305,9630,835,971565,356545,42760,78560,211680,228875,80815,122035,26025,199330,155910,39515,3910,186815,178425,7420,970,769450,346100,46435,83380,194015,180720,80220,87950,12550,132555,110105,20950,1505,110070,106790,2950,330,254090,121145,16460,27700,69590,55190,26815,23950,4425,43240,36610,6050,580,34520,33320,1130,70,69895,32975,6005,7735,16665,15535,7640,6370,1525,10690,9005,1465,215,10695,10305,365,20,23194,29162,13786,3693,2081,1864,2933,4260,2847,2988,1856,5532,4434,2571,1025,10435,10277,2048,749,13117,4893,3283,2511,3633,4937,4290,2545,2023,5712,5017,2800,752,9545,9197,1829,676,9602,5049,3486,1971,3397,4042,3117,2356,1133,4261,4017,1310,429,4863,4986,997,714,5478,2944,1843,1319,1701,2600,2158,1068,959,3143,2850,1013,397,3467,3268,755,234,2451,1268,652,889,634,822,610,417,473,1189,1079,315,219,1380,1359,273,114,14277,6897,4508,1241,1778,3741,3026,1818,2462,1765,3649,2912,1988,766,3893,3971,1292,278,9464,6028,2420,2541,4203,5470,2904,3670,1705,4501,4138,1930,581,3947,3900,794,222,6118,4373,1853,2564,3693,3652,2796,2798,1147,3253,3004,1431,254,2725,2762,399,140,4467,3176,1095,1653,2463,2264,1419,1607,600,2038,1846,622,164,1818,1836,229,51,2286,1424,719,714,1032,1278,860,672,526,837,802,355,108,966,953,148,24
