source,sumlevel,geoid,name,st,T13_est1,T13_est2,T13_est3,T13_est4,T13_est5,T13_est6,T13_est7,T13_est8,T13_est9,T13_est10,T13_est11,T13_est12,T13_est13,T13_est14,T13_est15,T13_est16,T13_est17,T13_est18,T13_est19,T13_est20,T13_est21,T13_est22,T13_est23,T13_est24,T13_est25,T13_est26,T13_est27,T13_est28,T13_est29,T13_est30,T13_est31,T13_est32,T13_est33,T13_est34,T13_est35,T13_est36,T13_est37,T13_est38,T13_est39,T13_est40,T13_est41,T13_est42,T13_est43,T13_est44,T13_est45,T13_est46,T13_est47,T13_est48,T13_est49,T13_est50,T13_est51,T13_est52,T13_est53,T13_est54,T13_est55,T13_est56,T13_est57,T13_est58,T13_est59,T13_est60,T13_est61,T13_est62,T13_est63,T13_est64,T13_est65,T13_est66,T13_est67,T13_est68,T13_est69,T13_est70,T13_est71,T13_est72,T13_est73,T13_est74,T13_est75,T13_est76,T13_est77,T13_est78,T13_est79,T13_est80,T13_est81,T13_est82,T13_est83,T13_est84,T13_est85,T13_est86,T13_est87,T13_est88,T13_est89,T13_est90,T13_est91,T13_est92,T13_est93,T13_est94,T13_est95,T13_est96,T13_est97,T13_est98,T13_est99,T13_moe1,T13_moe2,T13_moe3,T13_moe4,T13_moe5,T13_moe6,T13_moe7,T13_moe8,T13_moe9,T13_moe10,T13_moe11,T13_moe12,T13_moe13,T13_moe14,T13_moe15,T13_moe16,T13_moe17,T13_moe18,T13_moe19,T13_moe20,T13_moe21,T13_moe22,T13_moe23,T13_moe24,T13_moe25,T13_moe26,T13_moe27,T13_moe28,T13_moe29,T13_moe30,T13_moe31,T13_moe32,T13_moe33,T13_moe34,T13_moe35,T13_moe36,T13_moe37,T13_moe38,T13_moe39,T13_moe40,T13_moe41,T13_moe42,T13_moe43,T13_moe44,T13_moe45,T13_moe46,T13_moe47,T13_moe48,T13_moe49,T13_moe50,T13_moe51,T13_moe52,T13_moe53,T13_moe54,T13_moe55,T13_moe56,T13_moe57,T13_moe58,T13_moe59,T13_moe60,T13_moe61,T13_moe62,T13_moe63,T13_moe64,T13_moe65,T13_moe66,T13_moe67,T13_moe68,T13_moe69,T13_moe70,T13_moe71,T13_moe72,T13_moe73,T13_moe74,T13_moe75,T13_moe76,T13_moe77,T13_moe78,T13_moe79,T13_moe80,T13_moe81,T13_moe82,T13_moe83,T13_moe84,T13_moe85,T13_moe86,T13_moe87,T13_moe88,T13_moe89,T13_moe90,T13_moe91,T13_moe92,T13_moe93,T13_moe94,T13_moe95,T13_moe96,T13_moe97,T13_moe98,T13_moe99
2016thru2020,040,0400000US01,Alabama,01,1888505,1306505,758850,55875,6260,49615,59520,6480,53040,103175,14540,88630,72835,12785,60050,467450,66430,401015,487365,50245,2920,47320,59560,4725,54830,89680,8240,81440,54295,5620,48675,233590,25580,208010,60285,7165,625,6545,7550,500,7045,10270,950,9320,5410,435,4975,29890,3525,26365,582000,308180,79365,14705,64660,54595,11500,43095,63170,11930,51240,28670,5310,23360,82385,11435,70950,244705,70585,13710,56875,49935,9585,40350,48925,8535,40390,22850,3785,19070,52410,7850,44555,29115,7965,1185,6780,5185,945,4235,6505,1050,5450,2455,335,2120,7010,970,6040,5746,8890,6413,2015,743,2031,1982,686,1860,2306,998,2230,2299,1178,2052,5230,2155,4608,4785,1866,382,1722,1832,580,1781,2165,811,1993,1805,539,1742,3667,1216,3391,1986,717,180,725,705,151,677,977,302,884,589,141,565,1435,591,1354,5960,4581,2406,967,2006,1878,877,1767,2343,938,2169,1518,611,1256,2448,948,2263,4287,1938,1007,1745,1833,756,1814,1814,753,1693,1220,496,1050,2078,721,1893,1312,734,226,662,711,262,624,757,261,710,353,126,318,557,229,567
2016thru2020,040,0400000US02,Alaska,02,255175,165375,103855,6990,850,6140,7595,1425,6170,15300,3190,12110,10965,2355,8610,63010,9960,53045,59395,5405,615,4785,5845,985,4860,9435,1650,7785,7330,955,6375,31385,4105,27275,2125,215,15,200,170,10,160,385,45,340,245,20,225,1115,115,995,89795,53410,8980,2265,6715,8640,2425,6215,13065,3535,9530,6890,1330,5560,15835,3220,12620,34580,7390,1465,5925,6055,1700,4355,7860,2240,5620,4400,695,3700,8875,890,7985,1805,390,20,370,405,75,330,415,155,255,190,20,170,410,35,375,1324,1895,1720,649,141,632,632,277,565,862,421,788,789,296,701,1263,680,1250,1605,539,127,511,477,270,457,706,304,662,640,214,641,1056,440,933,234,74,12,72,56,12,54,109,40,105,71,20,69,193,54,190,1818,1619,719,352,611,805,367,749,841,524,698,646,285,563,876,410,722,1387,576,296,521,591,326,527,690,366,558,561,170,525,719,189,716,304,122,26,123,198,60,184,155,92,130,82,27,68,104,36,101
2016thru2020,040,0400000US04,Arizona,04,2643430,1727175,1206520,81375,8730,72640,90260,10060,80200,168395,24700,143695,117405,18245,99160,749090,101505,647585,501170,53030,6080,46950,60075,7500,52580,93890,11700,82190,54380,6915,47465,239795,28540,211255,19485,2285,305,1980,2440,205,2235,3045,290,2755,1880,200,1680,9840,910,8930,916255,593465,100165,19400,80765,85920,20005,65915,132780,26740,106045,70905,12840,58065,203690,29655,174035,306545,73780,15315,58465,58755,13680,45075,69720,13395,56325,32335,6130,26205,71955,9085,62870,16245,4730,435,4295,2280,390,1890,3550,350,3200,1725,225,1500,3965,450,3515,6290,9001,6996,2321,804,2128,2721,918,2529,3607,1497,3042,2685,1236,2208,5986,2758,5474,5155,1811,773,1663,1632,749,1596,2434,953,2298,1880,608,1780,4078,1849,3885,1098,293,127,262,327,125,321,443,135,419,380,87,368,861,212,818,6466,6268,3078,1395,2741,2644,1466,2486,3981,2308,3112,2499,991,2338,3538,1398,3479,4374,2540,1179,2262,1954,1121,1796,2081,950,1962,1710,677,1650,2744,755,2468,1137,683,155,654,372,161,325,461,142,440,336,116,347,580,173,539
2016thru2020,040,0400000US05,Arkansas,05,1170545,770475,451265,25965,2755,23210,33180,4325,28855,62925,9770,53155,43425,7040,36385,285765,43865,241900,288205,25475,1845,23630,35725,3045,32680,53960,5535,48425,30360,3585,26775,142690,16010,126680,31010,2955,220,2735,4275,260,4015,5570,735,4840,3290,335,2955,14915,1495,13425,400065,227975,48660,10305,38350,41770,9130,32640,49540,10330,39205,25710,4955,20755,62300,11965,50335,153140,37665,8465,29200,30050,6540,23510,33290,7535,25755,15300,3075,12225,36835,6180,30655,18950,4500,740,3765,4000,615,3385,3700,700,3000,2155,510,1645,4595,510,4080,4409,6164,4495,1322,420,1247,1583,581,1460,1852,753,1675,1816,686,1601,3746,1898,3321,3761,1049,382,1016,1453,433,1314,1763,525,1749,1320,447,1207,2651,916,2569,1493,299,98,290,479,111,457,602,222,576,472,134,434,917,226,915,4589,3711,1855,1030,1645,1890,904,1465,1849,947,1505,1378,616,1224,2529,1300,2155,2960,1648,855,1310,1504,697,1301,1670,861,1396,1077,535,900,1653,729,1442,1221,517,267,450,574,248,532,470,240,423,419,225,359,645,154,613
2016thru2020,040,0400000US06,California,06,13103115,7241320,3077145,219050,19355,199695,231985,31605,200380,408520,63490,345035,291605,52355,239250,1925985,307920,1618065,3590550,382775,26565,356210,400190,40855,359340,612395,81280,531115,397965,57320,340645,1797225,262880,1534345,573625,62640,3935,58705,60590,5700,54895,89160,11455,77710,57225,7400,49825,304005,43640,260365,5861795,2300800,545035,109290,435745,369655,93275,276380,438980,100710,338270,231090,49030,182060,716035,113565,602470,2970835,772435,152710,619725,546850,124500,422350,631410,124755,506655,297550,51925,245625,722595,102775,619820,590160,167985,23645,144340,100140,18195,81940,111765,17860,93905,53110,6990,46120,157160,19360,137795,18539,35704,17975,4334,1227,4113,4114,1516,4043,5063,2029,4387,4208,1908,3864,13620,5457,10989,18758,4729,1348,4689,4368,1501,3909,5680,2339,5091,4744,1807,4080,13702,5473,10624,5767,1818,423,1698,1801,539,1713,2388,764,2280,1761,523,1633,4054,1459,3749,20326,13035,6073,2719,5251,5289,2867,4416,4813,2679,4500,4492,1941,4227,6849,3122,7099,14796,7139,2947,6269,6196,2842,5480,7362,2937,6271,4403,1791,4077,7169,2239,6564,6423,3418,1169,3305,2126,1196,1781,2696,1088,2591,2051,642,1867,2969,1073,2684
2016thru2020,040,0400000US08,Colorado,08,2137400,1415325,826750,49550,4390,45160,59860,8575,51285,118535,19620,98915,89900,16750,73145,508910,77275,431635,489735,47925,3495,44430,54565,5925,48640,90880,12330,78550,59960,8435,51525,236400,30890,205510,98840,9810,490,9320,10340,720,9620,15430,1605,13825,10320,1115,9205,52935,7150,45790,722080,377055,74715,11860,62850,60790,11460,49330,84230,13265,70965,48235,7265,40970,109085,12585,96500,288300,74900,11980,62920,59010,11285,47730,70030,12580,57450,28890,4430,24465,55465,6065,49405,56725,13540,1400,12140,10450,1745,8705,12320,1600,10720,6740,600,6140,13675,850,12825,4708,7386,4909,1965,519,1819,1785,855,1586,2630,1106,2328,2271,1079,1856,4810,2020,4618,5141,1893,447,1753,1613,571,1580,2222,842,1961,1858,733,1705,3538,1454,2933,2572,665,116,654,724,145,684,767,282,705,629,190,617,1872,527,1725,6562,4373,1838,983,1737,2045,943,1994,2097,781,2027,1825,721,1556,2714,891,2650,4462,2250,964,1983,2035,825,1784,2245,1060,1942,1321,496,1155,1876,663,1668,1661,821,280,775,702,298,617,927,325,840,717,248,681,858,192,842
2016thru2020,040,0400000US09,Connecticut,09,1385435,915410,286545,15595,710,14890,18290,1430,16860,31585,3380,28205,25385,3060,22325,195690,27575,168115,473785,35600,2145,33455,47205,4015,43190,77785,8695,69090,52410,6085,46325,260780,33875,226905,155075,14720,1085,13635,15410,1640,13775,25030,2790,22240,16415,2040,14380,83500,10030,73470,470030,136025,39020,4930,34085,23985,4095,19890,22180,2835,19345,12500,1870,10630,38340,4955,33385,207705,70640,11630,59015,40190,6915,33275,39265,6840,32430,19450,2520,16930,38155,4680,33480,126300,40345,7435,32910,25950,5850,20100,27570,4050,23520,10590,1370,9220,21845,2015,19835,3273,5010,3553,983,185,955,1072,343,1057,1346,611,1322,1214,560,1175,2973,1275,2898,4310,1516,396,1488,1852,556,1723,2240,817,2109,1674,617,1518,3378,1485,3056,2736,1103,237,1055,939,328,877,1207,510,1137,1020,358,987,2089,799,1967,4548,2361,1561,560,1604,1341,608,1146,1460,421,1349,881,307,850,1638,594,1630,3225,1984,1079,1776,1838,787,1701,1759,772,1507,1427,385,1328,1478,620,1336,2992,1689,846,1589,1345,645,1129,1482,623,1271,914,297,893,1278,370,1244
2016thru2020,040,0400000US10,Delaware,10,370955,264915,154555,10845,1095,9755,12250,1130,11125,22360,2760,19600,14295,1540,12755,94795,11270,83530,91505,8555,695,7860,9010,695,8315,17305,1475,15825,10750,775,9980,45885,5530,40355,18860,1990,215,1775,1965,175,1790,3270,220,3050,1935,290,1645,9695,1210,8490,106040,48020,9800,1835,7965,7220,1610,5610,10465,2315,8150,5585,1250,4335,14945,2035,12910,46950,11550,1920,9630,10255,2010,8245,11035,1275,9760,4355,590,3760,9755,1155,8600,11070,3900,835,3065,1760,195,1565,1795,585,1210,1285,160,1130,2330,355,1975,1820,2572,2528,1041,339,940,1137,251,1126,1037,378,998,946,280,899,2074,829,1961,1914,682,237,655,694,159,657,1002,269,951,709,191,656,1647,589,1542,1277,298,112,282,409,87,404,511,99,500,436,124,436,771,308,690,2163,1769,990,439,900,749,355,711,843,393,797,859,406,686,1089,366,962,1641,829,348,795,964,447,773,1096,298,1068,467,163,467,826,233,767,970,605,220,583,387,95,368,371,293,248,325,98,297,400,134,375
2016thru2020,040,0400000US11,District of Columbia,11,288305,122650,20330,1255,200,1055,605,35,570,1075,155,920,1135,165,970,16260,1435,14825,41170,5155,205,4950,3680,365,3315,3200,275,2925,3945,235,3710,25190,3105,22085,61150,4255,80,4175,2960,295,2665,2725,120,2605,3360,260,3105,47845,8775,39070,165660,51370,13465,1795,11665,5015,470,4550,3975,580,3395,3685,615,3075,25230,1120,24110,77215,27935,3840,24095,12320,1965,10350,8580,675,7900,6215,280,5935,22165,1770,20395,37075,8035,1215,6820,3390,285,3105,3210,235,2975,4280,360,3925,18155,1320,16840,1321,2319,1214,310,115,280,149,39,144,394,76,380,289,86,271,1168,286,1148,1552,630,94,612,437,164,432,378,98,375,548,111,542,1163,342,1129,1592,407,51,400,446,239,379,393,68,391,453,117,418,1454,701,1394,2395,2120,1119,382,1001,767,150,758,692,391,561,480,333,401,1352,278,1283,1935,1275,614,1187,781,359,791,1011,195,989,653,130,662,1266,494,1162,1850,668,368,582,474,116,448,505,114,496,601,128,592,1276,226,1240
2016thru2020,040,0400000US12,Florida,12,7931315,5250880,3400835,259815,17260,242555,294130,26435,267695,527425,57465,469960,349785,41105,308680,1969685,224805,1744875,1756220,219160,11035,208125,231620,17370,214250,328635,28150,300485,190975,19545,171430,785830,76845,708985,93820,11270,375,10895,10280,880,9405,14625,1455,13170,9265,720,8545,48375,4685,43690,2680435,1586995,289855,55375,234475,255260,56795,198465,351925,65980,285945,183550,29630,153920,506405,66990,439420,1023545,263650,44585,219065,203590,41040,162550,235910,38585,197325,103955,14940,89015,216435,25005,191425,69895,19750,3020,16730,13220,2435,10785,15535,2665,12870,6060,635,5430,15325,805,14515,23194,29162,22358,3926,1429,3670,5204,1727,4700,6562,2361,6014,4572,2087,4652,17667,5507,14212,11005,4245,898,4238,4832,1185,4680,4658,1664,4601,3340,1291,3139,8131,2680,7383,2451,1029,117,1024,794,209,765,822,276,794,891,199,835,1489,490,1413,14277,10656,5222,2143,4503,5453,2420,4580,6541,2921,5390,4339,1540,3916,5799,2332,5752,7484,4374,1807,4329,3808,1917,3700,4187,1925,3921,2447,1012,2312,4410,1392,4460,2286,1017,497,956,988,443,854,1278,494,1112,655,179,629,1194,215,1124
2016thru2020,040,0400000US13,Georgia,13,3830265,2453160,1691210,107250,11860,95390,122995,17110,105885,231270,37610,193660,167355,28160,139190,1062345,160295,902050,673925,73195,5520,67675,83810,6840,76970,122895,12595,110300,72410,7135,65275,321620,34480,287135,88025,9505,630,8880,9030,550,8475,12665,970,11695,6950,700,6255,49870,6475,43395,1377105,858420,171915,37000,134915,143850,34270,109575,181360,39060,142300,92620,17085,75535,268680,40415,228265,461470,125865,28060,97805,90120,20860,69265,100910,18745,82165,46685,8385,38305,97890,14425,83465,57215,16265,2600,13660,9590,2205,7385,11470,1825,9645,5490,810,4680,14405,1700,12705,8093,14997,12368,2870,1017,2718,2945,1527,2617,4216,1545,4124,3472,1509,3128,10152,3744,8294,6669,2790,673,2788,2207,655,2121,2883,1068,2693,2327,703,2278,4318,1558,4095,2312,726,218,737,698,179,674,808,236,816,651,192,619,1774,620,1648,9408,7386,4078,2120,3727,3650,1675,3525,4242,1925,3785,2855,1412,2639,4930,2359,4103,5623,2879,1450,2723,2627,1432,2308,3097,1238,2809,1842,831,1702,2950,1136,2720,2189,1333,450,1200,877,423,716,966,335,823,628,220,594,876,323,772
2016thru2020,040,0400000US15,Hawaii,15,467930,282035,136990,9555,575,8980,10570,1200,9370,20760,2925,17835,15890,2600,13285,80215,11460,68760,135495,11780,540,11240,13030,880,12150,22635,2395,20240,17170,2040,15130,70875,9435,61435,9555,1295,55,1240,1095,70,1025,1655,270,1385,985,140,845,4525,610,3915,185895,83200,16980,3710,13270,13185,4225,8965,19355,5505,13850,10530,2715,7810,23150,5190,17960,95555,21555,3745,17810,16670,3040,13635,21575,3915,17660,11515,1940,9575,24240,4035,20205,7135,1580,125,1460,1165,265,900,1605,340,1265,830,90,740,1955,295,1660,1885,2961,2375,652,166,615,821,333,806,1036,406,949,925,418,826,1989,669,1876,1895,662,139,662,821,210,773,912,446,751,923,271,914,1565,676,1593,776,362,41,356,269,47,266,250,100,247,262,88,246,485,251,390,2657,1898,932,445,843,788,424,694,1172,529,1023,1049,400,964,1195,675,1102,1991,985,511,893,1030,445,888,1120,441,1026,815,357,746,1183,588,1038,594,290,74,282,258,128,200,289,119,259,179,54,167,312,136,273
2016thru2020,040,0400000US16,Idaho,16,649300,459430,275145,15435,1320,14115,20365,2700,17665,41505,8445,33060,31575,5470,26105,166260,25315,140945,148525,11860,1035,10825,16320,1895,14430,27975,4680,23295,18475,2525,15950,73895,9245,64650,35760,3170,375,2795,4560,515,4045,7225,1190,6035,4790,760,4030,16015,2150,13865,189870,104415,20290,3485,16805,18560,4310,14255,26310,7060,19250,12665,2820,9840,26590,3735,22855,68775,15060,2965,12095,14920,3250,11670,16320,3535,12785,7690,1380,6310,14785,2670,12115,16680,3500,550,2950,3155,435,2720,4205,735,3470,2150,385,1770,3670,480,3195,2232,3825,3377,1122,273,1055,1137,404,1027,1558,834,1454,1780,807,1578,3230,1319,2914,2740,791,255,819,953,396,830,1313,445,1174,852,368,810,1975,746,1853,1350,364,150,333,583,168,588,584,213,503,418,231,392,1021,467,860,3028,2581,1192,397,1195,1293,522,1072,1328,759,1157,1123,498,996,1530,612,1418,1810,803,396,707,1002,433,860,977,513,940,676,310,609,1003,467,903,1084,470,196,448,480,157,453,655,210,567,394,190,340,524,173,467
2016thru2020,040,0400000US17,Illinois,17,4884060,3237780,1188980,66040,6140,59900,76365,8990,67375,144595,19700,124895,108595,17475,91120,793385,128685,664705,1457955,129095,10650,118445,156540,16870,139670,267355,33185,234170,172565,25405,147160,732400,94275,638125,590845,58805,5065,53740,68090,7170,60920,101400,12965,88435,63060,8485,54575,299495,42595,256900,1646285,523810,138820,20430,118395,84655,14480,70175,93490,15390,78100,49175,8260,40915,157665,17370,140295,734950,211655,40480,171175,141450,26600,114845,158090,26375,131715,73040,10715,62325,150715,17630,133085,387525,111940,20690,91250,72055,13875,58180,78200,12525,65675,36395,5460,30940,88940,8185,80755,8589,15163,7466,1821,628,1767,2008,726,1869,2980,1007,2716,2387,1128,1949,6353,2123,5562,10469,2773,764,2706,2869,973,2684,3851,1522,3462,3356,1343,3148,6840,2238,5957,5347,1735,551,1666,2111,563,2002,2107,847,1859,2017,497,1924,3472,1700,3112,9441,6311,3187,1253,2735,2331,1030,2130,2548,1218,2402,1925,816,1744,3450,1294,3118,6665,3533,2046,2819,3266,1389,2945,3387,1305,3291,1873,730,1673,2973,1055,2815,5701,2931,1223,2722,2333,941,2060,2572,962,2320,1598,620,1381,2330,643,2322
