source,sumlevel,geoid,name,st,T14A_est1,T14A_est2,T14A_est3,T14A_est4,T14A_est5,T14A_est6,T14A_est7,T14A_est8,T14A_est9,T14A_est10,T14A_est11,T14A_est12,T14A_est13,T14A_est14,T14A_est15,T14A_est16,T14A_est17,T14A_est18,T14A_est19,T14A_moe1,T14A_moe2,T14A_moe3,T14A_moe4,T14A_moe5,T14A_moe6,T14A_moe7,T14A_moe8,T14A_moe9,T14A_moe10,T14A_moe11,T14A_moe12,T14A_moe13,T14A_moe14,T14A_moe15,T14A_moe16,T14A_moe17,T14A_moe18,T14A_moe19
2016thru2020,040,0400000US01,Alabama,01,21865,6425,15440,6290,100,1250,4940,3585,20,480,3085,2255,10,425,1825,3305,175,455,2675,1613,789,1252,669,74,319,624,579,25,242,537,485,14,219,436,563,128,198,553
2016thru2020,040,0400000US02,Alaska,02,2900,525,2375,465,90,250,130,985,20,225,740,335,15,40,280,590,75,155,360,395,161,340,182,66,140,77,246,26,115,230,117,18,44,112,156,42,105,131
2016thru2020,040,0400000US04,Arizona,04,28680,3665,25020,5465,1125,2335,2005,5745,480,1445,3820,3515,90,835,2590,10295,440,2095,7760,1629,584,1527,673,319,423,337,694,228,332,558,568,65,312,453,1013,201,360,887
2016thru2020,040,0400000US05,Arkansas,05,13740,4880,8855,3600,105,990,2510,2345,85,280,1975,890,0,260,630,2025,145,445,1430,1121,595,890,464,66,239,383,454,101,146,427,261,29,140,232,474,128,215,379
2016thru2020,040,0400000US06,California,06,77700,18670,59030,6115,930,2740,2445,5465,255,2080,3135,5690,215,1655,3820,41765,2895,8745,30125,3138,1277,2633,643,240,474,466,560,114,371,410,672,119,374,509,2221,544,977,1721
2016thru2020,040,0400000US08,Colorado,08,13905,1330,12575,1180,45,290,840,2505,165,770,1565,2245,70,805,1370,6650,625,925,5100,1066,281,1006,269,35,119,243,400,101,240,330,427,64,233,336,741,240,200,682
2016thru2020,040,0400000US09,Connecticut,09,14410,1690,12720,3370,290,1365,1715,3160,230,610,2320,1830,120,605,1105,4360,440,615,3305,1151,367,1089,626,160,388,388,445,143,205,397,375,76,220,298,572,161,227,439
2016thru2020,040,0400000US10,Delaware,10,4365,625,3740,775,0,225,550,1285,4,135,1145,535,0,15,520,1145,40,175,935,668,165,611,262,29,157,188,324,10,60,317,215,29,23,213,296,48,113,255
2016thru2020,040,0400000US11,District of Columbia,11,1805,170,1635,65,35,20,10,145,65,80,0,90,15,20,60,1340,260,460,625,356,99,350,63,42,31,16,102,70,72,31,66,24,32,54,310,151,199,198
2016thru2020,040,0400000US12,Florida,12,112115,7010,105105,25770,3295,12790,9685,21665,1545,7500,12620,15815,595,3620,11600,41855,2020,8195,31635,3442,825,3362,1532,477,962,1091,1423,393,852,1129,1360,255,614,1163,2045,415,787,2015
2016thru2020,040,0400000US13,Georgia,13,42060,9145,32915,9405,400,1635,7370,9185,195,1020,7965,4440,90,540,3810,9890,335,1215,8340,2357,971,1992,839,179,405,695,996,115,248,923,671,68,193,643,1033,191,310,1040
2016thru2020,040,0400000US15,Hawaii,15,3385,375,3010,105,65,10,35,230,15,55,160,120,0,90,30,2560,480,655,1425,533,185,516,66,56,13,38,129,17,55,117,97,28,92,27,456,214,203,334
2016thru2020,040,0400000US16,Idaho,16,5465,760,4705,1035,30,335,670,1165,110,75,980,715,0,110,605,1785,20,375,1390,637,255,570,246,31,119,200,265,92,52,278,245,29,103,226,415,22,156,349
2016thru2020,040,0400000US17,Illinois,17,54230,13080,41150,17785,1270,5755,10760,10020,650,2595,6775,3905,390,770,2740,9440,810,2195,6435,2440,896,2140,1230,348,582,922,849,240,421,659,526,232,211,456,871,215,431,699
2016thru2020,040,0400000US18,Indiana,18,24425,6835,17590,9705,430,3200,6080,4105,295,955,2855,1215,150,220,845,2560,180,290,2090,1494,611,1245,915,163,440,730,533,152,272,486,298,124,133,245,434,118,137,411
2016thru2020,040,0400000US19,Iowa,19,12255,2265,9990,5510,285,1675,3550,2380,40,700,1640,730,30,110,585,1370,35,270,1065,843,292,810,559,126,319,416,457,50,210,437,217,37,84,204,259,48,131,229
2016thru2020,040,0400000US20,Kansas,20,12690,4600,8090,4770,150,1710,2910,1800,130,280,1395,635,0,150,485,890,0,40,850,994,562,861,597,73,332,479,385,80,155,342,245,26,100,212,246,26,29,248
2016thru2020,040,0400000US21,Kentucky,21,16905,4690,12220,5495,130,1880,3485,3210,35,430,2745,1145,30,195,920,2370,165,315,1885,1154,536,861,624,113,323,517,432,45,137,419,265,51,122,240,416,103,164,368
2016thru2020,040,0400000US22,Louisiana,22,20275,5530,14745,4515,120,1115,3280,3965,120,485,3355,1395,115,220,1060,4875,215,410,4250,1250,559,1159,687,113,353,536,572,85,195,525,295,83,105,234,670,97,130,663
2016thru2020,040,0400000US23,Maine,23,6250,815,5435,1805,110,685,1010,1465,100,345,1020,785,85,330,370,1380,65,360,950,559,223,493,298,80,185,243,282,89,154,223,251,65,141,171,327,49,160,239
2016thru2020,040,0400000US24,Maryland,24,22025,3165,18855,5715,295,1420,4000,5360,175,1050,4135,2530,100,385,2040,5250,280,795,4180,1296,438,1179,642,149,337,522,649,95,274,599,416,85,138,391,600,151,265,540
2016thru2020,040,0400000US25,Massachusetts,25,15155,1555,13600,1640,125,480,1030,2695,180,820,1695,2265,220,585,1465,7005,830,1660,4515,1010,321,1010,298,108,160,239,445,130,217,359,380,142,211,320,757,278,361,521
2016thru2020,040,0400000US26,Michigan,26,37180,11130,26055,12580,680,4340,7565,6510,300,1595,4615,1970,55,445,1470,4990,300,950,3740,1876,757,1564,841,196,547,689,609,122,309,524,356,51,152,326,561,124,235,497
2016thru2020,040,0400000US27,Minnesota,27,12745,1350,11395,4435,210,1425,2795,3240,140,1035,2065,1220,15,230,980,2500,55,630,1815,843,246,793,491,80,294,391,453,110,277,333,251,17,125,233,325,46,179,273
2016thru2020,040,0400000US28,Mississippi,28,14110,5070,9040,3515,140,925,2445,2135,75,310,1745,920,0,30,895,2470,140,405,1925,1307,672,970,544,104,295,423,463,85,170,425,281,32,46,268,449,123,204,377
2016thru2020,040,0400000US29,Missouri,29,24245,7985,16260,7590,520,2375,4695,3925,155,785,2985,1460,40,260,1155,3290,90,795,2405,1315,686,1008,781,201,404,661,579,78,218,486,337,40,117,317,508,92,257,370
2016thru2020,040,0400000US30,Montana,30,4020,510,3510,1215,105,450,660,855,90,235,530,365,30,110,225,1075,40,270,765,476,161,467,261,66,160,181,262,66,104,213,122,33,67,96,265,28,97,237
2016thru2020,040,0400000US31,Nebraska,31,4840,1010,3830,1855,105,645,1110,995,55,165,770,380,60,85,235,600,95,135,370,512,235,431,269,48,168,235,238,64,92,210,133,59,61,122,176,65,80,143
2016thru2020,040,0400000US32,Nevada,32,11285,1945,9340,1255,165,430,665,2065,65,745,1255,1525,15,510,1000,4495,215,595,3685,1066,412,947,243,101,150,237,391,62,240,336,391,25,219,321,677,87,208,616
2016thru2020,040,0400000US33,New Hampshire,33,3480,270,3210,995,60,300,640,850,35,225,595,430,0,125,305,930,55,270,610,532,129,506,261,63,160,199,248,47,138,194,160,28,93,126,250,49,158,186
2016thru2020,040,0400000US34,New Jersey,34,30960,7045,23915,5090,475,1340,3275,6415,265,1985,4165,2960,70,655,2235,9450,695,1895,6860,1756,706,1540,614,162,303,488,705,153,399,593,500,62,220,433,852,219,388,710
2016thru2020,040,0400000US35,New Mexico,35,10155,1740,8415,1845,60,690,1100,2340,60,230,2050,1315,80,115,1115,2920,150,665,2105,899,338,784,329,55,207,271,429,57,112,402,297,78,62,278,470,87,208,411
2016thru2020,040,0400000US36,New York,36,60965,7965,53000,14285,1340,3690,9255,8830,845,1840,6145,4545,505,910,3130,25340,5425,6810,13105,2162,702,2028,874,298,492,697,719,203,308,658,513,166,245,456,1515,789,719,919
2016thru2020,040,0400000US37,North Carolina,37,41950,7580,34375,9410,270,2875,6265,7935,190,1705,6040,4265,130,780,3355,12765,215,1975,10580,1786,695,1572,813,146,446,677,755,130,362,653,552,65,265,483,1062,108,452,917
2016thru2020,040,0400000US38,North Dakota,38,3675,440,3240,1595,250,535,810,865,10,235,620,400,0,65,335,380,25,135,220,484,178,414,274,169,140,164,311,16,147,264,145,23,79,132,148,32,80,129
2016thru2020,040,0400000US39,Ohio,39,40235,12855,27380,15665,875,5270,9520,6435,200,1460,4780,1370,80,180,1110,3910,30,905,2975,1727,818,1447,964,218,658,809,788,99,341,618,312,84,101,328,579,30,260,487
2016thru2020,040,0400000US40,Oklahoma,40,18070,6650,11420,5605,265,1535,3805,2815,50,265,2500,1105,15,170,920,1895,110,345,1440,802,476,629,393,86,233,333,400,41,101,377,217,18,96,204,303,62,152,245
2016thru2020,040,0400000US41,Oregon,41,11915,1920,9995,1095,15,405,680,1590,70,395,1120,1865,155,370,1345,5445,470,980,4000,1042,393,943,290,19,163,238,351,63,165,299,415,116,162,351,699,152,262,577
2016thru2020,040,0400000US42,Pennsylvania,42,48850,14040,34810,16705,710,4190,11805,8505,460,1625,6415,3400,295,545,2560,6205,460,1165,4575,1895,1030,1593,1069,203,539,845,756,158,333,624,505,106,209,471,706,181,313,539
2016thru2020,040,0400000US44,Rhode Island,44,3690,655,3035,380,55,160,165,970,60,200,710,345,20,120,205,1340,90,410,845,490,192,458,159,72,128,99,258,65,93,222,147,36,86,116,322,75,159,266
2016thru2020,040,0400000US45,South Carolina,45,20915,4185,16730,4485,200,1175,3110,4615,105,665,3845,2025,55,280,1690,5605,260,900,4445,1306,618,1136,508,110,263,451,665,95,207,621,403,50,203,351,604,145,282,533
2016thru2020,040,0400000US46,South Dakota,46,2785,385,2400,1215,120,430,665,490,0,115,375,155,0,0,155,535,25,15,495,370,110,355,223,96,126,155,219,23,100,168,90,23,23,90,227,36,19,227
2016thru2020,040,0400000US47,Tennessee,47,24535,6700,17840,5475,335,1580,3555,4525,30,680,3810,2265,65,260,1940,5575,320,865,4390,1524,751,1259,570,157,305,476,553,45,176,487,459,55,145,417,669,142,272,600
2016thru2020,040,0400000US48,Texas,48,87070,29295,57775,14235,715,3970,9555,15800,750,2075,12975,7265,140,845,6280,20475,770,3055,16655,3388,1792,2589,1160,174,577,972,1149,274,416,1047,820,101,246,803,1457,236,412,1315
2016thru2020,040,0400000US49,Utah,49,6570,975,5590,1065,65,240,760,1405,110,200,1095,690,15,95,580,2430,20,395,2015,638,245,571,251,49,131,226,306,115,101,270,236,15,78,228,399,29,163,375
2016thru2020,040,0400000US50,Vermont,50,2780,130,2645,630,45,225,360,845,20,280,545,410,30,55,325,760,75,155,535,381,74,363,167,28,94,128,200,32,142,184,117,37,34,109,183,47,67,168
2016thru2020,040,0400000US51,Virginia,51,28810,4245,24565,6050,190,1510,4350,7575,260,1270,6050,3295,120,520,2655,7645,205,965,6475,1460,484,1432,654,119,308,540,800,144,273,759,561,94,208,502,767,110,288,765
2016thru2020,040,0400000US53,Washington,53,17435,2035,15400,1845,175,440,1230,3275,55,970,2250,2010,60,295,1650,8275,805,1565,5905,1524,437,1402,316,119,151,260,500,48,269,443,373,48,141,365,983,382,391,799
2016thru2020,040,0400000US54,West Virginia,54,10700,2945,7755,4215,230,1470,2515,1830,35,425,1370,700,0,130,565,1010,65,160,785,856,409,741,555,112,309,397,305,37,142,278,222,29,99,182,282,54,111,247
2016thru2020,040,0400000US55,Wisconsin,55,16515,3000,13515,6000,395,1965,3640,3480,110,1260,2105,1100,25,335,735,2940,210,655,2075,1134,409,980,582,143,339,451,488,69,229,365,204,17,113,170,446,107,224,343
2016thru2020,040,0400000US56,Wyoming,56,2665,320,2340,505,65,155,290,690,30,175,485,475,35,15,430,665,15,210,440,437,120,405,157,45,87,139,218,40,102,208,150,51,17,152,198,23,110,157
2016thru2020,040,0400000US72,Puerto Rico,72,24345,18295,6050,360,25,50,285,720,50,130,540,705,60,70,575,4265,360,620,3285,994,920,574,119,32,42,113,185,65,86,173,182,44,59,168,446,156,193,382
