source,sumlevel,geoid,name,st,T14B_est1,T14B_est2,T14B_est3,T14B_est4,T14B_est5,T14B_est6,T14B_est7,T14B_est8,T14B_est9,T14B_est10,T14B_est11,T14B_est12,T14B_est13,T14B_est14,T14B_est15,T14B_est16,T14B_est17,T14B_est18,T14B_est19,T14B_moe1,T14B_moe2,T14B_moe3,T14B_moe4,T14B_moe5,T14B_moe6,T14B_moe7,T14B_moe8,T14B_moe9,T14B_moe10,T14B_moe11,T14B_moe12,T14B_moe13,T14B_moe14,T14B_moe15,T14B_moe16,T14B_moe17,T14B_moe18,T14B_moe19
2016thru2020,040,0400000US01,Alabama,01,63530,8450,55085,11735,1910,4725,5100,23350,4630,11055,7665,14390,3825,6055,4515,5610,1455,2035,2115,2166,842,2042,944,428,527,560,1510,567,968,819,910,553,667,607,704,347,442,419
2016thru2020,040,0400000US02,Alaska,02,7555,260,7295,395,140,155,100,2810,1320,1135,360,3440,890,1500,1045,650,215,200,240,705,74,698,123,65,83,55,433,343,241,150,465,243,285,250,167,111,86,105
2016thru2020,040,0400000US04,Arizona,04,53205,3345,49865,3995,1190,1510,1295,15825,6500,6200,3125,19940,6610,8245,5085,10105,4215,3010,2880,1954,539,1933,534,348,355,271,874,565,618,464,1193,707,769,666,1102,720,644,468
2016thru2020,040,0400000US05,Arkansas,05,32240,5970,26270,5110,1135,1895,2085,13570,2900,7315,3360,6120,2485,2195,1440,1465,585,640,240,1775,728,1666,630,268,378,352,1069,456,774,501,827,458,499,344,375,199,246,130
2016thru2020,040,0400000US06,California,06,227995,41045,186950,10815,4385,3315,3115,28485,10880,11150,6455,69375,28495,26270,14610,78275,35475,27090,15710,5858,1742,5316,844,540,546,583,1424,900,800,630,2368,1527,1508,1117,3305,2005,1675,1139
2016thru2020,040,0400000US08,Colorado,08,37265,1745,35515,3035,645,1100,1290,7820,2540,3145,2130,15880,6215,6155,3510,8785,3810,3120,1855,2274,379,2142,467,168,325,309,740,416,426,395,1326,877,735,551,850,565,542,368
2016thru2020,040,0400000US09,Connecticut,09,27940,1695,26245,3280,985,1285,1010,11745,3455,5795,2490,7965,3300,3435,1230,3255,1195,1210,850,1332,301,1353,516,256,326,261,914,463,609,370,747,532,475,232,429,272,326,252
2016thru2020,040,0400000US10,Delaware,10,7105,215,6890,590,155,150,285,2310,575,1125,610,3320,1140,1260,925,665,310,95,265,691,120,684,188,86,86,133,370,193,259,206,480,303,374,261,179,126,59,112
2016thru2020,040,0400000US11,District of Columbia,11,12050,645,11405,1430,665,565,200,2405,1195,1145,70,1835,1270,350,215,5735,3675,1365,700,939,184,955,294,233,161,102,359,270,238,48,434,340,155,148,642,532,333,221
2016thru2020,040,0400000US12,Florida,12,242455,9320,233130,12145,3180,4670,4290,42475,8775,20760,12935,102860,27515,49385,25960,75655,27705,31060,16885,5761,984,5717,893,476,539,582,2096,867,1431,1037,3218,1477,2035,2026,3322,1747,1913,1677
2016thru2020,040,0400000US13,Georgia,13,96605,8970,87635,10625,1605,4405,4615,32370,5245,15410,11710,32685,9600,13140,9945,11955,4880,4210,2865,3088,843,2832,858,391,617,526,1572,626,1222,980,1781,983,1132,981,1078,754,657,503
