source,sumlevel,geoid,name,st,T15A_est1,T15A_est2,T15A_est3,T15A_est4,T15A_est5,T15A_est6,T15A_est7,T15A_est8,T15A_est9,T15A_est10,T15A_est11,T15A_est12,T15A_est13,T15A_est14,T15A_est15,T15A_est16,T15A_est17,T15A_est18,T15A_est19,T15A_est20,T15A_est21,T15A_est22,T15A_est23,T15A_est24,T15A_est25,T15A_est26,T15A_est27,T15A_est28,T15A_est29,T15A_est30,T15A_est31,T15A_est32,T15A_est33,T15A_est34,T15A_est35,T15A_est36,T15A_est37,T15A_est38,T15A_est39,T15A_est40,T15A_est41,T15A_est42,T15A_est43,T15A_est44,T15A_est45,T15A_est46,T15A_est47,T15A_est48,T15A_est49,T15A_est50,T15A_est51,T15A_est52,T15A_est53,T15A_est54,T15A_est55,T15A_est56,T15A_est57,T15A_est58,T15A_est59,T15A_est60,T15A_est61,T15A_est62,T15A_est63,T15A_est64,T15A_est65,T15A_est66,T15A_est67,T15A_est68,T15A_est69,T15A_est70,T15A_est71,T15A_est72,T15A_est73,T15A_est74,T15A_est75,T15A_est76,T15A_est77,T15A_est78,T15A_est79,T15A_est80,T15A_est81,T15A_est82,T15A_est83,T15A_est84,T15A_est85,T15A_est86,T15A_est87,T15A_moe1,T15A_moe2,T15A_moe3,T15A_moe4,T15A_moe5,T15A_moe6,T15A_moe7,T15A_moe8,T15A_moe9,T15A_moe10,T15A_moe11,T15A_moe12,T15A_moe13,T15A_moe14,T15A_moe15,T15A_moe16,T15A_moe17,T15A_moe18,T15A_moe19,T15A_moe20,T15A_moe21,T15A_moe22,T15A_moe23,T15A_moe24,T15A_moe25,T15A_moe26,T15A_moe27,T15A_moe28,T15A_moe29,T15A_moe30,T15A_moe31,T15A_moe32,T15A_moe33,T15A_moe34,T15A_moe35,T15A_moe36,T15A_moe37,T15A_moe38,T15A_moe39,T15A_moe40,T15A_moe41,T15A_moe42,T15A_moe43,T15A_moe44,T15A_moe45,T15A_moe46,T15A_moe47,T15A_moe48,T15A_moe49,T15A_moe50,T15A_moe51,T15A_moe52,T15A_moe53,T15A_moe54,T15A_moe55,T15A_moe56,T15A_moe57,T15A_moe58,T15A_moe59,T15A_moe60,T15A_moe61,T15A_moe62,T15A_moe63,T15A_moe64,T15A_moe65,T15A_moe66,T15A_moe67,T15A_moe68,T15A_moe69,T15A_moe70,T15A_moe71,T15A_moe72,T15A_moe73,T15A_moe74,T15A_moe75,T15A_moe76,T15A_moe77,T15A_moe78,T15A_moe79,T15A_moe80,T15A_moe81,T15A_moe82,T15A_moe83,T15A_moe84,T15A_moe85,T15A_moe86,T15A_moe87
2016thru2020,040,0400000US01,Alabama,01,722725,2160,720565,240020,21400,550,3825,17025,27695,925,4440,22325,50865,1085,7505,42270,31290,240,3835,27215,108775,750,11490,96535,228725,8490,280,1505,6705,10295,85,1535,8675,25820,270,2565,22985,25165,110,1880,23175,158955,585,9140,149230,96420,2775,4,295,2475,2945,60,455,2425,6205,145,520,5540,6610,150,465,5995,77890,325,3725,73835,155395,4480,150,895,3440,4095,70,540,3490,8980,190,1095,7695,6280,30,535,5715,131560,585,5060,125910,6818,387,6789,4111,1349,176,503,1227,1333,598,454,1290,1968,354,670,1696,1559,112,394,1466,2309,185,913,2284,3345,961,180,352,870,794,53,313,744,1458,101,443,1411,1308,58,333,1244,3312,166,664,3143,2376,389,15,130,373,443,43,133,438,628,110,166,600,750,113,153,689,2281,125,491,2144,2734,502,112,210,446,501,52,170,461,958,97,319,873,530,35,183,513,2511,161,544,2528
2016thru2020,040,0400000US02,Alaska,02,102195,1215,100980,10620,935,140,265,530,1155,145,395,615,2440,280,975,1185,1725,255,635,835,4365,295,1385,2690,35595,1375,40,455,875,2070,95,455,1520,5555,115,1020,4415,5085,100,1195,3795,21515,255,3670,17590,25250,710,40,80,590,930,100,135,700,2885,85,375,2425,2655,25,435,2200,18070,430,1680,15955,29515,695,245,110,335,950,75,185,695,2235,275,370,1590,2080,135,335,1610,23555,640,2165,20750,1811,271,1807,727,236,88,114,218,201,87,124,139,390,121,216,263,329,143,190,207,421,131,276,346,1300,264,32,147,221,328,53,154,296,554,57,195,497,526,58,304,391,920,118,452,809,1211,196,41,56,178,221,105,61,163,452,59,137,407,391,19,188,306,932,185,296,883,1076,192,180,59,81,278,53,68,259,402,198,130,327,355,61,119,325,1044,193,308,979
2016thru2020,040,0400000US04,Arizona,04,1088570,3830,1084740,130480,14945,975,4130,9840,18365,1230,4910,12225,31000,1365,7480,22155,18460,970,3790,13700,47710,1600,8215,37895,305330,16635,290,3545,12805,25675,530,4900,20245,57660,1290,11180,45190,41690,480,6615,34590,163665,1475,18480,143710,196185,7655,230,1660,5765,9010,115,2145,6750,24425,445,4505,19470,19250,280,2975,15995,135855,850,13390,121615,452750,14115,435,3140,10540,16180,390,3525,12265,32710,625,7000,25085,28065,550,5030,22485,361680,2415,34160,325110,7386,583,7501,3396,1563,375,605,1343,1006,287,436,822,1305,274,662,1150,1309,371,459,1053,1819,295,669,1569,5047,964,126,483,884,1756,150,498,1573,2393,306,895,2081,1709,144,679,1551,3416,303,1163,3181,3344,807,166,370,703,720,68,333,642,1484,182,501,1378,1019,118,329,978,2721,206,1111,2548,5191,1014,176,468,878,1535,141,721,1441,1650,165,674,1370,1292,207,575,1135,4639,409,1283,4202
2016thru2020,040,0400000US05,Arkansas,05,416310,2265,414045,140990,10610,195,2285,8130,15555,695,3540,11320,27770,470,5410,21890,18470,225,3105,15135,68590,695,8830,59065,138440,3725,125,675,2930,5880,270,685,4920,17290,265,2260,14760,14435,130,1360,12945,97110,445,7315,89350,49680,750,65,115,570,1290,30,325,935,3985,60,795,3130,3230,40,475,2715,40425,245,2195,37985,84935,1730,95,350,1285,1865,65,265,1535,4605,220,725,3665,4065,110,430,3525,72670,875,4655,67145,4484,425,4577,3088,913,76,446,784,1054,281,538,821,1151,159,536,1091,1087,119,450,1040,1989,213,663,1817,2650,469,75,238,386,549,117,163,532,984,128,427,962,904,102,254,910,2174,152,564,2206,1763,182,80,62,163,260,35,136,232,501,48,320,447,539,37,224,463,1642,185,382,1571,2379,307,85,103,271,362,46,116,327,542,130,194,483,509,76,169,486,2211,236,515,2168
2016thru2020,040,0400000US06,California,06,5018900,17700,5001200,196430,28065,1940,9285,16840,31920,1525,8795,21600,45970,1550,12725,31695,25015,755,6520,17740,65455,1690,12455,51310,420995,39000,1765,9880,27360,56470,1535,11185,43750,101850,2960,19495,79395,62595,1080,10860,50655,161080,3145,21660,136275,503325,35075,1575,8860,24645,49440,1790,12310,35340,100620,3155,19685,77775,70985,2130,12345,56510,247200,3020,32425,211760,3880450,195485,9360,44125,141995,225110,8735,46275,170100,446590,14230,84900,347460,362420,10360,61225,290840,2650850,44075,322755,2284020,25352,1054,25579,4330,1379,300,702,1111,1365,314,736,1068,1745,272,812,1442,1246,196,673,1023,2104,305,856,1792,5446,1397,283,799,1085,1468,311,639,1486,2192,532,1013,2218,1924,251,722,1721,3243,370,898,3052,6161,1512,269,608,1347,1774,336,852,1476,2557,482,1168,2015,1987,354,891,1924,4354,371,1184,4060,19461,3360,849,1640,2752,3741,724,1441,3276,5319,888,2268,4606,5356,740,1823,4360,18290,2013,4784,16024
2016thru2020,040,0400000US08,Colorado,08,997915,2570,995345,74630,9315,635,2605,6075,12545,745,3560,8235,20145,1255,5215,13670,10030,410,1995,7625,22595,415,4325,17855,204590,13835,875,3720,9240,21005,1060,4890,15055,45230,2095,11110,32020,32855,810,7320,24725,91665,1545,13930,76190,209915,9405,175,1755,7475,14550,370,2950,11225,33270,885,5940,26440,30020,710,4615,24695,122670,1195,11615,109860,506210,16380,700,3300,12380,18900,635,3530,14730,45445,1425,8110,35915,40935,1035,6530,33370,384550,5010,35870,343670,6290,350,6269,2015,628,175,353,590,842,147,420,739,974,206,488,876,806,135,293,695,924,118,515,838,3699,991,257,582,752,1124,207,470,938,1665,424,791,1348,1295,233,726,1111,2123,248,993,1960,3204,868,92,350,704,999,149,511,846,1438,216,566,1330,1253,196,579,1062,2452,216,695,2347,4347,1066,169,519,914,1038,195,398,928,1775,298,726,1465,1373,223,637,1389,3945,586,1400,3579
2016thru2020,040,0400000US09,Connecticut,09,611120,1575,609545,127950,9600,930,3350,5320,15705,940,5250,9515,29055,1145,9990,17920,19080,955,5725,12400,54510,2095,13840,38575,205750,9210,825,2065,6320,13000,965,3010,9025,30405,935,6825,22645,24550,860,5215,18475,128585,1865,17580,109140,104585,3780,65,1135,2575,5290,155,1305,3830,9860,110,2205,7540,8990,175,1455,7360,76660,590,8960,67115,171255,5945,300,980,4665,6845,260,1015,5570,9920,160,2060,7700,8225,310,1080,6840,140325,1265,10120,128940,4457,315,4483,2875,803,229,449,561,999,230,620,721,1309,237,706,1097,1061,255,569,928,1817,405,1075,1461,3290,906,228,375,864,888,350,419,650,1357,218,736,1270,1093,262,460,1074,2556,337,935,2270,2580,559,53,376,431,581,90,280,508,816,65,372,759,830,101,299,733,1883,146,676,1629,2900,580,119,308,537,670,114,226,577,822,62,424,654,639,125,157,630,2567,233,809,2502
2016thru2020,040,0400000US10,Delaware,10,170450,550,169900,23895,2885,75,450,2355,2765,45,745,1975,6275,60,1075,5140,3060,65,435,2565,8915,20,1405,7490,58120,2845,50,485,2310,4865,20,740,4110,9725,105,1280,8340,7720,145,960,6615,32965,230,2350,30385,34060,1405,50,135,1220,1425,25,165,1235,3985,4,235,3750,3245,15,335,2895,24000,70,1095,22840,53825,1985,10,175,1805,1675,20,315,1340,3860,70,505,3285,3235,15,290,2930,43065,210,1960,40900,2754,214,2753,1140,429,56,135,393,445,37,270,343,611,47,232,585,414,56,113,384,757,22,357,594,2011,427,48,154,402,628,26,231,569,748,61,253,742,754,119,247,714,1598,175,316,1495,1224,287,81,87,258,314,31,77,313,610,8,146,594,515,25,283,443,1102,52,277,1046,1865,405,10,89,400,381,23,233,318,504,52,324,385,400,32,117,378,1575,106,329,1563
2016thru2020,040,0400000US11,District of Columbia,11,92060,205,91855,3955,780,180,115,485,375,25,135,215,540,155,180,205,505,135,140,230,1755,215,490,1050,3710,505,125,190,190,585,80,90,415,560,90,120,350,620,110,200,310,1435,185,520,735,7760,960,80,345,535,535,60,145,330,1055,85,240,730,855,105,205,550,4350,1050,980,2320,76430,3655,760,875,2015,2515,235,485,1795,2365,345,420,1600,3755,735,615,2405,64145,9515,14765,39860,2014,129,1995,425,213,113,81,128,155,28,106,121,205,147,100,96,182,111,105,89,283,113,150,236,441,125,80,69,72,182,58,56,151,186,107,55,161,184,67,90,135,241,78,156,187,861,282,59,193,257,128,60,70,94,350,59,109,319,189,58,93,173,761,356,388,422,1817,536,385,214,353,458,97,161,388,383,140,197,278,437,236,155,382,1643,877,974,1321
2016thru2020,040,0400000US12,Florida,12,2962080,9485,2952595,464110,52105,4400,18285,29420,69205,3860,22315,43035,112335,4705,34805,72825,64300,2180,16835,45285,166165,4300,39530,122330,812280,52980,2090,15220,35670,71920,2190,19470,50255,154895,3070,37905,113920,111020,1545,24385,85090,421465,4470,71240,345750,540555,25960,1190,5485,19285,32645,865,6300,25475,72425,1210,12905,58310,58895,875,8950,49070,350630,2280,40180,308170,1135655,41415,1835,9455,30130,45450,1840,9940,33670,94150,2395,17630,74125,79720,1705,13330,64680,874915,10280,95715,768920,20240,1041,20255,6319,1987,563,1254,1390,1821,688,1275,1458,2695,549,1495,2243,2194,350,857,1952,3714,477,1583,3125,8083,2153,453,980,1771,2483,404,1222,2140,3596,523,1676,3324,2698,306,1542,2383,5572,724,2132,4877,6753,1773,736,732,1396,1813,268,695,1703,2369,239,1112,2133,2507,421,740,2466,5570,449,1704,5338,11333,1884,444,1014,1568,1994,449,1023,1596,3713,455,1521,3178,2703,422,1088,2314,10368,1097,2510,9925
