source,sumlevel,geoid,name,st,T15B_est1,T15B_est2,T15B_est3,T15B_est4,T15B_est5,T15B_est6,T15B_est7,T15B_est8,T15B_est9,T15B_est10,T15B_est11,T15B_est12,T15B_est13,T15B_est14,T15B_est15,T15B_est16,T15B_est17,T15B_est18,T15B_est19,T15B_est20,T15B_est21,T15B_est22,T15B_est23,T15B_est24,T15B_est25,T15B_est26,T15B_est27,T15B_est28,T15B_est29,T15B_est30,T15B_est31,T15B_est32,T15B_est33,T15B_est34,T15B_est35,T15B_est36,T15B_est37,T15B_est38,T15B_est39,T15B_est40,T15B_est41,T15B_est42,T15B_est43,T15B_est44,T15B_est45,T15B_est46,T15B_est47,T15B_est48,T15B_est49,T15B_est50,T15B_est51,T15B_est52,T15B_est53,T15B_est54,T15B_est55,T15B_est56,T15B_est57,T15B_est58,T15B_est59,T15B_est60,T15B_est61,T15B_est62,T15B_est63,T15B_est64,T15B_est65,T15B_est66,T15B_est67,T15B_est68,T15B_est69,T15B_est70,T15B_est71,T15B_est72,T15B_est73,T15B_est74,T15B_est75,T15B_est76,T15B_est77,T15B_est78,T15B_est79,T15B_est80,T15B_est81,T15B_est82,T15B_est83,T15B_est84,T15B_est85,T15B_est86,T15B_est87,T15B_moe1,T15B_moe2,T15B_moe3,T15B_moe4,T15B_moe5,T15B_moe6,T15B_moe7,T15B_moe8,T15B_moe9,T15B_moe10,T15B_moe11,T15B_moe12,T15B_moe13,T15B_moe14,T15B_moe15,T15B_moe16,T15B_moe17,T15B_moe18,T15B_moe19,T15B_moe20,T15B_moe21,T15B_moe22,T15B_moe23,T15B_moe24,T15B_moe25,T15B_moe26,T15B_moe27,T15B_moe28,T15B_moe29,T15B_moe30,T15B_moe31,T15B_moe32,T15B_moe33,T15B_moe34,T15B_moe35,T15B_moe36,T15B_moe37,T15B_moe38,T15B_moe39,T15B_moe40,T15B_moe41,T15B_moe42,T15B_moe43,T15B_moe44,T15B_moe45,T15B_moe46,T15B_moe47,T15B_moe48,T15B_moe49,T15B_moe50,T15B_moe51,T15B_moe52,T15B_moe53,T15B_moe54,T15B_moe55,T15B_moe56,T15B_moe57,T15B_moe58,T15B_moe59,T15B_moe60,T15B_moe61,T15B_moe62,T15B_moe63,T15B_moe64,T15B_moe65,T15B_moe66,T15B_moe67,T15B_moe68,T15B_moe69,T15B_moe70,T15B_moe71,T15B_moe72,T15B_moe73,T15B_moe74,T15B_moe75,T15B_moe76,T15B_moe77,T15B_moe78,T15B_moe79,T15B_moe80,T15B_moe81,T15B_moe82,T15B_moe83,T15B_moe84,T15B_moe85,T15B_moe86,T15B_moe87
2016thru2020,040,0400000US01,Alabama,01,583780,5010,578770,293220,52320,2420,15805,34095,54210,1420,14485,38300,65015,1320,15210,48485,32910,505,6780,25620,88765,1305,15490,71975,123160,10950,270,2105,8570,14265,260,3225,10775,22155,310,3460,18385,14550,220,1655,12670,61240,465,6880,53895,57705,4235,240,670,3325,4600,145,765,3690,9985,150,1405,8425,6320,35,620,5665,32570,245,2465,29860,104685,6740,405,1440,4895,7525,330,1470,5730,12525,430,2055,10045,8505,270,1060,7180,69380,575,5530,63275,5803,631,5602,3903,1665,461,882,1516,1694,332,877,1405,2157,250,1000,1850,1340,167,631,1086,2464,225,1042,2259,2972,757,94,358,733,1015,113,688,807,1215,128,454,1177,917,116,269,868,1949,128,710,2031,1719,558,176,149,532,526,100,203,504,762,103,240,746,657,39,179,641,1351,136,266,1382,2593,639,147,255,562,694,113,292,599,1042,146,462,910,784,144,189,766,2122,156,568,2023
2016thru2020,040,0400000US02,Alaska,02,63180,5160,58025,16675,3335,585,1185,1565,3285,485,1045,1755,3770,500,990,2280,1695,235,590,870,4590,435,1310,2850,14905,1440,115,485,840,1940,170,485,1285,3195,185,1295,1720,1855,95,555,1205,6475,270,1265,4945,10770,825,30,235,555,995,90,270,635,1695,115,405,1175,1235,65,160,1015,6020,370,930,4715,15670,1000,140,305,555,1120,165,255,700,1925,185,560,1185,1720,95,480,1150,9900,565,1765,7570,1488,353,1425,720,371,147,203,237,360,197,201,284,421,138,214,310,213,96,123,162,367,150,248,317,869,244,47,176,152,368,61,118,324,447,75,366,255,377,59,224,300,592,92,250,513,689,205,20,121,180,250,57,109,224,253,70,138,200,254,58,112,223,515,144,213,492,848,218,58,129,162,184,69,94,168,247,83,138,222,315,60,149,259,685,151,333,625
2016thru2020,040,0400000US04,Arizona,04,638605,10950,627655,190490,39080,8330,15860,14895,37235,6240,15600,15395,44170,6980,16935,20255,20260,3335,7800,9125,49745,8095,15540,26110,130700,15340,1090,5070,9175,18635,900,6405,11335,27215,1155,7075,18985,16090,575,3965,11545,53425,2410,11040,39980,77515,6120,380,2265,3475,8035,250,2930,4855,14440,470,4405,9565,9045,350,2860,5835,39875,1105,9105,29670,228950,18215,920,5405,11890,17250,485,5965,10800,31190,995,9670,20525,19545,635,5235,13670,142750,2285,28180,112290,5642,664,5644,2939,1764,888,1080,1028,1403,732,935,905,1569,551,1092,986,1045,363,632,824,1594,575,1015,1151,2550,1021,249,440,862,1004,257,673,797,1051,397,566,1086,1113,145,498,918,1949,445,784,1547,2120,542,116,322,429,608,77,381,500,1195,121,602,1059,577,144,363,451,1722,404,762,1466,3438,1074,224,542,926,1105,146,738,791,1348,260,830,1091,1110,211,469,951,2944,415,1215,2613
2016thru2020,040,0400000US05,Arkansas,05,354170,3790,350375,173285,24560,1705,8440,14415,30860,1245,9940,19680,39145,1330,11605,26210,19510,520,4620,14370,59205,1215,13115,44875,84165,6535,330,1750,4455,9295,290,2735,6275,16410,340,3740,12330,9225,190,1785,7245,42695,630,5540,36525,30815,1820,140,340,1340,2635,200,745,1690,4425,60,1035,3330,2955,35,690,2225,18980,315,2575,16095,62110,3245,230,825,2190,4880,340,1260,3285,7835,420,1645,5770,4385,65,985,3335,41765,920,5155,35685,4227,521,4176,3033,1096,299,565,914,1378,234,832,994,1249,240,787,1018,1108,150,491,966,1629,214,995,1476,2272,674,144,369,504,830,104,589,590,1165,125,687,784,755,103,345,653,1498,157,512,1351,1480,327,107,106,270,388,240,194,295,433,47,239,406,405,31,169,360,1168,140,370,1084,2011,410,108,179,352,619,125,251,513,728,133,301,640,518,38,268,421,1474,234,546,1399
2016thru2020,040,0400000US06,California,06,2222420,14010,2208410,325965,86710,13405,43990,29310,75115,8405,37375,29335,74045,6640,32960,34450,30100,2500,12805,14795,59995,4335,22050,33610,213750,42630,3105,14070,25455,39735,2150,12010,25580,47000,1830,12785,32385,23910,660,4940,18310,60475,1475,13005,45995,185915,30665,2075,9150,19435,29935,1420,8190,20325,38775,1440,9360,27975,21470,620,5000,15850,65070,1620,11775,51675,1482780,199970,11650,52980,135345,180525,8240,43335,128950,249460,8825,54110,186525,147025,5105,28220,113700,705795,16715,103230,585850,15981,850,15914,4071,2316,914,1582,1503,2094,646,1605,1327,2086,631,1513,1401,1406,412,1003,798,1855,484,1175,1440,4254,1665,380,966,1216,1853,365,981,1389,1805,313,886,1529,1086,131,490,966,1736,233,793,1495,3662,1353,353,908,1086,1352,344,725,1012,1383,250,767,1137,1147,160,599,976,2016,303,941,1690,11444,3337,846,1885,2683,3007,779,1503,2513,4318,798,1754,3388,2725,544,1280,2481,7605,1080,2404,6603
2016thru2020,040,0400000US08,Colorado,08,417410,2700,414710,75525,18485,1480,7895,9110,16280,945,5940,9390,18870,1380,5990,11500,7775,355,2170,5250,14115,655,3550,9910,76160,12260,950,3995,7315,13490,705,4225,8565,16900,435,4535,11935,9285,205,2085,6995,24225,420,4005,19800,67250,9205,295,2800,6110,9190,160,2195,6835,14090,445,2680,10965,8575,235,1360,6980,26190,255,3010,22920,195775,17010,1110,4135,11760,17945,1175,4470,12300,29970,935,6220,22815,20120,675,4465,14980,110730,1445,13525,95760,4372,445,4360,1967,1112,234,667,839,940,185,584,769,1126,341,570,809,791,120,276,683,735,182,387,608,1850,684,203,393,607,913,275,406,668,746,146,461,582,643,94,407,516,1145,158,425,1064,1869,849,117,543,656,782,125,340,663,904,201,391,783,655,108,267,586,991,128,349,939,2960,1040,257,465,880,1020,412,485,826,1128,171,481,1062,1077,223,548,925,2707,218,818,2476
2016thru2020,040,0400000US09,Connecticut,09,304285,1295,302995,76305,14480,1530,6085,6865,14020,1145,5750,7125,18480,1205,6685,10585,9190,495,3135,5560,20130,850,6220,13060,94310,10770,790,3120,6860,12750,840,2800,9115,19170,680,4420,14070,11655,630,2320,8705,39970,1135,6665,32175,49850,4425,255,1675,2495,5875,200,1765,3905,7810,330,2130,5350,5415,260,1490,3665,26320,320,4215,21785,82530,7280,780,1940,4560,6825,380,1935,4515,9305,305,2345,6655,6665,285,1165,5215,52455,1170,5915,45370,3236,233,3230,2056,1128,260,499,831,899,206,617,685,932,265,606,737,875,196,511,700,1230,215,689,890,2200,749,198,445,704,850,237,382,699,1119,170,492,966,782,193,343,594,1531,389,627,1314,1560,514,95,327,359,555,94,325,490,650,126,408,500,521,129,275,376,1162,132,460,1037,2094,548,195,348,405,497,111,283,388,775,103,379,571,677,112,243,622,1683,493,568,1351
2016thru2020,040,0400000US10,Delaware,10,94465,320,94145,23775,4620,250,1275,3095,4625,85,1885,2660,6020,135,1560,4325,2755,155,710,1895,5750,210,965,4575,25550,3350,75,850,2425,4050,110,815,3125,5625,75,1130,4420,2800,15,525,2260,9730,95,1050,8585,14390,1270,0,175,1095,1315,20,290,1005,2600,10,370,2220,1845,0,110,1735,7355,20,540,6795,30435,2885,85,580,2220,2440,15,330,2095,4660,40,755,3865,2225,20,400,1805,18225,105,1475,16650,2222,101,2219,1199,534,108,266,426,579,92,466,361,563,75,264,484,467,131,216,399,561,95,216,533,1483,427,53,223,385,543,75,239,443,587,52,351,538,336,24,163,291,823,65,295,716,976,313,29,109,291,264,24,139,214,363,12,146,340,398,29,55,390,596,26,142,582,1292,552,58,240,464,389,14,115,385,665,28,240,648,286,31,139,271,1045,75,274,1017
2016thru2020,040,0400000US11,District of Columbia,11,30590,415,30170,2450,665,105,190,370,505,90,105,315,355,65,80,210,145,0,40,105,780,160,190,430,2035,370,40,170,165,520,130,120,270,170,10,100,60,280,30,135,115,695,90,75,530,2555,630,120,110,400,345,100,80,165,310,0,35,280,335,145,10,180,935,140,160,635,23135,2970,580,750,1640,1815,340,255,1220,1625,175,395,1055,1900,290,340,1270,14825,2200,3120,9510,1362,426,1260,339,203,86,98,150,153,51,62,131,117,77,46,93,77,31,35,60,204,85,92,151,472,130,42,80,98,247,96,88,211,74,15,60,40,142,41,120,58,369,61,54,363,425,214,74,65,187,122,74,66,76,113,31,36,107,155,139,13,79,296,84,81,282,1007,396,249,285,283,280,121,77,218,347,101,219,266,333,182,142,234,787,384,393,730
2016thru2020,040,0400000US12,Florida,12,2288800,13950,2274845,707350,143645,20565,72245,50835,143260,16185,71455,55620,169560,16265,81005,72290,76230,5890,34745,35595,174655,12950,73355,88350,499075,69900,4825,29135,35940,72800,3915,28780,40105,108265,4320,39100,64845,59775,1915,21160,36700,188335,5225,55850,127260,297125,31815,1500,9820,20495,36730,1090,11090,24555,54200,1385,16220,36595,32270,665,8825,22785,142115,2520,29805,109790,771295,66720,5160,21040,40520,60680,2750,18495,39435,100735,4360,26690,69680,65215,2205,15015,47995,477945,10395,91940,375615,15830,827,15623,7582,3182,1117,2321,1694,3684,1265,2286,2135,3361,909,2563,1912,1957,614,1431,1433,3605,902,2198,2593,6621,2391,648,1397,1778,2230,626,1440,1543,3118,553,1972,2091,1856,320,1199,1438,3628,526,2060,2635,5093,1601,287,723,1448,2088,305,1384,1671,2032,367,1167,1573,1696,211,1034,1418,3706,466,1476,3355,7659,2483,939,1282,1683,2120,364,1295,1811,2760,680,1268,2283,2207,572,1045,1872,6157,805,2132,5456
