source,sumlevel,geoid,name,st,T15C_est1,T15C_est2,T15C_est3,T15C_est4,T15C_est5,T15C_est6,T15C_est7,T15C_est8,T15C_est9,T15C_est10,T15C_est11,T15C_est12,T15C_est13,T15C_est14,T15C_est15,T15C_est16,T15C_est17,T15C_est18,T15C_est19,T15C_est20,T15C_est21,T15C_est22,T15C_est23,T15C_est24,T15C_est25,T15C_est26,T15C_est27,T15C_est28,T15C_est29,T15C_est30,T15C_est31,T15C_est32,T15C_est33,T15C_est34,T15C_est35,T15C_est36,T15C_est37,T15C_est38,T15C_est39,T15C_est40,T15C_est41,T15C_est42,T15C_est43,T15C_est44,T15C_est45,T15C_est46,T15C_est47,T15C_est48,T15C_est49,T15C_est50,T15C_est51,T15C_est52,T15C_est53,T15C_est54,T15C_est55,T15C_est56,T15C_est57,T15C_est58,T15C_est59,T15C_est60,T15C_est61,T15C_est62,T15C_est63,T15C_est64,T15C_est65,T15C_est66,T15C_est67,T15C_est68,T15C_est69,T15C_est70,T15C_est71,T15C_est72,T15C_est73,T15C_est74,T15C_est75,T15C_est76,T15C_est77,T15C_est78,T15C_est79,T15C_est80,T15C_est81,T15C_est82,T15C_est83,T15C_est84,T15C_est85,T15C_est86,T15C_est87,T15C_moe1,T15C_moe2,T15C_moe3,T15C_moe4,T15C_moe5,T15C_moe6,T15C_moe7,T15C_moe8,T15C_moe9,T15C_moe10,T15C_moe11,T15C_moe12,T15C_moe13,T15C_moe14,T15C_moe15,T15C_moe16,T15C_moe17,T15C_moe18,T15C_moe19,T15C_moe20,T15C_moe21,T15C_moe22,T15C_moe23,T15C_moe24,T15C_moe25,T15C_moe26,T15C_moe27,T15C_moe28,T15C_moe29,T15C_moe30,T15C_moe31,T15C_moe32,T15C_moe33,T15C_moe34,T15C_moe35,T15C_moe36,T15C_moe37,T15C_moe38,T15C_moe39,T15C_moe40,T15C_moe41,T15C_moe42,T15C_moe43,T15C_moe44,T15C_moe45,T15C_moe46,T15C_moe47,T15C_moe48,T15C_moe49,T15C_moe50,T15C_moe51,T15C_moe52,T15C_moe53,T15C_moe54,T15C_moe55,T15C_moe56,T15C_moe57,T15C_moe58,T15C_moe59,T15C_moe60,T15C_moe61,T15C_moe62,T15C_moe63,T15C_moe64,T15C_moe65,T15C_moe66,T15C_moe67,T15C_moe68,T15C_moe69,T15C_moe70,T15C_moe71,T15C_moe72,T15C_moe73,T15C_moe74,T15C_moe75,T15C_moe76,T15C_moe77,T15C_moe78,T15C_moe79,T15C_moe80,T15C_moe81,T15C_moe82,T15C_moe83,T15C_moe84,T15C_moe85,T15C_moe86,T15C_moe87
2016thru2020,040,0400000US01,Alabama,01,582000,9005,572995,120210,56060,16235,20245,19585,24210,4355,8945,10910,18955,2100,5845,11010,6845,555,2145,4140,14135,880,3880,9375,185895,52930,12555,21505,18870,45555,10495,19365,15695,42000,6800,18565,16635,15755,1950,6510,7295,29655,3270,11230,15150,222830,40560,9455,15315,15790,33870,6710,14060,13100,50585,9920,20200,20465,26695,4555,10005,12140,71120,8950,28005,34165,44060,5780,1745,1770,2270,3665,985,1330,1355,5350,1505,1705,2135,3880,1130,1165,1585,25380,4040,7530,13810,5960,869,5868,2595,1912,1069,1198,1116,1241,519,791,913,1064,343,637,834,617,212,438,504,990,206,465,775,3655,2023,854,1430,1137,1712,994,1123,881,1570,737,1191,969,1119,407,673,750,1404,490,896,992,3528,1775,977,932,1219,1989,793,1120,1006,1799,1014,1247,1344,1437,663,889,993,1832,927,1298,1406,2204,699,383,408,401,503,265,335,293,751,417,475,369,542,343,243,318,1637,791,785,1046
2016thru2020,040,0400000US02,Alaska,02,89795,4400,85395,12660,5315,2400,1530,1385,2180,650,630,900,2105,335,695,1070,820,140,150,530,2245,440,645,1155,20600,4670,1905,1825,940,5190,2030,2250,905,5335,1945,2445,945,2235,640,970,625,3180,765,1295,1120,39220,4500,1660,1635,1205,5715,1625,2315,1775,10500,2240,4965,3295,6485,1140,2865,2480,12025,2420,5000,4610,12910,570,120,185,265,1220,170,270,780,2500,285,455,1760,1665,170,335,1155,6955,580,1850,4530,1818,485,1832,861,563,349,341,238,341,218,147,222,327,91,210,237,196,58,54,166,311,147,112,233,1038,468,285,351,250,582,348,385,275,567,339,406,226,431,195,266,223,389,203,226,244,1477,467,253,246,254,549,329,384,348,899,339,595,586,629,294,435,369,727,447,490,462,899,158,85,93,96,232,105,104,214,489,94,170,400,247,72,131,192,641,174,326,554
2016thru2020,040,0400000US04,Arizona,04,916255,16195,900060,83250,36325,13620,10490,12220,14820,3570,4520,6730,12965,2165,3550,7250,5780,870,1415,3490,13360,1655,3905,7800,168050,48620,20880,17130,10605,41445,15790,15940,9715,40185,11240,16750,12200,14665,3445,5910,5310,23135,4530,9020,9585,465650,69520,26140,24675,18705,72265,24550,26310,21405,120210,35325,45685,39205,61665,16145,23360,22160,141985,26405,50565,65010,183110,18100,7530,5095,5475,15135,5360,4630,5145,29570,8995,9795,10780,21770,5725,6850,9200,98530,19425,30105,49000,6466,1220,6364,2377,1375,961,823,842,1018,526,687,678,1001,422,479,728,671,255,348,512,1051,417,558,729,3067,1665,1267,975,895,1835,1210,1053,793,1598,886,1179,821,1047,560,724,617,1133,552,773,875,6390,2102,1427,1361,1329,1972,1548,1291,1402,3626,1843,2057,2350,2206,1279,1505,1254,3493,1926,2103,2069,3976,1216,879,578,700,1161,697,494,840,1665,845,1057,1002,1405,775,830,968,2661,1600,1593,1974
2016thru2020,040,0400000US05,Arkansas,05,400065,7690,392380,68680,28540,10185,9970,8385,14285,3955,4840,5490,10955,2025,3500,5430,4625,605,1580,2440,10270,730,2965,6570,130615,31010,9335,13735,7940,31700,8610,14675,8415,32340,6235,15315,10795,13345,2235,6060,5045,22220,2660,9190,10375,167210,25585,6525,10725,8330,25990,5270,10360,10365,38270,7525,16515,14230,22075,3410,9255,9415,55290,7040,20920,27325,25875,2725,1005,735,985,2545,940,715,890,3335,810,1140,1385,2510,435,845,1230,14765,2090,3805,8865,4589,759,4642,1932,1490,744,822,1016,984,503,539,717,881,405,505,633,484,249,337,374,757,191,404,609,2778,1486,830,1069,709,1621,803,1099,887,1466,615,1070,866,1025,521,701,607,1336,432,821,963,3110,1288,611,881,775,1443,703,732,1032,1647,895,1118,941,1209,483,878,786,2066,811,1270,1506,1719,473,287,220,358,476,294,240,237,648,264,363,345,448,163,273,316,1301,402,607,1191
2016thru2020,040,0400000US06,California,06,5861795,139175,5722620,567475,337170,174140,90855,72175,85775,23845,29225,32705,61945,12255,21300,28390,24370,4180,7955,12235,58215,7565,17035,33615,966660,360580,167570,129645,63365,246335,93750,97655,54930,193260,63370,79215,50670,66005,18725,26455,20825,100485,24625,38025,37835,2472680,540415,214710,224595,101110,500520,167340,222385,110795,613745,192485,262155,159100,281500,80670,118920,81915,536500,136450,210570,189475,1715805,187385,77965,65480,43940,157440,53515,56845,47080,288510,92160,104055,92295,200720,61570,74145,65005,881750,243260,316660,321825,20326,3393,20606,6116,4619,3220,2580,2285,2207,1430,1378,1259,1977,894,1282,1351,1256,571,701,986,1945,777,1090,1519,7379,4859,3350,2823,1966,3376,2470,2583,1800,3951,1715,2347,1813,2453,1085,1422,1204,2343,1214,1601,1461,12055,6347,3695,4404,3017,6225,2881,4216,2996,5858,3247,3360,4082,4528,2290,3307,2200,5389,3025,4053,3268,11035,3710,2390,1977,1678,3872,1955,2175,1961,5223,3066,2638,2828,3848,2276,2556,2138,8261,3761,5186,5664
2016thru2020,040,0400000US08,Colorado,08,722080,12955,709120,76495,41965,20245,12275,9445,13005,3785,4370,4855,10445,1500,2990,5955,3800,640,1285,1875,7280,1265,1595,4415,156385,45470,17515,18545,9410,42140,14405,18430,9310,38010,11895,15635,10480,12435,2820,5050,4560,18330,3760,7495,7080,354885,58540,21385,23740,13415,61570,22245,24545,14785,95050,32355,37430,25265,51385,15165,19505,16720,88335,19360,35090,33885,121355,12040,5380,3550,3110,10770,3985,3795,2990,20970,7785,7365,5820,15280,5040,4625,5615,62290,17240,21765,23285,6562,1084,6429,2106,1588,941,1056,819,817,426,586,574,810,409,389,607,619,294,369,338,648,336,288,456,3258,1629,972,1160,868,1816,965,1001,825,1541,811,1016,702,924,388,456,599,990,439,710,640,4488,2218,1197,1553,955,1819,1048,1387,984,2496,1601,1960,1354,1799,987,1177,1095,2307,1048,1427,1552,2711,1014,670,449,403,907,518,499,452,1211,880,707,565,998,577,560,543,1944,1080,1111,1234
2016thru2020,040,0400000US09,Connecticut,09,470030,7590,462440,83115,53940,30610,13710,9625,12085,4295,3895,3900,7570,1715,3220,2635,3030,500,1005,1525,6485,1090,1840,3555,144670,44795,18510,16630,9655,37360,13480,15075,8805,31775,10020,13965,7795,12075,2685,5595,3795,18665,4710,8085,5870,182950,41330,14630,16330,10375,33920,10525,13695,9700,42445,13720,19200,9520,21935,7265,10110,4560,43320,10270,21940,11110,51700,6910,3155,2035,1720,4855,2150,1285,1420,5990,2650,1890,1450,5035,1895,2075,1065,28910,9345,11640,7925,4548,685,4488,2354,1874,1593,1097,924,855,488,428,634,842,324,673,422,478,163,346,302,577,231,283,465,3235,1603,1125,1104,765,1568,955,1178,788,1546,771,941,753,960,391,544,518,1420,750,854,605,3293,1509,1009,1208,870,1479,922,925,965,1815,1021,1287,808,1357,1041,847,495,1589,740,1299,825,1543,652,460,395,416,644,336,318,333,626,450,309,317,640,395,414,281,1225,815,790,572
2016thru2020,040,0400000US10,Delaware,10,106040,1195,104840,13170,6950,3020,1840,2095,2405,700,730,975,1735,325,495,920,745,95,180,470,1330,155,130,1050,25705,7750,1875,3420,2455,6475,2030,2465,1980,5780,1395,2470,1915,2350,250,815,1285,3345,455,1130,1760,53955,8335,2435,3695,2205,9030,2720,3810,2495,13425,3160,5955,4305,6845,1750,2425,2670,16320,2925,6795,6605,12015,1770,560,405,805,1120,190,390,540,2145,380,595,1170,1225,260,455,510,5755,1000,1695,3060,2163,353,2204,968,637,410,310,395,404,217,213,231,342,150,162,259,193,60,104,145,246,77,80,234,1282,862,336,651,391,766,419,434,416,747,388,446,441,449,97,255,336,498,169,292,400,1937,854,468,524,392,890,584,734,392,1286,579,799,613,896,434,331,622,1206,564,791,748,896,415,297,165,211,281,116,151,213,398,140,172,309,284,140,177,168,626,308,330,426
2016thru2020,040,0400000US11,District of Columbia,11,165660,1430,164225,29615,20925,10975,6150,3800,3115,1305,1005,810,1615,570,475,570,905,145,275,490,3055,850,1050,1155,34760,12970,6555,5060,1355,8135,4030,3310,795,5575,3315,1755,505,2805,1335,980,485,5275,2195,1825,1250,26070,7230,4145,2050,1035,4925,3240,1500,190,4115,2780,850,485,3725,2315,1165,245,6070,3310,1925,840,73780,7815,5730,1330,755,4270,3065,575,630,4330,2965,900,470,6540,5080,980,485,50825,30760,13305,6760,2395,285,2445,1505,1297,1013,654,463,418,268,249,246,342,209,148,212,299,69,220,194,543,231,381,242,1709,943,785,594,313,810,602,573,186,779,529,565,211,458,340,259,175,642,427,408,296,1435,649,478,358,290,589,491,369,99,765,559,391,276,630,425,459,143,550,421,285,187,2136,620,512,287,206,747,643,169,261,513,413,230,229,624,596,221,143,1712,1386,1045,676
2016thru2020,040,0400000US12,Florida,12,2680435,42915,2637520,235990,120350,51995,36935,31420,39825,9560,13990,16275,32805,5045,11990,15770,12575,1430,4490,6655,30435,3095,9650,17690,340575,111795,36600,46060,29135,86840,23645,37450,25740,75585,16070,33270,26245,27095,4015,11500,11580,39255,5420,15385,18455,1284795,241860,82320,103160,56380,253755,72110,110355,71290,340000,84290,153075,102635,159035,35795,70210,53030,290140,46750,126795,116600,776160,85835,29390,31150,25295,81380,24200,32085,25090,145740,42335,54745,48660,91640,25580,33660,32405,371565,76145,140765,154655,14277,1983,14209,4137,2819,2047,1614,1371,1710,870,1089,1048,1858,781,1062,1088,930,266,590,677,1484,570,912,996,5554,3373,1766,2419,1549,2636,1184,1563,1503,2792,1078,1734,1673,1526,556,1058,1030,1811,720,1126,1249,9871,4402,2368,2785,1865,4087,2012,3149,2687,5503,2552,3489,3268,3737,1852,2443,2150,5316,2087,3337,3499,7639,2884,1865,1864,1479,2620,1363,1683,1736,4003,2178,2193,2771,3018,1362,1814,2034,5392,2578,3449,3431
