source,sumlevel,geoid,name,st,T16_est1,T16_est2,T16_est3,T16_est4,T16_est5,T16_est6,T16_est7,T16_est8,T16_est9,T16_est10,T16_est11,T16_est12,T16_est13,T16_est14,T16_est15,T16_est16,T16_est17,T16_est18,T16_est19,T16_est20,T16_est21,T16_est22,T16_est23,T16_est24,T16_est25,T16_est26,T16_est27,T16_est28,T16_est29,T16_est30,T16_est31,T16_est32,T16_est33,T16_est34,T16_est35,T16_est36,T16_est37,T16_est38,T16_est39,T16_est40,T16_est41,T16_est42,T16_est43,T16_est44,T16_est45,T16_est46,T16_est47,T16_est48,T16_est49,T16_est50,T16_est51,T16_est52,T16_est53,T16_est54,T16_est55,T16_est56,T16_est57,T16_est58,T16_est59,T16_est60,T16_est61,T16_est62,T16_est63,T16_est64,T16_est65,T16_est66,T16_est67,T16_est68,T16_est69,T16_est70,T16_est71,T16_est72,T16_est73,T16_est74,T16_est75,T16_est76,T16_est77,T16_est78,T16_est79,T16_est80,T16_est81,T16_est82,T16_est83,T16_est84,T16_est85,T16_est86,T16_est87,T16_est88,T16_est89,T16_est90,T16_est91,T16_est92,T16_est93,T16_est94,T16_est95,T16_est96,T16_est97,T16_est98,T16_est99,T16_est100,T16_est101,T16_est102,T16_est103,T16_est104,T16_est105,T16_est106,T16_est107,T16_est108,T16_est109,T16_est110,T16_est111,T16_est112,T16_est113,T16_est114,T16_est115,T16_est116,T16_est117,T16_est118,T16_est119,T16_est120,T16_est121,T16_est122,T16_est123,T16_est124,T16_est125,T16_est126,T16_est127,T16_est128,T16_est129,T16_est130,T16_est131,T16_est132,T16_est133,T16_est134,T16_est135,T16_est136,T16_est137,T16_est138,T16_est139,T16_est140,T16_est141,T16_est142,T16_est143,T16_est144,T16_est145,T16_est146,T16_est147,T16_est148,T16_est149,T16_est150,T16_est151,T16_est152,T16_est153,T16_est154,T16_est155,T16_est156,T16_est157,T16_est158,T16_est159,T16_est160,T16_est161,T16_est162,T16_est163,T16_est164,T16_est165,T16_est166,T16_est167,T16_est168,T16_est169,T16_est170,T16_est171,T16_moe1,T16_moe2,T16_moe3,T16_moe4,T16_moe5,T16_moe6,T16_moe7,T16_moe8,T16_moe9,T16_moe10,T16_moe11,T16_moe12,T16_moe13,T16_moe14,T16_moe15,T16_moe16,T16_moe17,T16_moe18,T16_moe19,T16_moe20,T16_moe21,T16_moe22,T16_moe23,T16_moe24,T16_moe25,T16_moe26,T16_moe27,T16_moe28,T16_moe29,T16_moe30,T16_moe31,T16_moe32,T16_moe33,T16_moe34,T16_moe35,T16_moe36,T16_moe37,T16_moe38,T16_moe39,T16_moe40,T16_moe41,T16_moe42,T16_moe43,T16_moe44,T16_moe45,T16_moe46,T16_moe47,T16_moe48,T16_moe49,T16_moe50,T16_moe51,T16_moe52,T16_moe53,T16_moe54,T16_moe55,T16_moe56,T16_moe57,T16_moe58,T16_moe59,T16_moe60,T16_moe61,T16_moe62,T16_moe63,T16_moe64,T16_moe65,T16_moe66,T16_moe67,T16_moe68,T16_moe69,T16_moe70,T16_moe71,T16_moe72,T16_moe73,T16_moe74,T16_moe75,T16_moe76,T16_moe77,T16_moe78,T16_moe79,T16_moe80,T16_moe81,T16_moe82,T16_moe83,T16_moe84,T16_moe85,T16_moe86,T16_moe87,T16_moe88,T16_moe89,T16_moe90,T16_moe91,T16_moe92,T16_moe93,T16_moe94,T16_moe95,T16_moe96,T16_moe97,T16_moe98,T16_moe99,T16_moe100,T16_moe101,T16_moe102,T16_moe103,T16_moe104,T16_moe105,T16_moe106,T16_moe107,T16_moe108,T16_moe109,T16_moe110,T16_moe111,T16_moe112,T16_moe113,T16_moe114,T16_moe115,T16_moe116,T16_moe117,T16_moe118,T16_moe119,T16_moe120,T16_moe121,T16_moe122,T16_moe123,T16_moe124,T16_moe125,T16_moe126,T16_moe127,T16_moe128,T16_moe129,T16_moe130,T16_moe131,T16_moe132,T16_moe133,T16_moe134,T16_moe135,T16_moe136,T16_moe137,T16_moe138,T16_moe139,T16_moe140,T16_moe141,T16_moe142,T16_moe143,T16_moe144,T16_moe145,T16_moe146,T16_moe147,T16_moe148,T16_moe149,T16_moe150,T16_moe151,T16_moe152,T16_moe153,T16_moe154,T16_moe155,T16_moe156,T16_moe157,T16_moe158,T16_moe159,T16_moe160,T16_moe161,T16_moe162,T16_moe163,T16_moe164,T16_moe165,T16_moe166,T16_moe167,T16_moe168,T16_moe169,T16_moe170,T16_moe171
2016thru2020,040,0400000US01,Alabama,01,1888505,1306505,113285,13845,9160,3270,1415,26175,18425,4585,3165,4515,3545,770,200,41280,26630,11415,3235,27470,17345,4370,5750,126625,23940,8205,15735,0,32520,16115,16405,0,6600,4230,2370,0,45140,15440,29700,0,18425,9545,8875,0,203130,52025,11160,40865,0,64755,18550,46205,0,13585,4815,8765,0,44125,9375,34750,0,28640,9965,18675,0,863465,194240,10015,184225,0,440075,17955,422120,0,68250,7410,60840,0,71180,5840,65345,0,89725,7445,82280,0,582000,157910,3930,2710,930,290,50780,38185,6875,5720,8665,7425,840,400,29520,17840,9370,2310,65010,44410,8055,12550,109710,5710,2995,2715,0,40900,29515,11385,0,6555,5270,1285,0,21380,11830,9550,0,35165,26260,8905,0,118600,7905,2765,5140,0,47010,15340,31675,0,8555,4100,4455,0,13420,5265,8155,0,41705,15780,25925,0,195780,11245,685,10560,0,89810,4265,85550,0,12960,2740,10220,0,13250,2205,11045,0,68515,4170,64345,0,5746,8890,2677,1064,913,437,312,1297,1095,563,461,585,487,201,98,1594,1429,817,381,1564,1145,547,746,2747,1147,664,950,29,1693,1033,1258,29,679,547,376,29,1679,935,1189,29,1091,955,626,29,3648,1945,1066,1478,29,1906,1030,1589,29,969,531,862,29,1802,877,1569,29,1518,841,1230,29,8045,2553,777,2566,29,6085,1166,6126,29,2044,695,1858,29,2136,637,2035,29,2602,755,2450,29,5960,3202,487,415,183,136,1764,1614,625,655,849,788,224,152,1386,1100,806,506,1987,1809,758,947,2493,562,434,462,29,1504,1270,924,29,675,655,228,29,1247,893,856,29,1776,1521,794,29,2850,823,481,585,29,1917,1107,1662,29,899,641,654,29,859,630,640,29,2084,1167,1530,29,3466,784,200,780,29,2395,560,2195,29,1065,482,862,29,950,364,829,29,2058,626,1931,29
2016thru2020,040,0400000US02,Alaska,02,255175,165375,12605,1440,1145,240,55,2705,2270,295,140,910,865,40,4,4325,3385,825,115,3220,2630,325,265,13610,2370,950,1415,0,3525,2300,1225,0,1830,1570,260,0,4000,1765,2235,0,1885,1190,690,0,25115,4845,1320,3525,0,8495,4430,4065,0,3370,2485,885,0,4775,1700,3075,0,3630,1920,1715,0,114045,20440,1520,18915,0,57620,5940,51680,0,12160,3385,8775,0,8430,945,7490,0,15395,3080,12315,0,89795,16755,545,450,95,0,5060,4265,685,110,1345,1245,85,15,3845,3015,725,105,5965,4635,850,475,15100,510,395,115,0,6030,4850,1180,0,1520,1330,190,0,1785,1165,620,0,5255,4390,865,0,21340,735,245,490,0,9275,4840,4435,0,2600,1975,625,0,1230,565,665,0,7495,2940,4555,0,36600,1430,150,1285,0,15990,2270,13720,0,3060,1410,1650,0,2360,330,2030,0,13755,1860,11900,0,1324,1895,697,302,281,101,36,320,294,92,79,139,139,17,10,506,426,187,63,373,360,98,85,749,254,150,191,23,507,430,299,23,276,273,72,23,460,277,332,23,298,265,174,23,1123,491,258,450,23,695,485,443,23,429,408,189,23,513,345,388,23,452,320,294,23,1695,751,260,733,23,1537,479,1464,23,738,360,637,23,594,193,573,23,913,441,779,23,1818,909,159,151,43,23,528,481,180,54,241,233,52,22,514,453,198,62,537,467,177,152,967,188,179,53,23,667,548,295,23,268,251,77,23,279,237,156,23,497,400,224,23,1080,175,108,143,23,781,510,518,23,584,405,333,23,267,165,191,23,612,373,516,23,1461,227,85,228,23,875,306,900,23,368,283,260,23,325,154,301,23,962,394,872,23
2016thru2020,040,0400000US04,Arizona,04,2643430,1727175,136690,21820,14750,3515,3555,29640,21985,4065,3590,10180,8715,820,645,49720,36920,8720,4080,25325,15720,2995,6615,152775,32405,14510,17895,0,33275,21145,12130,0,14540,11320,3220,0,55510,27195,28315,0,17050,10415,6635,0,265325,69505,19105,50400,0,75015,31570,43445,0,29660,16320,13345,0,61095,18905,42195,0,30050,15225,14825,0,1172385,293640,23080,270560,0,510845,35070,475775,0,116850,23810,93040,0,115530,12255,103275,0,135520,15595,119925,0,916255,178675,5705,4005,1140,560,51640,42850,3970,4820,18045,16600,820,625,37260,27080,7510,2675,66025,49240,5335,11450,146955,7440,5310,2130,0,52210,44710,7500,0,17490,15545,1945,0,26370,20750,5625,0,43440,37435,6000,0,206050,12715,6330,6385,0,76770,40845,35930,0,22655,15680,6975,0,21995,13435,8560,0,71915,40845,31070,0,384575,24850,4160,20690,0,160830,16880,143950,0,33005,11600,21405,0,27980,7550,20430,0,137915,15585,122330,0,6290,9001,2958,1068,873,410,443,1805,1721,427,520,990,944,199,326,1993,1653,771,489,1154,797,398,571,3411,1667,1203,965,31,1546,1292,856,31,899,725,406,31,1976,1527,1267,31,1294,1145,642,31,4539,2359,1162,2116,31,2523,1802,1804,31,1476,1156,851,31,2059,1192,1585,31,1622,1203,1011,31,8115,3313,1100,3398,31,5760,1486,5597,31,3254,1348,2754,31,2760,1047,2662,31,2845,947,2739,31,6466,3813,524,444,232,134,1842,1745,525,620,1302,1241,273,311,1912,1748,732,446,2204,2041,619,878,3147,702,593,383,31,2016,1850,699,31,1445,1380,489,31,1229,1091,536,31,1915,1789,646,31,4051,1042,664,859,31,2667,1694,1835,31,1959,1832,721,31,1254,1085,863,31,2392,1934,1632,31,5102,1230,497,994,31,2976,1260,2840,31,1828,1262,1356,31,1698,779,1412,31,3733,1306,3649,31
2016thru2020,040,0400000US05,Arkansas,05,1170545,770475,54395,6910,4890,1340,675,11845,8745,1895,1205,2605,2065,480,60,19205,12840,4810,1550,13835,8610,2160,3065,73180,13425,4485,8935,0,17245,8440,8805,0,4295,2575,1720,0,28535,10830,17705,0,9680,4785,4895,0,122460,32320,6435,25885,0,36900,11080,25820,0,10020,4360,5660,0,28055,5755,22300,0,15160,5350,9810,0,520445,119880,5495,114385,0,259315,9565,249750,0,45045,6550,38495,0,44935,2940,41995,0,51270,4545,46725,0,400065,90825,1930,1445,320,160,30070,23325,3450,3300,5475,4890,370,215,16670,10830,4985,860,36680,25510,4675,6500,75820,3130,1845,1285,0,27940,20780,7160,0,5485,4655,830,0,16170,8470,7700,0,23095,17790,5305,0,86525,4880,1665,3215,0,34005,11075,22930,0,7545,4200,3345,0,9810,4175,5635,0,30290,11485,18805,0,146895,9015,640,8375,0,69510,4400,65105,0,11330,2870,8460,0,9480,1435,8045,0,47560,3025,44535,0,4409,6164,1629,706,505,311,199,753,660,369,292,432,368,188,46,977,847,437,263,810,693,369,448,2195,880,466,780,29,1054,644,824,29,455,406,293,29,1176,741,965,29,812,542,596,29,2364,1399,712,1154,29,1297,890,1166,29,801,511,568,29,1343,587,1152,29,1065,666,781,29,5230,2189,557,2240,29,3893,831,3878,29,1557,510,1535,29,1759,463,1547,29,1914,570,1786,29,4589,2142,369,293,128,109,1547,1295,489,696,577,520,162,125,987,869,428,208,1620,1330,557,792,2446,436,350,236,29,1585,1243,823,29,565,500,274,29,1107,802,829,29,1244,1174,550,29,2678,534,339,384,29,1974,834,1669,29,781,578,519,29,791,512,585,29,1492,908,1274,29,3263,801,154,778,29,2465,569,2429,29,944,492,718,29,764,274,714,29,2088,492,1975,29
2016thru2020,040,0400000US06,California,06,13103115,7241320,664465,124165,89500,27005,7655,153075,121600,19580,11895,38690,33905,3695,1090,247580,181140,52180,14255,100960,70115,9165,21680,692765,159615,79935,79685,0,202385,138365,64020,0,84445,68675,15770,0,186880,96805,90075,0,59440,41500,17940,0,1110075,242145,93670,148475,0,405500,222130,183375,0,168590,113815,54775,0,190075,75115,114965,0,103760,63590,40175,0,4774010,891815,123615,768200,0,2424515,381565,2042955,0,612125,187085,425040,0,379195,67445,311750,0,466355,116510,349845,0,5861795,1485455,105135,84545,16890,3700,479755,428320,27525,23910,161060,154970,3905,2185,331990,248360,69930,13700,407515,317830,30325,59355,1016645,67590,51305,16280,0,443160,382715,60445,0,155620,145415,10205,0,115450,90685,24765,0,234825,206435,28395,0,1182155,64550,36315,28235,0,533630,316045,217585,0,165305,131485,33820,0,88365,55210,33150,0,330305,220045,110260,0,2177540,104440,22640,81805,0,1002160,184880,817280,0,197190,90075,107110,0,113145,29970,83175,0,760605,135655,624950,0,18539,35704,6373,2769,2016,1298,787,2848,2800,970,886,1497,1351,471,298,3682,3501,1574,999,2697,2268,656,1444,6631,2826,2137,2011,31,3681,3175,1923,31,2524,2296,846,31,3463,2495,2303,31,1647,1508,951,31,8594,3406,1895,3016,31,5537,3922,4031,31,3004,2585,1931,31,3715,2425,2644,31,2549,2101,1611,31,29831,6226,2120,5886,31,25217,5038,22617,31,5196,3008,4728,31,4730,2355,4388,31,6293,3060,5218,31,20326,10467,2861,2635,989,464,6313,5966,1322,1584,3487,3376,568,387,4182,3796,2310,930,5889,5092,1440,2119,8994,2310,1819,1165,31,6062,5214,2242,31,3216,3172,850,31,2803,2669,1499,31,4527,4418,1443,31,9636,1864,1352,1438,31,5697,4801,4109,31,3849,3373,1578,31,2014,1612,1431,31,5811,4767,2859,31,11550,2794,1174,2489,31,8570,3468,8486,31,3786,2275,2843,31,2827,1204,2514,31,6810,3000,6001,31
2016thru2020,040,0400000US08,Colorado,08,2137400,1415325,107285,15090,10675,3590,825,21530,17185,2510,1835,5240,4510,510,215,42575,31090,9380,2105,22850,16165,2885,3795,124765,26070,11285,14785,0,31955,21945,10010,0,10615,8090,2530,0,38245,17050,21195,0,17880,11870,6010,0,224845,51415,14330,37085,0,72985,33345,39645,0,22945,10750,12195,0,41110,12680,28430,0,36385,17445,18940,0,958430,184030,13930,170100,0,499695,35350,464345,0,83940,10520,73425,0,67725,7305,60420,0,123040,15370,107670,0,722080,163155,4805,3695,930,185,43790,37500,4000,2285,9635,9060,375,200,40320,28600,10210,1510,64605,52810,5755,6040,130255,5350,3830,1520,0,45115,37125,7985,0,10680,9115,1565,0,18855,14555,4300,0,50255,43515,6740,0,166575,7840,4000,3845,0,60985,29265,31715,0,13120,8030,5090,0,14180,7930,6255,0,70450,38400,32050,0,262095,11975,2235,9740,0,105935,10945,94990,0,14160,3605,10555,0,15040,4270,10770,0,114980,12445,102535,0,4708,7386,2955,801,724,447,195,1093,999,330,346,589,513,159,114,1693,1422,750,337,914,873,382,499,2836,1169,800,845,29,1655,1279,702,29,1064,911,404,29,1497,899,1138,29,1073,836,676,29,3547,1329,818,1101,29,2020,1312,1657,29,1059,848,732,29,1498,788,1235,29,1647,1084,1090,29,6407,2593,779,2556,29,5421,1337,5438,29,2127,672,2014,29,1701,662,1577,29,2447,1125,2192,29,6562,3280,593,510,254,107,1820,1711,624,408,917,863,136,116,1709,1499,839,316,2166,2018,673,808,2781,602,493,300,29,1572,1500,746,29,907,825,306,29,1246,1130,449,29,1724,1635,643,29,3155,669,474,455,29,1956,1434,1605,29,1099,881,587,29,1028,708,705,29,2436,1874,1398,29,4400,972,424,790,29,2697,790,2532,29,943,425,864,29,1024,582,812,29,2880,1060,2722,29
2016thru2020,040,0400000US09,Connecticut,09,1385435,915410,65920,9730,8515,695,520,13925,12035,760,1130,2085,1955,130,0,28535,25340,1695,1500,11645,9540,425,1680,80905,18540,11910,6630,0,20805,16810,3995,0,5010,4175,835,0,27590,19175,8420,0,8960,7055,1905,0,134395,34210,12230,21980,0,45335,23340,21995,0,9355,5555,3800,0,26435,10460,15975,0,19065,11125,7940,0,634185,126850,11395,115455,0,336035,29035,306995,0,53350,7075,46280,0,49185,6045,43135,0,68770,9805,58960,0,470030,150005,6350,4295,1820,240,47445,40155,4825,2470,7785,7210,420,160,42000,27520,13070,1410,46420,34185,6655,5580,90125,6035,4165,1870,0,33990,27010,6980,0,6960,6040,920,0,17420,11250,6170,0,25720,20690,5030,0,89020,5640,2275,3365,0,34480,11950,22525,0,4715,2375,2340,0,11055,5280,5775,0,33135,12620,20510,0,140885,9060,1000,8060,0,59090,4295,54795,0,6210,1840,4375,0,11475,2085,9395,0,55040,3910,51130,0,3273,5010,1913,663,649,207,128,921,873,201,311,366,354,78,30,1450,1483,255,274,866,812,169,315,2078,814,633,557,30,1087,1019,444,30,578,467,279,30,1381,1231,775,30,742,672,388,30,2710,1083,773,1046,30,1752,1216,1240,30,808,728,450,30,1320,917,869,30,1135,945,611,30,5070,2146,734,2250,30,4266,1302,4159,30,1773,625,1781,30,2040,543,1966,30,2302,693,2119,30,4548,2940,723,558,401,135,1692,1568,670,430,763,735,158,103,1736,1457,1178,358,1926,1573,688,676,2486,677,488,491,30,1628,1469,624,30,708,711,226,30,979,828,699,30,1443,1262,596,30,2599,616,404,554,30,1720,1004,1325,30,499,426,414,30,819,720,579,30,1558,979,1343,30,2971,686,223,697,30,1826,432,1851,30,721,434,527,30,908,335,824,30,1846,539,1926,30
2016thru2020,040,0400000US10,Delaware,10,370955,264915,21390,3305,2455,520,330,4395,3600,560,230,995,875,110,10,7665,5395,1775,495,5030,3585,465,980,23225,4880,1635,3245,0,5650,3640,2010,0,1355,1015,345,0,8450,3855,4595,0,2890,2145,745,0,42935,11215,2905,8310,0,13890,5605,8285,0,2720,1360,1360,0,9820,3120,6700,0,5290,2625,2665,0,177365,43950,3665,40285,0,85950,4580,81370,0,12625,1285,11340,0,14910,1710,13200,0,19925,2290,17635,0,106040,25250,720,565,80,75,7495,6240,635,620,1580,1465,100,15,5890,4040,1590,255,9565,6845,1025,1695,19240,815,515,300,0,7170,5550,1620,0,1495,1250,245,0,3485,2395,1090,0,6275,5425,845,0,23295,1460,725,735,0,8715,3550,5165,0,1790,940,850,0,3040,1480,1560,0,8290,4390,3900,0,38255,2440,265,2175,0,16465,1120,15345,0,1935,715,1220,0,3210,630,2580,0,14210,1240,12975,0,1820,2572,1176,454,354,202,158,593,552,224,97,261,233,86,22,605,552,396,152,585,477,174,275,1397,523,304,459,29,529,432,336,29,334,286,144,29,788,560,496,29,428,409,166,29,1412,706,473,562,29,965,778,742,29,406,330,298,29,870,567,722,29,570,383,448,29,2716,1151,404,1195,29,2295,553,2228,29,1228,251,1235,29,932,330,900,29,1182,386,1088,29,2163,1369,213,200,50,86,774,739,190,268,294,295,75,20,675,589,281,109,987,882,290,347,1123,219,194,123,29,787,645,395,29,382,371,126,29,567,471,241,29,693,659,252,29,1568,380,229,281,29,814,522,608,29,416,234,298,29,593,411,408,29,927,690,537,29,1870,352,114,344,29,942,292,957,29,358,236,266,29,519,316,404,29,1189,336,1122,29
2016thru2020,040,0400000US11,District of Columbia,11,288305,122650,10665,1250,985,220,45,1800,1360,305,130,335,225,95,15,4635,3265,840,530,2655,2055,125,475,7245,1410,725,685,0,1720,1085,635,0,465,300,165,0,2395,1175,1220,0,1255,835,420,0,7000,1350,495,855,0,2010,1025,985,0,335,155,175,0,1810,660,1150,0,1495,800,695,0,97735,13450,1200,12245,0,39060,3270,35790,0,4290,550,3745,0,11090,2280,8810,0,29845,5035,24805,0,165660,49435,1990,1410,530,50,13915,10800,2330,785,2325,1955,335,30,11890,7255,3960,675,19320,13590,1995,3735,20725,755,345,410,0,6070,4335,1735,0,1215,920,300,0,3700,2345,1355,0,8980,7560,1420,0,15760,430,120,310,0,4245,2150,2095,0,385,265,115,0,2355,660,1695,0,8350,5105,3245,0,79735,2510,190,2325,0,20640,2910,17730,0,1545,790,755,0,4680,1150,3530,0,50365,9540,40825,0,1321,2319,791,294,259,103,53,388,311,245,91,149,128,68,23,490,402,208,215,524,448,76,186,696,373,306,157,31,373,279,244,31,162,137,86,31,350,263,224,31,270,249,125,31,632,261,156,231,31,397,374,205,31,110,72,81,31,425,237,323,31,301,178,238,31,2023,832,207,828,31,1400,454,1385,31,426,133,395,31,770,512,635,31,1660,778,1641,31,2395,1661,384,341,159,63,953,930,460,238,386,371,151,37,858,767,439,192,1198,895,373,698,1109,187,119,165,31,657,537,303,31,306,314,127,31,590,461,379,31,975,914,312,31,1348,136,71,109,31,698,560,363,31,115,104,65,31,466,197,412,31,968,629,747,31,1936,431,92,428,31,1179,471,1063,31,358,253,245,31,672,287,627,31,1816,858,1752,31
2016thru2020,040,0400000US12,Florida,12,7931315,5250880,490245,86955,61595,14090,11265,88485,68710,9970,9805,16560,13585,2215,760,211105,153775,39050,18275,87150,56410,10135,20605,536030,123700,58130,65570,0,122845,78295,44550,0,29910,23170,6740,0,200355,99925,100430,0,59215,35685,23530,0,870685,234280,71195,163085,0,265235,117640,147595,0,62055,35080,26975,0,202310,61585,140725,0,106815,49970,56840,0,3353915,876555,75595,800960,0,1492025,140235,1351790,0,244895,50465,194425,0,372385,42530,329855,0,368055,53305,314750,0,2680435,573260,31880,25680,4055,2145,182575,151185,11865,19525,35630,32260,1690,1675,142395,104610,29835,7950,180780,130610,14105,36060,472075,33200,26115,7085,0,194590,176975,17615,0,38910,35970,2940,0,75370,58865,16505,0,130005,119040,10960,0,603375,42490,25645,16845,0,258920,166240,92680,0,47510,34415,13095,0,62275,42000,20275,0,192175,132055,60120,0,1031730,71985,13870,58115,0,470275,69785,400490,0,66600,22970,43630,0,73875,20740,53130,0,348995,61375,287615,0,23194,29162,5596,2602,2560,962,858,2764,2468,838,802,1127,1118,418,242,3612,3252,1867,1593,2569,2069,849,1172,6511,3188,2213,2519,34,2986,2536,1875,34,1692,1615,744,34,4391,2759,3383,34,2075,1492,1354,34,8511,4439,2630,3448,34,4854,3586,3262,34,2363,1887,1489,34,3666,2042,3388,34,2997,1954,2065,34,24713,6267,2602,6340,34,18211,3704,17767,34,4576,2245,4039,34,6044,2287,5610,34,4371,2213,4339,34,14277,7173,1528,1458,422,395,4020,3701,1006,1458,1581,1531,376,286,3447,3106,1467,719,4258,3502,1054,1863,6622,1605,1401,802,34,4377,4024,1386,34,1786,1643,633,34,2457,2111,1177,34,3520,3384,803,34,8311,2243,1761,1195,34,4669,3849,3326,34,2454,1866,1172,34,2015,1824,1145,34,4514,4129,2473,34,9049,2596,1027,2384,34,6614,2305,5822,34,2610,1485,1846,34,2539,1430,2322,34,5774,2416,5155,34
