source,sumlevel,geoid,name,st,T17A_est1,T17A_est2,T17A_est3,T17A_est4,T17A_est5,T17A_est6,T17A_est7,T17A_est8,T17A_est9,T17A_est10,T17A_est11,T17A_est12,T17A_est13,T17A_est14,T17A_est15,T17A_est16,T17A_est17,T17A_est18,T17A_est19,T17A_est20,T17A_est21,T17A_moe1,T17A_moe2,T17A_moe3,T17A_moe4,T17A_moe5,T17A_moe6,T17A_moe7,T17A_moe8,T17A_moe9,T17A_moe10,T17A_moe11,T17A_moe12,T17A_moe13,T17A_moe14,T17A_moe15,T17A_moe16,T17A_moe17,T17A_moe18,T17A_moe19,T17A_moe20,T17A_moe21
2016thru2020,040,0400000US01,Alabama,01,21865,18560,7975,4310,2525,3750,475,240,165,0,70,765,125,130,125,390,2065,1845,70,25,125,1613,1483,721,667,485,587,175,123,148,29,69,268,125,162,109,177,378,349,64,30,138
2016thru2020,040,0400000US02,Alaska,02,2900,2265,300,985,395,585,310,115,70,35,95,195,155,10,10,25,130,95,10,4,20,395,349,78,246,178,193,150,116,70,43,63,111,106,13,14,28,82,76,18,15,19
2016thru2020,040,0400000US04,Arizona,04,28680,21385,2135,4930,3505,10815,765,210,325,0,230,1230,155,370,250,455,5300,3810,830,210,445,1629,1364,354,617,519,1067,324,133,212,31,121,304,109,164,121,238,662,566,276,139,196
2016thru2020,040,0400000US05,Arkansas,05,13740,12165,5110,3560,1190,2300,230,100,4,20,100,260,60,80,0,115,1090,945,50,25,65,1121,1020,591,555,320,457,155,104,11,38,97,133,70,100,29,101,241,227,48,45,85
2016thru2020,040,0400000US06,California,06,77700,61285,3060,5990,7275,44965,3285,210,355,275,2445,5925,210,565,465,4685,7205,4970,1025,310,895,3138,2558,383,646,799,2226,565,134,152,121,503,773,155,174,163,687,756,667,261,165,327
2016thru2020,040,0400000US08,Colorado,08,13905,11165,1055,1950,1900,6260,510,4,50,105,350,1400,10,555,330,500,830,515,135,55,125,1066,944,235,361,419,713,172,10,52,78,147,297,13,214,125,176,219,167,73,54,91
2016thru2020,040,0400000US09,Connecticut,09,14410,11300,2555,3020,1575,4150,1500,805,270,135,290,1275,545,335,135,260,335,275,30,30,0,1151,1030,483,450,386,535,370,252,145,104,195,355,257,153,100,123,166,151,31,51,30
2016thru2020,040,0400000US10,Delaware,10,4365,3820,650,1405,660,1110,60,35,4,4,10,135,4,30,0,100,350,320,35,0,0,668,563,175,344,246,274,43,38,10,18,18,106,12,34,29,101,198,190,40,29,29
2016thru2020,040,0400000US11,District of Columbia,11,1805,915,15,80,60,760,100,0,0,20,85,730,65,80,15,575,55,0,0,0,55,356,256,27,75,54,210,74,31,31,32,66,277,63,74,24,257,87,31,31,31,87
2016thru2020,040,0400000US12,Florida,12,112115,76825,11825,16900,13265,34840,4200,1035,1065,655,1445,18405,4975,4355,2010,7070,12685,10480,1130,480,595,3442,2977,1134,1347,1324,1920,554,261,313,263,310,1214,667,661,387,862,1054,911,313,223,205
2016thru2020,040,0400000US13,Georgia,13,42060,37075,11245,9850,5075,10900,950,345,255,65,285,1485,395,390,270,430,2545,1945,365,105,135,2357,2197,1037,1052,762,1017,315,193,164,74,157,390,219,153,138,177,422,397,147,77,103
2016thru2020,040,0400000US15,Hawaii,15,3385,2115,95,190,65,1765,120,0,0,4,120,1145,45,45,80,970,4,4,0,0,4,533,398,69,118,55,332,115,28,28,5,116,296,49,52,92,250,3,3,28,28,3
2016thru2020,040,0400000US16,Idaho,16,5465,4665,845,1170,700,1950,155,20,15,55,60,125,4,15,70,35,520,395,55,0,70,637,562,247,260,207,452,109,31,25,84,66,115,8,23,107,36,184,175,59,29,79
2016thru2020,040,0400000US17,Illinois,17,54230,41115,20860,9025,3395,7830,5460,2370,1435,555,1100,5555,1710,1425,425,1990,2105,1735,125,60,185,2440,2102,1360,768,490,734,572,341,331,188,273,810,390,341,222,462,387,380,80,57,117
2016thru2020,040,0400000US18,Indiana,18,24425,20955,12205,4695,1300,2750,695,400,185,75,30,760,290,130,95,245,2020,1850,100,0,70,1494,1383,974,565,320,392,194,161,96,80,29,247,140,126,107,150,380,352,80,29,51
2016thru2020,040,0400000US19,Iowa,19,12255,10640,6095,2340,750,1455,305,165,70,30,40,525,300,155,30,40,785,635,85,0,70,843,756,585,433,221,255,101,94,44,46,51,168,139,103,39,36,232,195,80,23,63
2016thru2020,040,0400000US20,Kansas,20,12690,10835,7020,1960,685,1175,615,225,275,60,55,290,135,130,15,10,950,710,90,75,75,994,887,616,388,235,292,206,132,143,90,67,143,94,91,15,13,283,248,93,56,72
2016thru2020,040,0400000US21,Kentucky,21,16905,13755,6175,3590,1355,2630,565,340,125,25,75,550,275,80,0,200,2035,1810,210,0,10,1154,978,601,491,266,403,196,151,76,40,73,192,147,82,29,113,419,388,123,29,20
2016thru2020,040,0400000US22,Louisiana,22,20275,16295,4815,4725,1630,5120,770,190,195,145,240,525,75,70,85,295,2685,2095,375,30,190,1250,1130,542,595,336,723,167,115,98,95,94,176,95,49,73,117,439,446,162,39,104
2016thru2020,040,0400000US23,Maine,23,6250,5035,1455,1515,645,1420,435,200,45,90,100,215,75,50,50,40,560,520,30,0,15,559,478,253,267,224,317,182,108,48,86,89,126,61,79,63,47,191,187,24,26,24
2016thru2020,040,0400000US24,Maryland,24,22025,18635,6085,5250,2425,4880,460,195,110,25,130,2315,805,525,270,715,610,425,60,30,95,1296,1151,628,679,395,576,153,110,79,27,99,363,237,218,133,228,242,212,51,39,106
2016thru2020,040,0400000US25,Massachusetts,25,15155,10795,1360,2160,1900,5370,2805,395,555,390,1465,1290,15,250,240,785,265,185,25,0,60,1010,880,275,380,354,629,417,147,174,125,366,357,37,142,136,301,132,115,40,31,69
2016thru2020,040,0400000US26,Michigan,26,37180,30370,16310,6725,2035,5300,2280,1580,175,120,405,1820,850,535,85,350,2710,2510,140,0,60,1876,1673,1002,550,391,615,300,257,104,80,129,315,231,198,70,122,398,395,73,26,48
2016thru2020,040,0400000US27,Minnesota,27,12745,10825,4170,2970,1260,2425,380,250,65,10,55,850,295,410,4,140,690,560,10,25,100,843,730,448,424,269,317,143,122,50,12,57,289,153,185,4,103,190,167,13,26,75
2016thru2020,040,0400000US28,Mississippi,28,14110,12300,5055,3105,1180,2965,230,0,70,0,160,170,45,45,0,85,1405,1255,150,0,0,1307,1227,763,584,331,483,127,32,85,32,110,98,66,46,32,61,307,276,114,32,32
2016thru2020,040,0400000US29,Missouri,29,24245,20210,10175,4325,2030,3680,1600,1305,175,4,115,1145,630,245,175,95,1290,915,95,4,275,1315,1143,942,601,437,477,330,279,111,12,129,264,206,109,125,91,262,238,67,9,134
2016thru2020,040,0400000US30,Montana,30,4020,3335,1080,835,395,1030,140,20,45,0,75,75,25,0,15,35,465,325,100,0,40,476,414,240,222,125,249,98,35,58,26,75,78,42,26,25,52,185,147,93,26,45
2016thru2020,040,0400000US31,Nebraska,31,4840,3915,2165,940,335,475,205,70,40,20,75,245,55,60,40,90,475,350,85,40,0,512,436,259,220,119,167,113,71,53,36,71,132,51,66,49,80,198,175,87,40,23
2016thru2020,040,0400000US32,Nevada,32,11285,8950,545,1800,1670,4935,475,155,185,75,60,1055,275,300,125,355,805,555,145,55,45,1066,985,188,367,393,715,189,90,120,87,58,245,125,169,103,140,243,196,132,65,46
2016thru2020,040,0400000US33,New Hampshire,33,3480,2660,700,795,380,780,370,85,40,50,195,175,75,25,65,10,280,215,0,20,45,532,442,194,250,141,209,151,69,39,56,120,114,75,41,73,17,147,127,28,29,70
2016thru2020,040,0400000US34,New Jersey,34,30960,24505,6095,6270,3375,8765,3810,790,1125,430,1465,2065,540,550,180,800,580,440,100,0,40,1756,1481,669,735,547,814,342,193,195,165,276,451,211,206,102,279,184,169,70,30,65
2016thru2020,040,0400000US35,New Mexico,35,10155,8095,1575,2155,1445,2915,230,40,60,45,85,270,0,25,35,210,1565,970,420,15,160,899,815,302,398,314,484,119,49,71,48,66,127,30,35,40,116,311,271,202,19,94
2016thru2020,040,0400000US36,New York,36,60965,37180,12365,7755,3755,13305,10200,2900,1435,540,5325,11455,1140,720,630,8970,2125,1960,130,10,30,2162,1661,778,687,490,883,716,412,251,173,621,1099,257,220,200,1028,350,338,72,13,44
2016thru2020,040,0400000US37,North Carolina,37,41950,35430,9205,8275,4295,13650,1030,315,370,60,285,1760,455,515,200,595,3730,2800,520,185,225,1786,1662,892,750,536,1077,243,129,162,61,127,356,176,230,110,194,503,437,192,139,122
2016thru2020,040,0400000US38,North Dakota,38,3675,2565,1220,620,365,355,400,195,100,0,100,200,155,0,0,45,515,325,155,35,0,484,401,220,198,139,148,204,132,103,23,97,148,141,23,23,51,221,119,205,51,23
2016thru2020,040,0400000US39,Ohio,39,40235,32915,19450,7440,1660,4370,2955,1845,745,120,240,1355,810,205,100,235,3015,2610,210,0,195,1727,1546,1060,781,349,577,416,351,200,84,124,378,294,142,95,132,556,528,139,29,126
2016thru2020,040,0400000US40,Oklahoma,40,18070,15855,7930,4045,1455,2425,340,245,15,25,50,280,150,15,15,100,1595,1325,160,40,70,802,755,447,463,254,315,143,128,17,30,46,110,82,25,17,73,206,181,95,44,41
2016thru2020,040,0400000US41,Oregon,41,11915,9390,685,1580,1910,5215,765,10,105,50,600,475,4,130,135,200,1285,875,165,50,200,1042,958,218,302,429,660,256,14,99,79,221,159,12,90,92,111,313,238,121,71,126
2016thru2020,040,0400000US42,Pennsylvania,42,48850,41875,21940,9935,3745,6260,3040,1830,385,325,500,1685,585,425,245,425,2250,2005,150,10,80,1895,1753,1163,841,557,687,456,325,147,165,225,357,206,210,133,187,356,346,93,18,55
2016thru2020,040,0400000US44,Rhode Island,44,3690,2640,260,1055,235,1090,660,225,125,95,215,350,115,55,45,130,40,40,0,0,0,490,423,120,269,126,310,193,82,84,75,136,182,117,63,51,105,60,60,32,32,32
2016thru2020,040,0400000US45,South Carolina,45,20915,16925,4330,4510,2415,5670,800,185,335,30,255,1100,305,285,90,420,2085,1605,215,80,185,1306,1187,558,680,421,668,243,117,159,44,142,301,148,140,59,244,380,318,146,74,120
2016thru2020,040,0400000US46,South Dakota,46,2785,2490,1255,495,195,540,60,0,35,0,25,55,0,10,0,45,185,185,0,0,0,370,382,245,217,104,231,55,23,40,23,36,47,23,13,23,46,97,97,23,23,23
2016thru2020,040,0400000US47,Tennessee,47,24535,20885,6475,5570,2765,6075,820,395,110,135,180,940,155,275,155,355,1895,1415,165,30,290,1524,1438,593,604,513,768,229,166,81,105,106,264,113,133,132,153,399,335,105,40,176
2016thru2020,040,0400000US48,Texas,48,87070,75170,18070,21430,9940,25730,1995,440,805,275,480,3315,875,1000,375,1060,6585,5435,510,165,475,3388,3082,1316,1519,944,1668,419,146,291,149,224,582,256,333,158,275,659,600,222,101,156
