source,sumlevel,geoid,name,st,T18A_est1,T18A_est2,T18A_est3,T18A_est4,T18A_est5,T18A_est6,T18A_est7,T18A_est8,T18A_est9,T18A_est10,T18A_est11,T18A_est12,T18A_est13,T18A_est14,T18A_est15,T18A_est16,T18A_est17,T18A_est18,T18A_est19,T18A_est20,T18A_est21,T18A_est22,T18A_est23,T18A_est24,T18A_est25,T18A_est26,T18A_est27,T18A_est28,T18A_est29,T18A_est30,T18A_est31,T18A_est32,T18A_est33,T18A_est34,T18A_est35,T18A_est36,T18A_est37,T18A_est38,T18A_est39,T18A_est40,T18A_est41,T18A_est42,T18A_est43,T18A_est44,T18A_est45,T18A_est46,T18A_est47,T18A_est48,T18A_est49,T18A_est50,T18A_est51,T18A_est52,T18A_est53,T18A_est54,T18A_est55,T18A_est56,T18A_est57,T18A_est58,T18A_est59,T18A_est60,T18A_est61,T18A_est62,T18A_est63,T18A_est64,T18A_est65,T18A_est66,T18A_est67,T18A_est68,T18A_est69,T18A_est70,T18A_est71,T18A_est72,T18A_est73,T18A_est74,T18A_est75,T18A_est76,T18A_est77,T18A_est78,T18A_est79,T18A_est80,T18A_est81,T18A_est82,T18A_est83,T18A_est84,T18A_est85,T18A_est86,T18A_est87,T18A_est88,T18A_est89,T18A_est90,T18A_est91,T18A_est92,T18A_est93,T18A_est94,T18A_est95,T18A_est96,T18A_est97,T18A_est98,T18A_est99,T18A_est100,T18A_est101,T18A_moe1,T18A_moe2,T18A_moe3,T18A_moe4,T18A_moe5,T18A_moe6,T18A_moe7,T18A_moe8,T18A_moe9,T18A_moe10,T18A_moe11,T18A_moe12,T18A_moe13,T18A_moe14,T18A_moe15,T18A_moe16,T18A_moe17,T18A_moe18,T18A_moe19,T18A_moe20,T18A_moe21,T18A_moe22,T18A_moe23,T18A_moe24,T18A_moe25,T18A_moe26,T18A_moe27,T18A_moe28,T18A_moe29,T18A_moe30,T18A_moe31,T18A_moe32,T18A_moe33,T18A_moe34,T18A_moe35,T18A_moe36,T18A_moe37,T18A_moe38,T18A_moe39,T18A_moe40,T18A_moe41,T18A_moe42,T18A_moe43,T18A_moe44,T18A_moe45,T18A_moe46,T18A_moe47,T18A_moe48,T18A_moe49,T18A_moe50,T18A_moe51,T18A_moe52,T18A_moe53,T18A_moe54,T18A_moe55,T18A_moe56,T18A_moe57,T18A_moe58,T18A_moe59,T18A_moe60,T18A_moe61,T18A_moe62,T18A_moe63,T18A_moe64,T18A_moe65,T18A_moe66,T18A_moe67,T18A_moe68,T18A_moe69,T18A_moe70,T18A_moe71,T18A_moe72,T18A_moe73,T18A_moe74,T18A_moe75,T18A_moe76,T18A_moe77,T18A_moe78,T18A_moe79,T18A_moe80,T18A_moe81,T18A_moe82,T18A_moe83,T18A_moe84,T18A_moe85,T18A_moe86,T18A_moe87,T18A_moe88,T18A_moe89,T18A_moe90,T18A_moe91,T18A_moe92,T18A_moe93,T18A_moe94,T18A_moe95,T18A_moe96,T18A_moe97,T18A_moe98,T18A_moe99,T18A_moe100,T18A_moe101
2016thru2020,040,0400000US01,Alabama,01,722725,664010,192385,16030,20815,40205,25175,90160,223440,7960,9990,25035,24590,155865,95395,2705,2990,6045,6495,77165,152785,4110,3945,8610,6165,129955,2175,1100,75,170,305,100,455,685,80,0,110,155,340,160,0,0,20,0,140,230,10,30,20,0,170,4460,1945,440,775,110,220,405,890,230,0,170,65,425,415,35,10,0,65,305,1210,160,0,125,95,830,52080,45520,5200,6045,10490,5890,17895,4335,270,405,675,430,2555,630,35,25,150,85,335,1595,210,150,230,135,870,6818,6691,3617,1067,1088,1864,1330,2154,3348,946,793,1493,1317,3231,2359,379,462,614,737,2272,2763,437,477,934,544,2518,358,269,48,191,142,53,132,189,51,29,65,116,144,110,29,29,27,29,107,93,17,48,19,29,79,813,692,366,590,47,102,201,256,167,29,137,57,156,216,45,13,29,65,201,281,139,29,111,100,196,1882,1717,622,503,900,711,846,436,116,197,228,197,331,182,33,34,96,63,130,387,131,113,126,87,294
2016thru2020,040,0400000US02,Alaska,02,102195,91720,7000,745,795,1610,915,2935,33265,1310,1980,5320,4585,20065,24105,675,910,2735,2510,17280,27345,660,865,1860,1845,22115,5415,790,95,70,205,60,360,1645,65,90,185,255,1050,920,0,30,120,150,615,2060,45,115,340,210,1350,3625,2230,80,190,490,560,915,835,30,15,115,255,420,275,45,4,80,15,125,285,90,10,45,30,105,1440,1195,120,215,410,215,230,75,0,15,4,10,50,100,0,0,10,0,90,70,0,0,25,0,40,1811,1906,539,211,156,274,204,334,1245,258,322,534,453,860,1185,185,214,445,363,924,1038,172,272,358,340,973,641,166,65,59,82,42,106,368,68,63,99,151,353,239,23,35,71,106,176,407,34,61,211,109,322,450,365,56,97,154,225,245,239,39,17,68,151,136,120,56,23,82,12,61,155,129,21,37,26,59,282,255,85,95,175,112,89,45,23,30,7,14,29,109,23,23,21,23,107,47,23,23,31,23,41
2016thru2020,040,0400000US04,Arizona,04,1088570,1008720,93590,10250,12620,22135,12775,35805,281840,15315,23385,52405,38695,152045,188115,7300,8520,22840,18745,130705,445175,13695,15075,31795,27365,357250,7900,1795,210,200,465,320,600,3180,120,440,775,480,1360,1430,90,120,290,165,765,1495,60,45,260,155,980,16790,3095,465,385,770,475,1000,6575,465,440,1480,995,3195,3160,160,175,450,220,2155,3960,215,635,450,245,2415,55160,33000,4225,5440,7770,4945,10625,14465,840,1540,3155,1580,7355,4325,150,290,950,275,2655,3375,230,445,530,470,1700,7386,7335,2978,1445,816,1055,979,1546,4867,1000,1621,2278,1524,3096,3227,826,733,1463,1058,2663,5271,983,1478,1543,1272,4647,836,311,110,89,136,149,198,610,66,388,265,164,271,379,57,76,144,103,286,272,35,39,159,96,206,1256,358,197,135,180,136,204,803,152,150,318,381,566,651,136,96,159,116,570,655,80,511,212,90,386,1792,1415,457,632,722,664,740,1012,258,331,537,516,778,601,98,139,336,96,428,563,138,324,321,220,345
2016thru2020,040,0400000US05,Arkansas,05,416310,382890,115890,8520,12275,22825,15480,56790,134795,3710,5605,16600,13865,95015,48530,650,1240,3840,3145,39650,83680,1645,1770,4570,4020,71675,1325,495,15,95,45,85,255,335,10,15,125,85,95,195,55,0,0,10,130,300,40,35,0,0,225,1115,230,4,85,4,20,110,350,0,80,45,10,215,80,0,30,0,0,50,455,10,0,4,4,435,30980,25510,2245,3230,5070,3155,11800,3570,80,225,585,605,2070,1065,45,45,215,95,665,835,60,60,70,85,560,4484,4642,2960,780,958,1134,950,1782,2635,452,528,973,925,2131,1808,168,255,508,529,1634,2371,305,349,538,507,2253,301,151,17,70,38,65,120,112,15,21,79,72,55,117,78,29,29,14,85,179,54,42,29,29,166,290,104,11,81,14,26,64,171,29,71,38,19,152,69,29,40,29,29,50,194,19,29,11,29,191,1313,1160,458,471,488,434,769,384,58,95,165,176,291,301,41,62,117,87,263,233,49,43,50,54,226
2016thru2020,040,0400000US06,California,06,5018900,4646470,140250,19505,21795,30585,17580,50785,378725,34030,50140,90670,56280,147610,462475,31065,44375,90755,64770,231510,3665020,178925,211485,420165,341765,2512690,92840,3890,480,680,845,490,1395,9375,1130,1335,2445,1750,2710,10905,1105,1390,2580,1565,4270,68670,5670,5210,9385,6845,41560,197090,5805,865,755,1505,890,1790,18855,2565,2770,5345,2745,5430,25830,2675,3045,6570,4020,9515,146605,10690,8745,16830,13980,96360,82495,48030,7580,9040,13335,6175,11905,16135,1580,2540,3975,2035,6005,5940,480,840,1170,865,2585,12385,1525,1100,2135,1285,6345,25352,24910,3217,1031,1053,1343,1059,1896,5134,1330,1468,2047,1742,3165,6062,1346,1625,2438,1926,4474,19247,2944,3601,5123,5110,17663,2298,425,139,217,174,174,285,691,260,249,389,350,354,803,225,282,450,268,547,2167,743,516,889,572,1598,2936,562,168,193,311,264,300,1041,386,436,579,409,422,1276,390,404,655,530,671,2609,963,543,1048,834,2286,2551,1759,774,818,978,561,732,1183,268,453,490,327,692,518,154,226,268,218,363,985,382,216,376,261,711
2016thru2020,040,0400000US08,Colorado,08,997915,923705,54940,5905,8000,14460,7785,18785,181425,11615,17835,38805,28815,84350,198845,8605,13565,30905,28120,117645,488495,15160,17895,43155,39145,373140,14810,1725,360,235,385,205,540,5160,360,510,1300,1030,1960,2985,90,220,650,535,1490,4945,450,235,690,420,3145,40700,6155,1010,1490,2010,695,955,15285,1560,2340,4395,2795,4200,6920,550,630,1480,1195,3070,12340,885,610,1510,1300,8035,18700,12365,2315,2870,3345,1405,2425,3275,405,420,830,385,1240,1640,185,165,310,220,755,1420,15,225,250,150,775,6290,5891,1730,536,624,772,652,882,3472,789,1018,1454,1190,1994,3089,777,963,1379,1178,2445,4167,1077,1017,1680,1328,3664,984,337,196,95,141,105,205,587,121,136,288,250,384,539,59,124,191,315,341,616,146,113,203,142,524,1566,609,239,284,300,169,205,1078,440,320,652,409,564,612,193,198,306,238,373,824,197,219,280,336,739,916,804,412,498,415,286,337,391,135,174,186,126,230,297,129,105,132,104,197,239,21,122,110,84,213
2016thru2020,040,0400000US09,Connecticut,09,611120,552305,100595,6780,11780,22705,14980,44355,188300,7730,10425,26995,21930,121220,98275,3285,4505,9025,8135,73325,165135,5485,6045,9265,7800,136535,34000,13565,1320,1915,3340,1745,5245,12120,1075,1870,2590,1865,4715,4395,320,620,680,525,2250,3925,215,690,480,335,2205,23065,12940,1355,1915,2710,2330,4625,5560,440,705,895,790,2730,2025,150,150,155,390,1180,2545,265,115,175,220,1770,1745,1385,240,225,400,135,385,170,15,40,0,30,90,65,25,20,0,0,20,125,25,0,4,4,85,4457,4412,2552,585,836,1263,1034,1615,2942,879,688,1167,1040,2396,2363,538,529,767,758,1775,2956,557,603,809,623,2570,1615,954,300,400,383,271,581,1095,306,415,505,363,714,595,144,226,212,241,416,596,104,272,190,148,388,1115,864,324,310,389,327,518,579,130,264,217,216,440,301,87,62,89,183,238,371,137,105,75,137,302,324,264,138,118,117,101,135,103,22,49,30,43,72,56,35,22,30,30,39,84,36,30,17,10,76
2016thru2020,040,0400000US10,Delaware,10,170450,161415,19540,2475,2240,5135,2170,7510,55100,2625,4615,9280,7260,31325,33695,1375,1375,3945,3245,23760,53080,1870,1650,3765,3195,42605,585,145,0,65,20,4,55,320,25,4,45,25,220,70,0,10,20,0,45,50,0,0,10,0,40,2615,1000,110,55,235,185,415,1000,105,85,185,200,430,170,35,15,15,30,80,440,20,15,65,60,280,5835,3390,365,400,960,710,955,1910,85,165,265,235,1155,215,0,25,40,15,135,320,100,15,20,4,185,2754,2608,965,376,399,537,349,709,1703,398,625,726,762,1260,1207,286,315,619,522,1089,1823,387,384,489,384,1560,165,96,29,78,19,21,46,139,38,5,40,27,123,46,29,14,32,29,43,25,29,29,15,29,23,417,275,83,49,98,82,240,267,125,66,72,111,161,74,40,23,24,27,47,142,15,16,52,56,122,891,418,144,138,223,199,213,842,56,91,119,96,811,92,29,31,56,18,67,174,100,24,25,29,123
2016thru2020,040,0400000US11,District of Columbia,11,92060,63545,2480,535,265,285,220,1175,2820,320,485,455,475,1085,5895,920,460,960,740,2815,52350,2315,2100,1790,2685,43460,4595,175,50,0,30,40,55,95,10,15,15,0,60,155,30,0,15,4,105,4165,350,130,120,100,3465,23885,1355,200,135,225,245,550,790,175,85,90,145,290,1770,65,80,80,115,1430,19970,1005,285,455,1005,17225,35,10,0,0,0,0,10,0,0,0,0,0,0,4,0,4,0,0,0,25,0,10,0,0,15,2014,1646,310,140,127,111,85,221,398,93,167,158,159,210,598,284,106,341,177,469,1549,368,404,294,407,1470,448,84,50,31,49,37,42,61,15,21,23,31,53,82,44,31,29,12,57,445,201,84,116,68,381,1290,290,108,93,160,148,183,188,94,63,107,73,107,533,51,65,57,60,529,1188,371,129,189,266,1224,36,14,31,31,31,31,14,31,31,31,31,31,31,5,31,5,31,31,31,32,31,14,31,31,33
2016thru2020,040,0400000US12,Florida,12,2962080,2617470,320575,32810,45165,77145,45115,120345,717395,43480,60805,135735,97395,379980,514445,23855,30000,68255,56250,336085,1065055,37155,41320,86770,75190,824620,48830,13255,1610,2230,3915,1510,3985,19035,1770,2100,4570,2660,7935,5855,190,580,1225,420,3440,10690,680,850,1440,665,7055,181105,49700,8550,9135,12015,6145,13855,55410,6770,6700,11290,7750,22900,17865,1845,2010,2625,1930,9460,58130,3410,3100,5280,3905,42435,114670,82990,9795,13040,19910,11720,28520,22970,1625,2580,3755,3525,11480,4015,235,485,600,410,2280,4700,390,300,920,495,2595,20240,18852,5177,1539,1262,2315,1918,3064,7616,1828,2176,3456,2443,5427,6609,1590,1740,2277,2485,5399,10841,1808,1884,3584,2663,9846,2134,1000,355,450,650,326,447,1441,354,530,888,505,813,625,107,188,276,143,514,1014,251,328,380,212,751,4096,2008,832,980,799,536,1103,2294,714,822,791,673,1469,1352,753,459,428,542,871,2363,494,466,627,512,2019,2734,2516,1046,867,1120,796,1493,1485,335,500,469,847,965,559,127,164,229,159,434,744,218,173,364,157,570
