source,sumlevel,geoid,name,st,T18B_est1,T18B_est2,T18B_est3,T18B_est4,T18B_est5,T18B_est6,T18B_est7,T18B_est8,T18B_est9,T18B_est10,T18B_est11,T18B_est12,T18B_est13,T18B_est14,T18B_est15,T18B_est16,T18B_est17,T18B_est18,T18B_est19,T18B_est20,T18B_est21,T18B_est22,T18B_est23,T18B_est24,T18B_est25,T18B_est26,T18B_est27,T18B_est28,T18B_est29,T18B_est30,T18B_est31,T18B_est32,T18B_est33,T18B_est34,T18B_est35,T18B_est36,T18B_est37,T18B_est38,T18B_est39,T18B_est40,T18B_est41,T18B_est42,T18B_est43,T18B_est44,T18B_est45,T18B_est46,T18B_est47,T18B_est48,T18B_est49,T18B_est50,T18B_est51,T18B_est52,T18B_est53,T18B_est54,T18B_est55,T18B_est56,T18B_est57,T18B_est58,T18B_est59,T18B_est60,T18B_est61,T18B_est62,T18B_est63,T18B_est64,T18B_est65,T18B_est66,T18B_est67,T18B_est68,T18B_est69,T18B_est70,T18B_est71,T18B_est72,T18B_est73,T18B_est74,T18B_est75,T18B_est76,T18B_est77,T18B_est78,T18B_est79,T18B_est80,T18B_est81,T18B_est82,T18B_est83,T18B_est84,T18B_est85,T18B_est86,T18B_est87,T18B_est88,T18B_est89,T18B_est90,T18B_est91,T18B_est92,T18B_est93,T18B_est94,T18B_est95,T18B_est96,T18B_est97,T18B_est98,T18B_est99,T18B_est100,T18B_est101,T18B_moe1,T18B_moe2,T18B_moe3,T18B_moe4,T18B_moe5,T18B_moe6,T18B_moe7,T18B_moe8,T18B_moe9,T18B_moe10,T18B_moe11,T18B_moe12,T18B_moe13,T18B_moe14,T18B_moe15,T18B_moe16,T18B_moe17,T18B_moe18,T18B_moe19,T18B_moe20,T18B_moe21,T18B_moe22,T18B_moe23,T18B_moe24,T18B_moe25,T18B_moe26,T18B_moe27,T18B_moe28,T18B_moe29,T18B_moe30,T18B_moe31,T18B_moe32,T18B_moe33,T18B_moe34,T18B_moe35,T18B_moe36,T18B_moe37,T18B_moe38,T18B_moe39,T18B_moe40,T18B_moe41,T18B_moe42,T18B_moe43,T18B_moe44,T18B_moe45,T18B_moe46,T18B_moe47,T18B_moe48,T18B_moe49,T18B_moe50,T18B_moe51,T18B_moe52,T18B_moe53,T18B_moe54,T18B_moe55,T18B_moe56,T18B_moe57,T18B_moe58,T18B_moe59,T18B_moe60,T18B_moe61,T18B_moe62,T18B_moe63,T18B_moe64,T18B_moe65,T18B_moe66,T18B_moe67,T18B_moe68,T18B_moe69,T18B_moe70,T18B_moe71,T18B_moe72,T18B_moe73,T18B_moe74,T18B_moe75,T18B_moe76,T18B_moe77,T18B_moe78,T18B_moe79,T18B_moe80,T18B_moe81,T18B_moe82,T18B_moe83,T18B_moe84,T18B_moe85,T18B_moe86,T18B_moe87,T18B_moe88,T18B_moe89,T18B_moe90,T18B_moe91,T18B_moe92,T18B_moe93,T18B_moe94,T18B_moe95,T18B_moe96,T18B_moe97,T18B_moe98,T18B_moe99,T18B_moe100,T18B_moe101
2016thru2020,040,0400000US01,Alabama,01,583780,467010,193105,32280,34965,42115,22215,61525,117970,10125,13365,21495,14030,58950,55560,3910,4440,9325,5905,31985,100375,5910,6760,11950,8070,67685,1955,905,195,115,195,135,265,390,70,75,85,35,125,290,40,0,80,135,40,365,55,90,40,35,150,3395,970,230,145,195,105,300,885,245,65,95,205,280,420,40,15,200,15,150,1115,110,35,165,75,735,111425,101580,20740,19560,23105,10835,27345,4720,645,800,850,320,2105,1775,355,165,465,360,430,3345,790,680,480,395,1000,5803,5592,3232,1311,1370,1676,1098,2041,2928,738,940,1248,887,1949,1645,531,520,743,583,1373,2433,633,656,1002,789,2024,313,231,78,54,94,116,138,103,40,54,43,31,72,193,48,29,73,180,39,143,39,121,44,28,83,517,243,132,82,99,65,142,288,167,45,72,148,132,210,33,31,175,23,88,315,54,32,141,74,244,2607,2497,1070,1213,1188,774,1351,606,229,361,215,127,398,375,213,80,231,169,122,469,238,206,183,145,308
2016thru2020,040,0400000US02,Alaska,02,63180,52740,13245,3270,2455,2800,1200,3515,14080,1510,1840,2910,1675,6140,10300,820,945,1600,1195,5735,15120,925,1000,1910,1665,9620,1970,405,115,25,35,85,140,635,95,95,155,135,160,340,20,20,85,50,165,595,65,80,45,70,335,1895,890,125,310,125,75,255,525,50,35,210,95,135,335,30,35,50,15,210,145,25,20,20,4,80,6575,6170,1520,1315,1545,625,1160,255,25,60,40,40,85,30,0,15,10,0,4,120,50,60,4,0,10,1488,1294,587,281,229,272,141,317,875,212,351,399,346,593,692,195,243,232,255,521,812,197,156,249,317,652,316,155,72,24,26,108,53,184,61,93,113,96,81,145,19,21,80,39,96,165,73,65,28,47,147,353,235,75,196,60,33,114,232,55,23,195,70,71,161,45,47,71,20,144,85,36,16,24,23,73,590,573,347,294,299,179,214,72,25,42,37,30,45,20,23,18,13,23,20,83,74,54,4,23,15
2016thru2020,040,0400000US04,Arizona,04,638605,489775,85120,17600,15515,19040,8895,24065,113025,13230,15710,23455,13640,46990,71335,5585,7290,13445,8225,36785,220300,17290,16345,29915,18770,137980,5925,1715,365,405,330,180,435,1665,335,270,340,145,580,1125,200,110,125,125,565,1420,245,125,250,130,670,15325,4620,1400,1010,735,535,940,3790,610,555,755,410,1465,2460,295,440,310,205,1215,4455,495,330,430,405,2800,127580,106215,22525,21695,25225,11160,25615,13760,1870,2245,2920,2030,4695,3090,215,295,680,525,1380,4515,650,695,860,375,1935,5642,5231,2055,922,896,1058,796,1026,2596,1028,911,1092,960,1821,2078,551,541,1173,586,1621,3212,1041,1034,1327,1076,2915,609,238,121,118,112,78,125,294,163,105,125,78,145,350,107,84,110,71,317,319,138,93,144,62,232,995,444,244,226,154,152,193,475,146,184,219,116,330,488,120,223,98,109,373,668,180,137,125,185,635,2814,2491,1432,1127,1415,737,1312,1005,341,391,499,391,574,403,90,114,198,171,272,679,217,202,227,127,426
2016thru2020,040,0400000US05,Arkansas,05,354170,294595,124320,17295,21965,27440,13930,43690,80065,6245,8820,15530,8530,40940,29975,1775,2580,4125,2905,18590,60240,3125,4710,7385,4110,40910,1330,370,45,40,115,35,130,480,45,15,115,65,235,145,20,0,30,25,70,335,25,0,10,25,270,1165,400,45,70,100,50,135,520,25,95,270,45,80,85,20,15,4,4,40,160,15,0,20,0,125,57080,51130,8135,9395,11985,5810,15800,3440,270,405,555,590,1620,790,25,80,290,15,380,1725,185,190,470,270,605,4227,3791,2461,914,1200,1011,869,1390,2231,672,801,1159,720,1464,1457,336,401,428,402,1155,2031,417,630,714,507,1430,270,143,36,33,61,35,93,200,52,20,68,51,179,75,19,29,35,27,52,144,35,29,20,27,136,302,122,39,53,67,46,80,246,38,81,206,43,61,46,32,24,4,11,31,75,19,29,22,29,68,1805,1757,686,785,779,615,863,413,94,121,156,216,254,215,28,52,118,20,171,285,70,74,167,156,166
2016thru2020,040,0400000US06,California,06,2222420,1833065,113525,27480,21315,24855,11555,28320,172845,32675,30835,37880,20215,51235,165415,25805,26000,34130,19400,60080,1381280,180435,165875,231885,136375,666715,43645,3930,1175,885,955,250,670,4990,1385,1040,1100,505,960,4715,1125,850,1080,320,1345,30015,5155,4400,5275,3320,11860,92975,7845,2800,1560,1485,470,1525,12010,3625,2645,2420,935,2380,9525,2395,2000,2040,1095,1995,63595,12925,8455,10895,6270,25055,252735,204830,57075,52010,47435,18235,30080,25680,5485,5460,5985,2370,6380,7200,1505,1245,1740,775,1935,15020,3545,2935,2630,1685,4225,15981,14573,2398,1155,1112,1027,738,1271,3828,1471,1659,1631,1052,1725,3510,1321,1226,1213,1084,1895,10845,3117,2734,3910,2565,7282,1814,428,255,178,241,106,195,466,273,222,207,213,222,537,222,199,238,99,343,1366,615,427,566,531,820,2703,663,393,282,231,142,375,875,461,379,336,196,407,911,341,458,282,229,325,2211,1035,791,805,588,1436,3928,3441,1881,1904,1643,1120,1267,1415,618,510,548,274,794,601,314,233,376,270,308,1123,484,387,428,376,478
2016thru2020,040,0400000US08,Colorado,08,417410,352400,37080,8095,7225,9040,3885,8835,67180,10060,11585,15065,8265,22200,62545,8240,8335,12890,8020,25060,185595,15770,16625,28040,18710,106450,5750,895,255,190,185,100,160,1595,385,310,325,140,435,985,200,155,185,155,290,2275,335,270,600,250,820,19280,3330,1025,885,735,225,455,5425,1410,1395,1150,645,830,3000,670,520,905,310,590,7530,875,1015,1220,1045,3375,39980,35495,9685,8260,9120,3620,4810,2485,525,270,475,345,870,925,105,235,210,100,275,1075,170,240,210,175,280,4372,3937,1216,647,575,619,494,522,1782,656,811,663,601,1053,1731,798,732,810,628,975,2808,1004,934,1125,934,2646,562,180,113,79,84,61,73,302,138,112,113,80,195,227,82,89,92,64,141,339,110,134,185,126,189,1008,411,201,213,219,127,146,495,248,274,234,224,201,543,237,205,315,126,186,722,222,279,309,419,494,1499,1467,868,724,820,520,588,378,174,98,194,129,247,198,61,106,99,65,95,262,128,108,73,96,138
2016thru2020,040,0400000US09,Connecticut,09,304285,263105,54205,9325,9525,13245,6260,15850,85230,9105,11005,17195,10645,37275,46390,3705,5275,7325,4865,25220,77280,6250,6225,8350,6260,50190,18795,8060,1670,1660,1730,1025,1975,5625,980,1155,1415,650,1430,2130,375,490,360,340,570,2980,560,260,685,170,1310,15745,8465,2020,1680,2100,1035,1625,3585,695,615,580,355,1335,1420,315,195,150,220,540,2280,500,285,275,220,1005,6640,6270,1610,1380,1540,920,820,70,35,20,0,4,15,60,30,0,0,10,20,235,20,115,20,20,70,3236,2970,1707,1003,778,808,624,1024,2026,717,738,1030,736,1443,1570,513,517,614,472,1125,1875,556,477,728,662,1520,1165,644,212,266,313,245,424,574,275,272,380,192,260,313,111,210,158,127,168,557,203,102,197,73,471,1036,740,367,254,449,249,324,518,194,180,164,165,428,374,197,81,72,104,317,315,147,114,107,94,215,737,727,269,373,263,557,184,47,39,18,30,11,23,45,36,30,30,14,24,109,21,70,20,35,60
2016thru2020,040,0400000US10,Delaware,10,94465,77530,11010,2105,1785,2685,1375,3060,23405,3025,3600,5125,2510,9145,13795,1185,1265,2505,1775,7070,29320,2770,2300,4530,2165,17555,645,190,65,25,4,70,25,170,20,4,115,0,35,75,45,0,0,10,20,210,15,35,85,15,60,2655,1050,170,260,350,85,175,725,95,160,205,40,225,265,40,10,45,4,160,620,25,30,30,45,490,13630,11695,2340,2610,2995,1235,2520,1270,225,290,185,250,320,285,0,35,50,60,140,380,85,70,35,0,190,2222,2169,911,368,356,392,382,351,1384,394,501,571,327,808,942,304,257,361,394,559,1268,546,376,664,283,1017,229,127,55,39,11,104,29,101,23,7,94,29,31,78,74,29,29,13,23,95,22,37,73,23,32,351,214,89,127,166,65,100,193,78,76,111,30,82,105,51,23,38,14,85,256,34,21,22,56,258,917,879,378,405,443,263,435,261,125,179,84,112,92,121,29,46,45,51,94,161,100,51,28,29,100
2016thru2020,040,0400000US11,District of Columbia,11,30590,21190,1665,485,325,275,130,445,1620,315,360,150,240,555,2085,480,215,280,190,920,15820,2000,1385,1340,1385,9715,1450,145,30,35,15,10,55,25,15,0,0,10,0,60,15,0,35,0,10,1220,105,65,10,100,935,7925,625,150,140,80,0,260,400,50,160,20,30,140,735,145,130,0,145,315,6160,905,375,275,415,4190,25,25,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362,1210,258,153,118,99,75,148,475,118,222,67,134,370,585,195,92,105,79,510,953,345,222,345,243,693,384,78,53,38,18,23,46,31,27,31,31,16,31,61,23,31,54,31,17,372,87,50,17,88,349,586,172,102,75,79,31,110,145,46,96,23,41,74,212,82,84,31,139,155,555,260,133,136,204,407,34,34,31,14,31,31,33,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2016thru2020,040,0400000US12,Florida,12,2288800,1594200,298505,57365,57930,67140,34240,81830,384250,49425,55140,84410,46310,148965,260095,26815,31480,46740,28400,126660,651350,51585,49430,85220,55720,409400,55715,18225,4395,4255,4150,1710,3720,15650,3100,3100,3130,1925,4390,7080,1185,860,1240,875,2920,14755,2020,1205,2335,1320,7875,284270,93230,26485,20305,20245,7665,18530,67435,13420,10010,13575,7420,23015,25565,3315,3715,5325,2425,10790,98040,11665,8685,11810,7565,58315,354615,305115,57945,62300,79475,33535,71860,33890,4340,4735,7660,4340,12815,5690,830,845,1110,605,2300,9925,2195,1625,1680,885,3540,15830,12442,4744,2059,1683,1950,1386,2349,5652,1812,1879,2618,1702,3040,4629,1498,1728,1733,1583,3564,7192,2086,2049,2721,1995,5903,2043,1134,437,626,563,288,439,1009,553,447,497,301,530,749,275,288,309,315,457,1268,561,305,501,439,823,4465,2525,1208,1522,1357,736,1152,2286,1038,810,1271,617,1327,1754,597,1105,795,417,811,2154,877,641,926,729,1629,4840,4411,2202,1927,2082,1330,2517,1550,600,611,704,498,835,561,269,282,244,147,364,1028,637,414,362,186,486
