source,sumlevel,geoid,name,st,T18C_est1,T18C_est2,T18C_est3,T18C_est4,T18C_est5,T18C_est6,T18C_est7,T18C_est8,T18C_est9,T18C_est10,T18C_est11,T18C_est12,T18C_est13,T18C_est14,T18C_est15,T18C_est16,T18C_est17,T18C_est18,T18C_est19,T18C_est20,T18C_est21,T18C_est22,T18C_est23,T18C_est24,T18C_est25,T18C_est26,T18C_est27,T18C_est28,T18C_est29,T18C_est30,T18C_est31,T18C_est32,T18C_est33,T18C_est34,T18C_est35,T18C_est36,T18C_est37,T18C_est38,T18C_est39,T18C_est40,T18C_est41,T18C_est42,T18C_est43,T18C_est44,T18C_est45,T18C_est46,T18C_est47,T18C_est48,T18C_est49,T18C_est50,T18C_est51,T18C_est52,T18C_est53,T18C_est54,T18C_est55,T18C_est56,T18C_est57,T18C_est58,T18C_est59,T18C_est60,T18C_est61,T18C_est62,T18C_est63,T18C_est64,T18C_est65,T18C_est66,T18C_est67,T18C_est68,T18C_est69,T18C_est70,T18C_est71,T18C_est72,T18C_est73,T18C_est74,T18C_est75,T18C_est76,T18C_est77,T18C_est78,T18C_est79,T18C_est80,T18C_est81,T18C_est82,T18C_est83,T18C_est84,T18C_est85,T18C_est86,T18C_est87,T18C_est88,T18C_est89,T18C_est90,T18C_est91,T18C_est92,T18C_est93,T18C_est94,T18C_est95,T18C_est96,T18C_est97,T18C_est98,T18C_est99,T18C_est100,T18C_est101,T18C_moe1,T18C_moe2,T18C_moe3,T18C_moe4,T18C_moe5,T18C_moe6,T18C_moe7,T18C_moe8,T18C_moe9,T18C_moe10,T18C_moe11,T18C_moe12,T18C_moe13,T18C_moe14,T18C_moe15,T18C_moe16,T18C_moe17,T18C_moe18,T18C_moe19,T18C_moe20,T18C_moe21,T18C_moe22,T18C_moe23,T18C_moe24,T18C_moe25,T18C_moe26,T18C_moe27,T18C_moe28,T18C_moe29,T18C_moe30,T18C_moe31,T18C_moe32,T18C_moe33,T18C_moe34,T18C_moe35,T18C_moe36,T18C_moe37,T18C_moe38,T18C_moe39,T18C_moe40,T18C_moe41,T18C_moe42,T18C_moe43,T18C_moe44,T18C_moe45,T18C_moe46,T18C_moe47,T18C_moe48,T18C_moe49,T18C_moe50,T18C_moe51,T18C_moe52,T18C_moe53,T18C_moe54,T18C_moe55,T18C_moe56,T18C_moe57,T18C_moe58,T18C_moe59,T18C_moe60,T18C_moe61,T18C_moe62,T18C_moe63,T18C_moe64,T18C_moe65,T18C_moe66,T18C_moe67,T18C_moe68,T18C_moe69,T18C_moe70,T18C_moe71,T18C_moe72,T18C_moe73,T18C_moe74,T18C_moe75,T18C_moe76,T18C_moe77,T18C_moe78,T18C_moe79,T18C_moe80,T18C_moe81,T18C_moe82,T18C_moe83,T18C_moe84,T18C_moe85,T18C_moe86,T18C_moe87,T18C_moe88,T18C_moe89,T18C_moe90,T18C_moe91,T18C_moe92,T18C_moe93,T18C_moe94,T18C_moe95,T18C_moe96,T18C_moe97,T18C_moe98,T18C_moe99,T18C_moe100,T18C_moe101
2016thru2020,040,0400000US01,Alabama,01,582000,240865,50830,15925,10540,10705,3790,9875,69145,17240,15415,15875,6760,13860,97495,15620,14215,20200,12985,34475,23390,2755,1650,2910,1930,14145,85035,24000,16325,4545,1680,670,780,33045,10820,8560,7535,2155,3975,25365,5580,4280,5780,2570,7155,2625,375,295,430,250,1270,190505,26315,17380,5050,2430,570,890,56655,17275,15810,12410,4380,6785,88215,16580,13300,21615,10055,26670,19315,2880,1940,2205,1835,10460,65600,21955,7635,4790,4740,1975,2815,29285,8285,6440,6605,2660,5290,13850,3160,2785,3385,1395,3125,510,75,95,100,4,240,5960,4325,1827,968,754,967,469,833,2074,1067,918,1036,712,935,2382,1205,1039,1189,982,1220,1410,481,336,586,394,1023,2495,1131,1001,475,335,205,193,1712,919,737,819,404,635,1409,568,615,750,451,778,446,161,123,171,110,356,3442,1257,1067,628,388,168,223,2219,1095,1342,934,676,843,2405,1166,1365,1295,871,1262,1317,428,371,489,363,1037,2310,1315,807,655,513,447,452,1523,909,645,770,399,655,1102,518,464,596,299,485,163,50,56,74,4,113
2016thru2020,040,0400000US02,Alaska,02,89795,35340,6755,2395,1190,1405,535,1230,5710,1215,1060,1080,685,1670,14315,1245,2060,3445,2315,5250,8560,320,830,1750,1190,4470,25065,2705,795,570,430,215,690,5945,1265,1470,1740,605,860,13245,1495,1865,3570,2320,4000,3170,120,315,655,275,1805,26270,4295,2880,580,310,130,395,9545,2270,2745,2730,910,895,11315,1830,1735,3285,1775,2680,1115,175,60,65,155,660,3125,945,320,185,330,30,80,1070,295,270,190,170,145,950,145,145,295,110,260,155,0,20,55,55,25,1818,1387,463,305,209,224,145,202,557,295,295,266,236,310,842,261,298,427,338,552,715,109,205,388,207,489,1171,469,249,214,173,117,222,569,306,338,293,235,159,973,291,332,604,420,440,420,64,121,234,103,311,995,425,393,129,90,57,98,730,302,435,472,261,200,787,251,347,476,455,345,239,110,41,36,99,163,430,247,101,105,170,27,53,294,129,212,84,120,76,239,64,91,133,72,105,92,23,19,73,53,21
2016thru2020,040,0400000US04,Arizona,04,916255,369885,43550,15500,7975,7705,3570,8795,51880,11790,10605,13255,5675,10555,182830,20890,23535,42550,25255,70595,91625,7160,5900,13340,10655,54560,109810,8640,4650,1245,1210,545,990,31020,8680,7810,7900,2675,3955,57000,9720,10735,14815,6520,15210,13150,1180,1350,2560,1635,6420,379080,21085,13980,2830,1690,1020,1565,67650,23550,19010,14390,4350,6345,210795,37050,34805,58610,27965,52365,79550,10750,8305,13810,9285,37400,57480,14460,4880,3405,2915,765,2495,20740,5715,4740,5460,2105,2720,19565,2970,4230,5355,2325,4690,2715,210,460,485,620,935,6466,5253,1582,1132,640,628,479,796,1612,1031,787,857,583,907,3924,1365,1301,1830,1414,2538,2612,954,556,1071,1084,2036,3047,920,620,288,299,246,279,1390,728,731,775,404,505,2402,939,1097,1395,795,1054,1180,296,430,508,377,891,4839,1130,954,399,250,365,279,2425,1326,1200,969,486,604,4563,1587,1565,2629,1637,2330,2495,858,1003,1031,1005,1752,2343,1203,707,572,575,241,541,1401,805,535,763,429,472,1350,463,702,695,511,522,459,122,147,178,290,270
2016thru2020,040,0400000US05,Arkansas,05,400065,180115,30800,8370,6100,6400,2705,7225,50005,9815,9520,12975,5685,12010,83210,10990,12925,17980,10660,30655,16100,1175,1485,1930,1245,10265,72495,14625,9110,3170,1525,390,435,27820,7620,8435,6315,2415,3030,27655,4280,4650,7230,3760,7730,2400,350,160,420,275,1195,112095,14115,9105,2670,1090,370,885,40425,10705,10965,10440,3680,4640,49310,9335,6795,11970,6675,14535,8245,1415,1045,1260,980,3550,35360,11400,3280,2775,2115,1240,1990,14455,3615,3120,3145,1815,2755,9065,1630,1920,1650,1155,2710,445,35,85,85,125,115,4589,3873,1292,763,585,685,367,606,1781,866,830,900,608,985,2411,899,1095,1049,842,1531,1557,380,362,414,313,1238,1914,963,728,486,392,198,177,1254,691,764,657,385,408,1408,522,507,775,533,928,563,173,79,182,133,481,2126,1038,823,370,207,149,210,1766,850,1085,893,631,542,1567,806,748,1034,715,1087,740,318,237,402,250,509,1620,922,441,620,366,319,389,866,434,491,428,391,378,904,302,328,342,292,565,179,32,65,65,97,78
2016thru2020,040,0400000US06,California,06,5861795,2097850,206790,84390,36765,34385,14585,36670,307460,97720,73725,66500,26600,42910,875785,161125,166550,217550,107100,223460,707815,61715,65610,118165,80550,381770,880875,71190,45800,10360,6725,2510,5795,188245,69150,48730,38090,12585,19690,433475,98610,86600,106415,48635,93220,187960,22485,16910,31895,22445,94220,2758620,286090,212245,34825,19145,6260,13615,448140,187830,117120,83660,24410,35115,1176340,288380,248650,292965,126320,220025,848050,112960,80340,143275,99715,411760,124450,33815,15430,8105,4955,1790,3540,47945,18010,12440,9150,3620,4725,35920,8330,9095,8105,3585,6805,6770,1270,820,1170,1035,2480,20326,16549,3713,2149,1413,1573,1011,1682,4843,2431,2099,2460,1686,1600,8664,3717,3719,3925,2184,3660,7961,2216,2830,2796,2461,5412,7611,2310,1635,732,750,381,632,3507,1857,1681,1544,814,1165,5441,2720,2334,2424,1840,2492,3822,1137,953,1857,1214,2708,10403,3625,3688,1744,1080,599,1082,4946,3181,2802,2135,1360,1570,8616,4269,4338,3915,2929,4343,6074,2979,2361,3776,2635,4734,3474,1471,919,808,553,387,422,1770,1204,897,698,551,532,1882,753,955,903,457,807,750,269,219,304,263,500
2016thru2020,040,0400000US08,Colorado,08,722080,248635,28880,9955,5645,6070,2335,4880,45985,10280,10505,12220,4800,8175,124000,15560,18620,31690,19280,38855,49770,3545,3890,7790,6875,27670,79665,9395,5880,1670,1100,260,485,27255,7225,7615,7215,2080,3120,35495,7050,6800,8965,4660,8020,7520,1180,1145,1155,835,3205,369880,34415,25145,4615,2300,1045,1315,74470,25450,21815,16560,4845,5800,193870,36180,35720,53640,26890,41440,67125,8380,6540,12350,7820,32035,23900,6495,2530,1585,1300,370,710,11200,3530,2945,2485,840,1405,5425,1210,1035,1450,810,920,780,55,110,290,125,200,6562,3968,1414,883,534,600,389,509,1639,867,808,830,538,611,2620,890,1120,1348,1054,1686,1600,449,523,669,720,1336,2335,1004,928,341,272,102,177,1353,626,751,607,388,552,1367,671,675,682,447,660,679,260,234,258,288,405,5309,1439,1213,504,506,390,290,2432,1285,1214,1030,530,549,3757,1846,1560,2341,1303,1696,2256,897,774,966,661,1357,1122,564,375,342,238,161,191,740,512,470,387,239,312,618,266,246,329,237,232,234,82,66,179,108,91
2016thru2020,040,0400000US09,Connecticut,09,470030,99645,19010,7505,3180,3160,1675,3490,22065,5035,5350,4725,2270,4685,41960,7860,7100,9555,5065,12380,16610,1785,1640,1880,1600,9705,165145,22235,13255,4175,2465,940,1395,66990,19270,17390,16090,6080,8160,68320,18600,14545,15015,7045,13115,7600,1770,1075,795,760,3205,203145,42775,33715,4830,2145,435,1655,56750,20855,14925,11220,3855,5895,74815,15500,12960,18245,9960,18155,28805,3865,2515,3445,2795,16190,2095,890,535,145,100,30,80,980,385,220,160,30,190,145,70,50,20,0,10,75,0,30,4,0,40,4548,2677,1244,912,402,610,324,446,1366,542,703,633,416,543,1704,787,655,797,572,1026,1001,360,353,350,330,732,2892,1335,1127,566,522,307,226,1999,1252,1028,1019,570,931,2339,1091,1123,1050,813,854,809,466,292,236,265,357,2998,1714,1664,448,310,139,289,1890,1152,950,826,575,707,2061,947,1024,1241,877,1004,1234,482,405,533,510,947,407,310,279,91,62,34,65,253,159,105,69,28,133,76,55,39,31,30,16,66,30,46,30,30,45
2016thru2020,040,0400000US10,Delaware,10,106040,42660,5510,1940,1230,995,490,855,8920,2775,1730,1550,1005,1855,21185,3130,3495,4860,3010,6695,7045,810,675,1445,620,3500,12145,1125,740,230,100,50,10,4710,1475,1160,1170,395,515,5600,1045,950,1520,645,1440,705,125,80,185,105,210,45795,5965,4010,865,555,185,350,9605,2540,2850,2540,775,895,25745,4070,4130,6580,3040,7930,4480,960,435,550,500,2030,5435,905,300,130,150,30,295,2650,995,785,580,180,105,1815,310,495,520,165,330,65,15,0,0,35,10,2163,1604,558,278,260,264,170,192,840,625,338,295,290,418,1170,527,501,643,652,719,636,232,209,360,192,482,843,256,203,121,49,31,12,611,306,368,224,174,194,623,368,368,401,135,347,211,85,70,101,99,96,1558,723,562,256,195,89,247,932,461,479,502,342,286,1268,583,606,748,514,818,651,347,172,174,200,375,665,181,122,69,69,24,124,525,295,291,279,90,58,410,103,230,275,94,140,60,39,29,29,47,21
2016thru2020,040,0400000US11,District of Columbia,11,165660,21220,5250,2645,725,560,315,1000,2735,900,500,235,290,810,3000,585,290,530,525,1070,10235,920,610,555,660,7490,22195,4030,2790,510,155,115,460,6945,2640,1965,715,800,820,4430,1605,1055,335,270,1165,6790,415,190,345,425,5410,121965,20375,15430,1920,940,465,1620,25320,9510,5745,4645,1760,3660,18875,5155,3635,3250,2935,3900,57395,6610,3575,3460,5610,38135,285,200,185,0,10,10,0,70,50,0,20,0,0,0,0,0,0,0,0,10,0,0,0,0,10,2395,1197,540,406,217,190,209,229,362,225,166,95,161,190,459,134,116,276,246,243,897,227,201,219,160,693,1160,621,589,182,93,90,119,702,492,503,228,301,245,615,395,301,124,131,260,584,169,125,122,115,510,2245,1302,1075,330,224,150,473,1629,743,692,766,313,553,1162,570,494,677,569,465,1854,572,704,429,647,1584,139,128,127,31,16,13,31,50,42,31,31,31,31,31,31,31,31,31,31,24,31,31,31,31,24
2016thru2020,040,0400000US12,Florida,12,2680435,943145,88880,30525,16015,16720,7400,18220,109975,30025,26225,25890,10475,17365,436465,69140,76030,111025,56710,123560,307830,28795,30745,54210,35870,158215,356785,27605,16940,4815,3245,880,1720,61180,20105,17090,14210,4375,5395,205940,42080,41975,57330,25040,39510,62065,8005,7775,13700,7775,24805,1222830,94390,64570,13185,7635,2730,6270,110645,44025,29515,21560,6385,9160,601430,122725,127910,160485,71690,118620,416365,52320,45875,80580,48290,189295,157675,31555,11715,6845,6190,1890,4920,64825,20280,15445,15170,6155,7770,54095,11120,11310,14290,6785,10600,7200,890,1315,1140,1125,2735,14277,9176,2487,1417,865,1216,776,957,3174,1708,1449,1585,912,1138,6669,2333,2734,3452,2013,3273,5432,1715,1657,2893,2181,3369,5098,1543,1069,822,595,185,335,2037,1082,1253,1046,566,821,3639,1805,1582,2197,1461,1644,2318,764,883,1454,719,1396,9354,2713,2383,993,868,492,725,3013,1934,1667,1311,711,913,7166,3767,3100,3252,2464,2957,5428,2098,2106,2852,1950,3831,3925,1929,1519,744,729,366,717,2547,1189,1123,1167,727,808,2157,921,866,1231,747,966,793,290,364,333,386,493
