source,sumlevel,geoid,name,st,T2_est1,T2_est2,T2_est3,T2_est4,T2_est5,T2_est6,T2_est7,T2_est8,T2_est9,T2_est10,T2_est11,T2_est12,T2_est13,T2_est14,T2_est15,T2_est16,T2_est17,T2_est18,T2_est19,T2_est20,T2_est21,T2_est22,T2_est23,T2_est24,T2_est25,T2_est26,T2_est27,T2_est28,T2_est29,T2_est30,T2_est31,T2_est32,T2_est33,T2_est34,T2_est35,T2_est36,T2_est37,T2_est38,T2_est39,T2_est40,T2_est41,T2_est42,T2_est43,T2_est44,T2_est45,T2_est46,T2_est47,T2_est48,T2_est49,T2_est50,T2_est51,T2_est52,T2_est53,T2_est54,T2_est55,T2_est56,T2_est57,T2_est58,T2_est59,T2_est60,T2_est61,T2_est62,T2_est63,T2_est64,T2_est65,T2_est66,T2_est67,T2_est68,T2_est69,T2_est70,T2_est71,T2_est72,T2_est73,T2_est74,T2_est75,T2_est76,T2_est77,T2_est78,T2_est79,T2_est80,T2_est81,T2_est82,T2_est83,T2_est84,T2_est85,T2_est86,T2_est87,T2_est88,T2_est89,T2_est90,T2_est91,T2_est92,T2_est93,T2_est94,T2_est95,T2_est96,T2_est97,T2_est98,T2_est99,T2_est100,T2_est101,T2_est102,T2_est103,T2_est104,T2_est105,T2_est106,T2_est107,T2_est108,T2_est109,T2_est110,T2_est111,T2_est112,T2_est113,T2_est114,T2_est115,T2_est116,T2_est117,T2_est118,T2_est119,T2_est120,T2_est121,T2_est122,T2_est123,T2_est124,T2_est125,T2_est126,T2_est127,T2_est128,T2_est129,T2_est130,T2_est131,T2_est132,T2_est133,T2_est134,T2_est135,T2_est136,T2_est137,T2_est138,T2_est139,T2_est140,T2_est141,T2_est142,T2_est143,T2_est144,T2_est145,T2_est146,T2_est147,T2_moe1,T2_moe2,T2_moe3,T2_moe4,T2_moe5,T2_moe6,T2_moe7,T2_moe8,T2_moe9,T2_moe10,T2_moe11,T2_moe12,T2_moe13,T2_moe14,T2_moe15,T2_moe16,T2_moe17,T2_moe18,T2_moe19,T2_moe20,T2_moe21,T2_moe22,T2_moe23,T2_moe24,T2_moe25,T2_moe26,T2_moe27,T2_moe28,T2_moe29,T2_moe30,T2_moe31,T2_moe32,T2_moe33,T2_moe34,T2_moe35,T2_moe36,T2_moe37,T2_moe38,T2_moe39,T2_moe40,T2_moe41,T2_moe42,T2_moe43,T2_moe44,T2_moe45,T2_moe46,T2_moe47,T2_moe48,T2_moe49,T2_moe50,T2_moe51,T2_moe52,T2_moe53,T2_moe54,T2_moe55,T2_moe56,T2_moe57,T2_moe58,T2_moe59,T2_moe60,T2_moe61,T2_moe62,T2_moe63,T2_moe64,T2_moe65,T2_moe66,T2_moe67,T2_moe68,T2_moe69,T2_moe70,T2_moe71,T2_moe72,T2_moe73,T2_moe74,T2_moe75,T2_moe76,T2_moe77,T2_moe78,T2_moe79,T2_moe80,T2_moe81,T2_moe82,T2_moe83,T2_moe84,T2_moe85,T2_moe86,T2_moe87,T2_moe88,T2_moe89,T2_moe90,T2_moe91,T2_moe92,T2_moe93,T2_moe94,T2_moe95,T2_moe96,T2_moe97,T2_moe98,T2_moe99,T2_moe100,T2_moe101,T2_moe102,T2_moe103,T2_moe104,T2_moe105,T2_moe106,T2_moe107,T2_moe108,T2_moe109,T2_moe110,T2_moe111,T2_moe112,T2_moe113,T2_moe114,T2_moe115,T2_moe116,T2_moe117,T2_moe118,T2_moe119,T2_moe120,T2_moe121,T2_moe122,T2_moe123,T2_moe124,T2_moe125,T2_moe126,T2_moe127,T2_moe128,T2_moe129,T2_moe130,T2_moe131,T2_moe132,T2_moe133,T2_moe134,T2_moe135,T2_moe136,T2_moe137,T2_moe138,T2_moe139,T2_moe140,T2_moe141,T2_moe142,T2_moe143,T2_moe144,T2_moe145,T2_moe146,T2_moe147
2016thru2020,040,0400000US01,Alabama,01,1888505,1306505,109895,55740,33245,18815,510,290,4,1770,24640,15550,6605,265,85,0,1355,15180,10680,2980,220,115,0,925,5005,3150,1270,65,25,0,455,9330,6865,1385,165,45,4,595,1196610,57550,36965,16885,560,610,25,1785,101985,68520,28360,430,485,4,2660,187950,135195,43205,1550,840,70,4695,127530,94325,26680,1530,665,15,2570,721600,582865,105270,8110,3450,110,12255,582000,137145,90030,35680,45780,1330,260,20,5070,30600,13940,13885,540,75,25,1425,8970,4915,3115,130,20,0,645,2660,1330,1070,65,0,0,140,4885,2570,1310,420,4,0,515,444855,67880,28135,34430,1055,420,4,2685,79110,37665,35105,645,355,15,4055,109625,54995,46685,940,285,45,4815,51310,27240,19570,740,65,20,2710,136920,84285,40465,3735,640,20,5435,5746,8890,2634,1959,1373,1138,136,113,29,318,1361,1054,649,168,61,29,367,1066,890,652,108,67,29,297,661,530,293,55,44,29,208,618,560,291,94,32,10,195,8292,2009,1539,989,211,262,25,314,2510,2169,1498,194,157,3,428,3417,2711,1570,349,249,69,653,3012,2417,1409,330,192,21,369,6946,5379,2617,639,419,73,982,5960,3048,2436,1650,1984,336,107,25,575,1636,984,1078,213,46,35,416,893,611,476,69,20,29,177,487,284,348,64,29,29,110,637,410,316,156,4,29,175,5460,2214,1355,1517,250,186,4,388,2227,1490,1494,195,143,32,502,2825,1968,2005,289,113,53,571,1604,1381,1099,264,46,26,502,2909,2383,1733,422,233,35,601
2016thru2020,040,0400000US02,Alaska,02,255175,165375,24930,8580,4975,155,365,2380,15,280,5155,2720,265,190,1375,0,375,5480,3015,75,365,1260,110,420,1665,855,4,150,470,10,90,4050,2080,65,290,1020,40,220,140445,4025,2715,90,130,895,0,100,8450,5490,255,430,1400,15,375,19640,13715,260,1315,2020,55,1325,16875,11990,525,860,1450,45,940,91455,73575,1350,3260,4645,240,3735,89795,24790,11405,5445,560,600,2725,250,1120,6025,3400,410,155,985,205,565,3930,1750,75,510,790,195,330,1075,540,0,65,290,4,45,2355,1210,35,265,455,10,105,65010,5350,2635,235,345,1330,4,440,9075,5275,445,765,1150,45,655,17410,10430,1105,725,1760,475,1515,10405,6115,730,885,795,135,995,22765,16120,1320,1130,1220,295,1410,1324,1895,972,617,515,94,151,238,20,147,481,349,169,103,132,23,199,543,467,64,185,137,68,165,239,181,6,115,83,18,60,401,282,47,110,128,34,103,1876,434,374,76,80,134,23,72,631,481,130,207,139,22,197,1096,819,126,284,262,74,296,993,806,218,275,246,54,214,1488,1439,231,500,333,113,428,1818,1055,718,504,222,204,324,124,269,555,439,177,102,197,111,156,476,321,54,169,172,132,166,243,203,23,35,106,23,59,428,311,34,89,104,17,73,1782,555,391,119,160,284,5,160,802,562,255,247,224,41,229,993,806,354,211,232,213,291,775,543,228,297,196,107,312,1109,918,304,225,238,144,270
2016thru2020,040,0400000US04,Arizona,04,2643430,1727175,201720,78940,48755,1750,1630,5655,15,19100,47285,28625,1350,1060,1945,40,13220,37135,21720,1200,890,2140,75,10525,11905,5960,280,380,1210,0,3900,26455,12170,230,1175,3125,80,9395,1525455,57745,36610,1155,1455,4950,20,12655,105490,70440,1760,1910,3620,10,26140,228190,151520,4955,4340,5420,105,58710,161755,112030,4055,3075,2885,80,36960,972270,733955,21200,31380,12365,885,152550,916255,252470,126350,58925,11355,4315,4885,270,43210,66280,31465,5670,1750,2080,145,23385,34055,15370,2260,875,1835,110,12795,9445,3580,505,350,625,0,4245,16335,6155,635,1375,1555,155,6060,663785,52330,24590,4285,2340,4165,65,15715,80670,37310,6140,1500,3840,240,29255,171995,86950,13515,3405,5715,310,56345,95515,51835,8460,2460,2740,245,26765,263275,164310,15130,13035,5925,555,55075,6290,9001,3461,2559,1849,351,243,416,22,1409,2103,1575,324,271,265,29,961,1697,1112,349,209,303,76,1001,951,587,174,166,265,31,510,1239,923,91,311,443,58,815,9034,1734,1472,260,278,404,22,887,2549,1898,480,303,303,15,1638,4049,3309,568,464,440,72,2086,3155,2569,462,418,321,60,1661,7408,5587,1336,1266,705,194,3438,6466,4496,3239,2241,1023,694,453,105,1769,2268,1443,770,339,373,72,1513,2128,1277,503,271,344,66,1567,900,479,231,139,245,31,673,1497,646,228,350,310,67,1122,5953,1730,1214,586,369,420,48,1186,2396,1729,634,409,475,150,1356,3998,2173,1231,470,567,144,2565,2781,1785,816,469,406,118,1839,4147,3466,974,925,500,189,1878
2016thru2020,040,0400000US05,Arkansas,05,1170545,770475,61930,27055,19475,5090,215,390,0,1215,13390,9560,2160,220,175,30,955,9790,6960,1090,230,45,30,1220,3365,2595,170,15,30,0,320,8340,6010,865,165,100,15,955,708545,27340,20620,4350,145,320,4,1125,59790,46205,8280,415,335,4,3115,112670,89450,12595,875,670,10,6210,73710,59940,7595,525,390,15,3805,435035,372505,34520,5345,1675,10,12380,400065,91805,54430,29885,18790,560,300,120,3440,20280,11500,5585,220,130,240,1910,8820,4510,1675,190,230,310,1450,2920,1745,580,35,0,0,450,5350,2900,1045,510,0,250,510,308260,36395,20245,12565,365,215,20,1575,55535,33900,15000,485,340,310,3875,77710,47690,18825,915,385,425,7060,40245,26600,8115,220,265,190,3515,98375,68030,16475,3265,495,110,6265,4409,6164,2010,1289,1112,529,126,167,29,265,744,662,347,141,128,39,235,854,634,337,133,29,42,306,445,386,112,29,39,29,149,628,553,230,93,63,21,276,6103,1177,975,459,88,164,1,289,2067,1761,723,136,109,29,526,2429,2124,815,251,187,15,628,2409,1984,821,196,125,24,503,4659,4172,1300,484,290,17,812,4589,2681,1939,1413,1148,198,118,86,458,1471,932,716,109,122,99,443,996,655,373,140,133,148,344,533,385,237,39,29,29,201,616,401,257,274,29,142,205,4463,1526,1201,986,164,104,42,362,2052,1532,1123,196,136,142,483,2542,1905,1328,273,134,130,972,1632,1252,756,103,115,113,536,2923,2128,1232,532,166,92,778
2016thru2020,040,0400000US06,California,06,13103115,7241320,1217515,405420,199420,22405,61805,1480,1010,108550,277380,116085,12965,41035,1010,565,100085,255065,104765,9995,39090,545,965,93660,98070,36265,3385,15900,275,230,39585,181575,62750,4835,38925,735,650,69400,6023805,259040,134310,11135,37370,2225,440,67655,415390,219045,13695,51640,2350,840,120210,855010,420025,35120,108510,3240,2200,268965,648725,325280,27700,89250,2245,1625,186860,3845635,2282120,136815,614570,10515,8290,686190,5861795,2154020,1086795,325090,126365,130470,4820,3435,462420,539250,162520,42305,55610,1960,1830,259595,309755,91240,18765,36940,810,1380,153080,87240,22965,3280,14545,240,425,43970,130980,39135,6070,31545,390,585,49590,3707775,398660,131175,52310,74675,2455,1040,125560,477390,141215,47145,41435,2095,1570,231640,872405,322835,75700,85625,3260,2985,351405,494510,219170,39305,54615,2175,1875,158010,1464810,794260,90620,211745,4515,4635,297910,18539,35704,8354,5009,3447,1204,2100,251,223,2541,4452,2795,1129,1573,186,171,2429,3819,2548,797,1486,135,251,2309,1923,1460,567,933,115,111,1572,3306,1721,634,1496,192,155,1906,35730,3910,2960,695,1479,355,132,2089,4972,3209,817,1409,306,238,3012,8215,4569,1517,2747,356,313,4507,6943,4054,1249,1993,330,315,4102,26133,15272,2697,6010,812,698,8846,20326,15117,9946,4545,2839,2598,446,521,6685,6669,3622,1775,1874,379,320,3977,4912,2486,1338,1765,209,293,2961,2319,1412,407,932,117,130,1587,2771,1571,646,1544,135,155,1650,14471,5110,3009,1818,2070,350,312,2897,5412,3022,1739,1762,306,333,3751,8376,4239,2368,2254,380,509,5577,5949,4078,1600,1555,319,351,3335,9518,7549,2459,3829,427,680,4868
2016thru2020,040,0400000US08,Colorado,08,2137400,1415325,141035,62505,45195,2010,2010,365,10,11780,36740,26685,1315,1135,60,60,7015,23180,16725,630,825,25,4,4470,6595,4345,145,355,95,4,1470,12020,7845,385,380,30,65,2940,1274285,44780,33665,950,1255,340,15,7845,88025,65210,2140,1935,420,30,16825,201665,152435,5585,4650,1095,210,34490,153585,119795,3980,3555,560,85,22320,786230,662635,14265,19160,2120,830,71710,722080,198290,114760,66575,9485,3220,1020,285,30440,50440,30880,3115,1310,425,70,13470,19790,11760,1215,625,50,90,5630,5700,3155,335,315,65,0,1745,7600,4860,320,610,25,4,1410,523790,48395,26635,4730,1550,560,4,12905,79815,46080,5070,1560,615,150,24120,146785,92130,9555,3230,1085,205,35725,78165,53995,3575,1980,570,90,15715,170625,129240,6930,5885,850,335,22385,4708,7386,2853,2287,1649,394,404,133,23,997,1531,1278,295,233,36,68,759,1094,874,180,208,20,13,583,604,469,74,117,61,18,360,732,602,165,151,40,55,407,7641,1714,1462,314,246,116,22,711,2324,1788,411,358,117,30,1115,3349,2628,570,529,220,72,1421,2779,2460,536,412,204,58,1170,6186,5209,799,894,290,224,2017,6562,3556,2439,1932,766,432,219,139,1364,1817,1450,552,300,158,94,1135,1490,1017,312,186,44,94,780,666,499,171,143,60,29,439,749,608,125,144,25,5,338,5764,1910,1316,627,308,140,9,1147,2003,1658,593,300,150,143,1213,3043,2485,814,413,225,125,1629,2125,1632,604,327,195,80,1114,3432,2939,865,610,212,183,1439
2016thru2020,040,0400000US09,Connecticut,09,1385435,915410,107965,46945,36285,3980,1795,110,15,3975,30235,21415,2980,1130,30,0,4170,18110,12920,2095,785,55,0,2050,4735,3295,350,390,10,0,620,7945,5810,620,555,0,0,865,807445,18975,15375,1100,565,35,55,1620,50675,41890,2770,1440,40,0,3770,116290,90740,8460,2895,70,10,12295,89480,72675,6465,1855,95,0,7060,532030,450255,24580,20070,425,45,28985,470030,130975,92090,36615,18165,3060,290,10,31255,25680,12675,4915,1155,165,0,6300,7490,4040,710,685,0,15,1790,2185,995,205,400,0,0,555,3525,1605,510,525,0,0,795,339055,57910,24605,11580,1305,105,0,18995,64445,29995,11650,1375,90,15,19110,81525,42345,13340,2705,190,0,20785,40355,23955,5350,2740,60,45,7425,94815,62690,9905,7955,80,15,10955,3273,5010,2265,1614,1475,652,442,62,29,610,1135,1086,518,251,45,30,494,1117,1023,418,224,56,30,394,565,480,133,158,14,30,205,572,468,218,153,30,30,234,5223,1255,1026,281,200,32,69,377,1846,1562,496,239,33,30,521,2462,2125,778,381,44,15,1089,2037,1837,632,339,54,30,750,4912,4554,1285,835,147,48,1484,4548,2670,2344,1559,1212,419,139,20,1527,1302,852,646,250,99,30,740,710,451,196,200,30,30,360,429,271,110,134,30,30,226,468,278,187,164,30,30,224,4251,2150,1396,1059,342,94,30,1141,2128,1337,909,314,64,23,1295,2420,1811,988,431,111,30,1202,1862,1432,641,371,46,44,793,2371,2079,755,614,59,24,934
2016thru2020,040,0400000US10,Delaware,10,370955,264915,25585,12510,8410,2530,430,85,0,905,6420,4195,1440,165,70,0,405,3710,2470,680,185,10,0,340,1010,625,225,40,10,0,85,1935,1165,190,245,4,0,195,239330,8885,6195,1730,160,35,0,530,16805,11950,2880,450,120,0,1060,39225,28290,6495,1000,200,0,2340,25975,19995,4060,580,25,20,920,148445,115815,18525,5445,385,35,5200,106040,26805,15980,6470,6755,460,65,4,1795,6670,2680,2510,260,0,0,850,2540,1405,555,75,0,10,420,535,295,135,30,0,0,75,1075,440,300,140,0,0,200,79230,9270,3360,4490,340,20,0,675,12565,4275,5365,225,130,0,2125,20755,9820,7125,710,80,4,2310,10690,5610,2875,700,4,0,1145,25955,13820,7015,2325,4,0,2070,1820,2572,1298,1029,797,527,179,51,29,260,752,525,497,96,62,29,207,398,326,202,108,16,29,125,211,190,115,40,14,29,67,331,263,136,130,4,29,123,2709,700,600,317,81,27,29,171,990,747,445,228,64,29,328,1491,1298,813,228,67,29,410,1371,1098,506,284,23,30,228,2663,2213,996,454,110,24,548,2163,1576,1259,827,760,161,53,15,339,772,425,544,111,29,29,228,439,366,158,60,29,16,155,175,123,98,30,29,29,76,361,268,163,86,29,29,112,2111,714,444,533,131,17,29,232,989,578,674,107,77,29,410,1556,1034,796,242,67,10,364,930,580,539,312,5,29,316,1422,1060,872,329,4,29,371
2016thru2020,040,0400000US11,District of Columbia,11,288305,122650,13950,6685,1510,4110,90,110,0,400,2710,750,1575,30,0,0,235,985,215,605,60,10,0,80,1075,450,405,25,0,0,95,2500,1495,615,55,10,0,315,108695,3985,770,2620,220,15,0,220,4535,950,3360,45,0,0,130,6015,1365,4260,80,25,0,240,7365,2125,4095,155,0,0,635,86800,51895,22285,4320,35,25,5905,165660,41995,28355,4255,19480,920,140,0,2820,7250,2055,3070,480,0,0,1540,2395,950,820,150,0,0,420,1240,560,205,135,0,0,315,2755,1295,605,310,0,0,495,123665,21080,1220,17265,520,125,0,1465,13475,1405,10400,355,10,0,1020,13370,3170,7300,410,70,0,2110,12945,5230,4640,820,0,0,1690,62800,41220,11305,2965,80,4,4810,1321,2319,1081,678,286,516,47,84,31,141,515,246,389,32,31,31,137,192,77,156,42,19,31,77,255,156,151,29,31,31,63,631,521,352,48,13,31,110,2254,539,254,423,143,21,31,113,488,222,447,49,31,31,74,597,384,493,59,32,31,90,627,329,408,92,31,31,208,2087,1486,1240,490,39,25,660,2395,1746,1184,522,1049,293,91,31,402,946,454,705,251,31,31,338,416,211,261,79,31,31,161,248,182,90,93,31,31,138,606,534,177,158,31,31,196,2573,1183,230,1089,153,102,31,258,976,282,868,217,21,31,269,1312,454,915,158,61,31,468,972,569,622,316,31,31,445,1826,1594,816,397,62,5,515
2016thru2020,040,0400000US12,Florida,12,7931315,5250880,661180,278995,168420,34735,6125,645,15,64595,161145,91160,23895,3835,175,20,39835,119445,68930,14655,3070,245,30,29515,35525,19895,4625,1300,70,50,8735,66070,34790,8045,2700,200,30,18840,4589695,211250,135255,24805,4720,540,40,42105,374885,254785,40475,7450,885,75,66940,751240,498305,83720,15650,1230,285,140120,514500,348035,54065,10085,990,190,91765,2737820,2031700,194620,69720,4660,525,392485,2680435,829600,403470,138910,109365,5755,650,210,140640,252785,97235,53055,4280,540,130,92070,111660,48575,20145,2285,160,20,38120,24580,10240,4260,465,30,105,8830,37105,16535,5260,1740,45,75,12830,1850835,169785,57885,48470,4290,610,40,55230,219290,82100,58520,3135,440,135,70550,491715,206305,112420,7900,765,185,153150,268990,129365,51240,5275,465,185,76580,701055,415515,91850,21425,1600,530,153820,23194,29162,7426,4811,3712,1851,663,218,16,2217,3750,2333,1645,534,85,30,1998,3502,2429,1135,528,142,36,1815,1458,1222,677,319,54,43,827,2355,1658,732,408,93,56,1250,28789,3941,3076,1410,525,173,75,1696,5627,4574,1978,762,236,58,2297,8029,5183,2732,1145,251,147,3625,5738,4961,2241,736,251,110,2413,21948,14647,4086,2310,532,143,7656,14277,9811,6033,3503,3093,578,170,105,3768,4777,2664,2377,559,177,99,3018,3905,2487,1506,424,99,20,2071,1488,1033,517,166,32,83,895,1679,1297,608,368,57,69,877,11950,3597,1800,1922,608,220,39,2458,4123,2130,2756,447,155,88,2323,7290,4432,3774,880,231,84,4267,4672,2417,2422,688,162,91,2859,7866,6179,2718,1246,328,199,4344
