source,sumlevel,geoid,name,st,T3_est1,T3_est2,T3_est3,T3_est4,T3_est5,T3_est6,T3_est7,T3_est8,T3_est9,T3_est10,T3_est11,T3_est12,T3_est13,T3_est14,T3_est15,T3_est16,T3_est17,T3_est18,T3_est19,T3_est20,T3_est21,T3_est22,T3_est23,T3_est24,T3_est25,T3_est26,T3_est27,T3_est28,T3_est29,T3_est30,T3_est31,T3_est32,T3_est33,T3_est34,T3_est35,T3_est36,T3_est37,T3_est38,T3_est39,T3_est40,T3_est41,T3_est42,T3_est43,T3_est44,T3_est45,T3_est46,T3_est47,T3_est48,T3_est49,T3_est50,T3_est51,T3_est52,T3_est53,T3_est54,T3_est55,T3_est56,T3_est57,T3_est58,T3_est59,T3_est60,T3_est61,T3_est62,T3_est63,T3_est64,T3_est65,T3_est66,T3_est67,T3_est68,T3_est69,T3_est70,T3_est71,T3_est72,T3_est73,T3_est74,T3_est75,T3_est76,T3_est77,T3_est78,T3_est79,T3_est80,T3_est81,T3_est82,T3_est83,T3_est84,T3_est85,T3_est86,T3_est87,T3_moe1,T3_moe2,T3_moe3,T3_moe4,T3_moe5,T3_moe6,T3_moe7,T3_moe8,T3_moe9,T3_moe10,T3_moe11,T3_moe12,T3_moe13,T3_moe14,T3_moe15,T3_moe16,T3_moe17,T3_moe18,T3_moe19,T3_moe20,T3_moe21,T3_moe22,T3_moe23,T3_moe24,T3_moe25,T3_moe26,T3_moe27,T3_moe28,T3_moe29,T3_moe30,T3_moe31,T3_moe32,T3_moe33,T3_moe34,T3_moe35,T3_moe36,T3_moe37,T3_moe38,T3_moe39,T3_moe40,T3_moe41,T3_moe42,T3_moe43,T3_moe44,T3_moe45,T3_moe46,T3_moe47,T3_moe48,T3_moe49,T3_moe50,T3_moe51,T3_moe52,T3_moe53,T3_moe54,T3_moe55,T3_moe56,T3_moe57,T3_moe58,T3_moe59,T3_moe60,T3_moe61,T3_moe62,T3_moe63,T3_moe64,T3_moe65,T3_moe66,T3_moe67,T3_moe68,T3_moe69,T3_moe70,T3_moe71,T3_moe72,T3_moe73,T3_moe74,T3_moe75,T3_moe76,T3_moe77,T3_moe78,T3_moe79,T3_moe80,T3_moe81,T3_moe82,T3_moe83,T3_moe84,T3_moe85,T3_moe86,T3_moe87
2016thru2020,040,0400000US01,Alabama,01,1888505,1306505,7170,1895,1000,1575,905,1795,3390,605,510,730,405,1135,10505,1195,1415,2285,1420,4190,88830,52045,21715,10585,2275,2210,121280,19370,28895,38690,14790,19535,13770,13770,0,0,0,0,1061560,24405,73090,149260,112740,702065,582000,9005,2580,2405,1710,795,1515,6590,1805,1220,1735,700,1125,10720,2855,2770,2190,885,2015,110835,82790,24205,3335,275,230,106610,20545,45275,34280,4680,1835,21270,21270,0,0,0,0,316975,26070,33835,75350,46630,135090,5746,8890,709,298,230,528,218,318,413,223,203,206,152,208,938,289,329,396,324,534,2453,1945,1260,905,475,370,2673,1361,1320,1679,996,1237,1000,1000,29,29,29,29,8116,1277,2065,3163,2767,7005,5960,869,400,465,405,183,354,734,301,399,367,273,341,796,450,455,345,261,372,2950,2393,1559,532,121,110,2885,1278,1746,1613,539,404,1273,1273,29,29,29,29,4148,1132,1555,2296,1459,2917
2016thru2020,040,0400000US02,Alaska,02,255175,165375,6375,2300,1160,1410,490,1015,2295,295,460,565,250,730,4385,245,795,965,520,1865,11875,5745,2740,2540,410,440,19875,1715,2620,6375,4150,5010,585,585,0,0,0,0,119990,1725,5830,13260,12730,86445,89795,4400,1705,800,905,275,720,2820,590,455,860,350,565,4280,680,855,1230,440,1070,13290,8425,3910,940,10,0,17535,2205,6105,6635,1880,710,705,705,0,0,0,0,46770,2440,2975,10775,8525,22060,1324,1895,479,324,127,258,93,175,272,98,138,139,81,137,466,61,255,226,156,276,830,573,379,452,121,132,975,273,353,590,478,554,137,137,23,23,23,23,1727,257,531,864,843,1507,1818,485,241,249,277,146,258,417,184,127,224,134,147,494,172,225,297,145,279,784,646,436,248,18,23,992,419,619,639,300,214,162,162,23,23,23,23,1555,353,415,842,705,1090
2016thru2020,040,0400000US04,Arizona,04,2643430,1727175,14780,4590,2390,2520,1265,4015,10870,1480,1680,2535,1360,3815,33070,3530,4815,7945,4645,12130,143000,69340,38400,24135,4635,6490,191885,19150,37295,63990,29395,42055,18485,18485,0,0,0,0,1315085,20110,68195,164200,132365,930215,916255,16195,6110,3285,3115,1080,2600,24925,6360,5550,5395,2780,4840,43935,11215,9680,11460,4125,7450,167415,102665,47765,14080,1465,1440,183950,13420,57470,83070,19855,10135,20135,20135,0,0,0,0,459705,18775,23200,88920,75665,253140,6290,9001,882,426,319,409,272,506,771,237,310,284,295,561,1618,737,556,777,611,950,3218,2368,2010,1442,523,853,4248,1246,1814,2564,1488,1537,1054,1054,31,31,31,31,8808,1111,1986,3007,3088,7399,6466,1220,773,506,681,243,461,1422,765,740,630,645,866,2524,908,934,1574,634,1040,3552,2675,2053,1076,303,354,3855,1019,2152,2734,1365,773,1186,1186,31,31,31,31,5369,1229,1266,2929,2421,4274
2016thru2020,040,0400000US05,Arkansas,05,1170545,770475,6055,1420,915,990,800,1935,2405,300,330,705,155,915,9540,850,1305,2125,960,4295,43935,24485,10840,5965,1455,1195,68420,10095,17730,23195,7825,9570,6555,6555,0,0,0,0,633570,10690,42060,89475,65880,425460,400065,7690,2970,1300,1625,610,1180,6860,2095,1580,1460,630,1095,12895,2725,2505,3505,1500,2660,64365,46640,14895,2230,175,420,72695,11565,33255,23780,2940,1155,11035,11035,0,0,0,0,224530,13795,22285,53925,37305,97220,4409,6164,646,258,202,268,209,372,361,113,139,237,68,180,703,259,259,365,220,410,1694,1191,710,665,288,364,2127,770,938,1301,692,746,663,663,29,29,29,29,6278,785,1695,2064,2369,4808,4589,759,510,259,444,225,273,752,393,325,320,257,276,1051,432,394,574,419,416,2417,1956,1267,534,71,168,1835,851,1439,1370,514,236,1032,1032,29,29,29,29,4196,959,1289,2325,1589,2941
2016thru2020,040,0400000US06,California,06,13103115,7241320,31710,6865,4510,5765,3275,11295,77625,6690,10975,19610,11725,28625,221470,14310,29950,53600,34195,89420,886710,377560,231945,176090,48875,52235,1148560,90840,147905,313250,196020,400550,56575,56575,0,0,0,0,4818665,111625,267485,541765,452705,3445085,5861795,139175,59905,26575,24700,9155,18840,301975,93200,72035,67170,24900,44670,451425,121630,113815,111270,41720,62990,1261445,812055,326825,106615,11465,4480,1178880,147230,337305,449345,144320,100680,102855,102855,0,0,0,0,2426040,148575,140090,423055,350190,1364130,18539,35704,1306,458,502,562,459,750,2297,649,829,1090,779,1309,3409,882,1226,1650,1209,2189,7317,4828,3995,3035,1782,1940,8455,2226,2970,4112,3882,5192,2034,2034,31,31,31,31,32444,2514,3926,6280,5801,24889,20326,3393,2408,1162,1318,891,1349,4392,2133,2116,2068,1446,1728,6015,3144,2702,2724,1546,1985,11370,8171,5726,3181,1078,624,9379,3040,4750,5831,2819,2531,2765,2765,31,31,31,31,13005,3154,3140,5649,5521,9450
2016thru2020,040,0400000US08,Colorado,08,2137400,1415325,5265,1395,860,925,580,1505,4270,370,760,1145,545,1450,14300,1310,2165,3695,2220,4910,117200,59425,32960,17410,3250,4150,179850,17125,33495,65370,28765,35090,8785,8785,0,0,0,0,1085655,18875,54530,136295,124820,751135,722080,12955,5140,2765,2100,960,1995,12335,2865,3305,2620,1425,2120,22555,5975,5180,6045,2440,2915,150440,100780,39190,9030,870,575,162640,16910,57700,67835,14455,5740,10220,10220,0,0,0,0,350925,21265,22115,78950,63710,164885,4708,7386,568,327,211,275,173,298,513,139,321,281,176,263,947,268,438,492,354,551,2436,2203,1441,915,433,454,3126,983,1265,1964,1380,1468,728,728,29,29,29,29,7405,1092,1846,2609,2660,6186,6562,1084,714,438,365,302,354,891,423,510,422,309,319,1366,695,583,832,493,513,3022,2365,1655,825,211,325,2938,1185,1628,1986,949,616,1072,1072,29,29,29,29,5206,1159,1111,2600,1991,3346
2016thru2020,040,0400000US09,Connecticut,09,1385435,915410,2870,430,595,395,440,1010,1495,65,235,295,225,680,5880,325,750,1540,860,2400,97720,46125,28655,15880,3205,3855,134605,10435,28895,44595,20475,30205,4830,4830,0,0,0,0,668010,3705,21780,71695,69005,501825,470030,7590,3025,1900,1240,465,960,6200,2480,1260,1170,465,825,11495,3860,2825,2195,1040,1575,105690,82725,19690,2890,215,165,99175,21270,43480,27010,4510,2905,9855,9855,0,0,0,0,230025,26785,20970,54515,35845,91910,3273,5010,379,148,208,129,186,231,265,41,100,106,114,192,548,110,196,345,205,363,2265,1602,1209,1057,444,382,3099,972,1525,1660,1064,1264,546,546,30,30,30,30,5276,416,1148,2113,1773,4734,4548,685,485,390,323,148,196,668,443,285,320,154,250,904,511,415,360,317,323,2454,2282,1162,463,85,92,2468,1235,1690,1445,584,413,885,885,30,30,30,30,4005,1634,1102,2087,1795,2381
2016thru2020,040,0400000US10,Delaware,10,370955,264915,870,145,60,190,95,375,285,60,4,30,75,115,1920,345,200,440,190,740,22510,11960,6150,3050,650,700,31765,3410,5865,11905,4605,5980,2045,2045,0,0,0,0,205520,3430,10940,27315,21365,142465,106040,1195,440,210,210,60,280,1030,215,385,125,100,210,2690,565,500,700,345,585,21890,14765,5580,1510,30,4,22530,3170,8460,8540,1540,815,2665,2665,0,0,0,0,54035,3430,4105,12210,9150,25140,1820,2572,231,68,55,99,84,181,105,43,15,32,57,61,302,156,101,152,103,179,1385,1049,762,364,185,204,1400,471,599,1119,591,510,344,344,29,29,29,29,2676,451,746,1165,1182,2565,2163,353,221,91,86,55,239,294,101,198,70,93,135,405,179,180,188,136,204,1546,1283,678,373,24,11,1267,599,773,971,330,287,484,484,29,29,29,29,2210,443,564,1098,882,1400
2016thru2020,040,0400000US11,District of Columbia,11,288305,122650,620,130,50,20,45,375,590,0,95,30,0,465,955,70,170,120,40,555,11785,6480,2395,820,990,1100,13525,1205,1405,2150,1895,6870,1195,1195,0,0,0,0,93975,1585,3130,3865,5470,79930,165660,1430,500,270,125,205,335,4875,1235,1100,540,380,1625,3950,1880,630,490,275,680,31735,24745,5250,1240,380,120,31400,6660,8255,5910,4565,6015,5275,5275,0,0,0,0,86990,9150,5220,7460,8380,56785,1321,2319,449,105,43,24,57,422,270,31,83,32,31,254,210,74,104,61,33,134,984,654,501,183,241,413,795,268,271,448,319,684,264,264,31,31,31,31,2237,345,375,482,607,2051,2395,285,182,145,74,126,137,803,365,314,206,150,513,493,344,203,178,129,233,1483,1134,882,306,121,65,1728,792,797,854,523,579,762,762,31,31,31,31,2173,829,609,905,925,1705
2016thru2020,040,0400000US12,Florida,12,7931315,5250880,23435,5710,3345,4120,2600,7660,20500,1805,3030,5155,2645,7870,63355,4170,8525,15570,9120,25970,553890,267315,146250,94595,21160,24570,685710,75075,134065,216025,103545,157000,60710,60710,0,0,0,0,3843280,75465,240820,535215,410960,2580820,2680435,42915,13420,10270,9240,3215,6765,49645,11815,10900,12170,5075,9685,97870,23010,22800,26045,9920,16100,639165,355230,208815,64205,6365,4555,620810,40875,164180,288695,77910,49150,67360,67360,0,0,0,0,1162665,61550,55110,203020,191080,651910,23194,29162,1383,672,592,438,636,817,1268,317,468,631,443,706,2019,585,803,1144,877,1475,7213,4706,3398,3117,1021,1520,8049,2300,3605,4685,2969,4469,2224,2224,34,34,34,34,27730,2499,4704,6629,5410,22086,14277,1983,1282,1044,804,418,745,1921,857,841,1062,565,775,2400,1413,1294,1394,879,945,8371,5682,4046,3018,870,614,7148,1713,3654,5548,2779,2270,2621,2621,34,34,34,34,10212,1995,2036,4992,3826,7504
