source,sumlevel,geoid,name,st,T4_est1,T4_est2,T4_est3,T4_est4,T4_est5,T4_est6,T4_est7,T4_est8,T4_est9,T4_est10,T4_est11,T4_est12,T4_est13,T4_est14,T4_est15,T4_est16,T4_est17,T4_est18,T4_est19,T4_est20,T4_est21,T4_est22,T4_est23,T4_est24,T4_est25,T4_est26,T4_est27,T4_est28,T4_est29,T4_est30,T4_est31,T4_est32,T4_est33,T4_est34,T4_est35,T4_est36,T4_est37,T4_est38,T4_est39,T4_est40,T4_est41,T4_est42,T4_est43,T4_est44,T4_est45,T4_est46,T4_est47,T4_est48,T4_est49,T4_est50,T4_est51,T4_est52,T4_est53,T4_est54,T4_est55,T4_est56,T4_est57,T4_est58,T4_est59,T4_est60,T4_est61,T4_est62,T4_est63,T4_moe1,T4_moe2,T4_moe3,T4_moe4,T4_moe5,T4_moe6,T4_moe7,T4_moe8,T4_moe9,T4_moe10,T4_moe11,T4_moe12,T4_moe13,T4_moe14,T4_moe15,T4_moe16,T4_moe17,T4_moe18,T4_moe19,T4_moe20,T4_moe21,T4_moe22,T4_moe23,T4_moe24,T4_moe25,T4_moe26,T4_moe27,T4_moe28,T4_moe29,T4_moe30,T4_moe31,T4_moe32,T4_moe33,T4_moe34,T4_moe35,T4_moe36,T4_moe37,T4_moe38,T4_moe39,T4_moe40,T4_moe41,T4_moe42,T4_moe43,T4_moe44,T4_moe45,T4_moe46,T4_moe47,T4_moe48,T4_moe49,T4_moe50,T4_moe51,T4_moe52,T4_moe53,T4_moe54,T4_moe55,T4_moe56,T4_moe57,T4_moe58,T4_moe59,T4_moe60,T4_moe61,T4_moe62,T4_moe63
2016thru2020,040,0400000US01,Alabama,01,1888505,1306505,231170,45940,40100,5840,83645,67935,15705,101590,101385,200,1061560,132880,121395,11485,673275,606185,67090,255405,255060,350,13770,2145,1970,175,2635,2545,90,8990,8990,0,582000,243755,78520,67180,11335,37480,26865,10615,127755,127515,240,316975,75635,69300,6335,95990,82680,13310,145350,145160,195,21270,5485,5150,335,920,855,65,14860,14860,0,5746,8890,3532,1870,1786,652,2238,1955,1135,2464,2470,125,8116,2961,2836,829,7019,6606,1915,3700,3699,125,1000,351,309,131,435,427,80,808,808,29,5960,3476,2367,2315,888,1597,1188,942,2809,2793,106,4148,2156,2104,601,2570,2389,951,3113,3109,84,1273,639,620,152,266,250,49,1002,1002,29
2016thru2020,040,0400000US02,Alaska,02,255175,165375,44805,7760,5565,2190,20425,13720,6705,16620,16595,25,119990,13865,12270,1600,77455,67400,10055,28665,28525,140,585,70,65,4,130,130,4,380,380,0,89795,42320,10005,7715,2295,13415,8885,4535,18900,18745,150,46770,8695,7960,735,15860,13560,2300,22215,22180,35,705,105,90,15,20,20,0,580,580,0,1324,1895,1353,525,474,269,987,781,564,956,957,20,1727,747,731,252,1659,1636,680,1069,1070,83,137,40,40,14,76,77,23,110,110,23,1818,1331,693,658,347,948,822,573,947,934,78,1555,635,627,240,897,811,386,1125,1123,31,162,57,50,22,27,27,23,163,163,23
2016thru2020,040,0400000US04,Arizona,04,2643430,1727175,393605,66770,49950,16820,174610,127165,47445,152225,152005,220,1315085,163555,142995,20560,824655,722095,102560,326875,325660,1215,18485,2660,2310,345,5130,4820,310,10695,10695,0,916255,436420,123870,94655,29215,100635,62675,37960,211915,210995,920,459705,102190,91235,10955,150655,124420,26235,206855,205440,1415,20135,4960,4340,620,1045,995,50,14125,14110,20,6290,9001,5038,2402,2237,1130,3366,2916,1691,3364,3356,107,8808,2886,2906,1255,7570,6947,2898,4238,4214,313,1054,550,430,284,501,493,157,689,689,31,6466,5669,3066,2705,1780,3653,2258,2654,4051,4053,325,5369,2814,2856,826,3179,2844,1514,4641,4604,594,1186,680,622,308,255,255,32,1007,1006,23
2016thru2020,040,0400000US05,Arkansas,05,1170545,770475,130350,22435,19295,3140,52265,39055,13210,55655,55565,85,633570,75475,68310,7165,407690,364640,43055,150405,150240,165,6555,900,875,25,1040,1005,40,4615,4615,4,400065,164500,51490,42465,9025,30295,20190,10105,82715,82540,175,224530,52420,47980,4440,72425,61475,10950,99685,99490,195,11035,3095,2880,215,585,545,35,7360,7360,0,4409,6164,2856,1163,1105,413,1836,1678,901,1877,1880,68,6278,2197,2113,632,5636,5092,1559,2860,2854,81,663,210,208,24,232,235,42,578,578,11,4589,2696,1777,1601,851,1573,1233,894,1965,1979,104,4196,1920,1780,567,2581,2355,908,2526,2546,113,1032,635,615,119,212,202,43,778,778,29
2016thru2020,040,0400000US06,California,06,13103115,7241320,2366075,410765,323540,87225,1243090,895415,347675,712220,709255,2965,4818665,642915,549965,92950,3189655,2724935,464720,986095,981075,5020,56575,8630,8220,410,12010,11280,730,35935,35905,30,5861795,3332900,923330,706555,216775,1105385,725555,379830,1304190,1289720,14470,2426040,470850,418290,52560,950240,817710,132530,1004950,995900,9050,102855,19595,18630,965,10200,8830,1370,73055,72805,255,18539,35704,10830,5243,4352,2159,8572,7401,4292,7540,7471,394,32444,7281,6312,2242,26710,25077,5487,8938,8908,576,2034,758,739,181,939,898,224,1709,1704,30,20326,18858,9735,7882,4664,9080,7737,5519,9867,9785,949,13005,5628,5337,1867,10050,9557,2802,7218,7148,757,2765,1263,1256,222,877,826,331,2180,2163,124
2016thru2020,040,0400000US08,Colorado,08,2137400,1415325,320885,45705,39945,5760,146210,115530,30680,128975,128700,270,1085655,107575,96355,11220,723145,637285,85860,254935,254125,810,8785,1215,1085,130,1665,1575,95,5900,5900,4,722080,360930,75630,64495,11135,82775,60700,22075,202525,201640,880,350925,57150,52005,5150,115160,99285,15875,178615,177420,1195,10220,1960,1830,130,710,630,80,7550,7490,60,4708,7386,3816,1665,1527,659,2607,2019,1308,2624,2630,118,7405,2599,2495,871,6294,6545,2052,3378,3344,206,728,287,279,78,298,272,78,590,590,29,6562,4804,2027,1833,866,2630,2246,1349,3584,3557,205,5206,2067,1987,457,2845,2678,1022,3802,3776,316,1072,383,365,97,200,185,53,889,889,66
2016thru2020,040,0400000US09,Connecticut,09,1385435,915410,242565,40955,36815,4140,103070,86595,16475,98540,98470,70,668010,76300,68545,7760,453250,404550,48700,138455,138175,280,4830,750,740,4,900,900,0,3180,3180,0,470030,230150,69060,59435,9625,43550,32135,11415,117540,117080,460,230025,49100,44935,4165,63195,57080,6115,117730,117415,320,9855,2400,2295,110,465,405,60,6990,6975,15,3273,5010,3524,1707,1633,555,2312,2073,1079,2669,2668,45,5276,2151,2064,678,4696,4843,1677,3242,3234,130,546,203,200,18,266,266,30,394,394,30,4548,3273,2058,1896,787,1633,1442,996,2735,2749,181,4005,1936,1914,600,1962,1874,602,3017,3004,112,885,443,429,70,176,156,59,774,773,24
2016thru2020,040,0400000US10,Delaware,10,370955,264915,57350,10120,8645,1475,22505,19000,3505,24725,24700,25,205520,27180,24355,2820,130560,118285,12275,47780,47670,110,2045,125,125,0,445,435,10,1475,1475,0,106040,49340,14710,12230,2480,8180,5585,2595,26445,26270,180,54035,12365,10985,1375,16110,14165,1945,25560,25440,125,2665,485,465,15,230,230,0,1950,1950,0,1820,2572,1957,771,743,276,1352,1217,496,1319,1321,24,2676,1348,1177,425,2433,2467,1339,1646,1651,78,344,58,58,29,169,168,22,318,318,29,2163,1806,1000,1017,389,781,563,482,1465,1460,69,2210,999,911,303,1064,969,422,1431,1441,88,484,232,232,20,137,137,29,370,370,29
2016thru2020,040,0400000US11,District of Columbia,11,288305,122650,27480,5130,4340,790,6245,5500,745,16105,16065,40,93975,12125,10885,1240,43780,39545,4235,38070,37915,155,1195,95,95,0,100,85,15,1005,1005,0,165660,73395,17900,15050,2850,8290,6970,1320,47205,47030,175,86990,12150,11135,1015,16820,15975,845,58020,57355,660,5275,795,765,30,70,70,4,4410,4400,10,1321,2319,1377,504,499,196,572,561,176,1154,1160,31,2237,933,866,244,1434,1431,441,2003,2002,71,264,56,56,31,88,86,23,248,248,31,2395,2235,1161,1075,527,774,686,303,1909,1914,72,2173,870,864,235,1151,1115,257,2137,2148,146,762,245,238,37,69,68,5,741,739,15
2016thru2020,040,0400000US12,Florida,12,7931315,5250880,1346890,219440,187790,31650,574260,471320,102940,553195,552465,730,3843280,481435,434185,47250,2346530,2134520,212010,1015315,1013690,1625,60710,6845,6260,585,14985,14695,295,38880,38880,0,2680435,1450410,417655,354520,63135,363455,280400,83055,669300,667410,1890,1162665,253980,229545,24440,416125,365615,50515,492555,490940,1615,67360,17350,16140,1210,6000,5340,660,44010,43960,55,23194,29162,10679,3960,3832,1529,6674,5711,3135,6593,6577,214,27730,5438,4709,2290,22595,21630,4507,8997,8994,247,2224,746,731,197,954,954,149,1859,1859,34,14277,11921,5981,5569,2026,5457,4509,2751,7434,7414,342,10212,4627,4240,1697,6551,6011,2045,6429,6418,382,2621,1410,1421,243,710,674,214,1907,1930,69
