source,sumlevel,geoid,name,st,T5_est1,T5_est2,T5_est3,T5_est4,T5_est5,T5_est6,T5_est7,T5_est8,T5_est9,T5_est10,T5_est11,T5_est12,T5_est13,T5_est14,T5_est15,T5_est16,T5_est17,T5_est18,T5_est19,T5_est20,T5_est21,T5_est22,T5_est23,T5_est24,T5_est25,T5_est26,T5_est27,T5_est28,T5_est29,T5_est30,T5_est31,T5_est32,T5_est33,T5_est34,T5_est35,T5_est36,T5_est37,T5_est38,T5_est39,T5_est40,T5_est41,T5_est42,T5_est43,T5_est44,T5_est45,T5_est46,T5_est47,T5_est48,T5_est49,T5_est50,T5_est51,T5_est52,T5_est53,T5_est54,T5_est55,T5_est56,T5_est57,T5_est58,T5_est59,T5_est60,T5_est61,T5_est62,T5_est63,T5_est64,T5_est65,T5_est66,T5_est67,T5_est68,T5_est69,T5_est70,T5_est71,T5_est72,T5_est73,T5_est74,T5_est75,T5_est76,T5_est77,T5_est78,T5_est79,T5_est80,T5_est81,T5_est82,T5_est83,T5_est84,T5_est85,T5_est86,T5_est87,T5_est88,T5_est89,T5_est90,T5_est91,T5_est92,T5_est93,T5_est94,T5_est95,T5_est96,T5_est97,T5_est98,T5_est99,T5_est100,T5_est101,T5_est102,T5_est103,T5_est104,T5_est105,T5_est106,T5_est107,T5_est108,T5_est109,T5_est110,T5_est111,T5_est112,T5_est113,T5_est114,T5_est115,T5_est116,T5_est117,T5_est118,T5_est119,T5_est120,T5_est121,T5_est122,T5_est123,T5_est124,T5_est125,T5_est126,T5_est127,T5_est128,T5_est129,T5_moe1,T5_moe2,T5_moe3,T5_moe4,T5_moe5,T5_moe6,T5_moe7,T5_moe8,T5_moe9,T5_moe10,T5_moe11,T5_moe12,T5_moe13,T5_moe14,T5_moe15,T5_moe16,T5_moe17,T5_moe18,T5_moe19,T5_moe20,T5_moe21,T5_moe22,T5_moe23,T5_moe24,T5_moe25,T5_moe26,T5_moe27,T5_moe28,T5_moe29,T5_moe30,T5_moe31,T5_moe32,T5_moe33,T5_moe34,T5_moe35,T5_moe36,T5_moe37,T5_moe38,T5_moe39,T5_moe40,T5_moe41,T5_moe42,T5_moe43,T5_moe44,T5_moe45,T5_moe46,T5_moe47,T5_moe48,T5_moe49,T5_moe50,T5_moe51,T5_moe52,T5_moe53,T5_moe54,T5_moe55,T5_moe56,T5_moe57,T5_moe58,T5_moe59,T5_moe60,T5_moe61,T5_moe62,T5_moe63,T5_moe64,T5_moe65,T5_moe66,T5_moe67,T5_moe68,T5_moe69,T5_moe70,T5_moe71,T5_moe72,T5_moe73,T5_moe74,T5_moe75,T5_moe76,T5_moe77,T5_moe78,T5_moe79,T5_moe80,T5_moe81,T5_moe82,T5_moe83,T5_moe84,T5_moe85,T5_moe86,T5_moe87,T5_moe88,T5_moe89,T5_moe90,T5_moe91,T5_moe92,T5_moe93,T5_moe94,T5_moe95,T5_moe96,T5_moe97,T5_moe98,T5_moe99,T5_moe100,T5_moe101,T5_moe102,T5_moe103,T5_moe104,T5_moe105,T5_moe106,T5_moe107,T5_moe108,T5_moe109,T5_moe110,T5_moe111,T5_moe112,T5_moe113,T5_moe114,T5_moe115,T5_moe116,T5_moe117,T5_moe118,T5_moe119,T5_moe120,T5_moe121,T5_moe122,T5_moe123,T5_moe124,T5_moe125,T5_moe126,T5_moe127,T5_moe128,T5_moe129
2016thru2020,040,0400000US01,Alabama,01,1888505,1306505,231170,75110,23525,15085,36495,53535,16575,10195,26765,53870,16375,6865,30630,19795,6230,1830,11740,28865,8740,2570,17555,1061560,24405,8885,6895,8625,73090,24845,25200,23045,149260,50110,37530,61620,112740,33755,20120,58865,702065,192615,66910,442540,13770,13770,2685,2220,8865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582000,243755,110575,15520,6280,88775,75875,11455,5110,59305,43250,5890,3540,33820,7340,770,735,5835,6720,710,1215,4795,316975,26070,6290,4285,15495,33835,7785,5275,20780,75350,10955,4835,59560,46630,5895,2115,38625,135090,15550,4875,114660,21270,21270,1915,730,18625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5746,8890,3532,2416,1437,947,1598,1717,896,735,1373,2067,1209,800,1450,1142,637,308,815,1286,740,460,1170,8116,1277,758,585,675,2065,1143,1193,1146,3163,1797,1465,2273,2767,1439,976,2127,7005,3121,1748,5158,1000,1000,389,383,910,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,5960,3476,2603,1098,688,2414,2218,909,572,1961,1791,664,536,1600,688,228,208,586,799,218,353,668,4148,1132,560,668,936,1555,757,516,1267,2296,917,575,2269,1459,631,377,1292,2917,910,537,2590,1273,1273,437,258,1201,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
2016thru2020,040,0400000US02,Alaska,02,255175,165375,44805,10300,3450,1505,5340,7775,2405,935,4440,11855,3120,865,7875,5810,1135,255,4420,9060,1985,450,6630,119990,1725,700,500,525,5830,2325,1855,1655,13260,4980,2535,5745,12730,4700,1540,6485,86445,23035,5285,58120,585,585,115,55,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89795,42320,13615,2555,1055,10005,12125,1340,445,10345,10565,875,240,9450,2955,180,30,2745,3065,410,75,2580,46770,2440,610,225,1610,2975,595,215,2165,10775,1200,190,9385,8525,1015,175,7335,22060,2495,540,19025,705,705,75,30,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1324,1895,1353,604,423,249,458,596,293,154,564,717,395,184,619,534,235,88,458,715,291,126,589,1727,257,173,130,113,531,271,303,255,864,504,368,555,843,463,258,611,1507,808,420,1442,137,137,51,49,107,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1818,1331,809,406,225,677,806,279,147,664,718,222,101,665,413,79,25,417,447,184,52,391,1555,353,196,111,254,415,136,89,377,842,257,78,774,705,267,82,702,1090,323,147,1042,162,162,58,28,154,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
2016thru2020,040,0400000US04,Arizona,04,2643430,1727175,393605,98095,32880,23095,42120,84580,26225,20145,38215,101125,30580,14790,55755,41300,12705,4850,23745,68505,21545,7675,39290,1315085,20110,6835,6475,6805,68195,23860,26175,18155,164200,58900,45450,59850,132365,44205,27080,61075,930215,277870,109350,543000,18485,18485,5155,2770,10555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916255,436420,139765,22270,12255,105240,123750,18740,11430,93585,117130,14910,8830,93390,29300,3995,2190,23115,26470,3885,4340,18245,459705,18775,5170,3830,9775,23200,4830,3810,14560,88920,12045,5380,71495,75665,9750,3325,62590,253140,29610,10920,212605,20135,20135,1970,1315,16845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6290,9001,5038,2644,1542,1161,1908,2774,1370,1258,1762,3128,1495,893,2297,1681,840,558,1233,1917,1192,719,1676,8808,1111,525,615,622,1986,1172,1178,979,3007,2139,1507,1926,3088,1512,1250,1993,7399,3785,2087,5665,1054,1054,525,409,816,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,6466,5669,3526,1439,1031,2931,2861,1247,822,2479,3072,867,999,2952,1604,675,352,1464,1649,624,505,1488,5369,1229,637,472,821,1266,543,507,1039,2929,1137,570,2416,2421,774,426,2414,4274,1575,856,4069,1186,1186,329,273,1081,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2016thru2020,040,0400000US05,Arkansas,05,1170545,770475,130350,37150,11670,7345,18130,31120,10100,6550,14465,32985,9530,4540,18915,11190,3365,1035,6790,17910,4810,1365,11730,633570,10690,3365,3235,4085,42060,14765,13870,13425,89475,30845,22965,35665,65880,21185,11360,33340,425460,114365,44720,266380,6555,6555,1350,930,4280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400065,164500,65995,9375,3960,52660,53535,7120,4370,42050,32600,3860,2745,25995,5860,450,505,4910,6510,545,1270,4695,224530,13795,3190,2225,8380,22285,4855,4455,12970,53925,7035,3200,43695,37305,3815,1335,32150,97220,12665,3565,80990,11035,11035,770,270,9990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4409,6164,2856,1435,830,615,1092,1239,729,578,856,1466,746,505,1234,804,464,224,676,951,579,276,840,6278,785,452,352,522,1695,896,909,1049,2064,1326,997,1541,2369,1317,656,1499,4808,2195,1319,3838,663,663,257,227,492,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,4589,2696,2061,866,505,1955,1929,784,467,1840,1429,378,434,1315,772,129,142,708,603,208,331,543,4196,959,369,338,759,1289,725,534,954,2325,640,423,2133,1589,583,283,1476,2941,1079,445,2486,1032,1032,214,117,1028,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
2016thru2020,040,0400000US06,California,06,13103115,7241320,2366075,496260,173730,135505,187025,425280,143255,90425,191600,568315,176985,75065,316265,294090,81570,29465,183060,582130,159815,44375,377940,4818665,111625,37030,51740,22860,267485,95150,107100,65235,541765,195950,156930,188880,452705,158145,89480,205080,3445085,989590,358645,2096855,56575,56575,14040,9245,33295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5861795,3332900,1234025,229335,150075,854620,876555,133725,61845,680985,759100,101245,41050,616805,231560,29455,12020,190085,231660,30015,16185,185460,2426040,148575,43430,47690,57460,140090,31080,19955,89055,423055,68210,24465,330385,350190,47920,13710,288565,1364130,150705,41875,1171545,102855,102855,11490,6995,84370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18539,35704,10830,5466,3121,2956,3466,5547,2799,2495,3766,5596,3489,2223,4153,4141,2051,1395,3247,5939,2686,1602,4865,32444,2514,1384,1808,905,3926,2237,2468,1919,6280,3194,3295,3770,5801,2252,2145,3863,24889,7069,4252,19508,2034,2034,1062,826,1622,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,20326,18858,9924,3757,2867,8719,8719,2700,1794,7421,7954,2235,1809,7519,3814,1310,1059,3457,3554,1321,1031,3334,13005,3154,1593,1951,1984,3140,1454,1269,2348,5649,2084,1211,5081,5521,1760,907,4726,9450,2927,1747,8413,2765,2765,923,709,2568,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2016thru2020,040,0400000US08,Colorado,08,2137400,1415325,320885,79630,26995,17245,35385,70235,20905,10565,38765,88550,24265,7755,56530,35360,8675,1765,24925,47110,12780,2765,31570,1085655,18875,6460,7145,5270,54530,20370,18445,15715,136295,48395,27220,60685,124820,36230,16010,72580,751135,185140,50800,515200,8785,8785,1940,1050,5795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722080,360930,131665,20895,13230,97540,108140,12740,7920,87480,87625,9015,5125,73485,20155,1980,1790,16380,13345,1195,2520,9625,350925,21265,6675,4665,9925,22115,3860,2310,15945,78950,8850,3300,66805,63710,5455,1575,56680,164885,14520,4480,145885,10220,10220,1090,620,8515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4708,7386,3816,2595,1165,1022,1512,1870,1000,644,1654,2249,1038,635,1841,1527,511,312,1287,1682,859,374,1487,7405,1092,665,675,442,1846,969,947,954,2609,1475,913,1998,2660,1240,917,2060,6186,2791,1490,4763,728,728,299,270,576,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,6562,4804,2956,1180,1022,2434,2452,1043,899,2259,2437,825,608,2205,1117,412,396,1046,1016,270,463,883,5206,1159,780,468,918,1111,478,284,1000,2600,730,531,2417,1991,626,265,1928,3346,937,502,3204,1072,1072,282,155,1005,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
2016thru2020,040,0400000US09,Connecticut,09,1385435,915410,242565,57380,16930,19030,21420,59125,18160,16070,24895,62705,17860,9200,35645,25210,6235,2595,16375,38150,11245,3150,23750,668010,3705,1235,1415,1060,21780,7105,9205,5470,71695,25995,18535,27165,69005,22465,12720,33820,501825,135735,42650,323440,4830,4830,1055,985,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470030,230150,113360,20275,13715,79370,69155,9730,7345,52085,34500,4780,3770,25955,6695,910,605,5185,6435,835,1385,4215,230025,26785,8660,6500,11625,20970,4775,3825,12365,54515,6950,3735,43830,35845,4835,1665,29345,91910,11585,4010,76315,9855,9855,925,745,8185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273,5010,3524,1840,897,1285,1189,1866,1180,1134,1042,2027,963,850,1480,1290,605,341,1012,1281,785,396,1106,5276,416,218,256,282,1148,564,750,711,2113,1234,853,1248,1773,1026,683,1325,4734,2473,1401,3903,546,546,306,192,428,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,4548,3273,2450,1175,1065,2037,2154,796,663,1940,1770,566,583,1474,773,267,155,670,552,205,252,521,4005,1634,956,616,981,1102,745,510,798,2087,679,639,1725,1795,600,342,1629,2381,909,457,2159,885,885,302,205,804,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2016thru2020,040,0400000US10,Delaware,10,370955,264915,57350,15915,5040,3590,7290,12285,3575,2510,6200,15620,5275,1870,8470,5615,2015,635,2965,7915,2845,715,4355,205520,3430,1095,1310,1025,10940,4035,4310,2595,27315,10045,7360,9915,21365,7530,3610,10225,142465,43485,14190,84790,2045,2045,425,395,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106040,49340,19155,3410,1510,14235,15135,1940,1235,11955,11085,1645,825,8615,2075,145,150,1780,1895,345,530,1020,54035,3430,915,755,1760,4105,600,860,2645,12210,1785,685,9740,9150,955,390,7805,25140,3375,1260,20505,2665,2665,145,190,2330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1820,2572,1957,1095,494,467,789,1085,502,443,786,1181,721,359,923,640,322,195,507,619,316,198,443,2676,451,258,259,272,746,556,510,360,1165,879,578,784,1182,586,372,918,2565,1147,841,2095,344,344,127,166,285,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2163,1806,1344,548,287,1179,961,399,280,939,1035,355,246,924,379,65,89,351,470,131,330,295,2210,443,219,205,362,564,175,235,511,1098,444,258,880,882,262,128,811,1400,397,315,1288,484,484,107,104,431,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
2016thru2020,040,0400000US11,District of Columbia,11,288305,122650,27480,7890,2655,2045,3185,4115,1480,870,1770,3135,1030,320,1785,2970,780,345,1845,9365,2220,695,6455,93975,1585,585,655,345,3130,1085,1325,715,3865,1345,1160,1360,5470,1495,1365,2610,79930,16275,7230,56425,1195,1195,340,250,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165660,73395,35015,6380,3070,25560,15505,1880,1050,12575,8300,700,395,7210,5805,405,150,5245,8770,540,385,7845,86990,9150,2935,1705,4510,5220,1580,530,3110,7460,1795,525,5140,8380,1110,265,7005,56785,4450,1330,51005,5275,5275,420,305,4550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321,2319,1377,661,384,316,564,593,351,173,385,511,235,111,416,419,162,154,363,969,512,200,807,2237,345,183,165,216,375,191,270,180,482,281,290,262,607,291,275,428,2051,932,517,1819,264,264,197,113,194,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2395,2235,1395,578,486,1336,1026,343,367,960,928,298,161,862,599,144,123,576,732,225,165,748,2173,829,439,271,632,609,396,169,398,905,422,159,775,925,289,117,883,1705,751,312,1516,762,762,144,144,715,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2016thru2020,040,0400000US12,Florida,12,7931315,5250880,1346890,354075,121760,107990,124320,295210,99935,78965,116310,335470,106715,55575,173180,139065,42130,18355,78580,223070,71680,25100,126290,3843280,75465,26905,29000,19560,240820,87385,93215,60220,535215,194945,157235,183040,410960,142345,91660,176955,2580820,806410,367150,1407255,60710,60710,17865,12250,30595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2680435,1450410,444350,89885,52555,301910,416965,63290,39120,314555,400355,53810,31845,314700,102485,13475,7560,81455,86255,11130,12605,62520,1162665,61550,17450,17335,26765,55110,13835,11900,29375,203020,33395,14995,154630,191080,24600,9475,157010,651910,85905,31095,534910,67360,67360,6150,4220,56990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23194,29162,10679,5231,2582,3054,3106,5168,3199,2421,2986,5766,3016,2244,4162,3202,1827,1343,2473,5009,2465,1199,3720,27730,2499,1485,1383,1180,4704,3074,2879,1876,6629,4427,3254,3285,5410,3165,2621,3777,22086,6740,4682,16153,2224,2224,1381,939,1330,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,14277,11921,6218,2733,2356,5319,5983,2048,1800,5483,6637,2247,1746,6273,3334,1283,821,2914,2783,895,941,2299,10212,1995,1113,1158,1364,2036,1059,1051,1599,4992,1453,1143,4322,3826,1602,840,3711,7504,2969,1593,7179,2621,2621,657,639,2576,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
