source,sumlevel,geoid,name,st,T6_est1,T6_est2,T6_est3,T6_est4,T6_est5,T6_est6,T6_est7,T6_est8,T6_est9,T6_est10,T6_est11,T6_est12,T6_est13,T6_est14,T6_est15,T6_est16,T6_est17,T6_est18,T6_est19,T6_est20,T6_est21,T6_est22,T6_est23,T6_est24,T6_est25,T6_est26,T6_est27,T6_est28,T6_est29,T6_est30,T6_est31,T6_est32,T6_est33,T6_est34,T6_est35,T6_est36,T6_est37,T6_est38,T6_est39,T6_est40,T6_est41,T6_est42,T6_est43,T6_est44,T6_est45,T6_est46,T6_est47,T6_est48,T6_est49,T6_est50,T6_est51,T6_est52,T6_est53,T6_est54,T6_est55,T6_est56,T6_est57,T6_est58,T6_est59,T6_est60,T6_est61,T6_est62,T6_est63,T6_est64,T6_est65,T6_est66,T6_est67,T6_est68,T6_est69,T6_est70,T6_est71,T6_est72,T6_est73,T6_est74,T6_est75,T6_est76,T6_est77,T6_est78,T6_est79,T6_est80,T6_est81,T6_est82,T6_est83,T6_est84,T6_est85,T6_est86,T6_est87,T6_est88,T6_est89,T6_est90,T6_est91,T6_est92,T6_est93,T6_est94,T6_est95,T6_est96,T6_est97,T6_est98,T6_est99,T6_est100,T6_est101,T6_est102,T6_est103,T6_est104,T6_est105,T6_est106,T6_est107,T6_est108,T6_est109,T6_est110,T6_est111,T6_est112,T6_est113,T6_est114,T6_est115,T6_est116,T6_est117,T6_est118,T6_est119,T6_est120,T6_est121,T6_est122,T6_est123,T6_est124,T6_est125,T6_est126,T6_est127,T6_est128,T6_est129,T6_est130,T6_est131,T6_est132,T6_est133,T6_est134,T6_est135,T6_est136,T6_est137,T6_est138,T6_est139,T6_est140,T6_est141,T6_est142,T6_est143,T6_est144,T6_est145,T6_est146,T6_est147,T6_est148,T6_est149,T6_est150,T6_est151,T6_est152,T6_est153,T6_est154,T6_est155,T6_est156,T6_est157,T6_est158,T6_est159,T6_est160,T6_est161,T6_est162,T6_est163,T6_est164,T6_est165,T6_est166,T6_est167,T6_est168,T6_est169,T6_est170,T6_est171,T6_est172,T6_moe1,T6_moe2,T6_moe3,T6_moe4,T6_moe5,T6_moe6,T6_moe7,T6_moe8,T6_moe9,T6_moe10,T6_moe11,T6_moe12,T6_moe13,T6_moe14,T6_moe15,T6_moe16,T6_moe17,T6_moe18,T6_moe19,T6_moe20,T6_moe21,T6_moe22,T6_moe23,T6_moe24,T6_moe25,T6_moe26,T6_moe27,T6_moe28,T6_moe29,T6_moe30,T6_moe31,T6_moe32,T6_moe33,T6_moe34,T6_moe35,T6_moe36,T6_moe37,T6_moe38,T6_moe39,T6_moe40,T6_moe41,T6_moe42,T6_moe43,T6_moe44,T6_moe45,T6_moe46,T6_moe47,T6_moe48,T6_moe49,T6_moe50,T6_moe51,T6_moe52,T6_moe53,T6_moe54,T6_moe55,T6_moe56,T6_moe57,T6_moe58,T6_moe59,T6_moe60,T6_moe61,T6_moe62,T6_moe63,T6_moe64,T6_moe65,T6_moe66,T6_moe67,T6_moe68,T6_moe69,T6_moe70,T6_moe71,T6_moe72,T6_moe73,T6_moe74,T6_moe75,T6_moe76,T6_moe77,T6_moe78,T6_moe79,T6_moe80,T6_moe81,T6_moe82,T6_moe83,T6_moe84,T6_moe85,T6_moe86,T6_moe87,T6_moe88,T6_moe89,T6_moe90,T6_moe91,T6_moe92,T6_moe93,T6_moe94,T6_moe95,T6_moe96,T6_moe97,T6_moe98,T6_moe99,T6_moe100,T6_moe101,T6_moe102,T6_moe103,T6_moe104,T6_moe105,T6_moe106,T6_moe107,T6_moe108,T6_moe109,T6_moe110,T6_moe111,T6_moe112,T6_moe113,T6_moe114,T6_moe115,T6_moe116,T6_moe117,T6_moe118,T6_moe119,T6_moe120,T6_moe121,T6_moe122,T6_moe123,T6_moe124,T6_moe125,T6_moe126,T6_moe127,T6_moe128,T6_moe129,T6_moe130,T6_moe131,T6_moe132,T6_moe133,T6_moe134,T6_moe135,T6_moe136,T6_moe137,T6_moe138,T6_moe139,T6_moe140,T6_moe141,T6_moe142,T6_moe143,T6_moe144,T6_moe145,T6_moe146,T6_moe147,T6_moe148,T6_moe149,T6_moe150,T6_moe151,T6_moe152,T6_moe153,T6_moe154,T6_moe155,T6_moe156,T6_moe157,T6_moe158,T6_moe159,T6_moe160,T6_moe161,T6_moe162,T6_moe163,T6_moe164,T6_moe165,T6_moe166,T6_moe167,T6_moe168,T6_moe169,T6_moe170,T6_moe171,T6_moe172
2016thru2020,040,0400000US01,Alabama,01,1888505,262590,42310,27645,10210,4455,40405,18835,21575,0,51435,13345,38090,0,128440,8475,119965,0,354795,73065,48975,17425,6665,64075,30105,33975,0,72390,18795,53600,0,145260,9765,135495,0,225750,48555,32665,10945,4945,40685,20425,20260,0,44325,12705,31625,0,92180,6790,85395,0,254110,52620,34955,12570,5100,46855,21365,25490,0,51965,13805,38160,0,102670,7715,94955,0,1307480,160720,111515,24885,24315,139325,82165,57160,0,208160,66170,141995,0,799275,45375,753900,0,582000,66185,21265,14030,4885,2350,14245,8590,5655,0,13235,5230,8005,0,17440,1625,15815,0,100145,37030,25520,8550,2960,23135,14530,8600,0,20020,6985,13035,0,19960,2030,17925,0,77375,28510,19450,6345,2715,17075,10730,6345,0,14540,5330,9210,0,17255,1660,15600,0,74660,28275,19095,6785,2400,17030,10155,6875,0,14490,5725,8765,0,14870,1835,13035,0,414595,98790,70035,12795,15960,72730,52420,20315,0,85675,31345,54330,0,157400,10440,146955,0,5746,3395,1831,1351,725,745,1622,1216,1206,29,2082,1066,1713,29,2676,765,2548,29,4523,1884,1533,1015,754,1847,1262,1334,29,2475,1230,1831,29,3056,707,2927,29,3719,1676,1382,872,663,1569,1118,1046,29,1704,872,1379,29,2401,612,2332,29,3737,1625,1379,912,621,1625,1065,1166,29,1738,1090,1402,29,2485,634,2461,29,6532,3439,3084,1445,1330,2914,2077,2100,29,3878,2328,3379,29,6507,1685,6487,29,5960,2239,1371,971,568,590,971,817,655,29,997,637,774,29,1058,354,953,29,2468,1299,1097,639,602,1143,1016,655,29,1221,687,971,29,1196,374,1093,29,2570,1451,1130,678,531,1140,959,671,29,959,611,804,29,1268,297,1176,29,2297,1277,1045,662,510,1097,911,632,29,873,645,700,29,901,383,848,29,4412,2679,2238,942,1061,2055,1779,1315,29,2703,1672,2292,29,2914,942,2714,29
2016thru2020,040,0400000US02,Alaska,02,255175,36830,6015,4620,1200,200,5130,2945,2190,0,7000,3075,3925,0,18685,2925,15760,0,30785,6695,5485,970,235,5060,3330,1730,0,5920,2435,3485,0,13110,1955,11155,0,24215,4960,4155,635,165,4140,2845,1290,0,4665,2135,2525,0,10450,1575,8880,0,22720,5090,4245,715,135,3615,2370,1245,0,4085,1805,2280,0,9930,1365,8565,0,189825,16890,13725,2270,890,19100,13870,5230,0,34575,17235,17340,0,119260,16235,103025,0,89795,10200,3200,2390,690,120,1835,1380,455,0,1840,980,860,0,3320,695,2625,0,10345,4090,3445,560,85,2305,1830,475,0,1665,820,845,0,2285,505,1780,0,9230,3020,2510,415,95,2305,1835,470,0,1645,780,865,0,2255,340,1920,0,7830,3255,2750,435,65,1760,1455,305,0,1195,620,575,0,1620,385,1235,0,68650,9485,7645,1330,510,10885,8870,2015,0,17650,8770,8885,0,30630,4845,25790,0,1324,1234,546,445,238,80,481,304,309,23,581,494,435,23,880,362,836,23,1061,591,533,226,100,493,449,233,23,419,404,415,23,719,262,700,23,1069,512,460,136,91,505,433,244,23,490,362,435,23,666,237,629,23,937,577,516,191,59,425,377,185,23,384,351,357,23,599,224,564,23,1834,907,836,283,174,814,772,465,23,1409,854,1227,23,1914,884,2001,23,1818,709,373,311,181,59,313,271,146,23,292,241,209,23,356,214,364,23,848,484,440,176,62,395,380,126,23,294,257,205,23,337,151,337,23,655,360,353,125,65,436,384,177,23,301,207,232,23,320,94,314,23,688,448,403,153,38,337,307,115,23,239,214,153,23,271,159,236,23,1771,638,613,223,155,720,639,331,23,990,625,810,23,1417,536,1297,23
2016thru2020,040,0400000US04,Arizona,04,2643430,350045,47790,36230,7975,3590,49745,31110,18635,0,66390,26190,40205,0,186115,22185,163935,0,385000,68490,51675,11375,5445,61520,38500,23020,0,77210,31225,45985,0,177775,23085,154690,0,259520,49440,37280,7410,4745,40060,26970,13090,0,50160,23010,27150,0,119860,16630,103230,0,285900,52835,39445,8645,4745,44935,28600,16335,0,56365,23555,32810,0,131760,18120,113640,0,1931820,200785,150975,20765,29045,194890,140480,54410,0,334030,160510,173515,0,1202120,122600,1079515,0,916255,99055,23680,18540,3610,1530,19900,15960,3940,0,21065,11860,9205,0,34410,7010,27400,0,124630,37600,29065,5795,2740,24730,19675,5055,0,25240,14785,10455,0,37060,8065,28995,0,101155,29920,23070,4175,2675,19730,15910,3820,0,20815,11910,8905,0,30690,6575,24115,0,98810,30295,23215,4445,2630,19470,15605,3865,0,19820,11840,7980,0,29220,7080,22140,0,684900,115765,90705,9750,15310,101825,87080,14750,0,157895,89460,68435,0,309410,40930,268480,0,6290,4342,1873,1695,605,465,1757,1670,1067,31,2307,1300,1939,31,3274,1511,3217,31,4846,2269,1859,831,695,1968,1846,1211,31,2401,1398,1947,31,3320,1489,3229,31,4621,2136,1978,681,615,1731,1374,1030,31,1960,1275,1556,31,3167,1113,2990,31,4184,2271,1859,813,630,1780,1527,885,31,1808,1279,1547,31,2652,1156,2612,31,7691,4162,3595,1144,1504,3518,3251,1656,31,4662,3613,3510,31,7455,2599,7365,31,6466,3159,1252,1203,432,282,1555,1409,614,31,1385,955,1007,31,1698,761,1511,31,3743,1830,1543,609,496,1327,1330,644,31,1589,1249,974,31,1730,741,1625,31,3189,1474,1408,459,464,1261,1245,562,31,1368,1089,905,31,1786,724,1541,31,2894,1816,1544,596,460,1174,1202,489,31,1116,924,800,31,1407,773,1231,31,5775,3234,2859,786,1099,2591,2278,1041,31,3554,2707,2520,31,4072,1771,3770,31
2016thru2020,040,0400000US05,Arkansas,05,1170545,184880,26870,18910,5750,2210,31110,15705,15405,0,35670,9545,26125,0,91230,6510,84720,0,232340,43190,30955,8610,3625,43470,22005,21460,0,47100,13230,33870,0,98580,7075,91505,0,158830,31915,23180,5435,3305,28150,16030,12120,0,32035,10055,21980,0,66725,5890,60835,0,168480,32685,23100,6530,3055,32065,16195,15870,0,34245,9460,24785,0,69490,5390,64095,0,778340,77240,54955,11105,11175,82460,49960,32495,0,132605,43435,89170,0,486035,28170,457870,0,400065,53075,14695,10445,3120,1135,13435,8725,4710,0,10780,4015,6765,0,14160,1840,12325,0,73400,24830,18005,4970,1860,18745,11770,6975,0,13310,5500,7810,0,16515,2310,14205,0,61520,20335,15070,3190,2075,13940,9925,4015,0,12200,5030,7165,0,15050,1780,13270,0,58855,19895,14230,3890,1775,14480,9245,5240,0,10825,4610,6215,0,13650,1900,11750,0,271765,50305,36960,6035,7310,45680,33785,11895,0,61595,22780,38815,0,114190,8750,105440,0,4409,3182,1451,1206,626,343,1384,966,927,29,1281,763,1097,29,2009,689,1899,29,3308,1620,1526,759,451,1566,1217,1032,29,1752,954,1346,29,2409,568,2284,29,3107,1647,1467,535,486,1451,1083,1004,29,1394,863,1083,29,2119,648,1903,29,2816,1312,1171,597,506,1434,1029,954,29,1456,657,1225,29,1712,481,1645,29,5150,2111,1854,883,999,2414,1779,1631,29,2878,1599,2553,29,4594,1572,4329,29,4589,1737,1158,977,448,259,1030,786,554,29,730,438,643,29,837,356,773,29,2399,1403,1238,606,296,990,846,606,29,904,697,727,29,1020,330,966,29,2129,1420,1285,395,419,934,827,487,29,938,630,735,29,1264,309,1224,29,2236,1213,1029,490,446,968,749,612,29,762,617,615,29,1218,318,1199,29,3912,1838,1650,749,892,1781,1410,1047,29,2433,1228,2002,29,2852,893,2715,29
2016thru2020,040,0400000US06,California,06,13103115,1405920,298835,231400,53935,13500,223390,150030,73360,0,269200,135605,133595,0,614495,122095,492400,0,1731695,457615,354800,84265,18550,295460,196705,98755,0,327495,163795,163700,0,651125,136665,514455,0,1201815,307155,244640,48010,14505,202075,146090,55985,0,227985,127920,100065,0,464600,106100,358495,0,1481795,403145,313175,73470,16505,254640,174080,80565,0,277280,143805,133470,0,546730,121585,425145,0,10001260,1411735,1151995,134095,125640,1212320,957155,255165,0,1711710,1024350,687360,0,5665490,1072975,4592515,0,5861795,529670,192415,153885,30700,7830,103385,85510,17875,0,101740,64545,37200,0,132130,35815,96315,0,723265,307705,244930,52000,10775,141985,114210,27775,0,123540,76815,46725,0,150030,42260,107775,0,573315,227905,185590,32850,9465,115015,96435,18580,0,103910,68180,35735,0,126485,34965,91520,0,652575,281200,224835,46380,9990,129210,105615,23595,0,111290,71170,40115,0,130880,38870,92005,0,4559970,983045,829865,70565,82615,764360,667355,97000,0,945155,608995,336160,0,1867410,380980,1486430,0,18539,7678,4705,3863,1960,923,3190,2832,1974,31,3752,2750,2863,31,5600,2626,5239,31,8271,5623,4940,2287,1148,4213,3542,2387,31,4449,3591,3047,31,5952,3192,5280,31,9240,4674,3792,1973,989,3665,3089,1772,31,4343,2816,2956,31,6166,2599,5276,31,7644,4840,4003,2299,1044,3924,3467,1778,31,3898,3372,2956,31,5721,2975,4569,31,18149,10098,9270,2652,3044,9507,9320,3856,31,10566,8619,6780,31,22563,6083,22608,31,20326,6398,4070,3489,1583,689,2291,2228,1196,31,2714,2250,1524,31,3244,1442,2824,31,7280,4719,4198,1965,931,3280,2903,1330,31,2845,2415,1685,31,3151,1644,2802,31,6750,4234,3496,1611,828,3095,2795,1104,31,3165,2018,1815,31,3110,1524,2540,31,6640,4337,3621,1853,894,3198,2865,1038,31,3138,2415,1847,31,3141,1621,2713,31,17478,8773,8172,1999,2360,7798,7496,2562,31,8901,7407,4859,31,9524,4858,8930,31
2016thru2020,040,0400000US08,Colorado,08,2137400,236325,42110,31870,7990,2250,36045,22100,13945,0,44965,16875,28090,0,113205,11240,101965,0,226755,55620,41280,11545,2795,38145,23550,14595,0,44795,17905,26890,0,88200,10095,78105,0,177805,42350,33515,6500,2335,28115,20065,8050,0,36175,16545,19625,0,71165,9475,61690,0,178460,42845,32670,7985,2190,29260,19145,10115,0,35725,14980,20745,0,70630,8880,61755,0,1668340,173670,137810,22080,13775,183285,132535,50750,0,299815,138255,161560,0,1011570,93555,918015,0,722080,70425,23595,18410,4160,1030,15260,12360,2900,0,13315,7130,6185,0,18260,3690,14565,0,81425,33890,25745,6995,1150,17055,13550,3505,0,14500,8080,6420,0,15985,3490,12495,0,77430,29325,23785,4355,1185,15420,12815,2605,0,15275,8255,7020,0,17410,3710,13695,0,67590,27485,21280,5120,1085,13800,11415,2385,0,12610,6960,5645,0,13695,3315,10385,0,558900,104000,85685,10630,7685,97150,81620,15530,0,134945,70320,64625,0,222800,25820,196980,0,4708,3263,1649,1409,683,367,1393,1353,846,29,1554,1009,1356,29,2631,813,2461,29,3755,1807,1483,894,394,1441,1276,806,29,1554,1027,1216,29,2501,692,2319,29,3164,1794,1564,547,457,1234,1160,652,29,1491,937,1068,29,2001,724,1892,29,2774,1549,1311,658,399,1389,1153,716,29,1207,812,999,29,2030,751,1956,29,6177,3348,3148,1137,1031,3371,2738,1894,29,3892,2739,3350,29,6554,2465,6747,29,6562,2312,1347,1143,483,221,1119,1036,354,29,851,652,626,29,1178,548,1015,29,2161,1468,1319,644,225,1065,983,462,29,850,711,669,29,1101,523,1006,29,2169,1520,1340,458,338,978,907,430,29,933,811,626,29,986,518,906,29,2259,1425,1232,609,304,1013,923,389,29,749,594,598,29,985,480,830,29,5378,2831,2526,1048,886,2445,2273,982,29,2849,2138,2447,29,3962,1290,3738,29
2016thru2020,040,0400000US09,Connecticut,09,1385435,136515,30110,23165,5460,1480,22210,15310,6900,0,24435,9760,14675,0,59760,6415,53345,0,168245,47680,35325,9895,2465,29330,20475,8855,0,31160,12440,18715,0,60075,7635,52440,0,122955,35265,26865,6400,2000,20540,14830,5705,0,21720,9630,12090,0,45430,5160,40270,0,138845,40695,30305,8450,1940,23025,15850,7170,0,24525,10500,14030,0,50600,6050,44555,0,1069540,134560,109175,15010,10375,119695,92185,27510,0,167935,74140,93795,0,647355,61850,585500,0,470030,45225,20900,15075,4790,1035,9855,7020,2835,0,6890,3150,3740,0,7575,1425,6155,0,68265,34470,23825,8785,1860,13820,9395,4425,0,9710,4185,5525,0,10265,1975,8290,0,55065,27685,20295,5835,1555,11255,8510,2745,0,7865,3525,4340,0,8260,1330,6930,0,57165,29480,20470,7630,1380,11170,7785,3385,0,8195,3880,4315,0,8320,1545,6775,0,348025,90940,71275,12935,6730,65005,51065,13940,0,70865,26635,44230,0,121210,10150,111065,0,3273,2573,1464,1126,898,316,1235,1020,750,30,1441,901,1151,30,1878,629,1891,30,3108,1617,1307,942,453,1463,1188,768,30,1600,972,1231,30,1721,596,1655,30,2374,1440,1247,828,417,1209,1009,649,30,1256,850,939,30,1461,552,1396,30,3327,1612,1339,1028,385,1281,1076,696,30,1453,901,1057,30,1786,519,1651,30,4264,2590,2272,1037,912,2290,2243,1253,30,2840,2117,2369,30,4606,1926,4425,30,4548,2167,1383,1030,863,292,1017,788,575,30,719,500,441,30,689,341,659,30,2467,1524,1239,880,428,1113,877,561,30,1139,611,875,30,857,360,782,30,1987,1338,1052,813,399,1039,830,498,30,736,568,492,30,748,310,681,30,2050,1315,981,963,363,884,713,527,30,1045,712,648,30,765,325,666,30,3884,2337,2073,1025,800,2180,1894,876,30,2143,1475,1779,30,2652,772,2754,30
2016thru2020,040,0400000US10,Delaware,10,370955,38465,5975,4295,1385,295,5140,2975,2165,0,7920,2645,5280,0,19430,1945,17485,0,55140,10680,7585,2205,890,8320,5030,3290,0,12320,4885,7440,0,23815,2505,21310,0,39850,7470,5750,1205,515,5575,3620,1955,0,8355,3395,4960,0,18445,2270,16180,0,41200,7965,5490,1835,640,6195,3770,2420,0,9130,3855,5275,0,17910,1835,16075,0,273695,29260,22265,3505,3490,29185,19410,9775,0,46245,19130,27115,0,169005,12585,156420,0,106040,9860,2925,2140,720,65,1870,1435,440,0,2020,1005,1015,0,3045,560,2485,0,16665,5775,4050,1290,435,2950,2165,785,0,3755,1840,1915,0,4185,735,3450,0,13760,4425,3355,925,150,2435,1825,610,0,2860,1625,1235,0,4040,1120,2920,0,12365,4085,2720,1100,260,2445,1880,565,0,2760,1595,1165,0,3075,690,2390,0,77515,16105,12495,1465,2140,14250,11365,2885,0,17255,8145,9105,0,29905,2400,27505,0,1820,1281,647,609,307,110,551,465,309,29,594,472,484,29,943,390,1000,29,1862,973,895,333,246,710,629,417,29,1011,648,723,29,1019,488,934,29,1727,768,751,253,191,566,509,330,29,735,492,621,29,1127,494,994,29,1484,755,677,292,234,502,444,285,29,769,599,579,29,1007,421,923,29,2599,1275,1244,432,530,1490,1138,843,29,1765,1273,1321,29,2632,876,2591,29,2163,701,443,425,222,38,354,333,169,29,384,246,344,29,516,268,528,29,1163,761,682,240,174,416,362,202,29,729,392,554,29,669,347,568,29,1001,644,614,244,84,354,335,180,29,461,339,309,29,545,392,401,29,934,536,461,249,144,319,293,179,29,538,370,393,29,519,334,370,29,1938,1020,1006,292,442,1053,894,499,29,1170,824,808,29,1660,379,1613,29
2016thru2020,040,0400000US11,District of Columbia,11,288305,21900,8090,5245,2145,700,2745,1540,1205,0,1465,785,675,0,9605,1630,7980,0,32105,15300,9860,4250,1195,4520,2450,2070,0,2735,1065,1665,0,9550,1435,8115,0,21040,9700,6685,2595,415,2340,1315,1025,0,1545,595,950,0,7450,1385,6070,0,22705,10785,6925,3130,725,2785,1460,1325,0,1530,490,1040,0,7610,1160,6450,0,232440,36625,27095,4880,4645,20985,15740,5245,0,18345,9545,8800,0,156480,23530,132950,0,165660,13075,6630,4105,1960,565,1655,1030,630,0,840,450,390,0,3945,860,3085,0,20160,12515,7800,3670,1045,2785,1515,1270,0,1505,725,785,0,3355,725,2630,0,13740,8360,5555,2425,380,1500,930,575,0,830,380,455,0,3050,635,2415,0,13500,8630,5320,2750,565,1730,970,755,0,650,285,365,0,2490,445,2050,0,130915,30155,22415,4020,3715,16235,12840,3395,0,13225,7120,6105,0,71300,12890,58410,0,1321,1381,700,532,426,217,439,331,261,31,299,227,188,31,831,363,718,31,1398,1042,863,544,383,529,401,395,31,484,291,343,31,813,301,773,31,1261,887,725,464,149,329,247,229,31,273,165,260,31,809,263,789,31,1147,868,705,505,225,470,302,346,31,238,150,206,31,821,238,806,31,2371,1540,1298,569,546,991,966,473,31,1521,1018,1008,31,2219,1488,2237,31,2395,1134,673,522,399,203,348,276,196,31,250,191,142,31,569,323,443,31,1188,893,725,522,367,462,330,363,31,360,287,189,31,563,255,552,31,1127,870,682,472,139,256,220,168,31,230,140,219,31,602,188,598,31,1029,810,634,517,199,387,224,302,31,180,139,114,31,612,182,623,31,2496,1415,1228,498,472,973,934,396,31,1317,924,868,31,1961,1057,1845,31
2016thru2020,040,0400000US12,Florida,12,7931315,962795,153020,114705,27065,11250,144475,86620,57855,0,193320,76535,116785,0,471980,55615,416365,0,1195875,239835,180060,42615,17165,203735,124675,79065,0,237975,98940,139035,0,514330,65865,448465,0,767165,156740,119120,24780,12840,126370,85970,40395,0,155990,72050,83940,0,328070,47835,280230,0,872060,174230,130540,30280,13410,150075,95140,54940,0,176960,75365,101595,0,370795,51335,319460,0,5854495,686410,515085,73115,98210,678650,503000,175655,0,1061665,559460,502205,0,3427770,431870,2995900,0,2680435,252980,73050,56290,11525,5235,50015,40925,9090,0,55105,35165,19940,0,74810,16155,58655,0,353865,122180,93715,20205,8260,73830,60255,13575,0,70095,45595,24500,0,87760,21290,66470,0,280230,91520,71750,12370,7400,57385,49395,7990,0,57400,37590,19815,0,73925,18070,55855,0,272230,90715,70080,14440,6195,57465,47590,9875,0,55215,36490,18725,0,68830,18390,50440,0,2052410,376695,292715,31400,52580,344430,310450,33985,0,472160,314940,157215,0,859125,150900,708225,0,23194,7593,3637,3049,1575,806,3334,2600,2377,34,3833,2312,2622,34,5397,2143,5179,34,9915,4782,4349,1880,992,4961,3541,3346,34,4440,2829,3396,34,5601,2190,5618,34,8176,3606,3117,1378,885,3629,3090,2098,34,4086,2551,2999,34,5203,1962,4687,34,8437,3689,3582,1430,1025,3659,2716,2442,34,4103,2890,2865,34,5172,1953,4650,34,20274,6742,6020,2124,3037,8607,7102,3575,34,9269,7366,6068,34,19827,6321,20435,34,14277,4617,2464,2073,850,651,1905,1720,868,34,2207,1785,1292,34,2314,1209,2168,34,6116,3548,3100,1256,737,2179,2072,1046,34,2425,2087,1320,34,2990,1245,2465,34,5328,2830,2500,954,689,2393,2361,714,34,2216,1818,1350,34,2560,1302,2224,34,5382,2966,2715,1028,640,2058,1914,837,34,2409,1964,1261,34,2576,1079,2209,34,12498,5602,4774,1221,2470,5854,5359,1592,34,7288,6159,3908,34,8245,3396,7571,34
