source,sumlevel,geoid,name,st,T7_est1,T7_est2,T7_est3,T7_est4,T7_est5,T7_est6,T7_est7,T7_est8,T7_est9,T7_est10,T7_est11,T7_est12,T7_est13,T7_est14,T7_est15,T7_est16,T7_est17,T7_est18,T7_est19,T7_est20,T7_est21,T7_est22,T7_est23,T7_est24,T7_est25,T7_est26,T7_est27,T7_est28,T7_est29,T7_est30,T7_est31,T7_est32,T7_est33,T7_est34,T7_est35,T7_est36,T7_est37,T7_est38,T7_est39,T7_est40,T7_est41,T7_est42,T7_est43,T7_est44,T7_est45,T7_est46,T7_est47,T7_est48,T7_est49,T7_est50,T7_est51,T7_est52,T7_est53,T7_est54,T7_est55,T7_est56,T7_est57,T7_est58,T7_est59,T7_est60,T7_est61,T7_est62,T7_est63,T7_est64,T7_est65,T7_est66,T7_est67,T7_est68,T7_est69,T7_est70,T7_est71,T7_est72,T7_est73,T7_est74,T7_est75,T7_est76,T7_est77,T7_est78,T7_est79,T7_est80,T7_est81,T7_est82,T7_est83,T7_est84,T7_est85,T7_est86,T7_est87,T7_est88,T7_est89,T7_est90,T7_est91,T7_est92,T7_est93,T7_est94,T7_est95,T7_est96,T7_est97,T7_est98,T7_est99,T7_est100,T7_est101,T7_est102,T7_est103,T7_est104,T7_est105,T7_est106,T7_est107,T7_est108,T7_est109,T7_est110,T7_est111,T7_est112,T7_est113,T7_est114,T7_est115,T7_est116,T7_est117,T7_est118,T7_est119,T7_est120,T7_est121,T7_est122,T7_est123,T7_est124,T7_est125,T7_est126,T7_est127,T7_est128,T7_est129,T7_est130,T7_est131,T7_est132,T7_est133,T7_est134,T7_est135,T7_est136,T7_est137,T7_est138,T7_est139,T7_est140,T7_est141,T7_est142,T7_est143,T7_est144,T7_est145,T7_est146,T7_est147,T7_est148,T7_est149,T7_est150,T7_est151,T7_est152,T7_est153,T7_est154,T7_est155,T7_est156,T7_est157,T7_est158,T7_est159,T7_est160,T7_est161,T7_est162,T7_est163,T7_est164,T7_est165,T7_est166,T7_est167,T7_est168,T7_est169,T7_est170,T7_est171,T7_est172,T7_est173,T7_est174,T7_est175,T7_est176,T7_est177,T7_est178,T7_est179,T7_est180,T7_est181,T7_est182,T7_est183,T7_est184,T7_est185,T7_est186,T7_est187,T7_est188,T7_est189,T7_est190,T7_est191,T7_est192,T7_est193,T7_est194,T7_est195,T7_est196,T7_est197,T7_est198,T7_est199,T7_est200,T7_est201,T7_est202,T7_est203,T7_est204,T7_est205,T7_est206,T7_est207,T7_est208,T7_est209,T7_est210,T7_est211,T7_est212,T7_est213,T7_moe1,T7_moe2,T7_moe3,T7_moe4,T7_moe5,T7_moe6,T7_moe7,T7_moe8,T7_moe9,T7_moe10,T7_moe11,T7_moe12,T7_moe13,T7_moe14,T7_moe15,T7_moe16,T7_moe17,T7_moe18,T7_moe19,T7_moe20,T7_moe21,T7_moe22,T7_moe23,T7_moe24,T7_moe25,T7_moe26,T7_moe27,T7_moe28,T7_moe29,T7_moe30,T7_moe31,T7_moe32,T7_moe33,T7_moe34,T7_moe35,T7_moe36,T7_moe37,T7_moe38,T7_moe39,T7_moe40,T7_moe41,T7_moe42,T7_moe43,T7_moe44,T7_moe45,T7_moe46,T7_moe47,T7_moe48,T7_moe49,T7_moe50,T7_moe51,T7_moe52,T7_moe53,T7_moe54,T7_moe55,T7_moe56,T7_moe57,T7_moe58,T7_moe59,T7_moe60,T7_moe61,T7_moe62,T7_moe63,T7_moe64,T7_moe65,T7_moe66,T7_moe67,T7_moe68,T7_moe69,T7_moe70,T7_moe71,T7_moe72,T7_moe73,T7_moe74,T7_moe75,T7_moe76,T7_moe77,T7_moe78,T7_moe79,T7_moe80,T7_moe81,T7_moe82,T7_moe83,T7_moe84,T7_moe85,T7_moe86,T7_moe87,T7_moe88,T7_moe89,T7_moe90,T7_moe91,T7_moe92,T7_moe93,T7_moe94,T7_moe95,T7_moe96,T7_moe97,T7_moe98,T7_moe99,T7_moe100,T7_moe101,T7_moe102,T7_moe103,T7_moe104,T7_moe105,T7_moe106,T7_moe107,T7_moe108,T7_moe109,T7_moe110,T7_moe111,T7_moe112,T7_moe113,T7_moe114,T7_moe115,T7_moe116,T7_moe117,T7_moe118,T7_moe119,T7_moe120,T7_moe121,T7_moe122,T7_moe123,T7_moe124,T7_moe125,T7_moe126,T7_moe127,T7_moe128,T7_moe129,T7_moe130,T7_moe131,T7_moe132,T7_moe133,T7_moe134,T7_moe135,T7_moe136,T7_moe137,T7_moe138,T7_moe139,T7_moe140,T7_moe141,T7_moe142,T7_moe143,T7_moe144,T7_moe145,T7_moe146,T7_moe147,T7_moe148,T7_moe149,T7_moe150,T7_moe151,T7_moe152,T7_moe153,T7_moe154,T7_moe155,T7_moe156,T7_moe157,T7_moe158,T7_moe159,T7_moe160,T7_moe161,T7_moe162,T7_moe163,T7_moe164,T7_moe165,T7_moe166,T7_moe167,T7_moe168,T7_moe169,T7_moe170,T7_moe171,T7_moe172,T7_moe173,T7_moe174,T7_moe175,T7_moe176,T7_moe177,T7_moe178,T7_moe179,T7_moe180,T7_moe181,T7_moe182,T7_moe183,T7_moe184,T7_moe185,T7_moe186,T7_moe187,T7_moe188,T7_moe189,T7_moe190,T7_moe191,T7_moe192,T7_moe193,T7_moe194,T7_moe195,T7_moe196,T7_moe197,T7_moe198,T7_moe199,T7_moe200,T7_moe201,T7_moe202,T7_moe203,T7_moe204,T7_moe205,T7_moe206,T7_moe207,T7_moe208,T7_moe209,T7_moe210,T7_moe211,T7_moe212,T7_moe213
2016thru2020,040,0400000US01,Alabama,01,1888505,1306505,113285,13845,3365,2580,6485,26175,4915,4260,13585,4515,1290,740,2175,41280,11660,8105,18215,27470,4565,4340,12600,126625,23940,15855,4495,3590,32520,16720,9580,6220,6600,3485,2025,1090,45140,29990,8200,6950,18425,9085,5105,4230,203130,52025,41450,7950,2625,64755,47000,14225,3530,13585,10605,2590,385,44125,34980,6995,2150,28640,19200,7500,1940,132535,32400,28475,3270,660,52050,45495,5805,750,10420,9370,985,60,19190,16795,1855,540,18475,15205,2935,335,730930,161835,156460,4825,555,388025,379285,8115,625,57830,56630,1080,120,51990,49040,2535,415,71245,67715,3015,515,582000,157910,3930,970,790,1880,50780,7285,7000,30500,8665,1145,1205,5750,29520,9580,5020,12515,65010,8215,7690,36145,109710,5710,2750,2125,835,40900,12200,20260,8440,6555,2355,3210,990,21380,10005,7295,4080,35165,9415,14945,10805,118600,7905,5345,2325,235,47010,33160,12950,905,8555,6230,2290,35,13420,8735,3560,1125,41705,26500,13860,1345,53970,3190,2835,300,55,23775,22190,1510,75,3760,3600,165,0,4495,3775,550,165,18745,16440,2275,30,141805,8050,7845,195,15,66035,65505,520,10,9195,9040,155,0,8755,7735,480,540,49765,49015,710,40,5746,8890,2677,1064,425,561,626,1297,590,569,991,585,302,223,388,1594,820,754,1216,1564,570,525,952,2747,1147,934,498,434,1693,1280,883,610,679,454,403,246,1679,1186,678,766,1091,640,715,582,3648,1945,1673,837,421,1906,1597,714,617,969,867,366,209,1802,1573,749,362,1518,1248,761,401,3055,1361,1226,460,239,1890,1911,591,196,783,745,264,58,1249,1120,304,175,1124,1069,370,224,6965,2459,2475,498,135,5479,5535,928,191,1999,1931,297,82,1722,1688,430,235,2148,2010,482,172,5960,3202,487,188,262,296,1764,679,766,1456,849,262,360,653,1386,808,540,1045,1987,768,743,1725,2493,562,469,334,225,1504,971,1124,873,675,350,510,235,1247,928,700,482,1776,871,1153,1043,2850,823,620,410,129,1917,1666,1033,275,899,675,565,44,859,695,542,384,2084,1515,1081,305,1655,468,470,141,68,1185,1104,249,70,619,606,94,29,532,488,186,91,1214,1066,386,31,3046,650,663,85,17,2231,2215,200,15,778,775,141,29,800,707,173,234,1818,1839,222,62
2016thru2020,040,0400000US02,Alaska,02,255175,165375,12605,1440,290,170,925,2705,550,575,1430,910,395,205,300,4325,1225,825,2160,3220,625,440,1845,13610,2370,1540,535,290,3525,1620,845,1060,1830,1165,400,265,4000,2435,895,675,1885,860,315,705,25115,4845,3715,750,380,8495,4705,2795,995,3370,2005,1170,195,4775,3270,970,535,3630,1930,1230,470,18540,3670,3190,425,55,7040,4880,2030,130,2130,1760,370,0,2645,2295,275,75,3055,1785,1120,150,95505,16765,16095,590,80,50580,48020,2420,140,10030,9685,340,10,5785,5350,370,70,12340,10860,1340,145,89795,16755,545,120,35,390,5060,940,565,3435,1345,315,285,735,3845,885,1315,1540,5965,1225,620,3620,15100,510,160,325,25,6030,1520,2815,1690,1520,615,515,390,1785,675,760,350,5255,1000,2640,1615,21340,735,510,220,4,9275,5470,3395,410,2600,1710,825,65,1230,695,410,125,7495,4915,2215,365,11480,355,285,65,0,4915,4100,810,0,1160,1075,90,0,660,605,55,0,4390,3505,875,10,25120,1080,1035,45,0,11075,10670,405,0,1900,1815,15,70,1705,1685,20,0,9365,9140,225,0,1324,1895,697,302,102,60,267,320,120,135,262,139,89,70,77,506,207,200,399,373,114,147,317,749,254,199,124,88,507,310,254,281,276,204,136,118,460,329,209,168,298,169,125,222,1123,491,457,163,209,695,479,386,262,429,242,281,99,513,398,218,291,452,300,271,164,984,390,366,121,33,638,525,367,55,283,250,119,23,403,388,106,38,387,259,251,102,1468,674,668,148,33,1355,1393,351,74,679,666,152,13,510,488,135,39,778,747,319,86,1818,909,159,50,38,144,528,188,174,434,241,83,125,171,514,223,331,294,537,186,180,448,967,188,64,167,32,667,301,448,351,268,175,154,127,279,151,215,94,497,231,348,280,1080,175,145,106,23,781,621,466,145,584,463,267,85,267,192,149,73,612,537,313,158,852,154,138,63,23,541,526,180,23,258,240,66,23,185,186,32,23,607,497,274,18,1129,205,199,55,23,720,730,162,23,294,262,17,94,296,295,20,23,645,624,119,23
2016thru2020,040,0400000US04,Arizona,04,2643430,1727175,136690,21820,3730,3550,10865,29640,4935,3860,16985,10180,2135,1600,5570,49720,9425,9585,26510,25325,3645,2205,12175,152775,32405,18245,6665,7490,33275,13100,10510,9665,14540,6515,5555,2475,55510,28760,13115,13635,17050,7220,4025,5805,265325,69505,50840,12635,6030,75015,45835,21765,7415,29660,20185,7940,1535,61095,42755,12965,5375,30050,15160,10465,4425,173665,46005,38145,6105,1760,57665,44865,11415,1380,20505,17875,2455,175,28200,23005,4270,925,21290,15235,5595,460,998725,247635,234160,11625,1850,453180,435525,15480,2180,96345,93440,2660,245,87330,81115,5000,1215,114230,105630,7575,1025,916255,178675,5705,1230,230,3605,51640,4455,5190,36535,18045,1605,2740,12600,37260,7980,4440,21955,66025,5900,4660,43240,146955,7440,2220,2750,2470,52210,9355,26330,16525,17490,5065,8250,4175,26370,6125,9450,10795,43440,6530,19445,17465,206050,12715,6570,4780,1370,76770,40410,32725,3640,22655,15295,6560,795,21995,8930,9130,3930,71915,32695,34435,4790,104965,7075,5110,1650,320,41495,34595,6685,215,9875,9045,815,10,8450,5630,2180,640,38070,28705,8880,485,279610,17775,16325,1205,250,119330,116525,2760,50,23130,22550,580,0,19530,16065,2255,1210,99845,96175,3550,115,6290,9001,2958,1068,414,456,719,1805,463,605,1596,990,298,366,884,1993,773,994,1295,1154,392,300,766,3411,1667,952,981,685,1546,869,894,849,899,650,493,379,1976,1287,921,1111,1294,652,664,810,4539,2359,2101,898,674,2523,1884,1492,865,1476,1035,743,439,2059,1580,903,756,1622,1023,926,620,3325,1425,1297,534,287,1908,1699,1001,284,1300,1228,392,82,1443,1206,569,207,991,953,496,129,7420,3025,3042,869,329,5507,5334,1029,525,3018,2946,573,114,2541,2487,535,500,2678,2569,747,313,6466,3813,524,244,82,438,1842,538,658,1644,1302,358,401,1145,1912,722,558,1682,2204,636,622,1845,3147,702,393,423,378,2016,777,1350,1143,1445,655,895,882,1229,543,734,924,1915,672,1511,1184,4051,1042,867,638,305,2667,1951,1566,601,1959,1738,819,380,1254,873,951,640,2392,1712,1974,646,3007,670,530,359,178,1792,1663,644,119,960,921,219,19,766,620,429,199,2087,1739,1164,159,4542,961,936,254,116,2402,2328,486,54,1592,1570,255,31,1454,1377,348,336,3253,3347,489,76
2016thru2020,040,0400000US05,Arkansas,05,1170545,770475,54395,6910,1425,1550,3260,11845,2010,2295,6310,2605,820,460,1185,19205,5055,4025,8555,13835,2395,2130,6065,73180,13425,8985,2750,1690,17245,9185,5275,2785,4295,2590,1160,545,28535,18110,6375,4050,9680,5090,2685,1905,122460,32320,26005,5155,1165,36900,26480,8480,1940,10020,7665,2045,310,28055,22615,3925,1515,15160,10060,3905,1200,77070,19625,17560,1575,495,28065,24605,3080,380,7355,6785,515,55,11540,10125,1105,315,10485,8620,1660,210,443370,100255,97530,2435,285,231250,226910,3990,345,37690,37025,590,75,33395,32080,1085,230,40780,38960,1535,285,400065,90825,1930,320,300,1145,30070,3745,4305,18395,5475,720,755,3665,16670,5240,3020,7360,36680,5070,4535,20235,75820,3130,1400,1325,400,27940,8290,14210,5440,5485,1890,2895,700,16170,7860,4950,3360,23095,5820,11665,5610,86525,4880,3300,1345,240,34005,24765,8690,550,7545,6005,1510,25,9810,5810,2925,1075,30290,19445,10200,645,43165,2645,2415,175,55,19255,18275,975,4,3605,3465,145,0,2595,2170,260,165,15070,13620,1395,55,103725,6370,6065,230,75,50255,49735,460,55,7725,7705,15,0,6890,6295,280,315,32490,32135,230,125,4409,6164,1629,706,322,284,433,753,398,324,577,432,252,161,261,977,465,391,778,810,387,419,534,2195,880,783,361,303,1054,852,483,365,455,349,237,159,1176,969,599,406,812,577,429,307,2364,1399,1153,650,266,1297,1164,762,362,801,683,393,114,1343,1176,512,314,1065,806,538,373,2390,1156,1120,293,214,1327,1322,461,174,663,676,161,55,866,759,283,90,821,736,356,116,4754,2099,2162,365,113,3672,3710,520,170,1399,1415,166,55,1412,1317,255,230,1607,1540,289,145,4589,2142,369,128,118,263,1547,529,668,1162,577,245,223,424,987,444,416,707,1620,565,571,1180,2446,436,237,335,117,1585,922,900,792,565,388,474,243,1107,840,564,514,1244,590,980,633,2678,534,391,318,101,1974,1730,812,199,781,688,362,33,791,597,434,385,1492,1342,901,220,1717,456,446,92,44,1172,1107,270,4,526,525,87,29,371,354,90,66,1178,1054,386,90,3021,624,614,86,58,2264,2259,167,62,828,829,23,29,741,713,113,178,1666,1642,134,109
2016thru2020,040,0400000US06,California,06,13103115,7241320,664465,124165,27425,20185,68810,153075,21460,17740,101570,38690,6935,5460,24930,247580,53060,43640,136405,100960,9595,8760,60400,692765,159615,80360,31655,47600,202385,68015,49060,85310,84445,29905,27495,27040,186880,90715,42120,54045,59440,18240,12135,29065,1110075,242145,149775,55755,36615,405500,191675,142725,71105,168590,97200,57665,13725,190075,115845,43310,30920,103760,40975,35150,27635,746795,149895,108315,31690,9885,314195,195615,97650,20925,119905,91800,24745,3360,90060,63700,20215,6145,72740,35230,28250,9260,4027215,741920,664000,65960,11960,2110325,1879390,208650,22285,492220,456245,32785,3190,289135,249950,33210,5975,393615,317920,66300,9390,5861795,1485455,105135,19755,19505,61670,479755,31870,62005,358380,161060,8930,31840,115685,331990,73175,57570,185750,407515,34495,31535,278070,1016645,67590,18185,26470,22930,443160,84295,210030,148840,155620,41245,82580,31790,115450,26655,41870,46925,234825,32515,88810,113500,1182155,64550,31075,25390,8085,533630,269995,223695,39940,165305,109550,50140,5615,88365,36925,37275,14165,330305,120215,165130,44960,581750,29735,19715,8870,1150,264455,198715,62155,3585,69195,60460,8380,350,34985,22825,9680,2475,183385,117190,61290,4905,1595790,74705,66365,7715,625,737705,697520,39270,910,127995,124375,3595,20,78160,67530,8715,1915,577220,531230,44140,1850,18539,35704,6373,2769,1309,1014,1860,2848,1079,909,2465,1497,634,512,1214,3682,1554,1862,3078,2697,691,745,1941,6631,2826,2007,1323,1807,3681,1985,1635,2398,2524,1228,1314,1402,3463,2265,1450,1949,1647,969,791,1327,8594,3406,3008,1747,1395,5537,4143,2904,2087,3004,2165,1885,832,3715,2687,1749,1493,2549,1613,1505,1405,7256,2626,2102,1356,669,5387,4118,2793,1197,2505,2402,1259,454,2160,1656,1067,564,2088,1311,1423,762,26010,6041,5573,1900,860,22941,21468,3555,1065,4229,4234,1445,401,3850,3718,1617,654,5841,4901,2355,764,20326,10467,2861,991,948,2289,6313,1463,2177,5331,3487,775,1521,2885,4182,2454,1795,3301,5889,1501,1453,4736,8994,2310,1241,1331,1417,6062,2416,3941,3685,3216,1449,2479,1448,2803,1531,1785,1704,4527,1452,2467,3099,9636,1864,1525,1224,750,5697,4432,3839,1817,3849,2976,1894,637,2014,1490,1443,1034,5811,3024,3639,2109,6452,1534,1213,718,303,4195,3599,2295,709,1863,1837,724,138,1776,1332,757,481,3726,2831,2042,682,10120,2287,2109,714,257,7612,7479,1557,331,3360,3285,568,30,2305,2300,718,347,6022,5805,1730,451
2016thru2020,040,0400000US08,Colorado,08,2137400,1415325,107285,15090,3640,2605,8015,21530,2580,2400,14620,5240,750,915,3275,42575,9555,9360,21525,22850,3085,2435,13375,124765,26070,14845,5500,5720,31955,10425,10600,10925,10615,3665,4485,2465,38245,21620,8945,7680,17880,6090,5145,6645,224845,51415,37175,10105,4135,72985,40405,26580,6000,22945,15445,6545,955,41110,28690,9195,3225,36385,19250,13780,3355,160180,32600,27720,4175,705,65600,51585,12895,1120,16445,14015,2240,190,19430,15890,2935,605,26105,18565,6840,700,798245,151430,142955,7670,805,434090,415485,16595,2015,67500,65660,1535,305,48295,44955,2870,470,96930,89780,6480,670,722080,163155,4805,950,575,3085,43790,4275,5740,31310,9635,625,1520,7040,40320,10610,5950,22045,64605,6145,5745,46270,130255,5350,1545,2120,1685,45115,9355,23090,12670,10680,3065,5470,2150,18855,4705,7565,6585,50255,7005,25110,18140,166575,7840,3920,3390,530,60985,34460,24400,2120,13120,8935,3995,190,14180,6765,5185,2230,70450,32710,33310,4430,83865,3425,2435,845,140,32885,28165,4545,175,5495,4960,530,4,5390,3555,1465,370,36670,28925,7350,400,178230,8550,7640,630,285,73050,71220,1805,25,8665,8595,65,0,9650,8505,850,300,78310,75620,2665,25,4708,7386,2955,801,447,288,674,1093,339,392,954,589,191,270,430,1693,768,702,1241,914,408,396,868,2836,1169,843,515,636,1655,699,830,930,1064,525,646,484,1497,1161,558,713,1073,688,523,658,3547,1329,1098,611,477,2020,1620,1116,596,1059,854,601,317,1498,1282,682,420,1647,1115,966,432,2961,1131,995,443,181,1859,1706,892,227,857,778,324,78,1045,933,417,205,1361,1003,697,197,6156,2447,2379,630,214,5058,5166,980,340,1899,1883,206,114,1411,1377,417,167,2221,2145,743,162,6562,3280,593,253,175,512,1820,644,782,1475,917,173,326,745,1709,863,648,1151,2166,684,760,1808,2781,602,304,338,444,1572,802,1244,895,907,470,650,347,1246,474,654,893,1724,660,1178,1040,3155,669,464,452,123,1956,1662,1252,418,1099,858,545,95,1028,731,568,439,2436,1405,1697,592,2241,485,393,232,78,1518,1433,522,113,571,533,166,17,671,560,334,198,1500,1381,719,171,3506,827,719,198,232,2188,2075,334,35,744,738,52,29,772,693,184,195,2300,2289,470,23
2016thru2020,040,0400000US09,Connecticut,09,1385435,915410,65920,9730,695,2000,6515,13925,790,1610,10395,2085,190,270,1625,28535,1760,5650,19610,11645,440,1060,8455,80905,18540,6660,6555,5325,20805,4055,7075,9675,5010,1100,1770,2135,27590,8560,10665,8365,8960,1935,3255,3770,134395,34210,22110,8560,3540,45335,22250,17750,5335,9355,4755,3585,1015,26435,16050,7450,2935,19065,7995,7800,3270,94215,21855,17720,3600,535,37700,26940,9455,1305,6850,4985,1670,195,13770,10925,2380,465,14040,9715,3565,755,539975,104995,98070,5930,995,298335,281770,14710,1850,46500,44055,2195,250,35415,32335,2645,430,54730,49515,4875,335,470030,150005,6350,1875,1190,3050,47445,5080,6780,33005,7785,695,1275,5625,42000,13180,8690,18660,46420,6930,5060,28690,90125,6035,2005,2750,1280,33990,7735,19250,7010,6960,1830,3905,1225,17420,6400,6495,4525,25720,5235,13990,6490,89020,5640,3490,1965,185,34480,24110,9650,715,4715,3685,1000,35,11055,6120,3955,975,33135,21065,10955,1115,42540,2675,2345,260,65,17445,16040,1360,45,1930,1825,100,0,3835,3145,610,85,16655,14320,2275,60,98340,6390,5900,405,85,41645,40810,830,0,4285,4195,90,0,7640,6755,800,80,38385,37570,805,15,3273,5010,1913,663,207,382,566,921,202,341,843,366,88,100,345,1450,262,692,1264,866,171,227,801,2078,814,552,460,509,1087,454,668,706,578,301,330,361,1381,794,871,736,742,387,562,427,2710,1083,1043,616,489,1752,1244,1037,605,808,540,519,309,1320,872,759,418,1135,606,763,590,1991,962,953,476,135,1474,1179,778,234,682,533,374,74,880,851,325,148,803,735,450,262,4896,2091,2133,503,181,4106,3968,960,292,1653,1655,361,95,1629,1574,335,134,2006,1886,462,109,4548,2940,723,407,376,429,1692,682,744,1485,763,192,287,703,1736,1169,906,1098,1926,696,583,1428,2486,677,497,418,304,1628,651,1225,730,708,336,570,296,979,675,537,591,1443,605,1021,653,2599,616,545,369,82,1720,1345,868,243,499,437,293,43,819,613,649,239,1558,1365,895,304,1920,398,389,101,45,1105,1067,284,41,403,389,79,30,510,460,216,51,1182,1126,481,62,2374,635,612,121,87,1590,1579,219,30,521,533,61,30,662,599,216,46,1622,1612,190,21
2016thru2020,040,0400000US10,Delaware,10,370955,264915,21390,3305,520,545,1910,4395,560,750,2855,995,250,210,515,7665,1790,1520,3860,5030,465,590,2995,23225,4880,3260,775,845,5650,2035,1720,1895,1355,435,530,390,8450,4595,2225,1630,2890,750,730,1405,42935,11215,8335,2295,585,13890,8475,4465,950,2720,1710,825,190,9820,6705,2285,830,5290,2665,2125,500,26985,7480,5975,1265,235,9510,7775,1600,135,1520,1405,95,20,4120,3195,800,120,4360,3365,860,140,150380,36475,34410,1930,130,76440,74020,2045,375,11105,10825,280,0,10790,10030,680,85,15565,14400,1055,110,106040,25250,720,95,195,355,7495,635,875,5365,1580,135,485,940,5890,1605,995,3035,9565,1035,820,6010,19240,815,365,215,235,7170,1845,3465,1860,1495,310,820,365,3485,1140,1425,920,6275,855,3060,2360,23295,1460,760,530,170,8715,5390,2810,510,1790,1290,495,4,3040,1625,1145,270,8290,3975,3730,580,11225,430,335,85,10,4880,4380,495,4,775,745,30,0,870,685,160,25,4275,3475,795,0,27030,2015,1865,140,4,11580,11455,125,0,1160,1145,15,0,2340,2060,280,0,9940,9680,260,0,1820,2572,1176,454,202,152,369,593,224,267,440,261,164,99,173,605,396,273,524,585,174,185,470,1397,523,457,187,250,529,337,298,327,334,160,186,193,788,496,451,337,428,167,183,377,1412,706,561,449,134,965,737,697,288,406,304,278,127,870,724,507,226,570,448,347,181,1382,621,567,248,109,784,659,338,88,255,252,72,32,511,463,198,91,835,781,225,102,2661,1133,1144,311,53,2115,2078,344,162,1200,1177,111,29,795,748,202,56,936,891,224,98,2163,1369,213,61,115,146,774,190,267,642,294,83,222,216,675,280,318,576,987,291,337,867,1123,219,140,94,139,787,429,494,427,382,143,343,163,567,244,404,250,693,253,485,473,1568,380,291,200,96,814,633,446,200,416,334,165,6,593,420,367,134,927,540,645,217,993,157,148,62,15,658,665,194,1,200,198,27,29,228,204,85,24,659,603,267,29,1490,309,306,78,11,862,874,103,29,256,254,21,29,468,431,241,29,913,898,133,29
2016thru2020,040,0400000US11,District of Columbia,11,288305,122650,10665,1250,230,390,585,1800,320,110,1235,335,95,25,200,4635,840,600,2665,2655,125,140,1900,7245,1410,730,220,455,1720,640,445,630,465,350,100,15,2395,1220,525,650,1255,420,150,685,7000,1350,855,310,185,2010,1015,785,210,335,265,70,0,1810,1150,555,110,1495,695,480,320,8440,1215,960,210,50,2305,1605,405,300,450,440,4,4,1945,1165,515,265,2520,1345,765,410,89295,12230,11320,845,65,36755,34775,1825,155,3840,3660,170,15,9145,7960,855,330,27325,23595,3190,540,165660,49435,1990,540,385,915,13915,2630,2235,8150,2325,550,480,1250,11890,3990,2290,4880,19320,2135,1935,11450,20725,755,450,245,65,6070,2145,3095,825,1215,670,455,95,3700,1445,1305,950,8980,1435,4105,3445,15760,430,315,115,0,4245,2645,1380,220,385,285,85,15,2355,1775,410,170,8350,3355,4110,885,14180,665,615,15,30,2830,2075,685,70,620,490,85,45,940,520,405,15,9130,5240,3665,230,65555,1850,1765,85,0,17810,16845,930,35,925,885,40,0,3740,3290,420,30,41235,36530,4650,50,1321,2319,791,294,110,198,141,388,246,73,298,149,68,27,126,490,208,171,393,524,76,79,443,696,373,188,91,283,373,245,163,218,162,126,96,20,350,224,170,184,270,125,68,234,632,261,231,104,100,397,207,362,95,110,96,39,31,425,323,219,57,301,238,146,108,679,308,299,75,34,324,264,134,148,171,172,6,5,305,277,135,135,450,323,243,176,2092,790,791,178,42,1351,1357,268,89,404,383,84,20,762,758,172,203,1678,1633,568,339,2395,1661,384,161,183,224,953,482,549,789,386,183,160,280,858,443,479,573,1198,398,440,852,1109,187,154,101,53,657,380,434,229,306,177,240,65,590,396,271,393,975,315,577,737,1348,136,109,70,31,698,435,484,168,115,101,73,24,466,420,155,91,968,763,615,227,1010,222,217,25,28,574,513,238,81,203,183,91,23,246,183,163,30,866,736,485,76,1757,340,339,66,31,1021,954,240,38,329,334,40,31,638,599,235,34,1586,1538,540,37
2016thru2020,040,0400000US12,Florida,12,7931315,5250880,490245,86955,14290,13815,47295,88485,10565,12400,55340,16560,3405,2665,9480,211105,39595,38500,114490,87150,10635,9700,45950,536030,123700,66265,28285,29155,122845,46085,32855,43905,29910,10345,10525,9040,200355,101250,52870,46235,59215,24030,14395,20790,870685,234280,164505,44620,25155,265235,151855,82910,30470,62055,38035,19145,4875,202310,141675,40750,19885,106815,57590,34015,15210,550025,147635,119655,21995,5985,195585,145280,43100,7210,41900,33960,6720,1220,92615,74930,14210,3475,72290,49545,19180,3560,2803890,728920,685050,36610,7260,1296440,1220075,67545,8820,202995,192090,9690,1215,279770,256820,19055,3895,295765,267110,25010,3650,2680435,573260,31880,4435,3585,21545,182575,12600,11895,137095,35630,2760,3850,26155,142395,31255,16790,85840,180780,14545,9360,119825,472075,33200,7500,11275,14425,194590,19890,86525,88175,38910,6540,19270,13100,75370,17215,22020,36135,130005,11605,46950,71445,603375,42490,17480,20190,4820,258920,103485,133190,22245,47510,25380,19875,2255,62275,21825,26525,13925,192175,62225,105805,24145,293565,18535,12715,5065,755,131145,98540,31175,1430,21975,18565,3295,115,22475,13120,7130,2225,99440,63815,33155,2470,738165,53450,47095,5290,1065,339130,320765,17585,780,44625,42560,2065,0,51400,42970,5955,2475,249555,229315,19365,875,23194,29162,5596,2602,982,1202,2349,2764,885,1115,2242,1127,538,465,959,3612,1891,1510,3053,2569,881,932,1936,6511,3188,2556,1498,1573,2986,1889,1747,1774,1692,826,1092,1059,4391,3374,1764,1943,2075,1354,913,1345,8511,4439,3451,2186,1611,4854,3297,2880,1907,2363,1678,1495,621,3666,3423,1740,1096,2997,2077,1782,1043,5685,2915,2550,1511,536,3693,3581,2036,719,2016,1863,856,329,2984,2714,1190,535,2219,1881,1120,551,22203,6043,6005,1324,846,16922,16802,3096,772,4075,3896,960,328,5201,4879,1395,692,4138,4052,1783,636,14277,7173,1528,463,435,1351,4020,1041,978,3424,1581,486,412,1474,3447,1673,909,2693,4258,1062,942,3432,6622,1605,813,913,1216,4377,1482,2380,2894,1786,958,1137,1088,2457,1222,1311,1438,3520,818,2131,2623,8311,2243,1167,1696,550,4669,3563,3085,1885,2454,1665,1354,590,2015,1252,1575,1175,4514,2418,3678,1583,4680,1211,1054,706,190,3286,2530,1872,333,1430,1142,775,83,1359,977,892,431,3304,2699,1758,684,7950,2227,2150,564,285,5541,5354,1299,294,2061,1973,423,34,2252,2161,664,421,5128,5007,1468,239
