source,sumlevel,geoid,name,st,T8_est1,T8_est2,T8_est3,T8_est4,T8_est5,T8_est6,T8_est7,T8_est8,T8_est9,T8_est10,T8_est11,T8_est12,T8_est13,T8_est14,T8_est15,T8_est16,T8_est17,T8_est18,T8_est19,T8_est20,T8_est21,T8_est22,T8_est23,T8_est24,T8_est25,T8_est26,T8_est27,T8_est28,T8_est29,T8_est30,T8_est31,T8_est32,T8_est33,T8_est34,T8_est35,T8_est36,T8_est37,T8_est38,T8_est39,T8_est40,T8_est41,T8_est42,T8_est43,T8_est44,T8_est45,T8_est46,T8_est47,T8_est48,T8_est49,T8_est50,T8_est51,T8_est52,T8_est53,T8_est54,T8_est55,T8_est56,T8_est57,T8_est58,T8_est59,T8_est60,T8_est61,T8_est62,T8_est63,T8_est64,T8_est65,T8_est66,T8_est67,T8_est68,T8_est69,T8_est70,T8_est71,T8_est72,T8_est73,T8_est74,T8_est75,T8_est76,T8_est77,T8_est78,T8_est79,T8_est80,T8_est81,T8_est82,T8_est83,T8_est84,T8_est85,T8_est86,T8_est87,T8_est88,T8_est89,T8_est90,T8_est91,T8_est92,T8_est93,T8_est94,T8_est95,T8_est96,T8_est97,T8_est98,T8_est99,T8_est100,T8_est101,T8_est102,T8_est103,T8_est104,T8_est105,T8_est106,T8_est107,T8_est108,T8_est109,T8_est110,T8_est111,T8_est112,T8_est113,T8_est114,T8_est115,T8_est116,T8_est117,T8_est118,T8_est119,T8_est120,T8_est121,T8_est122,T8_est123,T8_est124,T8_est125,T8_est126,T8_est127,T8_est128,T8_est129,T8_est130,T8_est131,T8_est132,T8_est133,T8_moe1,T8_moe2,T8_moe3,T8_moe4,T8_moe5,T8_moe6,T8_moe7,T8_moe8,T8_moe9,T8_moe10,T8_moe11,T8_moe12,T8_moe13,T8_moe14,T8_moe15,T8_moe16,T8_moe17,T8_moe18,T8_moe19,T8_moe20,T8_moe21,T8_moe22,T8_moe23,T8_moe24,T8_moe25,T8_moe26,T8_moe27,T8_moe28,T8_moe29,T8_moe30,T8_moe31,T8_moe32,T8_moe33,T8_moe34,T8_moe35,T8_moe36,T8_moe37,T8_moe38,T8_moe39,T8_moe40,T8_moe41,T8_moe42,T8_moe43,T8_moe44,T8_moe45,T8_moe46,T8_moe47,T8_moe48,T8_moe49,T8_moe50,T8_moe51,T8_moe52,T8_moe53,T8_moe54,T8_moe55,T8_moe56,T8_moe57,T8_moe58,T8_moe59,T8_moe60,T8_moe61,T8_moe62,T8_moe63,T8_moe64,T8_moe65,T8_moe66,T8_moe67,T8_moe68,T8_moe69,T8_moe70,T8_moe71,T8_moe72,T8_moe73,T8_moe74,T8_moe75,T8_moe76,T8_moe77,T8_moe78,T8_moe79,T8_moe80,T8_moe81,T8_moe82,T8_moe83,T8_moe84,T8_moe85,T8_moe86,T8_moe87,T8_moe88,T8_moe89,T8_moe90,T8_moe91,T8_moe92,T8_moe93,T8_moe94,T8_moe95,T8_moe96,T8_moe97,T8_moe98,T8_moe99,T8_moe100,T8_moe101,T8_moe102,T8_moe103,T8_moe104,T8_moe105,T8_moe106,T8_moe107,T8_moe108,T8_moe109,T8_moe110,T8_moe111,T8_moe112,T8_moe113,T8_moe114,T8_moe115,T8_moe116,T8_moe117,T8_moe118,T8_moe119,T8_moe120,T8_moe121,T8_moe122,T8_moe123,T8_moe124,T8_moe125,T8_moe126,T8_moe127,T8_moe128,T8_moe129,T8_moe130,T8_moe131,T8_moe132,T8_moe133
2016thru2020,040,0400000US01,Alabama,01,1888505,1306505,113285,25790,535,25255,20020,375,19645,53060,555,52505,14415,430,13985,126625,75140,685,74455,29405,155,29250,22080,160,21920,0,0,0,203130,153235,1310,151925,39260,225,39035,10630,35,10595,0,0,0,132535,115340,820,114520,14850,40,14810,2345,45,2300,0,0,0,730930,709125,1785,707345,19570,15,19560,2230,0,2230,0,0,0,582000,157910,27190,510,26680,21700,375,21325,86785,1155,85635,22235,540,21695,109710,36725,795,35930,47840,1030,46805,25145,580,24570,0,0,0,118600,79970,1275,78695,34985,155,34835,3640,280,3360,0,0,0,53970,48840,670,48170,4800,65,4735,335,55,275,0,0,0,141805,139140,940,138200,2060,200,1860,605,375,230,0,0,0,5746,8890,2677,1276,149,1258,1357,146,1356,1951,190,1941,1028,132,1027,2747,2068,200,2068,1347,103,1326,1241,80,1245,29,29,29,3648,3326,502,3124,1702,143,1683,910,38,905,29,29,29,3055,2821,215,2790,998,40,998,457,67,460,29,29,29,6965,7105,317,7045,1231,21,1233,375,29,375,29,29,29,5960,3202,1190,158,1170,1310,130,1293,2475,281,2431,1322,199,1306,2493,1696,257,1657,1839,376,1745,1601,180,1577,29,29,29,2850,2295,330,2310,1610,75,1605,583,211,539,29,29,29,1655,1513,174,1469,550,51,545,134,49,121,29,29,29,3046,3033,253,3007,402,133,405,243,233,110,29,29,29
2016thru2020,040,0400000US02,Alaska,02,255175,165375,12605,3090,1145,1945,2215,340,1875,6650,760,5890,650,55,595,13610,7615,1045,6570,2995,75,2920,2995,40,2955,0,0,0,25115,15625,1310,14315,6915,90,6820,2580,10,2570,0,0,0,18540,13910,490,13420,4225,0,4225,410,0,410,0,0,0,95505,90005,1010,88995,5055,4,5050,440,0,440,0,0,0,89795,16755,3485,880,2605,2815,300,2515,9725,510,9215,730,20,710,15100,3975,470,3505,7055,300,6750,4075,30,4045,0,0,0,21340,13300,850,12450,7070,20,7045,970,30,940,0,0,0,11480,9570,270,9305,1895,4,1885,10,0,10,0,0,0,25120,24345,720,23625,710,0,710,70,0,70,0,0,0,1324,1895,697,301,149,273,291,83,284,587,277,568,139,27,138,749,538,120,537,373,28,372,400,24,398,23,23,23,1123,881,235,890,608,79,600,450,13,450,23,23,23,984,841,93,859,481,23,481,121,23,121,23,23,23,1468,1479,172,1468,561,12,561,132,23,132,23,23,23,1818,909,367,137,357,434,132,429,704,168,653,164,13,161,967,414,118,392,653,209,630,439,29,440,23,23,23,1080,967,274,958,681,18,680,257,36,249,23,23,23,852,768,147,756,302,17,301,18,23,18,23,23,23,1129,1124,258,1122,214,23,214,94,23,94,23,23,23
2016thru2020,040,0400000US04,Arizona,04,2643430,1727175,136690,23865,2190,21675,20800,525,20275,72100,735,71365,19925,1145,18780,152775,73840,1775,72065,39870,360,39505,39065,255,38815,0,0,0,265325,174770,1985,172790,65775,295,65480,24780,245,24540,0,0,0,173665,139120,1090,138035,29845,160,29685,4695,20,4680,0,0,0,998725,949865,3880,945985,42340,110,42230,6520,30,6490,0,0,0,916255,178675,21170,1245,19925,17265,785,16480,117930,3090,114845,22310,995,21315,146955,29295,1045,28250,66225,775,65450,51430,1460,49970,0,0,0,206050,103900,1630,102270,87630,1060,86570,14525,430,14095,0,0,0,104965,83085,725,82360,20210,150,20060,1670,205,1465,0,0,0,279610,267640,2240,265400,10350,180,10170,1625,180,1440,0,0,0,6290,9001,2958,1128,201,1114,1319,231,1287,2520,152,2522,1059,189,1048,3411,2031,243,2010,1884,162,1872,1982,157,1998,31,31,31,4539,3115,270,3059,2608,108,2587,1515,334,1477,31,31,31,3325,3208,265,3197,1457,85,1484,538,22,535,31,31,31,7420,7466,513,7394,1550,50,1552,860,38,853,31,31,31,6466,3813,1256,259,1248,1192,366,1110,3136,580,3010,1263,205,1236,3147,1336,286,1372,2237,215,2217,2118,345,2082,31,31,31,4051,3382,326,3388,2708,628,2764,1112,131,1081,31,31,31,3007,2646,202,2632,1355,95,1367,329,126,303,31,31,31,4542,4618,427,4498,773,93,767,365,113,354,31,31,31
2016thru2020,040,0400000US05,Arkansas,05,1170545,770475,54395,11705,615,11090,10460,165,10295,25375,440,24935,6860,200,6660,73180,43965,735,43230,18240,130,18110,10970,50,10920,0,0,0,122460,92825,860,91965,23505,45,23465,6130,90,6040,0,0,0,77070,67690,735,66955,7930,65,7865,1455,0,1455,0,0,0,443370,432510,1885,430620,9640,50,9595,1220,0,1220,0,0,0,400065,90825,15100,730,14370,12920,190,12735,50800,1505,49300,12005,550,11455,75820,25265,555,24710,35045,365,34680,15510,385,15125,0,0,0,86525,59320,920,58405,24670,400,24270,2535,305,2230,0,0,0,43165,39940,510,39435,2945,0,2945,280,105,175,0,0,0,103725,101940,990,100950,1215,45,1175,570,150,420,0,0,0,4409,6164,1629,856,175,796,767,87,778,1205,162,1192,658,78,649,2195,1736,180,1739,936,85,944,721,43,718,29,29,29,2364,2079,229,2049,1321,37,1326,670,106,658,29,29,29,2390,2418,201,2390,693,62,694,288,29,288,29,29,29,4754,4823,360,4855,758,50,750,368,29,368,29,29,29,4589,2142,1031,286,980,963,97,962,1950,317,1967,1097,247,1053,2446,1456,168,1419,1480,118,1482,1267,160,1261,29,29,29,2678,2560,304,2510,1353,180,1338,584,200,534,29,29,29,1717,1646,185,1688,516,29,516,117,99,71,29,29,29,3021,3017,259,3005,234,30,232,216,148,168,29,29,29
2016thru2020,040,0400000US06,California,06,13103115,7241320,664465,118475,1780,116690,95780,1010,94770,392115,3205,388910,58095,865,57230,692765,287235,2035,285200,162470,975,161495,243060,1505,241555,0,0,0,1110075,595470,3600,591870,334605,1280,333325,180000,885,179115,0,0,0,746795,494660,2275,492385,202555,925,201630,49580,75,49505,0,0,0,4027215,3567505,9985,3557520,406910,1245,405665,52800,65,52735,0,0,0,5861795,1485455,168230,8455,159775,202455,7985,194475,999550,37420,962135,115220,6050,109170,1016645,202895,6590,196305,449765,10105,439660,363985,9875,354110,0,0,0,1182155,567760,12765,554995,501630,8735,492895,112765,3200,109570,0,0,0,581750,418910,6930,411980,150375,1315,149060,12465,910,11560,0,0,0,1595790,1487025,16440,1470585,103440,1565,101870,5325,835,4490,0,0,0,18539,35704,6373,2585,253,2592,2300,240,2280,4859,327,4889,1996,205,2015,6631,3819,296,3818,3013,206,3033,4140,327,4159,31,31,31,8594,6557,473,6566,4110,251,4087,3093,203,3071,31,31,31,7256,6142,368,6160,3840,276,3838,1807,52,1816,31,31,31,26010,24912,735,24988,5206,296,5232,1917,47,1915,31,31,31,20326,10467,3418,839,3151,3649,816,3687,9340,1927,9103,2895,636,2754,8994,3411,598,3425,5471,735,5308,6016,843,5885,31,31,31,9636,6054,862,5995,6430,910,6336,3295,505,3237,31,31,31,6452,5659,668,5573,2893,312,2900,1140,389,1079,31,31,31,10120,10042,1283,10015,2504,346,2487,717,235,621,31,31,31
2016thru2020,040,0400000US08,Colorado,08,2137400,1415325,107285,19615,385,19230,17715,130,17585,60815,650,60165,9140,235,8910,124765,56645,565,56080,34675,190,34485,33440,100,33340,0,0,0,224845,140965,705,140260,66210,180,66030,17670,40,17630,0,0,0,160180,127780,455,127325,29090,110,28980,3315,20,3295,0,0,0,798245,758835,1375,757455,35150,30,35115,4265,95,4170,0,0,0,722080,163155,22605,860,21745,19530,675,18855,109755,2930,106825,11265,675,10590,130255,25675,660,25010,63350,1020,62330,41230,1080,40150,0,0,0,166575,86795,975,85820,70285,730,69555,9500,395,9105,0,0,0,83865,68035,630,67405,14740,110,14630,1090,225,870,0,0,0,178230,171575,1665,169910,6020,270,5750,635,55,575,0,0,0,4708,7386,2955,1105,132,1100,1072,113,1039,2248,232,2203,779,158,744,2836,1911,177,1923,1350,89,1348,1439,56,1428,29,29,29,3547,2589,259,2584,1979,87,1979,916,44,914,29,29,29,2961,2741,162,2754,1353,82,1371,451,23,452,29,29,29,6156,6160,271,6181,1484,46,1470,466,82,454,29,29,29,6562,3280,1245,270,1186,1255,329,1240,2392,448,2336,1119,254,1061,2781,1231,234,1255,1702,280,1691,1746,268,1700,29,29,29,3155,2562,233,2516,2055,214,2030,835,143,822,29,29,29,2241,2143,218,2111,961,75,964,276,190,211,29,29,29,3506,3409,320,3349,638,146,617,325,34,325,29,29,29
2016thru2020,040,0400000US09,Connecticut,09,1385435,915410,65920,3880,110,3770,10590,55,10530,46595,245,46355,4855,25,4830,80905,22315,285,22035,29320,95,29225,29270,215,29055,0,0,0,134395,73160,235,72925,45145,95,45050,16095,65,16030,0,0,0,94215,70280,335,69945,20675,80,20595,3255,25,3230,0,0,0,539975,505750,905,504845,30360,105,30255,3865,4,3865,0,0,0,470030,150005,27760,475,27285,22995,320,22680,89030,1950,87080,10220,285,9935,90125,23205,395,22805,46390,945,45450,20530,560,19970,0,0,0,89020,58470,930,57540,27525,175,27350,3025,130,2895,0,0,0,42540,37680,360,37315,4610,75,4535,255,25,225,0,0,0,98340,95230,925,94310,2930,25,2905,180,10,165,0,0,0,3273,5010,1913,430,75,419,963,50,965,1621,148,1592,550,23,546,2078,1148,141,1161,1542,57,1548,1175,134,1185,30,30,30,2710,2096,90,2098,1660,64,1648,1088,61,1074,30,30,30,1991,1697,166,1724,1086,83,1075,441,43,444,30,30,30,4896,4736,226,4775,1269,72,1265,384,4,383,30,30,30,4548,2940,1683,182,1655,1278,130,1279,2330,373,2333,874,136,882,2486,1134,138,1155,1789,394,1771,1131,212,1162,30,30,30,2599,2097,277,2079,1453,96,1447,470,93,463,30,30,30,1920,1834,142,1833,595,68,588,92,33,86,30,30,30,2374,2389,195,2393,412,23,413,94,20,92,30,30,30
2016thru2020,040,0400000US10,Delaware,10,370955,264915,21390,3590,15,3575,3615,60,3555,12135,70,12065,2055,4,2055,23225,11075,25,11050,5980,40,5945,6170,0,6170,0,0,0,42935,27890,110,27780,11990,70,11915,3055,4,3050,0,0,0,26985,21710,95,21615,4620,0,4620,650,0,650,0,0,0,150380,143690,365,143325,5990,10,5980,700,0,700,0,0,0,106040,25250,3510,40,3470,3370,0,3370,15700,395,15305,2670,4,2665,19240,4515,60,4450,8985,40,8945,5740,105,5630,0,0,0,23295,13045,110,12930,8715,70,8645,1535,25,1510,0,0,0,11225,9625,25,9600,1570,30,1540,35,4,30,0,0,0,27030,26210,280,25930,815,0,815,4,0,4,0,0,0,1820,2572,1176,436,19,436,482,45,470,1041,48,1046,346,1,347,1397,757,24,760,600,52,605,759,29,759,29,29,29,1412,1142,65,1158,1113,61,1117,363,13,364,29,29,29,1382,1173,84,1173,592,29,592,185,29,185,29,29,29,2661,2551,179,2527,509,16,510,204,29,204,29,29,29,2163,1369,451,42,441,615,29,615,1265,211,1273,486,2,484,1123,601,59,608,737,32,741,684,65,685,29,29,29,1568,1143,63,1132,966,54,973,371,31,373,29,29,29,993,941,28,941,338,46,330,27,8,24,29,29,29,1490,1468,239,1421,287,29,287,11,29,11,29,29,29
2016thru2020,040,0400000US11,District of Columbia,11,288305,122650,10665,1605,20,1585,1270,50,1215,6585,45,6540,1210,10,1195,7245,3365,10,3360,1445,0,1445,2435,40,2395,0,0,0,7000,3985,20,3965,2195,0,2195,820,0,820,0,0,0,8440,5515,4,5510,1895,0,1895,1030,40,990,0,0,0,89295,81310,375,80930,6890,0,6890,1100,0,1100,0,0,0,165660,49435,9845,50,9795,7335,75,7260,26645,280,26360,5615,95,5520,20725,6140,45,6095,9200,135,9065,5380,90,5295,0,0,0,15760,8370,90,8280,6100,30,6070,1290,0,1290,0,0,0,14180,8940,75,8865,4850,115,4735,395,15,380,0,0,0,65555,59310,315,58995,6125,15,6110,120,0,120,0,0,0,1321,2319,791,350,25,345,284,89,267,689,39,685,265,16,264,696,376,15,376,277,31,277,500,43,501,31,31,31,632,488,24,486,453,31,453,183,31,183,31,31,31,679,609,12,608,319,31,319,253,58,241,31,31,31,2092,2071,422,2080,684,31,684,413,31,413,31,31,31,2395,1661,865,47,863,799,68,800,1186,143,1187,804,70,797,1109,648,41,644,812,83,831,874,112,880,31,31,31,1348,912,66,910,853,37,847,309,31,309,31,31,31,1010,925,61,917,534,122,552,121,26,121,31,31,31,1757,1686,136,1687,578,21,574,65,31,65,31,31,31
2016thru2020,040,0400000US12,Florida,12,7931315,5250880,490245,78490,1250,77240,77075,785,76295,272560,2685,269870,62120,990,61135,536030,247975,1840,246135,138925,645,138285,149130,860,148270,0,0,0,870685,553655,2860,550795,221445,895,220550,95585,365,95225,0,0,0,550025,423370,1965,421405,105205,545,104660,21450,95,21355,0,0,0,2803890,2621150,7150,2614000,157905,340,157565,24835,175,24660,0,0,0,2680435,573260,65590,2035,63555,45470,700,44775,390455,9000,381450,71745,1685,70055,472075,62750,1500,61250,186045,2715,183330,223280,6060,217220,0,0,0,603375,230395,3130,227265,305585,3740,301845,67395,2370,65025,0,0,0,293565,206755,1750,205005,79825,890,78935,6985,575,6410,0,0,0,738165,682705,5340,677365,50260,795,49465,5195,635,4560,0,0,0,23194,29162,5596,2593,229,2573,2278,204,2297,4751,611,4740,2266,230,2217,6511,4772,281,4780,3607,183,3578,3434,499,3455,34,34,34,8511,6620,422,6664,4760,256,4737,3151,177,3126,34,34,34,5685,5565,490,5563,3005,382,2992,1054,90,1045,34,34,34,22203,22336,799,22329,4456,136,4464,1518,102,1510,34,34,34,14277,7173,2286,778,2016,1866,213,1862,5844,963,5850,2758,284,2707,6622,2316,309,2330,3713,673,3727,4406,718,4262,34,34,34,8311,5342,528,5256,5623,580,5496,2973,433,3054,34,34,34,4680,3759,299,3799,2820,229,2817,895,200,860,34,34,34,7950,7656,635,7643,2291,262,2272,634,191,615,34,34,34
