source,sumlevel,geoid,name,st,T9_est1,T9_est2,T9_est3,T9_est4,T9_est5,T9_est6,T9_est7,T9_est8,T9_est9,T9_est10,T9_est11,T9_est12,T9_est13,T9_est14,T9_est15,T9_est16,T9_est17,T9_est18,T9_est19,T9_est20,T9_est21,T9_est22,T9_est23,T9_est24,T9_est25,T9_est26,T9_est27,T9_est28,T9_est29,T9_est30,T9_est31,T9_est32,T9_est33,T9_est34,T9_est35,T9_est36,T9_est37,T9_est38,T9_est39,T9_est40,T9_est41,T9_est42,T9_est43,T9_est44,T9_est45,T9_est46,T9_est47,T9_est48,T9_est49,T9_est50,T9_est51,T9_est52,T9_est53,T9_est54,T9_est55,T9_est56,T9_est57,T9_est58,T9_est59,T9_est60,T9_est61,T9_est62,T9_est63,T9_est64,T9_est65,T9_est66,T9_est67,T9_est68,T9_est69,T9_est70,T9_est71,T9_est72,T9_est73,T9_moe1,T9_moe2,T9_moe3,T9_moe4,T9_moe5,T9_moe6,T9_moe7,T9_moe8,T9_moe9,T9_moe10,T9_moe11,T9_moe12,T9_moe13,T9_moe14,T9_moe15,T9_moe16,T9_moe17,T9_moe18,T9_moe19,T9_moe20,T9_moe21,T9_moe22,T9_moe23,T9_moe24,T9_moe25,T9_moe26,T9_moe27,T9_moe28,T9_moe29,T9_moe30,T9_moe31,T9_moe32,T9_moe33,T9_moe34,T9_moe35,T9_moe36,T9_moe37,T9_moe38,T9_moe39,T9_moe40,T9_moe41,T9_moe42,T9_moe43,T9_moe44,T9_moe45,T9_moe46,T9_moe47,T9_moe48,T9_moe49,T9_moe50,T9_moe51,T9_moe52,T9_moe53,T9_moe54,T9_moe55,T9_moe56,T9_moe57,T9_moe58,T9_moe59,T9_moe60,T9_moe61,T9_moe62,T9_moe63,T9_moe64,T9_moe65,T9_moe66,T9_moe67,T9_moe68,T9_moe69,T9_moe70,T9_moe71,T9_moe72,T9_moe73
2016thru2020,040,0400000US01,Alabama,01,1888505,1306505,987355,839695,80890,57355,9415,251460,184660,35980,26970,3845,13395,10970,1185,1040,200,6610,5600,505,435,70,230,205,15,4,4,29060,22760,2950,2630,720,18390,14745,1580,1910,160,582000,290760,183985,48605,49160,9005,241410,119350,53800,57335,10920,9600,5840,1220,1755,785,2125,1375,295,330,120,150,70,60,20,4,27500,15490,5495,5410,1105,10450,5750,1905,2500,290,5746,8890,6266,6139,2291,1869,889,3503,3210,1837,1490,433,731,720,292,245,108,553,541,208,126,50,103,102,21,29,9,1284,1188,546,457,224,1393,1200,277,360,80,5960,4199,3512,1823,2082,832,3806,2809,2337,2211,815,651,512,280,360,222,378,330,109,116,120,90,66,64,25,4,1240,994,665,679,288,960,648,394,402,126
2016thru2020,040,0400000US02,Alaska,02,255175,165375,121130,96780,14980,8840,530,3045,2155,520,355,20,7355,5305,1455,595,0,16915,13155,2040,1635,85,525,365,130,30,0,7860,5925,1110,820,4,8550,6560,1175,800,15,89795,52925,32570,11555,8320,480,4915,3135,985,775,20,5440,3440,1130,815,60,11495,7020,2345,2085,45,1615,850,490,270,4,7180,4050,1360,1715,55,6225,3610,1670,870,70,1324,1895,1493,1583,871,709,119,306,348,163,140,25,753,574,353,241,23,572,516,277,218,72,162,136,83,33,23,614,575,289,224,7,692,567,300,179,19,1818,1489,1257,936,637,137,549,421,344,248,26,589,458,280,270,60,697,512,381,333,24,270,229,194,133,4,638,486,286,314,45,588,419,341,230,88
2016thru2020,040,0400000US04,Arizona,04,2643430,1727175,1221790,972340,134355,102690,12405,37940,27925,5510,3985,520,47290,38140,4805,3690,660,43315,35615,2525,2530,2645,1310,1130,50,110,20,343160,260995,48300,30600,3265,32370,25320,3080,3560,410,916255,480490,268250,103190,98605,10450,67960,32130,17565,16550,1720,31405,19265,4675,5645,1820,33365,20910,5680,4785,1990,2090,1320,355,365,45,272840,147005,63660,56325,5850,28100,16210,6550,4905,440,6290,9001,6680,5837,3245,2519,887,1571,1435,696,577,179,1244,1294,433,510,204,1060,910,257,320,298,230,212,36,80,22,3774,3877,2312,1724,467,2139,1599,490,1212,217,6466,4359,4365,2815,2935,866,1800,1535,1297,1124,360,1397,1085,629,670,313,1058,890,729,555,309,334,301,182,114,43,3887,3344,2359,2282,822,1592,1199,797,627,152
2016thru2020,040,0400000US05,Arkansas,05,1170545,770475,633325,541765,53740,32870,4945,76710,58175,9500,7895,1135,8150,6715,745,625,65,4135,3060,310,565,200,110,80,10,15,0,31300,25375,3675,1920,325,16745,13515,1790,1255,185,400065,247005,156720,44695,39735,5855,98655,48700,22545,22605,4800,6770,4755,925,740,350,2355,1490,425,405,35,1980,1645,205,110,20,30045,20245,5300,4015,485,13265,8010,2700,2090,465,4409,6164,5015,4820,1877,1396,649,1858,1895,850,688,186,622,529,222,203,65,457,399,152,217,113,69,63,15,21,29,1338,1142,521,301,137,1042,981,298,247,81,4589,3642,3211,1666,1715,780,2267,1698,1179,1443,756,632,589,246,217,152,315,268,145,151,39,165,165,105,83,42,1354,1327,649,574,200,1149,995,478,427,224
2016thru2020,040,0400000US06,California,06,13103115,7241320,3900065,2808510,594760,466745,30055,278045,172625,55450,47200,2770,1098100,764005,181105,142760,10225,24615,17645,3680,2915,375,16810,11815,2775,2070,145,1741160,1165635,330660,232205,12655,182525,123110,33890,23660,1865,5861795,2249600,1169955,505705,533180,40760,501860,198590,125215,165405,12650,737215,390745,151125,169630,25715,22725,11340,4505,6330,550,19755,10000,4800,4480,480,2133185,966240,569830,565925,31190,197455,97950,46485,49140,3880,18539,35704,17214,15993,5327,5225,1326,3312,3328,1797,1958,351,7263,7360,2986,2829,826,1074,804,465,348,149,836,762,426,293,77,14254,12783,5177,3820,870,3453,2974,1768,1385,362,20326,11667,8115,6251,6181,1802,4487,3159,2540,3452,1041,6157,4862,3391,3016,1350,872,632,434,542,168,1125,843,561,543,217,11922,8058,6957,7315,1437,3940,2675,2182,2100,571
2016thru2020,040,0400000US08,Colorado,08,2137400,1415325,1134545,900120,137405,90370,6650,31410,21225,5960,3790,435,35265,25840,5245,3810,375,5110,3955,615,470,70,1315,1010,195,110,0,180870,131400,29145,18795,1535,26805,20295,4270,2165,75,722080,465310,248960,108600,101815,5940,44335,19475,11715,12045,1100,20280,11610,4015,3930,730,5270,2440,1365,1370,95,1240,600,365,255,15,163545,80100,42685,38045,2715,22095,11495,5180,4750,670,4708,7386,5774,5828,2793,1974,665,1159,1136,632,486,242,1276,1079,587,469,143,425,371,141,142,54,244,232,64,79,29,2820,2404,1245,1221,374,1450,1122,518,319,63,6562,5306,4318,2433,2392,770,1444,1244,867,948,331,1057,825,554,414,209,503,343,290,272,77,319,220,195,137,25,2711,2284,1528,1687,425,1150,975,678,536,220
2016thru2020,040,0400000US09,Connecticut,09,1385435,915410,750665,565440,106160,75065,4000,53400,33645,10590,8920,245,31485,23490,4170,3760,70,870,525,155,190,0,125,55,0,15,55,65410,42445,12890,9705,370,13450,9780,2125,1430,115,470030,239520,135695,49495,49835,4495,76325,33590,18925,21940,1870,21905,14580,2945,3905,475,985,445,135,380,25,100,55,15,30,0,117965,51365,29915,33755,2935,13225,6610,3030,3170,420,3273,5010,4287,4595,2587,2012,523,1307,1196,864,932,122,879,738,435,528,49,207,159,75,93,30,93,50,30,29,69,1950,1660,1056,749,117,887,778,338,366,71,4548,3649,3143,1828,1720,649,1804,1324,1290,1320,415,966,806,459,462,127,221,133,86,164,34,60,50,23,35,30,2142,1662,1613,1502,449,1026,733,520,459,197
2016thru2020,040,0400000US10,Delaware,10,370955,264915,199105,159930,22595,15300,1275,38760,27445,6030,4695,590,8700,6645,1135,865,55,945,720,50,170,0,50,50,0,0,0,11980,8800,1765,1290,120,5380,4365,615,385,15,106040,48175,27775,9540,9985,875,37125,17875,9025,8870,1360,5260,3380,890,755,235,295,140,85,65,10,20,10,4,4,0,11660,6150,2780,2545,180,3500,1570,1130,790,10,1820,2572,2349,2359,1137,1074,267,1249,1196,678,706,176,517,574,272,236,43,137,124,31,76,29,37,37,29,29,29,822,714,329,326,85,1077,999,263,167,17,2163,1782,1680,806,835,243,1424,1212,867,964,364,518,431,278,194,121,109,77,65,53,14,22,16,10,15,29,908,627,502,427,116,644,444,314,382,16
2016thru2020,040,0400000US11,District of Columbia,11,288305,122650,61525,52190,5465,3485,380,43930,30585,6095,6710,545,5080,3985,760,200,135,210,75,0,130,0,25,25,0,0,0,8250,6495,925,740,90,3630,2415,450,700,60,165660,61355,42230,11075,7355,690,75085,34350,16125,20695,3915,7065,4040,1525,1265,235,430,190,50,140,45,4,4,0,0,0,16690,8930,3705,3555,500,5035,2860,1130,820,225,1321,2319,1553,1461,484,429,200,1472,1198,671,731,172,511,464,232,72,99,86,46,31,87,31,25,25,31,31,31,722,634,222,208,97,590,489,144,301,60,2395,1672,1487,785,766,174,1618,1437,1355,1211,727,552,434,337,320,85,142,106,57,91,63,5,5,31,31,31,937,691,452,502,181,731,656,238,290,130
2016thru2020,040,0400000US12,Florida,12,7931315,5250880,3651275,2826320,435855,346980,42120,483635,324270,82670,69960,6735,124650,93735,15900,13410,1610,9640,7050,1225,1130,230,1250,890,220,110,35,894940,610275,151450,122945,10270,85490,62105,13240,9030,1115,2680435,1202660,626205,276410,273685,26360,554590,227055,146065,159980,21485,56550,32590,10480,10330,3155,5315,2865,1050,1235,165,1610,975,265,365,10,801810,331770,217455,233545,19040,57890,26735,15460,14170,1525,23194,29162,17201,16968,5712,5207,1986,5871,5089,2821,2743,655,2298,2442,971,858,345,795,669,271,275,123,247,197,113,72,73,10239,9936,4089,3393,922,3056,2506,1652,926,344,14277,9679,6873,4934,4712,1207,5724,4571,3671,4099,1540,1895,1554,928,637,539,624,439,281,259,87,276,212,124,160,15,7649,5663,4308,4809,1668,2335,1623,1333,1182,414
