source,sumlevel,geoid,name,st,cnty,T15A_est1,T15A_est2,T15A_est3,T15A_est4,T15A_est5,T15A_est6,T15A_est7,T15A_est8,T15A_est9,T15A_est10,T15A_est11,T15A_est12,T15A_est13,T15A_est14,T15A_est15,T15A_est16,T15A_est17,T15A_est18,T15A_est19,T15A_est20,T15A_est21,T15A_est22,T15A_est23,T15A_est24,T15A_est25,T15A_est26,T15A_est27,T15A_est28,T15A_est29,T15A_est30,T15A_est31,T15A_est32,T15A_est33,T15A_est34,T15A_est35,T15A_est36,T15A_est37,T15A_est38,T15A_est39,T15A_est40,T15A_est41,T15A_est42,T15A_est43,T15A_est44,T15A_est45,T15A_est46,T15A_est47,T15A_est48,T15A_est49,T15A_est50,T15A_est51,T15A_est52,T15A_est53,T15A_est54,T15A_est55,T15A_est56,T15A_est57,T15A_est58,T15A_est59,T15A_est60,T15A_est61,T15A_est62,T15A_est63,T15A_est64,T15A_est65,T15A_est66,T15A_est67,T15A_est68,T15A_est69,T15A_est70,T15A_est71,T15A_est72,T15A_est73,T15A_est74,T15A_est75,T15A_est76,T15A_est77,T15A_est78,T15A_est79,T15A_est80,T15A_est81,T15A_est82,T15A_est83,T15A_est84,T15A_est85,T15A_est86,T15A_est87,T15A_moe1,T15A_moe2,T15A_moe3,T15A_moe4,T15A_moe5,T15A_moe6,T15A_moe7,T15A_moe8,T15A_moe9,T15A_moe10,T15A_moe11,T15A_moe12,T15A_moe13,T15A_moe14,T15A_moe15,T15A_moe16,T15A_moe17,T15A_moe18,T15A_moe19,T15A_moe20,T15A_moe21,T15A_moe22,T15A_moe23,T15A_moe24,T15A_moe25,T15A_moe26,T15A_moe27,T15A_moe28,T15A_moe29,T15A_moe30,T15A_moe31,T15A_moe32,T15A_moe33,T15A_moe34,T15A_moe35,T15A_moe36,T15A_moe37,T15A_moe38,T15A_moe39,T15A_moe40,T15A_moe41,T15A_moe42,T15A_moe43,T15A_moe44,T15A_moe45,T15A_moe46,T15A_moe47,T15A_moe48,T15A_moe49,T15A_moe50,T15A_moe51,T15A_moe52,T15A_moe53,T15A_moe54,T15A_moe55,T15A_moe56,T15A_moe57,T15A_moe58,T15A_moe59,T15A_moe60,T15A_moe61,T15A_moe62,T15A_moe63,T15A_moe64,T15A_moe65,T15A_moe66,T15A_moe67,T15A_moe68,T15A_moe69,T15A_moe70,T15A_moe71,T15A_moe72,T15A_moe73,T15A_moe74,T15A_moe75,T15A_moe76,T15A_moe77,T15A_moe78,T15A_moe79,T15A_moe80,T15A_moe81,T15A_moe82,T15A_moe83,T15A_moe84,T15A_moe85,T15A_moe86,T15A_moe87
2017thru2021,050,0500000US01001,"Autauga County, Alabama",01,001,9485,75,9405,2875,200,4,30,165,415,10,85,320,555,0,75,480,260,35,25,200,1445,4,70,1370,2755,75,0,0,75,130,0,40,95,245,0,20,220,160,0,0,160,2150,0,75,2070,1795,150,0,0,150,80,0,0,80,160,0,0,160,60,0,30,30,1345,15,100,1235,1985,75,0,20,55,40,0,0,40,65,0,0,65,60,0,0,60,1745,0,25,1720,684,69,688,365,133,48,33,112,204,14,115,160,167,30,81,159,102,58,28,94,229,30,51,232,432,65,30,30,65,87,30,50,77,176,30,32,173,102,30,30,102,378,30,85,362,330,114,30,30,114,86,30,30,86,124,30,30,124,49,30,45,32,322,24,110,315,335,59,30,30,51,50,30,30,50,62,30,30,62,50,30,30,50,326,30,38,321
2017thru2021,050,0500000US01003,"Baldwin County, Alabama",01,003,38575,115,38460,6970,845,25,120,700,620,0,40,580,1910,10,180,1720,750,0,115,635,2845,120,200,2525,13610,1075,4,330,740,335,0,150,185,1635,50,215,1370,2065,0,85,1985,8495,55,355,8085,6225,185,0,40,145,435,0,50,390,760,85,15,660,530,40,30,460,4310,0,210,4100,11655,605,0,85,525,475,0,75,405,965,50,85,825,505,0,95,410,9100,130,230,8745,1442,109,1432,730,217,31,83,199,228,30,49,227,403,13,71,394,189,30,69,172,512,91,111,505,1000,540,2,229,492,121,30,82,92,377,45,145,340,457,30,82,454,816,38,136,817,781,130,30,55,116,223,30,55,217,297,120,20,270,217,72,30,208,603,30,116,585,947,228,30,73,219,201,30,64,210,303,50,66,283,196,30,81,184,828,116,106,832
2017thru2021,050,0500000US01005,"Barbour County, Alabama",01,005,2415,4,2410,1055,55,0,4,50,110,0,0,110,225,0,55,170,175,0,4,170,495,4,40,450,630,30,10,10,10,0,0,0,0,50,0,20,35,80,0,0,80,465,4,30,435,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,25,220,480,10,10,4,0,10,0,0,10,20,0,0,20,40,0,0,40,400,0,0,400,295,6,294,206,37,24,15,34,63,24,24,63,95,24,40,79,91,24,7,91,122,14,36,117,145,28,14,13,22,24,24,24,24,31,24,21,23,47,24,24,47,133,6,25,131,91,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,91,24,32,81,120,17,13,4,24,12,24,24,12,26,24,24,26,37,24,24,37,108,24,24,108
2017thru2021,050,0500000US01007,"Bibb County, Alabama",01,007,1980,0,1980,1090,130,0,40,90,155,0,15,140,205,0,0,205,185,0,10,175,415,0,125,290,440,4,0,0,4,45,0,0,45,30,0,0,30,50,4,0,45,320,4,4,315,300,0,0,0,0,0,0,0,0,30,0,15,15,10,0,0,10,260,0,10,245,150,0,0,0,0,0,0,0,0,4,0,4,0,50,0,0,50,95,15,4,75,292,24,292,219,94,24,49,86,103,24,25,105,108,24,24,108,131,24,16,127,125,24,65,100,154,3,24,24,3,43,24,24,43,29,24,24,29,45,10,24,46,129,5,2,128,113,24,24,24,24,24,24,24,24,32,24,25,24,20,24,24,20,104,24,24,106,101,24,24,24,24,24,24,24,24,19,24,19,24,73,24,24,73,64,28,1,63
2017thru2021,050,0500000US01009,"Blount County, Alabama",01,009,8565,85,8480,3845,340,65,20,255,450,15,50,385,1090,35,155,900,525,15,45,465,1445,20,150,1275,2605,140,15,35,95,235,0,125,110,250,0,40,210,285,0,20,265,1690,4,75,1615,870,10,0,10,4,10,0,0,10,15,0,0,15,75,0,0,75,755,40,160,550,1165,30,4,15,10,4,0,0,4,120,0,10,110,105,0,0,105,905,0,65,845,630,69,638,520,143,63,18,135,163,23,51,152,251,40,88,237,206,29,31,193,295,32,83,284,380,87,24,57,65,146,30,108,82,142,30,36,136,116,30,22,120,271,4,56,269,266,16,30,14,2,22,30,30,22,20,30,30,20,66,30,30,66,248,65,166,167,276,31,16,23,15,30,30,30,30,83,30,16,81,81,30,30,81,240,30,62,226
2017thru2021,050,0500000US01011,"Bullock County, Alabama",01,011,805,0,805,390,4,0,0,4,20,0,0,20,30,0,0,30,75,0,0,75,260,0,10,255,285,135,0,0,135,10,0,0,10,4,0,0,4,0,0,0,0,130,0,10,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,125,0,20,105,192,20,192,140,20,20,20,20,35,20,20,35,27,20,20,27,66,20,20,66,115,20,16,114,133,129,20,20,129,47,20,20,47,15,20,20,15,20,20,20,20,68,20,23,68,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,79,20,20,20,20,20,20,20,20,10,20,20,10,20,20,20,20,77,20,34,75
2017thru2021,050,0500000US01013,"Butler County, Alabama",01,013,1690,0,1690,835,35,0,0,35,155,0,30,125,170,0,20,150,80,0,10,70,390,0,65,325,445,20,0,0,20,0,0,0,0,75,0,0,75,55,0,15,40,295,0,35,260,225,0,0,0,0,4,0,0,4,4,0,0,4,10,0,0,10,205,10,4,195,190,4,0,0,4,0,0,0,0,4,0,4,0,4,0,0,4,175,0,0,175,229,20,229,163,33,20,20,33,85,20,40,77,74,20,26,68,41,20,14,38,108,20,44,101,116,23,20,20,23,20,20,20,20,60,20,20,60,49,20,19,47,87,20,23,88,73,20,20,20,20,1,20,20,1,11,20,20,11,19,20,20,19,74,14,3,74,55,7,20,20,7,20,20,20,20,8,20,8,20,7,20,20,7,56,20,20,56
2017thru2021,050,0500000US01015,"Calhoun County, Alabama",01,015,16465,135,16330,6240,500,0,45,455,460,10,50,405,1505,220,95,1190,620,0,50,565,3160,4,180,2970,5570,140,0,4,130,180,0,30,150,825,4,90,735,580,0,80,495,3845,0,245,3600,2035,55,0,0,55,35,0,0,35,45,20,0,25,205,0,15,190,1690,30,40,1620,2490,40,0,4,40,50,0,4,50,65,0,20,45,100,0,10,95,2230,25,165,2040,898,126,889,619,166,30,56,171,132,14,34,123,370,258,58,255,175,30,37,170,473,8,93,464,568,96,30,12,96,82,30,30,80,206,17,66,196,186,30,61,183,456,30,110,434,305,45,30,30,45,41,30,30,41,46,25,30,40,157,30,24,149,288,53,62,291,422,32,30,30,33,42,30,30,41,51,30,20,48,65,30,17,62,411,28,149,367
2017thru2021,050,0500000US01017,"Chambers County, Alabama",01,017,4285,25,4260,1850,75,0,0,75,315,0,125,190,355,0,60,295,110,0,30,80,1000,15,175,810,1000,90,0,10,75,55,0,0,55,170,0,30,140,30,0,0,30,660,0,110,550,630,0,0,0,0,4,0,0,4,85,0,0,85,55,0,0,55,480,0,30,455,775,15,0,0,15,65,0,0,65,150,0,65,85,20,0,0,20,525,0,35,490,330,33,327,309,62,27,27,62,131,27,104,88,144,27,44,133,57,27,35,44,212,25,99,186,206,62,27,18,61,58,27,27,58,92,27,37,88,27,27,27,27,180,27,53,173,202,27,27,27,27,16,27,27,16,58,27,27,58,59,27,27,59,189,27,37,188,202,23,27,27,23,74,27,27,74,91,27,66,62,23,27,27,23,183,27,35,175
2017thru2021,050,0500000US01019,"Cherokee County, Alabama",01,019,2835,0,2835,655,40,0,0,40,30,0,0,30,165,0,40,120,50,0,10,40,370,4,45,320,870,60,0,4,55,0,0,0,0,105,0,4,100,90,0,15,75,615,20,25,570,325,20,0,20,0,0,0,0,0,20,0,0,20,15,0,0,15,270,0,0,270,985,4,0,0,4,75,0,75,0,145,0,4,145,70,0,10,60,695,15,50,630,352,24,352,169,53,24,24,53,33,24,24,33,72,24,36,67,35,24,14,32,143,16,40,133,205,62,24,7,62,24,24,24,24,76,24,2,75,63,24,21,57,164,34,23,167,129,34,24,34,24,24,24,24,24,30,24,24,30,22,24,24,22,116,24,24,116,241,1,24,24,1,86,24,86,24,130,24,24,133,72,24,14,66,178,23,40,163
