source,sumlevel,geoid,name,st,cnty,T14A_est1,T14A_est2,T14A_est3,T14A_est4,T14A_est5,T14A_est6,T14A_est7,T14A_est8,T14A_est9,T14A_est10,T14A_est11,T14A_est12,T14A_est13,T14A_est14,T14A_est15,T14A_est16,T14A_est17,T14A_est18,T14A_est19,T14A_moe1,T14A_moe2,T14A_moe3,T14A_moe4,T14A_moe5,T14A_moe6,T14A_moe7,T14A_moe8,T14A_moe9,T14A_moe10,T14A_moe11,T14A_moe12,T14A_moe13,T14A_moe14,T14A_moe15,T14A_moe16,T14A_moe17,T14A_moe18,T14A_moe19
2018thru2022,050,0500000US01001,"Autauga County, Alabama",01,001,170,30,140,60,0,0,60,25,0,0,25,50,0,0,50,4,0,0,4,112,45,102,68,30,30,68,40,30,30,40,59,30,30,59,11,30,30,11
2018thru2022,050,0500000US01003,"Baldwin County, Alabama",01,003,1410,45,1365,185,0,40,150,675,0,130,545,20,0,0,20,485,35,45,405,506,54,508,122,30,49,115,388,30,154,363,38,30,30,38,227,54,51,209
2018thru2022,050,0500000US01005,"Barbour County, Alabama",01,005,310,80,225,90,0,4,85,55,0,15,40,10,0,0,10,70,0,0,70,153,81,112,65,24,8,66,68,24,28,61,22,24,24,22,65,24,24,65
2018thru2022,050,0500000US01007,"Bibb County, Alabama",01,007,10,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,24,14,14,24,24,14,24,24,24,24,24,24,24,24,24,24,24,24
2018thru2022,050,0500000US01009,"Blount County, Alabama",01,009,285,65,220,80,20,0,55,135,0,0,135,10,0,0,10,0,0,0,0,152,45,140,70,36,30,61,127,30,30,127,14,30,30,14,30,30,30,30
2018thru2022,050,0500000US01011,"Bullock County, Alabama",01,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2018thru2022,050,0500000US01013,"Butler County, Alabama",01,013,90,20,70,25,0,0,25,30,0,0,30,0,0,0,0,15,0,0,15,63,20,59,29,20,20,29,47,20,20,47,20,20,20,20,25,20,20,25
2018thru2022,050,0500000US01015,"Calhoun County, Alabama",01,015,385,140,250,195,0,30,165,35,0,0,35,20,0,0,20,0,0,0,0,190,107,148,138,30,36,134,52,30,30,52,29,30,30,29,30,30,30,30
2018thru2022,050,0500000US01017,"Chambers County, Alabama",01,017,105,50,60,20,0,0,20,4,0,0,4,35,0,35,0,0,0,0,0,80,57,59,27,27,27,27,3,27,27,3,55,27,55,27,27,27,27,27
2018thru2022,050,0500000US01019,"Cherokee County, Alabama",01,019,230,20,210,30,0,15,10,35,0,35,0,55,0,20,35,85,0,0,85,122,38,116,31,24,29,20,60,24,60,24,67,24,35,58,75,24,24,75
