source,sumlevel,geoid,name,st,cnty,T14B_est1,T14B_est2,T14B_est3,T14B_est4,T14B_est5,T14B_est6,T14B_est7,T14B_est8,T14B_est9,T14B_est10,T14B_est11,T14B_est12,T14B_est13,T14B_est14,T14B_est15,T14B_est16,T14B_est17,T14B_est18,T14B_est19,T14B_moe1,T14B_moe2,T14B_moe3,T14B_moe4,T14B_moe5,T14B_moe6,T14B_moe7,T14B_moe8,T14B_moe9,T14B_moe10,T14B_moe11,T14B_moe12,T14B_moe13,T14B_moe14,T14B_moe15,T14B_moe16,T14B_moe17,T14B_moe18,T14B_moe19
2018thru2022,050,0500000US01001,"Autauga County, Alabama",01,001,245,100,145,25,0,10,15,85,10,15,55,15,0,0,15,20,0,0,20,110,101,87,28,30,15,26,71,20,26,56,29,30,30,29,36,30,30,36
2018thru2022,050,0500000US01003,"Baldwin County, Alabama",01,003,13430,385,13045,1280,30,405,850,4220,260,1970,1985,5465,910,2395,2155,2080,460,580,1040,970,176,905,378,46,253,274,605,245,390,377,718,326,550,491,431,183,233,318
2018thru2022,050,0500000US01005,"Barbour County, Alabama",01,005,135,0,135,75,0,25,50,10,0,10,0,55,4,0,50,0,0,0,0,83,24,83,66,24,23,63,13,24,13,24,52,13,24,53,24,24,24,24
2018thru2022,050,0500000US01007,"Bibb County, Alabama",01,007,125,10,115,20,0,20,0,95,15,45,35,0,0,0,0,0,0,0,0,110,14,109,35,24,35,24,103,28,68,54,24,24,24,24,24,24,24,24
2018thru2022,050,0500000US01009,"Blount County, Alabama",01,009,340,15,325,245,0,135,110,75,0,0,75,0,0,0,0,0,0,0,0,148,17,142,127,30,111,91,73,30,30,73,30,30,30,30,30,30,30,30
2018thru2022,050,0500000US01011,"Bullock County, Alabama",01,011,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,94,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2018thru2022,050,0500000US01013,"Butler County, Alabama",01,013,300,75,230,70,20,30,25,120,0,120,0,40,0,40,0,0,0,0,0,115,69,94,48,23,35,28,83,20,83,20,37,20,37,20,20,20,20,20
2018thru2022,050,0500000US01015,"Calhoun County, Alabama",01,015,870,240,630,170,50,75,45,325,165,65,95,105,80,25,0,30,0,0,30,243,114,222,102,58,69,46,171,127,75,88,76,69,39,30,44,30,30,44
2018thru2022,050,0500000US01017,"Chambers County, Alabama",01,017,295,15,280,105,75,0,30,25,4,20,0,145,40,70,40,0,0,0,0,139,24,141,102,95,27,40,24,11,25,27,106,63,81,62,27,27,27,27
2018thru2022,050,0500000US01019,"Cherokee County, Alabama",01,019,65,0,65,4,0,0,4,60,15,0,45,0,0,0,0,0,0,0,0,76,24,76,15,24,24,15,74,25,24,70,24,24,24,24,24,24,24,24
2018thru2022,050,0500000US01021,"Chilton County, Alabama",01,021,120,10,110,4,0,4,0,90,0,0,90,15,15,0,0,0,0,0,0,104,13,104,14,27,14,27,98,27,27,98,29,29,27,27,27,27,27,27
2018thru2022,050,0500000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2018thru2022,050,0500000US01025,"Clarke County, Alabama",01,025,90,40,50,45,35,10,0,10,0,0,10,0,0,0,0,0,0,0,0,81,53,64,61,53,20,24,15,24,24,15,24,24,24,24,24,24,24,24
2018thru2022,050,0500000US01027,"Clay County, Alabama",01,027,235,85,150,75,0,50,25,75,0,75,0,0,0,0,0,0,0,0,0,136,94,80,63,20,47,43,55,20,55,20,20,20,20,20,20,20,20,20
2018thru2022,050,0500000US01029,"Cleburne County, Alabama",01,029,210,105,105,40,0,30,4,50,0,30,20,0,0,0,0,15,0,0,15,120,76,78,49,20,49,9,55,20,44,36,20,20,20,20,27,20,20,27
2018thru2022,050,0500000US01031,"Coffee County, Alabama",01,031,840,45,795,420,120,45,255,230,85,140,4,65,0,30,35,80,0,80,0,230,48,227,167,125,41,117,139,80,102,10,49,30,44,48,114,30,114,30
2018thru2022,050,0500000US01033,"Colbert County, Alabama",01,033,335,135,200,65,10,50,0,60,15,0,45,35,0,35,0,45,45,0,0,169,88,148,73,39,60,30,72,24,30,68,57,30,57,30,70,70,30,30
2018thru2022,050,0500000US01035,"Conecuh County, Alabama",01,035,170,0,170,135,0,125,10,35,0,35,0,0,0,0,0,0,0,0,0,104,20,104,94,20,97,14,53,20,53,20,20,20,20,20,20,20,20,20
2018thru2022,050,0500000US01037,"Coosa County, Alabama",01,037,30,0,30,10,0,10,0,20,20,0,0,0,0,0,0,0,0,0,0,29,20,29,21,20,21,20,23,23,20,20,20,20,20,20,20,20,20,20
2018thru2022,050,0500000US01039,"Covington County, Alabama",01,039,145,20,125,75,15,25,35,35,4,4,30,15,0,0,15,0,0,0,0,77,26,73,49,23,27,33,44,11,27,43,28,27,27,28,27,27,27,27
2018thru2022,050,0500000US01041,"Crenshaw County, Alabama",01,041,135,70,60,40,0,30,10,20,0,0,20,4,0,0,4,0,0,0,0,65,55,46,41,20,39,14,19,20,20,19,10,20,20,10,20,20,20,20
2018thru2022,050,0500000US01043,"Cullman County, Alabama",01,043,425,160,265,70,0,50,20,150,45,60,45,50,50,0,0,0,0,0,0,181,110,164,80,30,80,25,123,69,65,54,58,58,30,30,30,30,30,30
2018thru2022,050,0500000US01045,"Dale County, Alabama",01,045,830,170,660,115,15,65,35,425,160,135,130,120,20,20,80,0,0,0,0,274,124,214,74,23,70,45,165,115,80,89,78,33,36,74,27,27,27,27
2018thru2022,050,0500000US01047,"Dallas County, Alabama",01,047,360,230,130,90,15,35,40,35,0,35,0,4,4,0,0,0,0,0,0,149,112,88,87,32,55,47,38,27,38,27,10,10,27,27,27,27,27,27
2018thru2022,050,0500000US01049,"DeKalb County, Alabama",01,049,415,10,405,105,0,60,45,140,50,65,25,30,0,0,30,130,30,80,25,189,13,186,90,30,82,40,142,77,88,44,35,30,30,35,86,43,74,26
2018thru2022,050,0500000US01051,"Elmore County, Alabama",01,051,695,90,605,155,0,80,75,345,0,150,195,105,0,0,105,0,0,0,0,244,93,225,97,30,71,72,198,30,118,131,80,30,30,80,30,30,30,30
2018thru2022,050,0500000US01053,"Escambia County, Alabama",01,053,140,15,125,80,0,30,50,40,0,0,40,0,0,0,0,0,0,0,0,95,20,91,66,27,39,56,62,27,27,62,27,27,27,27,27,27,27,27
2018thru2022,050,0500000US01055,"Etowah County, Alabama",01,055,630,105,525,125,0,85,40,255,45,175,35,105,15,90,0,40,40,0,0,222,83,199,84,30,77,45,117,52,111,38,90,23,88,30,64,64,30,30
2018thru2022,050,0500000US01057,"Fayette County, Alabama",01,057,185,50,140,140,25,40,75,0,0,0,0,0,0,0,0,0,0,0,0,129,70,115,115,38,50,83,20,20,20,20,20,20,20,20,20,20,20,20
2018thru2022,050,0500000US01059,"Franklin County, Alabama",01,059,185,65,120,10,10,0,0,105,0,105,0,0,0,0,0,4,0,0,4,123,63,105,14,14,27,27,104,27,104,27,27,27,27,27,10,27,27,10
2018thru2022,050,0500000US01061,"Geneva County, Alabama",01,061,165,75,85,55,0,20,35,20,15,10,0,4,4,0,0,0,0,0,0,106,87,55,47,24,25,40,26,22,12,24,18,18,24,24,24,24,24,24
2018thru2022,050,0500000US01063,"Greene County, Alabama",01,063,15,0,15,4,0,4,0,10,0,10,0,0,0,0,0,0,0,0,0,20,18,20,5,18,5,18,16,18,16,18,18,18,18,18,18,18,18,18
2018thru2022,050,0500000US01065,"Hale County, Alabama",01,065,20,15,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,25,23,9,20,20,20,20,9,20,9,20,20,20,20,20,20,20,20,20
2018thru2022,050,0500000US01067,"Henry County, Alabama",01,067,170,80,90,55,4,10,40,20,0,0,20,15,0,15,0,0,0,0,0,87,76,50,34,6,14,30,28,20,20,28,24,20,24,20,20,20,20,20
