source,sumlevel,geoid,name,st,cnty,T17A_est1,T17A_est2,T17A_est3,T17A_est4,T17A_est5,T17A_est6,T17A_est7,T17A_est8,T17A_est9,T17A_est10,T17A_est11,T17A_est12,T17A_est13,T17A_est14,T17A_est15,T17A_est16,T17A_est17,T17A_est18,T17A_est19,T17A_est20,T17A_est21,T17A_moe1,T17A_moe2,T17A_moe3,T17A_moe4,T17A_moe5,T17A_moe6,T17A_moe7,T17A_moe8,T17A_moe9,T17A_moe10,T17A_moe11,T17A_moe12,T17A_moe13,T17A_moe14,T17A_moe15,T17A_moe16,T17A_moe17,T17A_moe18,T17A_moe19,T17A_moe20,T17A_moe21
2018thru2022,050,0500000US01001,"Autauga County, Alabama",01,001,170,135,30,25,75,4,0,0,0,0,0,0,0,0,0,0,35,30,0,4,0,112,91,45,40,63,11,30,30,30,30,30,30,30,30,30,30,63,50,30,38,30
2018thru2022,050,0500000US01003,"Baldwin County, Alabama",01,003,1410,1045,125,500,20,395,65,0,65,0,0,195,0,105,0,90,105,95,15,0,0,506,431,102,344,38,196,107,30,107,30,30,161,30,142,30,82,81,86,22,30,30
2018thru2022,050,0500000US01005,"Barbour County, Alabama",01,005,310,200,85,40,10,70,0,0,0,0,0,15,0,15,0,0,90,90,0,0,0,153,110,67,61,22,65,24,24,24,24,24,28,24,28,24,24,78,78,24,24,24
2018thru2022,050,0500000US01007,"Bibb County, Alabama",01,007,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
2018thru2022,050,0500000US01009,"Blount County, Alabama",01,009,285,285,130,145,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,152,80,128,14,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2018thru2022,050,0500000US01011,"Bullock County, Alabama",01,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2018thru2022,050,0500000US01013,"Butler County, Alabama",01,013,90,90,30,35,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,32,48,20,27,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2018thru2022,050,0500000US01015,"Calhoun County, Alabama",01,015,385,305,225,55,20,4,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,190,168,155,59,29,2,30,30,30,30,30,30,30,30,30,30,73,73,30,30,30
2018thru2022,050,0500000US01017,"Chambers County, Alabama",01,017,105,80,45,4,35,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,80,71,47,3,55,27,40,27,27,27,40,27,27,27,27,27,27,27,27,27,27
2018thru2022,050,0500000US01019,"Cherokee County, Alabama",01,019,230,175,15,35,35,85,0,0,0,0,0,20,0,0,20,0,35,35,0,0,0,122,107,21,60,58,75,24,24,24,24,24,35,24,24,35,24,44,44,24,24,24
2018thru2022,050,0500000US01021,"Chilton County, Alabama",01,021,375,355,15,230,70,40,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,181,180,26,145,89,55,27,27,27,27,27,27,27,27,27,27,34,34,27,27,27
2018thru2022,050,0500000US01023,"Choctaw County, Alabama",01,023,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2018thru2022,050,0500000US01025,"Clarke County, Alabama",01,025,225,210,110,105,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,152,149,127,89,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
2018thru2022,050,0500000US01027,"Clay County, Alabama",01,027,35,35,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,20,20,20,42,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
