source,sumlevel,geoid,name,st,cnty,T17B_est1,T17B_est2,T17B_est3,T17B_est4,T17B_est5,T17B_est6,T17B_est7,T17B_est8,T17B_est9,T17B_est10,T17B_est11,T17B_est12,T17B_est13,T17B_est14,T17B_est15,T17B_est16,T17B_est17,T17B_est18,T17B_est19,T17B_est20,T17B_est21,T17B_moe1,T17B_moe2,T17B_moe3,T17B_moe4,T17B_moe5,T17B_moe6,T17B_moe7,T17B_moe8,T17B_moe9,T17B_moe10,T17B_moe11,T17B_moe12,T17B_moe13,T17B_moe14,T17B_moe15,T17B_moe16,T17B_moe17,T17B_moe18,T17B_moe19,T17B_moe20,T17B_moe21
2018thru2022,050,0500000US01001,"Autauga County, Alabama",01,001,245,170,15,70,15,65,0,0,0,0,0,55,0,0,0,55,20,10,10,0,0,110,101,26,63,29,62,30,30,30,30,30,90,30,30,30,90,25,15,20,30,30
2018thru2022,050,0500000US01003,"Baldwin County, Alabama",01,003,13430,2110,90,540,800,680,925,45,505,320,60,9940,1110,3100,4330,1400,455,135,175,85,55,970,468,145,206,372,223,366,53,296,201,56,810,363,454,572,376,215,107,147,102,85
2018thru2022,050,0500000US01005,"Barbour County, Alabama",01,005,135,20,0,0,20,0,25,15,10,0,0,4,0,0,4,0,85,55,0,30,0,83,33,24,24,33,24,23,20,13,24,24,13,24,24,13,24,75,64,24,46,24
2018thru2022,050,0500000US01007,"Bibb County, Alabama",01,007,125,0,0,0,0,0,55,20,35,0,0,60,0,60,0,0,10,10,0,0,0,110,24,24,24,24,24,62,35,54,24,24,71,24,71,24,24,14,14,24,24,24
2018thru2022,050,0500000US01009,"Blount County, Alabama",01,009,340,160,80,75,0,0,35,35,0,0,0,50,50,0,0,0,95,90,4,0,0,148,103,75,73,30,30,36,36,30,30,30,73,73,30,30,30,87,87,4,30,30
2018thru2022,050,0500000US01011,"Bullock County, Alabama",01,011,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,60,0,94,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,94,20,20,94,20
2018thru2022,050,0500000US01013,"Butler County, Alabama",01,013,300,30,4,10,15,0,115,35,80,0,0,70,10,40,20,0,85,55,30,0,0,115,35,4,17,27,20,84,37,79,20,20,37,13,31,27,20,71,58,39,20,20
2018thru2022,050,0500000US01015,"Calhoun County, Alabama",01,015,870,365,115,250,0,0,145,50,85,4,0,300,95,65,90,45,65,40,0,25,0,243,161,93,140,30,30,110,55,96,10,30,147,83,76,77,53,61,48,30,39,30
2018thru2022,050,0500000US01017,"Chambers County, Alabama",01,017,295,95,30,30,35,0,4,0,4,0,0,190,75,0,115,0,0,0,0,0,0,139,67,40,33,48,27,11,27,11,27,27,134,95,27,95,27,27,27,27,27,27
2018thru2022,050,0500000US01019,"Cherokee County, Alabama",01,019,65,45,0,45,0,0,0,0,0,0,0,15,0,15,0,0,4,4,0,0,0,76,70,24,70,24,24,24,24,24,24,24,25,24,25,24,24,15,15,24,24,24
2018thru2022,050,0500000US01021,"Chilton County, Alabama",01,021,120,40,4,20,15,0,0,0,0,0,0,60,0,60,0,0,20,0,20,0,0,104,40,14,35,29,27,27,27,27,27,27,94,27,94,27,27,24,27,24,27,27
2018thru2022,050,0500000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2018thru2022,050,0500000US01025,"Clarke County, Alabama",01,025,90,40,0,40,0,0,45,45,0,0,0,10,0,10,0,0,0,0,0,0,0,81,53,24,53,24,24,61,61,24,24,24,15,24,15,24,24,24,24,24,24,24
2018thru2022,050,0500000US01027,"Clay County, Alabama",01,027,235,100,25,15,10,45,4,0,4,0,0,70,35,35,0,0,60,25,35,0,0,136,96,32,24,18,76,15,20,15,20,20,57,41,40,20,20,69,43,54,20,20
2018thru2022,050,0500000US01029,"Cleburne County, Alabama",01,029,210,90,75,0,0,15,0,0,0,0,0,0,0,0,0,0,120,55,65,0,0,120,81,76,20,20,27,20,20,20,20,20,20,20,20,20,20,83,55,59,20,20
2018thru2022,050,0500000US01031,"Coffee County, Alabama",01,031,840,410,235,30,65,80,135,70,65,0,0,135,10,125,0,0,160,150,10,0,0,230,149,107,36,49,114,105,90,73,30,30,101,14,100,30,30,96,96,14,30,30
2018thru2022,050,0500000US01033,"Colbert County, Alabama",01,033,335,115,40,75,0,0,80,45,15,20,0,135,20,0,75,45,0,0,0,0,0,169,95,52,79,30,30,72,58,24,39,30,123,42,30,80,70,30,30,30,30,30
