source,sumlevel,geoid,name,st,cnty,T18A_est1,T18A_est2,T18A_est3,T18A_est4,T18A_est5,T18A_est6,T18A_est7,T18A_est8,T18A_est9,T18A_est10,T18A_est11,T18A_est12,T18A_est13,T18A_est14,T18A_est15,T18A_est16,T18A_est17,T18A_est18,T18A_est19,T18A_est20,T18A_est21,T18A_est22,T18A_est23,T18A_est24,T18A_est25,T18A_est26,T18A_est27,T18A_est28,T18A_est29,T18A_est30,T18A_est31,T18A_est32,T18A_est33,T18A_est34,T18A_est35,T18A_est36,T18A_est37,T18A_est38,T18A_est39,T18A_est40,T18A_est41,T18A_est42,T18A_est43,T18A_est44,T18A_est45,T18A_est46,T18A_est47,T18A_est48,T18A_est49,T18A_est50,T18A_est51,T18A_est52,T18A_est53,T18A_est54,T18A_est55,T18A_est56,T18A_est57,T18A_est58,T18A_est59,T18A_est60,T18A_est61,T18A_est62,T18A_est63,T18A_est64,T18A_est65,T18A_est66,T18A_est67,T18A_est68,T18A_est69,T18A_est70,T18A_est71,T18A_est72,T18A_est73,T18A_est74,T18A_est75,T18A_est76,T18A_est77,T18A_est78,T18A_est79,T18A_est80,T18A_est81,T18A_est82,T18A_est83,T18A_est84,T18A_est85,T18A_est86,T18A_est87,T18A_est88,T18A_est89,T18A_est90,T18A_est91,T18A_est92,T18A_est93,T18A_est94,T18A_est95,T18A_est96,T18A_est97,T18A_est98,T18A_est99,T18A_est100,T18A_est101,T18A_moe1,T18A_moe2,T18A_moe3,T18A_moe4,T18A_moe5,T18A_moe6,T18A_moe7,T18A_moe8,T18A_moe9,T18A_moe10,T18A_moe11,T18A_moe12,T18A_moe13,T18A_moe14,T18A_moe15,T18A_moe16,T18A_moe17,T18A_moe18,T18A_moe19,T18A_moe20,T18A_moe21,T18A_moe22,T18A_moe23,T18A_moe24,T18A_moe25,T18A_moe26,T18A_moe27,T18A_moe28,T18A_moe29,T18A_moe30,T18A_moe31,T18A_moe32,T18A_moe33,T18A_moe34,T18A_moe35,T18A_moe36,T18A_moe37,T18A_moe38,T18A_moe39,T18A_moe40,T18A_moe41,T18A_moe42,T18A_moe43,T18A_moe44,T18A_moe45,T18A_moe46,T18A_moe47,T18A_moe48,T18A_moe49,T18A_moe50,T18A_moe51,T18A_moe52,T18A_moe53,T18A_moe54,T18A_moe55,T18A_moe56,T18A_moe57,T18A_moe58,T18A_moe59,T18A_moe60,T18A_moe61,T18A_moe62,T18A_moe63,T18A_moe64,T18A_moe65,T18A_moe66,T18A_moe67,T18A_moe68,T18A_moe69,T18A_moe70,T18A_moe71,T18A_moe72,T18A_moe73,T18A_moe74,T18A_moe75,T18A_moe76,T18A_moe77,T18A_moe78,T18A_moe79,T18A_moe80,T18A_moe81,T18A_moe82,T18A_moe83,T18A_moe84,T18A_moe85,T18A_moe86,T18A_moe87,T18A_moe88,T18A_moe89,T18A_moe90,T18A_moe91,T18A_moe92,T18A_moe93,T18A_moe94,T18A_moe95,T18A_moe96,T18A_moe97,T18A_moe98,T18A_moe99,T18A_moe100,T18A_moe101
2018thru2022,050,0500000US01001,"Autauga County, Alabama",01,001,9630,9020,1860,105,235,335,270,920,2625,85,85,225,220,2005,1860,45,65,175,50,1525,2675,145,10,135,85,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35,575,505,125,100,95,45,145,60,0,0,0,0,60,0,0,0,0,0,0,10,0,0,0,0,10,585,590,361,102,126,138,125,238,396,70,74,164,83,345,301,52,77,113,48,307,366,98,18,106,59,340,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,44,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,44,30,30,30,30,44,166,160,90,65,71,51,84,53,30,30,30,30,53,30,30,30,30,30,30,19,30,30,30,30,19
2018thru2022,050,0500000US01003,"Baldwin County, Alabama",01,003,40765,37355,3255,400,305,1010,345,1195,11790,985,490,1300,1640,7375,6345,355,390,745,615,4240,15965,735,675,1320,750,12480,360,80,0,0,10,25,45,145,0,20,15,90,20,20,0,0,0,0,20,120,0,0,20,40,60,715,20,0,0,10,0,10,130,0,0,0,0,130,110,65,15,30,0,0,455,0,20,15,50,370,2335,1860,530,130,310,240,650,320,30,90,15,85,105,4,0,0,4,0,0,150,60,0,65,0,25,1442,1459,586,180,164,371,124,338,1033,524,166,323,425,899,734,198,173,267,186,624,1218,262,306,438,294,1099,177,56,30,30,16,29,51,118,30,33,26,110,25,26,30,30,30,30,26,106,30,30,34,56,79,232,25,30,30,19,30,16,76,30,30,30,30,76,93,75,28,47,30,30,174,30,38,21,50,166,415,362,219,87,132,134,236,182,40,91,30,131,78,5,30,30,5,30,30,115,70,30,92,30,28
2018thru2022,050,0500000US01005,"Barbour County, Alabama",01,005,2490,2060,540,30,60,135,55,265,645,30,40,40,90,440,310,10,0,30,10,260,565,40,15,25,25,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,390,10,25,90,95,175,10,0,0,0,10,4,20,10,0,0,0,10,10,0,0,0,0,10,273,247,145,25,47,85,41,96,158,42,34,30,55,134,106,15,24,27,15,95,132,34,21,24,33,119,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,124,124,15,21,54,69,77,16,24,24,24,14,4,21,14,24,24,24,15,22,24,24,24,24,22
2018thru2022,050,0500000US01007,"Bibb County, Alabama",01,007,1965,1415,580,145,60,90,70,215,425,4,55,45,55,270,295,0,0,15,15,265,115,10,0,10,35,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,455,25,95,85,145,110,35,0,0,0,10,25,45,0,0,45,0,0,10,0,0,0,0,10,244,228,151,103,42,87,62,89,147,2,66,44,44,119,122,24,24,26,25,118,80,16,24,17,56,50,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,174,177,29,83,62,172,77,34,24,24,24,17,27,53,24,24,53,24,24,26,24,24,24,24,26
2018thru2022,050,0500000US01009,"Blount County, Alabama",01,009,8580,7370,2215,250,250,560,325,825,2850,195,185,425,295,1745,855,15,0,75,65,700,1450,25,4,130,80,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,1075,60,180,405,160,270,130,30,105,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,534,492,342,110,91,168,151,219,365,101,115,169,136,310,238,21,30,49,60,233,278,23,2,77,62,232,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,289,258,44,113,174,119,123,111,30,111,30,30,30,4,30,30,30,30,4,30,30,30,30,30,30
2018thru2022,050,0500000US01011,"Bullock County, Alabama",01,011,890,585,140,0,25,30,30,55,275,125,45,10,0,95,30,0,0,0,0,30,135,0,0,4,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,265,4,0,15,70,180,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,154,88,20,35,41,24,68,107,119,71,18,20,55,42,20,20,20,20,42,110,20,20,10,20,109,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,129,130,2,20,18,62,108,39,20,20,39,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2018thru2022,050,0500000US01013,"Butler County, Alabama",01,013,1825,1555,715,35,130,115,105,330,435,4,0,55,80,290,170,15,0,10,20,120,240,4,4,15,4,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,225,20,10,35,15,145,30,0,0,20,0,10,4,0,0,0,0,4,10,0,0,0,0,10,218,199,153,32,75,54,70,98,96,11,20,49,59,90,75,22,20,14,23,63,82,8,3,17,3,81,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,99,92,24,15,39,21,75,36,20,20,33,20,16,7,20,20,20,20,7,14,20,20,20,20,14
2018thru2022,050,0500000US01015,"Calhoun County, Alabama",01,015,15995,14560,4030,485,265,1090,415,1775,5470,190,185,665,515,3910,2295,35,30,135,170,1925,2770,85,60,110,175,2335,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425,1035,75,60,300,45,555,190,0,15,35,0,140,75,50,0,15,0,10,125,0,4,10,0,110,887,895,511,209,95,303,150,309,540,101,90,184,177,507,405,28,35,92,113,380,439,69,49,88,136,382,12,30,30,30,30,30,30,12,30,30,30,30,12,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,328,267,70,47,152,37,206,109,30,23,57,30,95,72,60,30,31,30,14,105,30,8,13,30,102
2018thru2022,050,0500000US01017,"Chambers County, Alabama",01,017,4440,4080,1355,30,245,225,45,810,1170,80,80,190,60,760,655,0,4,105,45,495,900,15,130,120,20,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,225,20,35,40,55,70,70,25,0,0,0,45,0,0,0,0,0,0,70,0,0,30,0,40,387,396,251,36,115,138,41,196,232,60,57,107,45,179,186,27,11,66,57,143,250,23,97,85,24,203,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,134,84,20,33,35,50,65,68,42,27,27,27,52,27,27,27,27,27,27,69,27,27,48,27,48
2018thru2022,050,0500000US01019,"Cherokee County, Alabama",01,019,3035,2700,345,20,65,75,35,150,805,20,0,140,75,570,330,20,10,15,10,270,1220,4,95,160,80,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,330,285,30,40,35,4,180,35,0,0,15,0,20,0,0,0,0,0,0,10,0,0,0,0,10,317,336,106,23,53,54,34,63,179,29,24,88,49,142,135,30,16,26,14,134,261,24,92,126,79,189,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,9,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,9,24,24,9,24,24,152,151,38,26,26,24,132,31,24,24,27,24,21,24,24,24,24,24,24,15,24,24,24,24,15
