source,sumlevel,geoid,name,st,cnty,T18B_est1,T18B_est2,T18B_est3,T18B_est4,T18B_est5,T18B_est6,T18B_est7,T18B_est8,T18B_est9,T18B_est10,T18B_est11,T18B_est12,T18B_est13,T18B_est14,T18B_est15,T18B_est16,T18B_est17,T18B_est18,T18B_est19,T18B_est20,T18B_est21,T18B_est22,T18B_est23,T18B_est24,T18B_est25,T18B_est26,T18B_est27,T18B_est28,T18B_est29,T18B_est30,T18B_est31,T18B_est32,T18B_est33,T18B_est34,T18B_est35,T18B_est36,T18B_est37,T18B_est38,T18B_est39,T18B_est40,T18B_est41,T18B_est42,T18B_est43,T18B_est44,T18B_est45,T18B_est46,T18B_est47,T18B_est48,T18B_est49,T18B_est50,T18B_est51,T18B_est52,T18B_est53,T18B_est54,T18B_est55,T18B_est56,T18B_est57,T18B_est58,T18B_est59,T18B_est60,T18B_est61,T18B_est62,T18B_est63,T18B_est64,T18B_est65,T18B_est66,T18B_est67,T18B_est68,T18B_est69,T18B_est70,T18B_est71,T18B_est72,T18B_est73,T18B_est74,T18B_est75,T18B_est76,T18B_est77,T18B_est78,T18B_est79,T18B_est80,T18B_est81,T18B_est82,T18B_est83,T18B_est84,T18B_est85,T18B_est86,T18B_est87,T18B_est88,T18B_est89,T18B_est90,T18B_est91,T18B_est92,T18B_est93,T18B_est94,T18B_est95,T18B_est96,T18B_est97,T18B_est98,T18B_est99,T18B_est100,T18B_est101,T18B_moe1,T18B_moe2,T18B_moe3,T18B_moe4,T18B_moe5,T18B_moe6,T18B_moe7,T18B_moe8,T18B_moe9,T18B_moe10,T18B_moe11,T18B_moe12,T18B_moe13,T18B_moe14,T18B_moe15,T18B_moe16,T18B_moe17,T18B_moe18,T18B_moe19,T18B_moe20,T18B_moe21,T18B_moe22,T18B_moe23,T18B_moe24,T18B_moe25,T18B_moe26,T18B_moe27,T18B_moe28,T18B_moe29,T18B_moe30,T18B_moe31,T18B_moe32,T18B_moe33,T18B_moe34,T18B_moe35,T18B_moe36,T18B_moe37,T18B_moe38,T18B_moe39,T18B_moe40,T18B_moe41,T18B_moe42,T18B_moe43,T18B_moe44,T18B_moe45,T18B_moe46,T18B_moe47,T18B_moe48,T18B_moe49,T18B_moe50,T18B_moe51,T18B_moe52,T18B_moe53,T18B_moe54,T18B_moe55,T18B_moe56,T18B_moe57,T18B_moe58,T18B_moe59,T18B_moe60,T18B_moe61,T18B_moe62,T18B_moe63,T18B_moe64,T18B_moe65,T18B_moe66,T18B_moe67,T18B_moe68,T18B_moe69,T18B_moe70,T18B_moe71,T18B_moe72,T18B_moe73,T18B_moe74,T18B_moe75,T18B_moe76,T18B_moe77,T18B_moe78,T18B_moe79,T18B_moe80,T18B_moe81,T18B_moe82,T18B_moe83,T18B_moe84,T18B_moe85,T18B_moe86,T18B_moe87,T18B_moe88,T18B_moe89,T18B_moe90,T18B_moe91,T18B_moe92,T18B_moe93,T18B_moe94,T18B_moe95,T18B_moe96,T18B_moe97,T18B_moe98,T18B_moe99,T18B_moe100,T18B_moe101
2018thru2022,050,0500000US01001,"Autauga County, Alabama",01,001,7200,5235,1200,205,390,200,115,285,1525,115,200,120,210,880,705,15,60,110,65,450,1805,245,105,305,220,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970,1775,355,335,470,225,390,90,15,20,30,4,20,80,0,0,0,25,60,25,0,0,0,0,25,551,467,261,133,200,80,82,114,307,74,115,77,111,230,204,24,56,80,42,173,391,186,90,169,125,244,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,401,378,197,154,173,136,157,62,23,24,46,14,24,97,30,30,30,41,93,34,30,30,30,30,34
2018thru2022,050,0500000US01003,"Baldwin County, Alabama",01,003,29945,23425,3265,760,500,660,370,980,5590,590,605,1425,780,2190,3735,480,345,540,690,1685,10830,710,730,1640,805,6945,275,0,0,0,0,0,0,15,0,0,15,0,0,135,0,20,60,0,50,130,35,0,90,0,4,775,40,0,15,0,25,0,75,0,0,75,0,0,170,0,0,160,0,15,490,65,55,30,65,280,5465,4625,885,1135,1430,260,915,475,50,120,85,105,110,35,30,0,4,0,0,330,65,20,0,0,245,1274,1133,530,234,151,211,173,282,572,231,196,339,255,366,636,332,230,190,249,319,958,293,271,397,239,842,199,30,30,30,30,30,30,30,30,30,30,30,30,134,30,35,102,30,57,148,57,30,142,30,12,311,35,30,25,30,41,30,86,30,30,86,30,30,202,30,30,202,30,22,212,68,87,30,68,165,620,586,301,370,272,123,244,181,47,82,68,114,81,42,43,30,11,30,30,330,78,32,30,30,318
2018thru2022,050,0500000US01005,"Barbour County, Alabama",01,005,3370,2055,935,170,155,150,145,310,340,30,85,75,35,115,205,20,30,30,35,90,575,30,120,45,30,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315,1225,230,225,260,40,470,75,20,0,4,0,50,4,0,0,0,0,4,15,0,10,0,0,10,265,263,202,121,65,55,72,104,100,24,61,43,28,48,86,26,35,37,40,45,143,26,80,35,24,100,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,217,212,85,111,88,33,184,52,30,24,13,24,38,7,24,24,24,24,7,20,24,14,24,24,16
2018thru2022,050,0500000US01007,"Bibb County, Alabama",01,007,3500,2430,1265,295,225,250,230,270,585,25,170,25,50,315,245,0,105,15,55,70,335,25,25,45,25,215,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,1025,255,200,190,150,225,20,0,0,4,0,15,25,25,0,0,0,0,0,0,0,0,0,0,292,292,239,118,121,118,134,112,209,32,138,25,49,151,121,24,93,32,54,53,130,38,25,43,42,117,4,4,24,24,24,24,4,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,237,229,136,103,111,86,126,23,24,24,8,24,22,44,44,24,24,24,24,24,24,24,24,24,24
2018thru2022,050,0500000US01009,"Blount County, Alabama",01,009,8565,6050,2650,500,755,375,300,725,1835,100,310,410,260,750,540,30,80,80,70,285,1025,110,80,235,110,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515,2405,600,410,430,555,410,60,15,15,15,4,15,30,0,15,0,15,0,20,10,4,4,0,0,503,452,300,151,262,115,113,186,325,55,95,171,145,202,151,22,59,48,51,108,236,81,49,124,50,153,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,394,382,188,150,137,263,183,45,22,26,21,3,20,30,30,19,30,19,30,23,20,2,15,30,30
2018thru2022,050,0500000US01011,"Bullock County, Alabama",01,011,1340,600,225,40,65,80,0,40,160,15,50,0,35,60,70,4,10,10,0,50,140,10,45,0,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,720,190,60,180,70,220,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,225,161,102,38,51,72,20,40,98,27,71,20,31,47,57,25,21,14,20,53,80,15,40,20,9,73,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,175,179,135,60,94,61,109,27,20,20,20,20,27,20,20,20,20,20,20,20,20,20,20,20,20
2018thru2022,050,0500000US01013,"Butler County, Alabama",01,013,3225,2340,1145,150,220,130,185,465,615,55,40,100,45,370,190,20,4,45,20,100,390,0,45,10,45,285,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,755,85,185,175,45,270,70,0,0,4,0,65,30,0,0,0,4,30,4,0,0,4,0,0,215,213,222,80,97,44,81,134,150,41,37,56,42,138,76,25,7,53,20,56,99,20,43,16,34,89,14,20,20,20,20,20,20,20,20,20,20,20,20,14,20,20,14,20,20,20,20,20,20,20,20,24,24,20,20,20,24,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,154,150,42,92,76,27,84,59,20,20,12,20,58,40,20,20,20,5,38,10,20,20,10,20,20
2018thru2022,050,0500000US01015,"Calhoun County, Alabama",01,015,15700,12650,5760,800,1030,1280,570,2080,2965,290,255,460,335,1625,1435,200,150,85,100,895,2490,135,210,230,80,1835,50,15,0,0,15,0,0,0,0,0,0,0,0,10,10,0,0,0,0,20,20,0,0,0,0,10,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,2985,2565,655,550,495,255,605,285,4,240,25,20,0,10,0,10,0,0,0,130,60,20,15,10,20,879,750,498,162,227,239,144,302,416,135,110,144,123,341,284,141,105,53,59,203,369,90,126,117,54,324,51,31,30,30,31,30,30,30,30,30,30,30,30,17,17,30,30,30,30,37,37,30,30,30,30,17,9,30,30,30,30,9,30,30,30,30,30,30,30,30,30,30,30,30,18,30,30,30,30,18,513,436,210,261,150,129,145,252,16,245,39,24,30,14,30,14,30,30,30,83,66,21,25,18,26
2018thru2022,050,0500000US01017,"Chambers County, Alabama",01,017,5045,3840,1895,205,415,335,185,750,720,95,40,135,135,315,460,4,75,205,25,150,765,70,40,145,45,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205,990,115,130,305,95,340,170,25,40,20,0,85,4,0,0,0,0,4,40,0,40,0,0,0,335,319,296,103,186,143,91,229,178,59,31,67,78,113,199,28,71,143,33,74,231,68,38,106,30,178,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,240,247,72,91,144,70,123,88,34,52,24,27,62,12,27,27,27,27,12,68,27,68,27,27,27
2018thru2022,050,0500000US01019,"Cherokee County, Alabama",01,019,4940,3420,950,85,140,240,190,295,780,25,170,125,80,375,480,40,55,205,25,155,1205,45,170,115,165,715,30,10,0,0,0,0,10,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,10,4,0,0,0,0,4,1470,1175,250,150,330,155,290,130,10,0,0,10,115,55,4,25,20,0,10,105,25,40,4,10,30,374,309,194,73,57,105,88,107,176,30,113,83,55,122,203,47,47,192,28,81,196,35,81,68,86,147,35,15,24,24,24,24,15,33,24,24,24,24,33,24,24,24,24,24,24,24,24,24,24,24,24,22,14,24,24,24,14,24,24,24,24,24,24,24,16,24,24,24,24,16,24,24,24,24,24,24,242,230,93,82,89,117,123,67,15,24,24,14,64,55,19,36,31,24,14,62,28,38,11,14,38
