source,sumlevel,geoid,name,st,cnty,T9_est1,T9_est2,T9_est3,T9_est4,T9_est5,T9_est6,T9_est7,T9_est8,T9_est9,T9_est10,T9_est11,T9_est12,T9_est13,T9_est14,T9_est15,T9_est16,T9_est17,T9_est18,T9_est19,T9_est20,T9_est21,T9_est22,T9_est23,T9_est24,T9_est25,T9_est26,T9_est27,T9_est28,T9_est29,T9_est30,T9_est31,T9_est32,T9_est33,T9_est34,T9_est35,T9_est36,T9_est37,T9_est38,T9_est39,T9_est40,T9_est41,T9_est42,T9_est43,T9_est44,T9_est45,T9_est46,T9_est47,T9_est48,T9_est49,T9_est50,T9_est51,T9_est52,T9_est53,T9_est54,T9_est55,T9_est56,T9_est57,T9_est58,T9_est59,T9_est60,T9_est61,T9_est62,T9_est63,T9_est64,T9_est65,T9_est66,T9_est67,T9_est68,T9_est69,T9_est70,T9_est71,T9_est72,T9_est73,T9_moe1,T9_moe2,T9_moe3,T9_moe4,T9_moe5,T9_moe6,T9_moe7,T9_moe8,T9_moe9,T9_moe10,T9_moe11,T9_moe12,T9_moe13,T9_moe14,T9_moe15,T9_moe16,T9_moe17,T9_moe18,T9_moe19,T9_moe20,T9_moe21,T9_moe22,T9_moe23,T9_moe24,T9_moe25,T9_moe26,T9_moe27,T9_moe28,T9_moe29,T9_moe30,T9_moe31,T9_moe32,T9_moe33,T9_moe34,T9_moe35,T9_moe36,T9_moe37,T9_moe38,T9_moe39,T9_moe40,T9_moe41,T9_moe42,T9_moe43,T9_moe44,T9_moe45,T9_moe46,T9_moe47,T9_moe48,T9_moe49,T9_moe50,T9_moe51,T9_moe52,T9_moe53,T9_moe54,T9_moe55,T9_moe56,T9_moe57,T9_moe58,T9_moe59,T9_moe60,T9_moe61,T9_moe62,T9_moe63,T9_moe64,T9_moe65,T9_moe66,T9_moe67,T9_moe68,T9_moe69,T9_moe70,T9_moe71,T9_moe72,T9_moe73
2018thru2022,050,0500000US01001,"Autauga County, Alabama",01,001,22310,16830,13395,11250,930,1040,175,2580,1775,375,435,0,115,115,0,0,0,4,4,0,0,0,0,0,0,0,0,390,390,0,0,0,345,280,30,40,0,5475,3345,2580,340,345,80,1485,715,290,410,70,135,120,0,0,20,0,0,0,0,0,0,0,0,0,0,265,260,0,0,4,245,170,4,75,0,369,642,532,502,243,247,112,328,335,198,164,30,100,100,30,30,30,17,17,30,30,30,30,30,30,30,30,130,130,30,30,30,123,95,46,60,30,562,477,437,150,134,55,254,215,172,226,51,114,116,30,30,31,30,30,30,30,30,30,30,30,30,30,212,213,30,30,5,166,133,4,86,30
2018thru2022,050,0500000US01003,"Baldwin County, Alabama",01,003,90800,70710,62095,50435,6180,5045,430,4410,3125,515,700,70,400,330,55,4,10,155,115,0,15,30,15,15,0,0,0,2025,1585,180,255,0,1610,1315,65,170,65,20095,15595,9210,3200,3110,75,3095,1435,870,695,100,130,70,30,30,0,65,20,35,10,0,0,0,0,0,0,995,435,115,300,145,215,125,30,55,0,1230,1356,1252,1555,860,897,137,667,647,266,184,71,168,151,81,16,14,93,75,30,20,42,23,23,30,30,30,403,361,137,143,30,372,322,60,171,75,1114,1028,917,658,552,86,573,420,398,281,135,96,64,47,51,30,55,26,45,17,30,30,30,30,30,30,342,204,77,195,147,152,93,44,70,30
2018thru2022,050,0500000US01005,"Barbour County, Alabama",01,005,9015,5860,3385,2885,325,155,20,2285,1545,400,265,80,50,35,10,0,0,15,15,0,0,0,0,0,0,0,0,65,60,0,0,4,60,35,20,0,10,3160,935,740,120,60,15,1800,870,425,325,180,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,245,165,15,4,55,165,55,75,35,0,303,340,243,242,100,56,25,238,207,161,86,62,31,27,22,24,24,17,17,24,24,24,24,24,24,24,24,32,33,24,24,15,46,29,24,24,15,288,198,165,89,36,18,247,219,162,121,105,14,14,24,24,24,24,24,24,24,24,24,24,24,24,24,57,74,42,10,65,102,56,75,38,24
2018thru2022,050,0500000US01007,"Bibb County, Alabama",01,007,7215,5465,4560,3890,410,220,45,770,555,125,85,0,25,25,0,0,0,15,15,0,0,0,0,0,0,0,0,75,65,0,4,0,20,20,0,0,0,1750,1055,860,70,115,10,690,195,235,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,254,320,257,279,164,98,41,201,201,114,89,24,49,49,24,24,24,24,24,24,24,24,24,24,24,24,24,43,46,24,15,24,22,22,24,24,24,343,225,209,52,69,14,252,112,212,176,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,7,24,7,24,24,24,24,24,24,24
2018thru2022,050,0500000US01009,"Blount County, Alabama",01,009,21625,17145,15440,13130,1270,915,125,90,90,0,0,0,35,35,0,0,0,25,25,0,0,0,0,0,0,0,0,1215,1015,115,80,10,345,250,75,10,10,4480,3870,2320,795,610,145,20,15,0,4,0,0,0,0,0,0,10,4,10,0,0,0,0,0,0,0,420,210,40,145,25,165,130,4,25,0,386,551,545,612,243,203,80,45,45,30,30,30,39,39,30,30,30,22,22,30,30,30,30,30,30,30,30,196,193,87,57,15,161,129,83,13,13,511,484,428,211,195,104,19,21,30,6,30,30,30,30,30,30,22,5,17,30,30,30,30,30,30,30,128,115,43,96,36,69,69,18,33,30
2018thru2022,050,0500000US01011,"Bullock County, Alabama",01,011,3450,2230,680,585,55,35,0,1495,1085,150,155,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,0,4,0,0,0,0,0,1220,135,135,0,0,0,815,400,195,150,75,45,0,0,0,45,0,0,0,0,0,0,0,0,0,0,155,145,0,0,15,70,15,0,55,0,215,199,118,117,46,35,20,189,164,88,82,102,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,64,65,20,20,8,20,20,20,20,20,166,70,70,20,20,20,167,173,135,95,62,50,20,20,20,50,20,20,20,20,20,20,20,20,20,20,56,63,20,20,27,75,26,20,70,20
2018thru2022,050,0500000US01013,"Butler County, Alabama",01,013,7130,5045,3255,2930,170,145,10,1655,1275,240,110,30,20,15,10,0,0,45,45,0,0,0,0,0,0,0,0,40,4,0,15,20,30,15,10,10,0,2085,580,440,65,75,0,1375,690,275,375,35,35,25,0,10,0,0,0,0,0,0,0,0,0,0,0,75,55,10,15,0,20,20,0,0,0,322,277,180,160,64,62,16,204,196,112,60,33,23,20,16,20,20,34,34,20,20,20,20,20,20,20,20,37,8,20,24,33,26,18,15,15,20,245,116,101,49,54,20,194,143,101,128,34,35,31,20,21,20,20,20,20,20,20,20,20,20,20,20,70,59,16,23,20,28,28,20,20,20
2018thru2022,050,0500000US01015,"Calhoun County, Alabama",01,015,44695,31695,25150,21330,2070,1450,300,4910,3765,575,455,115,220,195,25,0,0,45,45,0,0,0,4,4,0,0,0,760,645,50,10,55,600,425,80,90,0,13000,7205,4685,1240,1080,200,4650,2320,1000,1250,75,80,45,4,25,0,35,15,0,20,0,0,0,0,0,0,625,370,75,180,0,410,80,140,180,10,646,773,666,663,408,239,170,410,387,171,201,81,82,78,40,30,30,45,45,30,30,30,2,2,30,30,30,218,208,45,14,57,188,144,78,77,30,798,598,493,302,211,108,510,421,281,297,61,57,48,16,38,30,34,22,30,30,30,30,30,30,30,30,185,153,84,107,30,175,42,98,141,14
2018thru2022,050,0500000US01017,"Chambers County, Alabama",01,017,13145,9485,6200,5050,725,375,50,3035,2170,525,305,40,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,0,0,0,90,75,10,0,4,3655,1555,950,355,205,45,1890,1420,135,305,25,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,145,70,65,10,0,25,20,4,0,0,375,391,303,289,177,127,47,283,307,175,120,48,30,30,27,27,27,27,27,27,27,27,27,27,27,27,27,53,53,27,27,27,58,54,19,27,12,418,305,188,185,117,51,334,319,69,122,29,45,45,27,27,27,27,27,27,27,27,27,27,27,27,27,83,57,63,22,27,26,24,8,27,27
2018thru2022,050,0500000US01019,"Cherokee County, Alabama",01,019,9995,7970,7440,5955,765,660,55,295,280,15,0,0,10,0,0,10,0,15,15,0,0,0,0,0,0,0,0,140,110,4,25,0,80,70,10,0,0,2025,1765,1210,390,85,80,130,110,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,70,15,4,10,30,20,4,4,0,438,418,405,411,175,175,54,67,72,23,24,24,28,24,24,28,24,18,18,24,24,24,24,24,24,24,24,59,63,2,20,24,39,38,16,24,24,386,352,284,159,64,49,68,69,28,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,40,41,22,24,15,22,15,13,9,24
